Date,COST,Price
2004-01-09,64,
2004-01-16,66,
2004-01-23,68,
2004-01-30,65,
2004-02-06,67,38.14
2004-02-13,66,37.61
2004-02-20,67,38.18
2004-02-27,68,38.86
2004-03-05,68,38.15
2004-03-12,66,38.30
2004-03-19,69,37.23
2004-03-26,67,36.62
2004-04-02,72,37.70
2004-04-09,67,
2004-04-16,71,38.08
2004-04-23,71,38.54
2004-04-30,73,37.50
2004-05-07,73,35.66
2004-05-14,68,35.85
2004-05-21,68,36.54
2004-05-28,68,37.90
2004-06-04,66,39.05
2004-06-11,66,
2004-06-18,64,42.02
2004-06-25,64,41.82
2004-07-02,65,40.68
2004-07-09,64,40.20
2004-07-16,67,40.62
2004-07-23,69,40.67
2004-07-30,70,40.71
2004-08-06,68,39.74
2004-08-13,66,40.73
2004-08-20,66,42.40
2004-08-27,64,42.05
2004-09-03,64,40.60
2004-09-10,64,40.54
2004-09-17,66,41.26
2004-09-24,66,41.35
2004-10-01,67,42.29
2004-10-08,68,44.69
2004-10-15,67,45.60
2004-10-22,64,45.73
2004-10-29,67,47.94
2004-11-05,67,49.55
2004-11-12,65,49.12
2004-11-19,71,47.48
2004-11-26,63,49.64
2004-12-03,68,47.92
2004-12-10,70,47.52
2004-12-17,62,47.79
2004-12-24,53,
2004-12-31,55,48.41
2005-01-07,65,47.49
2005-01-14,70,48.27
2005-01-21,66,46.51
2005-01-28,66,47.29
2005-02-04,67,46.18
2005-02-11,70,46.44
2005-02-18,68,45.80
2005-02-25,71,46.57
2005-03-04,70,44.76
2005-03-11,73,44.94
2005-03-18,68,43.70
2005-03-25,69,
2005-04-01,67,43.79
2005-04-08,72,46.18
2005-04-15,72,44.86
2005-04-22,72,40.17
2005-04-29,71,40.63
2005-05-06,74,42.88
2005-05-13,71,42.04
2005-05-20,67,44.96
2005-05-27,67,45.30
2005-06-03,63,46.12
2005-06-10,67,45.81
2005-06-17,66,46.59
2005-06-24,66,44.92
2005-07-01,64,44.93
2005-07-08,63,45.55
2005-07-15,68,46.45
2005-07-22,66,45.95
2005-07-29,66,45.97
2005-08-05,66,43.67
2005-08-12,62,42.82
2005-08-19,63,44.26
2005-08-26,61,43.12
2005-09-02,62,43.16
2005-09-09,60,43.04
2005-09-16,61,43.19
2005-09-23,64,42.82
2005-09-30,65,43.09
2005-10-07,64,45.64
2005-10-14,65,46.46
2005-10-21,64,47.76
2005-10-28,65,47.34
2005-11-04,64,49.08
2005-11-11,63,50.14
2005-11-18,68,49.81
2005-11-25,58,50.58
2005-12-02,67,49.34
2005-12-09,65,48.55
2005-12-16,61,48.75
2005-12-23,54,49.98
2005-12-30,50,49.47
2006-01-06,62,49.85
2006-01-13,66,51.00
2006-01-20,63,49.69
2006-01-27,65,50.05
2006-02-03,67,49.45
2006-02-10,65,49.74
2006-02-17,65,50.98
2006-02-24,65,50.69
2006-03-03,66,53.52
2006-03-10,66,53.97
2006-03-17,66,55.88
2006-03-24,67,54.64
2006-03-31,68,54.16
2006-04-07,65,55.70
2006-04-14,67,
2006-04-21,70,53.97
2006-04-28,71,54.43
2006-05-05,68,56.70
2006-05-12,69,55.23
2006-05-19,65,54.20
2006-05-26,62,54.43
2006-06-02,61,53.45
2006-06-09,65,53.04
2006-06-16,62,53.75
2006-06-23,60,55.50
2006-06-30,59,57.13
2006-07-07,59,56.16
2006-07-14,61,53.52
2006-07-21,64,52.56
2006-07-28,67,51.87
2006-08-04,64,51.78
2006-08-11,62,50.75
2006-08-18,60,52.55
2006-08-25,60,48.59
2006-09-01,57,47.35
2006-09-08,58,48.07
2006-09-15,61,49.82
2006-09-22,60,49.89
2006-09-29,60,49.68
2006-10-06,61,49.48
2006-10-13,61,53.20
2006-10-20,60,51.69
2006-10-27,61,53.01
2006-11-03,63,51.82
2006-11-10,61,52.90
2006-11-17,64,53.40
2006-11-24,54,53.51
2006-12-01,63,52.20
2006-12-08,60,53.69
2006-12-15,58,53.73
2006-12-22,52,52.20
2006-12-29,47,52.87
2007-01-05,58,53.41
2007-01-12,61,55.95
2007-01-19,61,56.77
2007-01-26,64,55.36
2007-02-02,62,56.01
2007-02-09,62,55.98
2007-02-16,62,57.80
2007-02-23,62,57.47
2007-03-02,62,55.75
2007-03-09,64,54.34
2007-03-16,62,52.98
2007-03-23,63,54.56
2007-03-30,66,53.84
2007-04-06,65,
2007-04-13,64,54.16
2007-04-20,65,55.12
2007-04-27,65,54.46
2007-05-04,67,53.79
2007-05-11,64,54.97
2007-05-18,65,56.41
2007-05-25,64,56.40
2007-06-01,62,56.29
2007-06-08,64,56.01
2007-06-15,62,56.09
2007-06-22,65,57.17
2007-06-29,64,58.52
2007-07-06,62,61.44
2007-07-13,65,62.98
2007-07-20,67,61.25
2007-07-27,63,58.57
2007-08-03,64,60.49
2007-08-10,63,63.25
2007-08-17,58,58.37
2007-08-24,58,61.68
2007-08-31,60,61.75
2007-09-07,58,57.00
2007-09-14,61,59.96
2007-09-21,62,60.72
2007-09-28,64,61.37
2007-10-05,60,63.27
2007-10-12,64,68.00
2007-10-19,65,65.70
2007-10-26,62,65.53
2007-11-02,64,65.58
2007-11-09,63,65.29
2007-11-16,63,66.80
2007-11-23,65,66.97
2007-11-30,74,67.40
2007-12-07,71,71.83
2007-12-14,58,68.49
2007-12-21,54,70.08
2007-12-28,48,70.22
2008-01-04,58,65.65
2008-01-11,67,66.43
2008-01-18,66,64.53
2008-01-25,65,65.46
2008-02-01,66,67.79
2008-02-08,68,63.24
2008-02-15,65,63.92
2008-02-22,68,66.02
2008-02-29,67,61.92
2008-03-07,69,60.30
2008-03-14,69,60.86
2008-03-21,67,
2008-03-28,67,64.37
2008-04-04,69,66.45
2008-04-11,71,65.70
2008-04-18,71,69.43
2008-04-25,72,71.54
2008-05-02,72,72.14
2008-05-09,72,71.44
2008-05-16,69,73.27
2008-05-23,68,71.32
2008-05-30,66,71.32
2008-06-06,68,71.19
2008-06-13,67,70.32
2008-06-20,66,68.73
2008-06-27,68,70.26
2008-07-04,66,
2008-07-11,70,69.83
2008-07-18,72,72.23
2008-07-25,70,61.76
2008-08-01,69,62.20
2008-08-08,70,66.99
2008-08-15,66,68.00
2008-08-22,65,67.43
2008-08-29,61,67.06
2008-09-05,64,68.44
2008-09-12,65,69.55
2008-09-19,65,66.09
2008-09-26,67,66.29
2008-10-03,66,62.60
2008-10-10,64,53.90
2008-10-17,64,57.98
2008-10-24,66,50.93
2008-10-31,64,57.01
2008-11-07,65,54.07
2008-11-14,68,48.06
2008-11-21,66,46.71
2008-11-28,61,51.47
2008-12-05,68,55.58
2008-12-12,68,53.40
2008-12-19,60,53.79
2008-12-26,52,51.47
2009-01-02,60,53.35
2009-01-09,70,49.14
2009-01-16,73,48.80
2009-01-23,72,46.97
2009-01-30,71,45.03
2009-02-06,70,45.21
2009-02-13,71,42.76
2009-02-20,72,42.76
2009-02-27,74,42.34
2009-03-06,74,38.98
2009-03-13,73,42.20
2009-03-20,73,44.83
2009-03-27,75,47.40
2009-04-03,76,48.91
2009-04-10,75,
2009-04-17,77,45.77
2009-04-24,77,48.17
2009-05-01,79,47.69
2009-05-08,76,46.60
2009-05-15,78,44.75
2009-05-22,76,48.30
2009-05-29,73,48.52
2009-06-05,78,47.64
2009-06-12,74,47.03
2009-06-19,77,46.11
2009-06-26,75,46.41
2009-07-03,72,
2009-07-10,77,44.97
2009-07-17,78,47.48
2009-07-24,82,49.13
2009-07-31,81,49.50
2009-08-07,79,50.10
2009-08-14,79,48.63
2009-08-21,78,48.56
2009-08-28,77,51.77
2009-09-04,74,55.47
2009-09-11,73,56.81
2009-09-18,76,57.55
2009-09-25,75,56.28
2009-10-02,74,56.47
2009-10-09,77,58.64
2009-10-16,75,58.48
2009-10-23,77,57.81
2009-10-30,76,56.85
2009-11-06,77,59.41
2009-11-13,79,60.47
2009-11-20,79,60.06
2009-11-27,70,60.03
2009-12-04,76,59.19
2009-12-11,75,59.32
2009-12-18,70,58.43
2009-12-25,60,
2010-01-01,66,
2010-01-08,78,59.28
2010-01-15,77,58.79
2010-01-22,78,57.07
2010-01-29,82,57.43
2010-02-05,79,58.58
2010-02-12,78,59.28
2010-02-19,78,61.14
2010-02-26,79,60.97
2010-03-05,80,60.68
2010-03-12,82,60.17
2010-03-19,82,60.72
2010-03-26,88,60.13
2010-04-02,83,
2010-04-09,84,61.21
2010-04-16,83,59.19
2010-04-23,83,60.20
2010-04-30,83,59.08
2010-05-07,80,57.31
2010-05-14,80,57.74
2010-05-21,80,57.44
2010-05-28,79,58.25
2010-06-04,77,56.17
2010-06-11,83,57.52
2010-06-18,78,58.21
2010-06-25,80,56.44
2010-07-02,82,54.23
2010-07-09,83,56.19
2010-07-16,86,54.98
2010-07-23,87,55.95
2010-07-30,88,56.71
2010-08-06,86,56.54
2010-08-13,85,55.31
2010-08-20,85,55.04
2010-08-27,80,56.19
2010-09-03,79,58.57
2010-09-10,81,59.54
2010-09-17,81,61.29
2010-09-24,81,64.05
2010-10-01,81,65.05
2010-10-08,79,64.29
2010-10-15,79,63.70
2010-10-22,79,64.03
2010-10-29,78,62.77
2010-11-05,79,65.40
2010-11-12,80,65.20
2010-11-19,81,66.56
2010-11-26,72,67.22
2010-12-03,80,68.39
2010-12-10,78,71.25
2010-12-17,73,71.84
2010-12-24,65,
2010-12-31,72,72.21
2011-01-07,85,70.65
2011-01-14,82,72.51
2011-01-21,83,72.77
2011-01-28,83,71.93
2011-02-04,81,74.13
2011-02-11,88,75.04
2011-02-18,84,75.43
2011-02-25,83,73.57
2011-03-04,85,72.81
2011-03-11,85,72.55
2011-03-18,79,70.66
2011-03-25,88,71.46
2011-04-01,87,74.25
2011-04-08,87,76.41
2011-04-15,88,76.97
2011-04-22,85,
2011-04-29,88,80.89
2011-05-06,87,80.45
2011-05-13,85,82.72
2011-05-20,83,83.40
2011-05-27,87,81.53
2011-06-03,86,77.81
2011-06-10,85,78.30
2011-06-17,84,79.63
2011-06-24,86,79.13
2011-07-01,85,81.54
2011-07-08,84,81.41
2011-07-15,88,79.86
2011-07-22,89,81.67
2011-07-29,89,78.25
2011-08-05,88,76.74
2011-08-12,85,72.79
2011-08-19,85,74.36
2011-08-26,80,77.21
2011-09-02,80,78.56
2011-09-09,80,78.90
2011-09-16,81,84.24
2011-09-23,83,83.37
2011-09-30,81,82.13
2011-10-07,82,79.02
2011-10-14,80,81.77
2011-10-21,85,85.30
2011-10-28,81,84.93
2011-11-04,79,83.81
2011-11-11,82,83.04
2011-11-18,82,81.72
2011-11-25,76,80.82
2011-12-02,80,86.73
2011-12-09,82,84.37
2011-12-16,78,82.57
2011-12-23,71,84.66
2011-12-30,76,83.32
2012-01-06,85,81.13
2012-01-13,87,80.61
2012-01-20,87,81.41
2012-01-27,86,81.62
2012-02-03,86,85.36
2012-02-10,91,84.20
2012-02-17,84,84.47
2012-02-24,88,84.40
2012-03-02,89,86.23
2012-03-09,87,89.34
2012-03-16,88,90.44
2012-03-23,90,90.27
2012-03-30,91,90.80
2012-04-06,87,
2012-04-13,89,86.32
2012-04-20,92,87.58
2012-04-27,90,88.69
2012-05-04,93,83.39
2012-05-11,91,84.60
2012-05-18,90,82.94
2012-05-25,90,84.48
2012-06-01,87,85.49
2012-06-08,91,88.74
2012-06-15,90,91.44
2012-06-22,89,90.93
2012-06-29,92,95.00
2012-07-06,89,93.68
2012-07-13,94,94.81
2012-07-20,93,95.61
2012-07-27,95,97.11
2012-08-03,93,97.21
2012-08-10,95,95.30
2012-08-17,94,96.14
2012-08-24,91,96.25
2012-08-31,91,97.87
2012-09-07,92,99.72
2012-09-14,93,102.18
2012-09-21,94,102.36
2012-09-28,92,100.16
2012-10-05,90,101.79
2012-10-12,88,97.55
2012-10-19,86,94.78
2012-10-26,87,96.94
2012-11-02,82,96.12
2012-11-09,87,95.46
2012-11-16,85,95.69
2012-11-23,79,97.92
2012-11-30,87,103.92
2012-12-07,87,98.56
2012-12-14,83,96.92
2012-12-21,78,99.49
2012-12-28,72,96.97
2013-01-04,88,102.16
2013-01-11,92,100.28
2013-01-18,88,101.20
2013-01-25,91,102.36
2013-02-01,91,104.15
2013-02-08,89,102.79
2013-02-15,88,102.17
2013-02-22,87,101.16
2013-03-01,90,101.42
2013-03-08,90,103.04
2013-03-15,91,101.75
2013-03-22,90,105.11
2013-03-29,91,
2013-04-05,91,105.80
2013-04-12,93,106.13
2013-04-19,93,104.45
2013-04-26,93,109.27
2013-05-03,96,109.75
2013-05-10,92,109.99
2013-05-17,90,113.05
2013-05-24,90,114.39
2013-05-31,89,109.63
2013-06-07,92,110.58
2013-06-14,94,111.00
2013-06-21,92,108.65
2013-06-28,93,110.57
2013-07-05,90,111.76
2013-07-12,95,116.46
2013-07-19,97,118.07
2013-07-26,94,116.57
2013-08-02,94,119.37
2013-08-09,93,115.63
2013-08-16,93,111.90
2013-08-23,92,113.07
2013-08-30,92,111.87
2013-09-06,91,114.35
2013-09-13,95,117.03
2013-09-20,91,117.94
2013-09-27,91,115.72
2013-10-04,91,114.44
2013-10-11,89,115.90
2013-10-18,90,117.64
2013-10-25,89,116.44
2013-11-01,87,119.62
2013-11-08,89,122.78
2013-11-15,91,124.29
2013-11-22,91,125.21
2013-11-29,83,125.43
2013-12-06,85,122.06
2013-12-13,84,117.91
2013-12-20,82,118.53
2013-12-27,76,118.53
2014-01-03,89,117.29
2014-01-10,91,117.85
2014-01-17,97,116.29
2014-01-24,96,112.13
2014-01-31,95,112.36
2014-02-07,93,114.04
2014-02-14,92,116.10
2014-02-21,93,113.19
2014-02-28,100,116.80
2014-03-07,96,113.50
2014-03-14,97,113.45
2014-03-21,93,113.83
2014-03-28,99,111.66
2014-04-04,98,110.65
2014-04-11,96,112.08
2014-04-18,97,
2014-04-25,97,115.01
2014-05-02,97,
