Date,Apache Corporation,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,37.23
2004-02-13,0,39.51
2004-02-20,0,38.66
2004-02-27,0,41.17
2004-03-05,0,42.26
2004-03-12,0,41.28
2004-03-19,0,42.11
2004-03-26,0,41.53
2004-04-02,0,41.96
2004-04-09,0,
2004-04-16,0,45.48
2004-04-23,0,42.94
2004-04-30,0,41.87
2004-05-07,0,41.51
2004-05-14,0,41.11
2004-05-21,0,38.97
2004-05-28,0,40.36
2004-06-04,0,41.09
2004-06-11,0,
2004-06-18,0,43.87
2004-06-25,0,43.91
2004-07-02,0,43.73
2004-07-09,0,45.40
2004-07-16,0,46.89
2004-07-23,0,45.57
2004-07-30,0,46.53
2004-08-06,0,42.85
2004-08-13,0,43.54
2004-08-20,0,44.34
2004-08-27,0,44.09
2004-09-03,0,46.22
2004-09-10,0,46.72
2004-09-17,0,47.98
2004-09-24,0,49.53
2004-10-01,0,50.43
2004-10-08,0,52.44
2004-10-15,0,52.17
2004-10-22,0,52.74
2004-10-29,0,50.70
2004-11-05,0,51.16
2004-11-12,0,50.52
2004-11-19,0,51.59
2004-11-26,0,53.69
2004-12-03,0,50.71
2004-12-10,0,49.85
2004-12-17,0,50.45
2004-12-24,0,
2004-12-31,0,50.57
2005-01-07,0,48.19
2005-01-14,0,52.08
2005-01-21,0,51.38
2005-01-28,0,54.17
2005-02-04,0,55.13
2005-02-11,0,57.47
2005-02-18,0,59.40
2005-02-25,0,62.72
2005-03-04,0,65.69
2005-03-11,0,61.50
2005-03-18,0,63.13
2005-03-25,0,
2005-04-01,0,62.74
2005-04-08,0,60.56
2005-04-15,0,55.57
2005-04-22,0,58.90
2005-04-29,0,56.29
2005-05-06,0,56.61
2005-05-13,0,52.80
2005-05-20,0,55.02
2005-05-27,0,59.11
2005-06-03,0,60.03
2005-06-10,0,62.34
2005-06-17,0,66.63
2005-06-24,0,65.65
2005-07-01,0,66.90
2005-07-08,0,69.38
2005-07-15,0,66.82
2005-07-22,0,69.95
2005-07-29,0,68.40
2005-08-05,0,68.43
2005-08-12,0,72.33
2005-08-19,0,68.80
2005-08-26,0,69.84
2005-09-02,0,70.43
2005-09-09,0,71.86
2005-09-16,0,73.42
2005-09-23,0,73.86
2005-09-30,0,75.22
2005-10-07,0,66.56
2005-10-14,0,64.48
2005-10-21,0,60.03
2005-10-28,0,62.97
2005-11-04,0,66.80
2005-11-11,0,64.74
2005-11-18,0,66.04
2005-11-25,0,69.50
2005-12-02,0,68.18
2005-12-09,0,69.80
2005-12-16,0,69.50
2005-12-23,0,70.31
2005-12-30,0,68.52
2006-01-06,0,70.13
2006-01-13,0,71.37
2006-01-20,0,74.09
2006-01-27,0,71.36
2006-02-03,0,73.40
2006-02-10,0,69.29
2006-02-17,0,69.95
2006-02-24,0,69.17
2006-03-03,0,70.01
2006-03-10,0,64.15
2006-03-17,0,66.07
2006-03-24,0,65.62
2006-03-31,0,65.51
2006-04-07,0,67.02
2006-04-14,0,
2006-04-21,0,75.22
2006-04-28,66,71.04
2006-05-05,0,71.75
2006-05-12,0,68.82
2006-05-19,0,64.58
2006-05-26,0,64.63
2006-06-02,0,65.89
2006-06-09,0,61.23
2006-06-16,0,61.24
2006-06-23,0,62.96
2006-06-30,0,68.25
2006-07-07,0,67.83
2006-07-14,0,67.73
2006-07-21,0,62.81
2006-07-28,0,69.42
2006-08-04,0,69.20
2006-08-11,0,69.11
2006-08-18,0,68.01
2006-08-25,0,67.85
2006-09-01,0,66.43
2006-09-08,0,64.76
2006-09-15,0,62.98
2006-09-22,0,60.67
2006-09-29,0,63.20
2006-10-06,0,63.61
2006-10-13,0,64.61
2006-10-20,0,65.94
2006-10-27,0,66.52
2006-11-03,0,65.65
2006-11-10,0,65.19
2006-11-17,51,65.49
2006-11-24,0,65.17
2006-12-01,0,69.55
2006-12-08,0,69.08
2006-12-15,0,68.84
2006-12-22,0,66.68
2006-12-29,0,66.51
2007-01-05,0,65.25
2007-01-12,0,64.29
2007-01-19,0,67.91
2007-01-26,0,69.82
2007-02-02,0,70.71
2007-02-09,0,70.00
2007-02-16,0,68.80
2007-02-23,0,70.47
2007-03-02,0,67.21
2007-03-09,0,68.37
2007-03-16,0,67.31
2007-03-23,0,70.03
2007-03-30,0,70.70
2007-04-06,0,
2007-04-13,0,75.12
2007-04-20,0,75.08
2007-04-27,0,73.53
2007-05-04,0,75.11
2007-05-11,0,73.93
2007-05-18,0,77.79
2007-05-25,54,78.02
2007-06-01,0,81.45
2007-06-08,0,82.41
2007-06-15,0,87.30
2007-06-22,0,84.94
2007-06-29,0,81.59
2007-07-06,0,84.16
2007-07-13,0,86.19
2007-07-20,0,86.53
2007-07-27,47,80.77
2007-08-03,0,78.10
2007-08-10,0,81.48
2007-08-17,0,76.71
2007-08-24,0,76.32
2007-08-31,0,77.38
2007-09-07,0,78.79
2007-09-14,32,83.19
2007-09-21,39,88.80
2007-09-28,32,90.06
2007-10-05,31,90.10
2007-10-12,31,95.00
2007-10-19,31,93.34
2007-10-26,30,97.45
2007-11-02,0,103.82
2007-11-09,0,102.82
2007-11-16,0,99.40
2007-11-23,0,101.60
2007-11-30,0,96.79
2007-12-07,0,99.44
2007-12-14,0,104.89
2007-12-21,0,108.14
2007-12-28,0,108.45
2008-01-04,0,107.39
2008-01-11,0,104.92
2008-01-18,0,95.84
2008-01-25,0,92.58
2008-02-01,0,98.47
2008-02-08,0,100.63
2008-02-15,0,106.19
2008-02-22,32,109.71
2008-02-29,29,114.71
2008-03-07,31,116.22
2008-03-14,33,117.46
2008-03-21,35,
2008-03-28,37,119.05
2008-04-04,37,126.41
2008-04-11,37,131.93
2008-04-18,37,142.51
2008-04-25,37,137.80
2008-05-02,29,128.81
2008-05-09,25,135.67
2008-05-16,25,143.49
2008-05-23,25,139.41
2008-05-30,26,134.06
2008-06-06,28,133.90
2008-06-13,26,138.46
2008-06-20,33,136.93
2008-06-27,39,137.10
2008-07-04,26,
2008-07-11,26,124.59
2008-07-18,26,110.94
2008-07-25,26,109.60
2008-08-01,26,113.74
2008-08-08,0,105.21
2008-08-15,0,106.74
2008-08-22,0,111.57
2008-08-29,0,114.38
2008-09-05,0,111.43
2008-09-12,0,112.39
2008-09-19,24,121.15
2008-09-26,26,109.88
2008-10-03,37,90.48
2008-10-10,32,66.80
2008-10-17,25,73.88
2008-10-24,33,69.70
2008-10-31,24,82.33
2008-11-07,24,76.99
2008-11-14,24,76.04
2008-11-21,24,68.07
2008-11-28,24,77.30
2008-12-05,0,62.61
2008-12-12,0,71.54
2008-12-19,0,74.57
2008-12-26,0,71.32
2009-01-02,0,79.26
2009-01-09,0,80.62
2009-01-16,33,74.49
2009-01-23,22,75.95
2009-01-30,22,75.00
2009-02-06,22,78.74
2009-02-13,22,73.30
2009-02-20,22,63.84
2009-02-27,22,59.09
2009-03-06,23,53.46
2009-03-13,23,60.94
2009-03-20,20,64.86
2009-03-27,21,65.97
2009-04-03,22,68.00
2009-04-10,23,
2009-04-17,24,69.09
2009-04-24,25,69.08
2009-05-01,25,76.97
2009-05-08,25,84.89
2009-05-15,21,76.61
2009-05-22,0,77.83
2009-05-29,0,84.26
2009-06-05,0,82.26
2009-06-12,0,84.20
2009-06-19,0,75.34
2009-06-26,0,72.22
2009-07-03,0,
2009-07-10,21,68.05
2009-07-17,23,75.50
2009-07-24,24,79.75
2009-07-31,26,83.95
2009-08-07,27,87.06
2009-08-14,33,86.91
2009-08-21,21,88.87
2009-08-28,21,87.30
2009-09-04,21,84.03
2009-09-11,21,91.37
2009-09-18,19,94.19
2009-09-25,19,91.98
2009-10-02,19,89.95
2009-10-09,19,99.86
2009-10-16,17,102.75
2009-10-23,17,99.39
2009-10-30,16,94.12
2009-11-06,16,98.87
2009-11-13,16,98.14
2009-11-20,21,96.47
2009-11-27,23,95.75
2009-12-04,25,94.20
2009-12-11,27,94.63
2009-12-18,30,99.86
2009-12-25,31,
2010-01-01,33,
2010-01-08,35,106.59
2010-01-15,26,107.66
2010-01-22,24,102.03
2010-01-29,18,98.77
2010-02-05,29,98.40
2010-02-12,28,99.58
2010-02-19,41,105.01
2010-02-26,19,103.64
2010-03-05,22,107.41
2010-03-12,25,106.85
2010-03-19,22,101.68
2010-03-26,19,98.31
2010-04-02,19,
2010-04-09,26,106.76
2010-04-16,72,105.44
2010-04-23,22,109.87
2010-04-30,31,101.76
2010-05-07,33,93.53
2010-05-14,24,94.28
2010-05-21,26,89.58
2010-05-28,32,89.54
2010-06-04,20,87.57
2010-06-11,32,93.64
2010-06-18,37,97.57
2010-06-25,30,89.92
2010-07-02,27,82.85
2010-07-09,22,87.88
2010-07-16,49,82.75
2010-07-23,100,92.79
2010-07-30,51,95.58
2010-08-06,26,95.95
2010-08-13,44,91.26
2010-08-20,35,90.53
2010-08-27,40,89.97
2010-09-03,41,92.62
2010-09-10,40,93.73
2010-09-17,33,94.48
2010-09-24,37,98.13
2010-10-01,35,98.28
2010-10-08,33,101.53
2010-10-15,27,104.14
2010-10-22,25,101.30
2010-10-29,29,101.02
2010-11-05,31,108.69
2010-11-12,46,109.51
2010-11-19,30,109.11
2010-11-26,16,107.19
2010-12-03,35,115.11
2010-12-10,32,114.92
2010-12-17,25,116.45
2010-12-24,14,
2010-12-31,32,119.23
2011-01-07,35,123.17
2011-01-14,31,125.63
2011-01-21,38,125.60
2011-01-28,37,114.84
2011-02-04,37,116.84
2011-02-11,43,119.73
2011-02-18,28,120.01
2011-02-25,34,123.53
2011-03-04,36,122.62
2011-03-11,19,118.82
2011-03-18,32,120.11
2011-03-25,27,125.94
2011-04-01,27,129.98
2011-04-08,16,130.16
2011-04-15,20,122.40
2011-04-22,25,
2011-04-29,30,133.37
2011-05-06,30,124.21
2011-05-13,19,124.25
2011-05-20,22,123.00
2011-05-27,19,123.25
2011-06-03,22,119.44
2011-06-10,28,117.75
2011-06-17,31,117.16
2011-06-24,30,115.98
2011-07-01,26,123.74
2011-07-08,33,125.13
2011-07-15,27,123.52
2011-07-22,18,128.47
2011-07-29,24,123.72
2011-08-05,18,106.70
2011-08-12,33,103.18
2011-08-19,29,97.03
2011-08-26,24,100.29
2011-09-02,22,98.65
2011-09-09,32,95.12
2011-09-16,26,98.20
2011-09-23,31,82.73
2011-09-30,37,80.24
2011-10-07,27,84.84
2011-10-14,26,91.36
2011-10-21,34,94.73
2011-10-28,32,104.99
2011-11-04,21,100.20
2011-11-11,22,104.71
2011-11-18,21,98.56
2011-11-25,29,86.83
2011-12-02,24,96.47
2011-12-09,37,97.48
2011-12-16,20,88.74
2011-12-23,17,91.17
2011-12-30,24,90.58
2012-01-06,13,97.04
2012-01-13,35,92.84
2012-01-20,27,96.80
2012-01-27,48,98.00
2012-02-03,36,101.15
2012-02-10,26,105.13
2012-02-17,25,109.45
2012-02-24,32,111.57
2012-03-02,32,106.45
2012-03-09,30,107.45
2012-03-16,26,108.98
2012-03-23,39,101.76
2012-03-30,29,100.44
2012-04-06,25,
2012-04-13,27,93.65
2012-04-20,27,91.47
2012-04-27,38,94.91
2012-05-04,36,89.06
2012-05-11,20,87.26
2012-05-18,32,80.52
2012-05-25,27,82.38
2012-06-01,28,79.37
2012-06-08,27,82.97
2012-06-15,33,87.80
2012-06-22,41,82.25
2012-06-29,47,87.89
2012-07-06,25,85.53
2012-07-13,39,83.58
2012-07-20,32,85.08
2012-07-27,31,87.57
2012-08-03,34,84.85
2012-08-10,33,87.86
2012-08-17,38,89.06
2012-08-24,37,87.50
2012-08-31,36,85.75
2012-09-07,22,89.90
2012-09-14,34,92.48
2012-09-21,32,88.59
2012-09-28,29,86.47
2012-10-05,24,85.89
2012-10-12,28,85.33
2012-10-19,26,86.87
2012-10-26,34,82.36
2012-11-02,26,81.22
2012-11-09,26,78.56
2012-11-16,20,75.30
2012-11-23,22,77.14
2012-11-30,16,77.09
2012-12-07,37,76.51
2012-12-14,26,77.02
2012-12-21,29,80.00
2012-12-28,15,77.05
2013-01-04,21,83.20
2013-01-11,30,80.57
2013-01-18,35,81.82
2013-01-25,35,84.15
2013-02-01,31,85.36
2013-02-08,32,84.65
2013-02-15,36,76.85
2013-02-22,29,75.40
2013-03-01,33,73.75
2013-03-08,23,75.65
2013-03-15,32,75.68
2013-03-22,29,74.47
2013-03-29,26,
2013-04-05,29,74.20
2013-04-12,28,75.09
2013-04-19,31,68.84
2013-04-26,28,72.27
2013-05-03,24,75.24
2013-05-10,34,83.33
2013-05-17,33,81.30
2013-05-24,20,81.66
2013-05-31,32,82.13
2013-06-07,27,84.73
2013-06-14,18,84.89
2013-06-21,24,85.04
2013-06-28,26,83.83
2013-07-05,19,82.17
2013-07-12,32,82.41
2013-07-19,41,84.98
2013-07-26,37,82.06
2013-08-02,32,82.00
2013-08-09,29,83.20
2013-08-16,30,78.99
2013-08-23,35,79.80
2013-08-30,41,85.68
2013-09-06,33,86.51
2013-09-13,40,86.81
2013-09-20,28,87.85
2013-09-27,34,86.25
2013-10-04,21,87.00
2013-10-11,32,87.95
2013-10-18,27,91.26
2013-10-25,26,90.45
2013-11-01,29,89.24
2013-11-08,21,89.80
2013-11-15,27,92.50
2013-11-22,32,94.42
2013-11-29,16,91.49
2013-12-06,22,89.02
2013-12-13,25,86.16
2013-12-20,26,86.41
2013-12-27,16,86.68
2014-01-03,25,85.54
2014-01-10,26,86.20
2014-01-17,28,84.31
2014-01-24,25,82.42
2014-01-31,28,80.26
2014-02-07,19,81.40
2014-02-14,34,83.39
2014-02-21,24,84.56
2014-02-28,36,79.29
2014-03-07,28,80.05
2014-03-14,23,79.23
2014-03-21,26,80.71
2014-03-28,31,83.02
2014-04-04,25,85.47
2014-04-11,23,82.09
2014-04-18,26,
2014-04-25,25,87.28
2014-05-02,21,
