Date,Capital One Financial,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,93,
2004-02-06,0,71.64
2004-02-13,0,73.05
2004-02-20,0,71.12
2004-02-27,0,70.72
2004-03-05,0,73.78
2004-03-12,0,73.50
2004-03-19,0,72.40
2004-03-26,0,73.65
2004-04-02,0,74.99
2004-04-09,0,
2004-04-16,0,73.72
2004-04-23,0,68.85
2004-04-30,0,65.53
2004-05-07,84,63.96
2004-05-14,83,65.84
2004-05-21,83,67.17
2004-05-28,83,70.06
2004-06-04,83,69.86
2004-06-11,83,
2004-06-18,0,71.38
2004-06-25,0,70.26
2004-07-02,0,68.09
2004-07-09,0,66.41
2004-07-16,0,66.02
2004-07-23,0,67.97
2004-07-30,0,69.32
2004-08-06,0,65.95
2004-08-13,0,68.02
2004-08-20,82,70.85
2004-08-27,72,68.92
2004-09-03,72,68.58
2004-09-10,72,72.55
2004-09-17,72,73.18
2004-09-24,72,73.60
2004-10-01,70,74.56
2004-10-08,78,72.94
2004-10-15,85,69.91
2004-10-22,0,69.80
2004-10-29,0,73.76
2004-11-05,0,77.14
2004-11-12,0,79.72
2004-11-19,0,77.67
2004-11-26,0,79.98
2004-12-03,0,79.24
2004-12-10,0,81.12
2004-12-17,0,82.04
2004-12-24,0,
2004-12-31,0,84.21
2005-01-07,71,81.96
2005-01-14,65,82.12
2005-01-21,65,78.39
2005-01-28,65,77.62
2005-02-04,64,78.83
2005-02-11,58,78.40
2005-02-18,58,76.82
2005-02-25,61,77.35
2005-03-04,64,78.08
2005-03-11,67,77.88
2005-03-18,73,76.64
2005-03-25,79,
2005-04-01,55,74.68
2005-04-08,55,74.36
2005-04-15,55,73.00
2005-04-22,56,70.65
2005-04-29,62,70.89
2005-05-06,68,71.56
2005-05-13,54,71.02
2005-05-20,54,74.34
2005-05-27,57,74.87
2005-06-03,60,74.93
2005-06-10,63,74.54
2005-06-17,55,74.98
2005-06-24,55,73.36
2005-07-01,55,78.80
2005-07-08,55,81.85
2005-07-15,55,82.17
2005-07-22,55,84.90
2005-07-29,60,82.50
2005-08-05,60,84.35
2005-08-12,64,83.33
2005-08-19,64,84.80
2005-08-26,60,81.14
2005-09-02,60,82.04
2005-09-09,59,79.30
2005-09-16,60,82.00
2005-09-23,59,79.86
2005-09-30,59,79.52
2005-10-07,60,75.54
2005-10-14,46,72.97
2005-10-21,48,74.45
2005-10-28,51,75.26
2005-11-04,54,76.26
2005-11-11,57,80.82
2005-11-18,60,84.34
2005-11-25,61,84.94
2005-12-02,62,84.53
2005-12-09,46,84.47
2005-12-16,0,85.74
2005-12-23,0,88.01
2005-12-30,0,86.40
2006-01-06,0,86.44
2006-01-13,0,86.64
2006-01-20,0,85.17
2006-01-27,38,84.74
2006-02-03,50,83.27
2006-02-10,67,85.17
2006-02-17,40,87.26
2006-02-24,37,88.85
2006-03-03,51,88.35
2006-03-10,43,89.92
2006-03-17,50,81.90
2006-03-24,66,82.10
2006-03-31,56,80.52
2006-04-07,39,83.09
2006-04-14,53,
2006-04-21,36,86.09
2006-04-28,63,86.64
2006-05-05,54,85.82
2006-05-12,45,86.00
2006-05-19,49,83.73
2006-05-26,53,83.55
2006-06-02,57,83.71
2006-06-09,50,83.21
2006-06-16,50,83.82
2006-06-23,74,85.39
2006-06-30,42,85.45
2006-07-07,40,84.72
2006-07-14,85,83.18
2006-07-21,100,77.70
2006-07-28,57,77.69
2006-08-04,49,79.15
2006-08-11,69,71.82
2006-08-18,52,74.29
2006-08-25,62,69.88
2006-09-01,38,73.46
2006-09-08,41,72.46
2006-09-15,37,76.09
2006-09-22,42,76.95
2006-09-29,48,78.66
2006-10-06,63,78.61
2006-10-13,62,81.62
2006-10-20,43,81.24
2006-10-27,32,81.66
2006-11-03,32,76.56
2006-11-10,41,77.52
2006-11-17,60,75.50
2006-11-24,39,75.40
2006-12-01,48,77.64
2006-12-08,70,76.18
2006-12-15,59,76.61
2006-12-22,38,77.40
2006-12-29,53,76.82
2007-01-05,69,77.16
2007-01-12,78,77.02
2007-01-19,57,78.88
2007-01-26,90,79.47
2007-02-02,63,80.81
2007-02-09,43,82.01
2007-02-16,46,82.07
2007-02-23,57,80.48
2007-03-02,56,76.78
2007-03-09,55,77.00
2007-03-16,45,74.95
2007-03-23,61,77.89
2007-03-30,52,75.46
2007-04-06,52,
2007-04-13,36,75.06
2007-04-20,67,72.80
2007-04-27,50,74.91
2007-05-04,32,74.43
2007-05-11,57,77.20
2007-05-18,53,77.44
2007-05-25,65,78.78
2007-06-01,51,80.15
2007-06-08,61,79.99
2007-06-15,44,80.75
2007-06-22,51,80.03
2007-06-29,46,78.44
2007-07-06,48,78.61
2007-07-13,54,75.35
2007-07-20,50,77.66
2007-07-27,59,73.02
2007-08-03,68,67.34
2007-08-10,60,69.10
2007-08-17,70,68.75
2007-08-24,75,66.32
2007-08-31,50,64.66
2007-09-07,71,62.70
2007-09-14,38,66.11
2007-09-21,71,69.02
2007-09-28,58,66.43
2007-10-05,56,72.94
2007-10-12,50,70.88
2007-10-19,49,62.68
2007-10-26,42,64.40
2007-11-02,47,61.17
2007-11-09,62,54.26
2007-11-16,58,53.05
2007-11-23,28,52.07
2007-11-30,62,53.31
2007-12-07,44,49.80
2007-12-14,47,47.20
2007-12-21,42,47.68
2007-12-28,62,46.57
2008-01-04,79,45.97
2008-01-11,51,42.59
2008-01-18,61,39.68
2008-01-25,43,46.51
2008-02-01,69,56.97
2008-02-08,67,48.98
2008-02-15,48,47.66
2008-02-22,46,47.92
2008-02-29,53,46.03
2008-03-07,46,43.36
2008-03-14,66,47.86
2008-03-21,67,
2008-03-28,59,48.99
2008-04-04,57,51.27
2008-04-11,59,48.30
2008-04-18,44,47.21
2008-04-25,41,50.91
2008-05-02,57,55.23
2008-05-09,49,52.91
2008-05-16,51,51.65
2008-05-23,55,47.47
2008-05-30,51,48.12
2008-06-06,50,46.15
2008-06-13,59,44.62
2008-06-20,56,40.90
2008-06-27,65,38.31
2008-07-04,64,
2008-07-11,42,38.56
2008-07-18,87,42.87
2008-07-25,67,39.27
2008-08-01,63,41.51
2008-08-08,66,43.39
2008-08-15,71,43.95
2008-08-22,53,42.35
2008-08-29,48,44.14
2008-09-05,48,44.71
2008-09-12,51,45.94
2008-09-19,60,56.05
2008-09-26,66,54.55
2008-10-03,86,44.90
2008-10-10,85,35.54
2008-10-17,79,39.92
2008-10-24,61,35.30
2008-10-31,71,39.12
2008-11-07,50,34.56
2008-11-14,72,31.19
2008-11-21,60,26.83
2008-11-28,46,34.41
2008-12-05,82,32.72
2008-12-12,58,28.12
2008-12-19,62,30.97
2008-12-26,39,29.48
2009-01-02,65,33.31
2009-01-09,52,29.33
2009-01-16,50,24.10
2009-01-23,77,19.32
2009-01-30,69,15.84
2009-02-06,68,14.50
2009-02-13,60,12.11
2009-02-20,55,10.01
2009-02-27,76,12.05
2009-03-06,62,8.31
2009-03-13,69,12.56
2009-03-20,62,11.34
2009-03-27,57,14.23
2009-04-03,76,13.82
2009-04-10,64,
2009-04-17,54,17.85
2009-04-24,58,19.02
2009-05-01,64,17.34
2009-05-08,82,31.34
2009-05-15,61,24.54
2009-05-22,55,21.92
2009-05-29,76,24.44
2009-06-05,74,24.11
2009-06-12,49,23.94
2009-06-19,52,22.33
2009-06-26,67,21.94
2009-07-03,62,
2009-07-10,65,20.63
2009-07-17,65,26.50
2009-07-24,86,30.07
2009-07-31,74,30.70
2009-08-07,80,34.12
2009-08-14,73,35.08
2009-08-21,60,36.48
2009-08-28,70,36.73
2009-09-04,70,35.23
2009-09-11,64,37.98
2009-09-18,63,37.50
2009-09-25,63,35.14
2009-10-02,61,33.19
2009-10-09,52,37.61
2009-10-16,53,36.35
2009-10-23,47,40.95
2009-10-30,59,36.60
2009-11-06,54,37.67
2009-11-13,58,38.80
2009-11-20,63,37.70
2009-11-27,57,37.24
2009-12-04,59,37.92
2009-12-11,59,40.40
2009-12-18,60,39.50
2009-12-25,54,
2010-01-01,77,
2010-01-08,61,42.46
2010-01-15,57,41.13
2010-01-22,58,37.53
2010-01-29,66,36.86
2010-02-05,60,35.36
2010-02-12,41,35.14
2010-02-19,59,37.79
2010-02-26,64,37.75
2010-03-05,70,37.94
2010-03-12,64,39.89
2010-03-19,57,39.77
2010-03-26,58,41.92
2010-04-02,57,
2010-04-09,57,43.86
2010-04-16,59,43.49
2010-04-23,64,46.73
2010-04-30,63,43.41
2010-05-07,65,42.14
2010-05-14,42,42.76
2010-05-21,59,41.81
2010-05-28,53,41.30
2010-06-04,51,39.31
2010-06-11,59,40.26
2010-06-18,63,42.64
2010-06-25,54,43.44
2010-07-02,45,39.43
2010-07-09,50,43.68
2010-07-16,61,41.46
2010-07-23,57,40.84
2010-07-30,62,42.33
2010-08-06,66,40.92
2010-08-13,50,38.82
2010-08-20,61,37.78
2010-08-27,63,38.21
2010-09-03,62,40.69
2010-09-10,48,38.89
2010-09-17,79,38.67
2010-09-24,38,39.35
2010-10-01,72,39.30
2010-10-08,62,39.36
2010-10-15,54,36.86
2010-10-22,65,39.12
2010-10-29,59,37.27
2010-11-05,78,40.36
2010-11-12,57,39.27
2010-11-19,52,37.82
2010-11-26,37,37.00
2010-12-03,69,38.76
2010-12-10,57,42.21
2010-12-17,52,40.49
2010-12-24,45,
2010-12-31,59,42.56
2011-01-07,57,45.41
2011-01-14,56,48.38
2011-01-21,48,49.17
2011-01-28,67,48.24
2011-02-04,75,48.76
2011-02-11,60,52.06
2011-02-18,67,52.69
2011-02-25,57,49.99
2011-03-04,74,48.53
2011-03-11,71,49.57
2011-03-18,54,51.05
2011-03-25,62,52.23
2011-04-01,73,52.09
2011-04-08,64,51.65
2011-04-15,66,50.03
2011-04-22,74,
2011-04-29,65,54.73
2011-05-06,69,53.79
2011-05-13,63,52.34
2011-05-20,62,55.07
2011-05-27,59,54.04
2011-06-03,76,51.55
2011-06-10,59,49.54
2011-06-17,70,48.84
2011-06-24,70,49.51
2011-07-01,74,52.65
2011-07-08,64,53.71
2011-07-15,76,48.50
2011-07-22,60,49.64
2011-07-29,73,47.80
2011-08-05,83,42.80
2011-08-12,78,43.78
2011-08-19,70,41.30
2011-08-26,62,44.23
2011-09-02,64,42.28
2011-09-09,72,41.78
2011-09-16,65,42.97
2011-09-23,55,40.94
2011-09-30,66,39.63
2011-10-07,69,39.81
2011-10-14,69,42.06
2011-10-21,65,43.29
2011-10-28,54,46.90
2011-11-04,67,46.16
2011-11-11,69,45.02
2011-11-18,71,41.64
2011-11-25,54,40.02
2011-12-02,75,45.34
2011-12-09,56,46.07
2011-12-16,67,43.39
2011-12-23,60,43.10
2011-12-30,66,42.29
2012-01-06,70,45.16
2012-01-13,66,48.89
2012-01-20,70,46.03
2012-01-27,66,46.05
2012-02-03,72,49.30
2012-02-10,72,48.28
2012-02-17,79,48.83
2012-02-24,74,49.29
2012-03-02,79,49.89
2012-03-09,71,49.82
2012-03-16,70,54.50
2012-03-23,61,55.74
2012-03-30,77,55.74
2012-04-06,78,
2012-04-13,76,53.47
2012-04-20,64,53.85
2012-04-27,72,56.06
2012-05-04,78,54.52
2012-05-11,86,54.37
2012-05-18,78,49.13
2012-05-25,60,51.13
2012-06-01,78,48.40
2012-06-08,76,52.59
2012-06-15,84,53.81
2012-06-22,72,52.93
2012-06-29,75,54.66
2012-07-06,74,54.02
2012-07-13,84,54.42
2012-07-20,84,55.88
2012-07-27,80,57.60
2012-08-03,78,57.58
2012-08-10,72,56.10
2012-08-17,72,56.79
2012-08-24,72,56.87
2012-08-31,84,56.53
2012-09-07,79,57.41
2012-09-14,84,59.37
2012-09-21,77,57.26
2012-09-28,72,57.01
2012-10-05,78,59.00
2012-10-12,70,58.21
2012-10-19,83,60.75
2012-10-26,61,60.00
2012-11-02,70,61.40
2012-11-09,80,58.37
2012-11-16,82,55.70
2012-11-23,53,58.97
2012-11-30,73,57.60
2012-12-07,69,57.07
2012-12-14,73,56.83
2012-12-21,77,58.89
2012-12-28,67,57.10
2013-01-04,88,61.96
2013-01-11,73,61.99
2013-01-18,83,56.99
2013-01-25,67,56.32
2013-02-01,68,56.50
2013-02-08,67,57.27
2013-02-15,85,54.03
2013-02-22,71,52.28
2013-03-01,82,51.87
2013-03-08,71,54.20
2013-03-15,82,55.19
2013-03-22,80,54.10
2013-03-29,72,
2013-04-05,82,54.71
2013-04-12,64,54.66
2013-04-19,66,56.17
2013-04-26,76,57.15
2013-05-03,84,58.52
2013-05-10,80,59.51
2013-05-17,70,60.83
2013-05-24,65,61.13
2013-05-31,71,60.93
2013-06-07,75,62.33
2013-06-14,74,61.01
2013-06-21,64,61.36
2013-06-28,74,62.81
2013-07-05,86,65.66
2013-07-12,78,66.81
2013-07-19,85,69.14
2013-07-26,71,68.76
2013-08-02,85,69.59
2013-08-09,82,68.23
2013-08-16,79,67.16
2013-08-23,72,66.67
2013-08-30,66,64.55
2013-09-06,88,65.38
2013-09-13,88,67.49
2013-09-20,72,69.10
2013-09-27,62,68.92
2013-10-04,71,70.32
2013-10-11,72,71.91
2013-10-18,81,71.60
2013-10-25,74,70.38
2013-11-01,75,69.39
2013-11-08,84,69.59
2013-11-15,81,70.37
2013-11-22,70,69.61
2013-11-29,71,71.63
2013-12-06,79,72.60
2013-12-13,70,71.47
2013-12-20,75,74.73
2013-12-27,60,75.78
2014-01-03,100,77.34
2014-01-10,74,78.02
2014-01-17,75,72.39
2014-01-24,66,70.57
2014-01-31,80,70.61
2014-02-07,72,71.40
2014-02-14,86,72.40
2014-02-21,81,70.97
2014-02-28,66,73.43
2014-03-07,85,75.01
2014-03-14,80,72.19
2014-03-21,71,75.40
2014-03-28,73,76.09
2014-04-04,88,76.70
2014-04-11,78,74.04
2014-04-18,82,
2014-04-25,66,73.34
2014-05-02,65,
