Date,buy C,Price
2004-01-09,83,
2004-01-16,48,
2004-01-23,49,
2004-01-30,66,
2004-02-06,70,49.31
2004-02-13,46,49.49
2004-02-20,51,48.89
2004-02-27,59,50.26
2004-03-05,75,50.00
2004-03-12,53,49.31
2004-03-19,53,50.34
2004-03-26,63,50.06
2004-04-02,74,51.80
2004-04-09,84,
2004-04-16,47,50.10
2004-04-23,47,49.18
2004-04-30,43,48.09
2004-05-07,55,46.72
2004-05-14,53,45.65
2004-05-21,77,45.34
2004-05-28,100,46.43
2004-06-04,69,46.55
2004-06-11,84,
2004-06-18,56,47.50
2004-06-25,56,46.80
2004-07-02,56,45.76
2004-07-09,52,45.03
2004-07-16,56,43.62
2004-07-23,55,44.31
2004-07-30,61,44.09
2004-08-06,78,43.19
2004-08-13,76,44.01
2004-08-20,42,45.95
2004-08-27,68,46.72
2004-09-03,71,46.84
2004-09-10,74,47.24
2004-09-17,70,46.95
2004-09-24,36,44.15
2004-10-01,40,44.87
2004-10-08,62,44.56
2004-10-15,79,43.94
2004-10-22,81,42.56
2004-10-29,44,44.37
2004-11-05,52,46.13
2004-11-12,59,47.07
2004-11-19,67,45.15
2004-11-26,87,45.42
2004-12-03,85,45.65
2004-12-10,53,45.91
2004-12-17,54,46.62
2004-12-24,60,
2004-12-31,65,48.18
2005-01-07,49,48.65
2005-01-14,53,47.51
2005-01-21,80,47.93
2005-01-28,39,48.38
2005-02-04,53,49.78
2005-02-11,34,49.40
2005-02-18,44,48.57
2005-02-25,50,48.28
2005-03-04,57,48.40
2005-03-11,65,47.79
2005-03-18,57,46.85
2005-03-25,59,
2005-04-01,65,44.62
2005-04-08,53,45.40
2005-04-15,53,45.75
2005-04-22,39,46.32
2005-04-29,63,46.96
2005-05-06,66,46.59
2005-05-13,29,45.91
2005-05-20,38,47.80
2005-05-27,58,47.28
2005-06-03,58,47.56
2005-06-10,32,47.64
2005-06-17,49,47.46
2005-06-24,56,46.95
2005-07-01,53,46.16
2005-07-08,50,46.51
2005-07-15,34,46.42
2005-07-22,50,44.42
2005-07-29,60,43.50
2005-08-05,63,43.63
2005-08-12,65,43.62
2005-08-19,49,44.16
2005-08-26,46,43.10
2005-09-02,69,43.88
2005-09-09,48,44.61
2005-09-16,43,45.45
2005-09-23,49,45.24
2005-09-30,51,45.52
2005-10-07,52,45.41
2005-10-14,49,45.04
2005-10-21,45,44.31
2005-10-28,45,45.90
2005-11-04,43,45.60
2005-11-11,49,48.00
2005-11-18,39,48.41
2005-11-25,72,49.52
2005-12-02,71,48.77
2005-12-09,70,48.91
2005-12-16,69,49.37
2005-12-23,49,49.24
2005-12-30,48,48.53
2006-01-06,73,48.62
2006-01-13,55,48.92
2006-01-20,60,45.69
2006-01-27,58,46.87
2006-02-03,45,45.06
2006-02-10,38,45.96
2006-02-17,60,46.24
2006-02-24,53,46.85
2006-03-03,42,45.92
2006-03-10,56,46.99
2006-03-17,38,47.41
2006-03-24,46,47.81
2006-03-31,46,47.23
2006-04-07,53,47.66
2006-04-14,61,
2006-04-21,61,48.01
2006-04-28,39,49.95
2006-05-05,44,50.37
2006-05-12,28,48.99
2006-05-19,38,48.80
2006-05-26,58,49.57
2006-06-02,59,50.14
2006-06-09,43,49.77
2006-06-16,56,48.36
2006-06-23,41,47.74
2006-06-30,48,48.25
2006-07-07,44,49.08
2006-07-14,30,47.58
2006-07-21,47,46.93
2006-07-28,49,48.33
2006-08-04,44,48.50
2006-08-11,45,47.64
2006-08-18,51,48.60
2006-08-25,30,48.64
2006-09-01,37,49.37
2006-09-08,44,48.72
2006-09-15,57,49.19
2006-09-22,43,49.50
2006-09-29,55,49.67
2006-10-06,44,51.05
2006-10-13,35,50.38
2006-10-20,32,49.91
2006-10-27,47,50.36
2006-11-03,53,49.59
2006-11-10,41,50.63
2006-11-17,39,50.80
2006-11-24,46,50.31
2006-12-01,46,49.38
2006-12-08,57,51.85
2006-12-15,42,54.07
2006-12-22,71,54.55
2006-12-29,54,55.70
2007-01-05,52,54.77
2007-01-12,55,54.38
2007-01-19,54,54.50
2007-01-26,47,54.67
2007-02-02,59,54.66
2007-02-09,57,53.40
2007-02-16,37,54.10
2007-02-23,53,53.77
2007-03-02,42,49.97
2007-03-09,58,50.33
2007-03-16,55,49.53
2007-03-23,40,51.72
2007-03-30,47,51.34
2007-04-06,50,
2007-04-13,56,51.60
2007-04-20,55,53.42
2007-04-27,48,53.37
2007-05-04,51,54.09
2007-05-11,49,53.11
2007-05-18,49,55.00
2007-05-25,62,55.12
2007-06-01,47,54.51
2007-06-08,41,53.33
2007-06-15,50,53.98
2007-06-22,48,52.41
2007-06-29,44,51.29
2007-07-06,54,51.70
2007-07-13,62,52.52
2007-07-20,58,50.73
2007-07-27,53,46.97
2007-08-03,43,45.72
2007-08-10,56,47.00
2007-08-17,48,48.81
2007-08-24,59,48.50
2007-08-31,67,46.88
2007-09-07,43,45.48
2007-09-14,50,46.64
2007-09-21,47,47.51
2007-09-28,58,46.67
2007-10-05,45,48.30
2007-10-12,40,47.87
2007-10-19,42,42.36
2007-10-26,57,42.63
2007-11-02,65,37.73
2007-11-09,54,33.10
2007-11-16,63,34.00
2007-11-23,95,31.70
2007-11-30,67,33.30
2007-12-07,85,34.31
2007-12-14,60,30.70
2007-12-21,75,30.24
2007-12-28,89,29.29
2008-01-04,65,28.24
2008-01-11,70,28.56
2008-01-18,44,24.45
2008-01-25,48,26.64
2008-02-01,59,29.69
2008-02-08,56,26.03
2008-02-15,61,25.48
2008-02-22,51,25.12
2008-02-29,49,23.71
2008-03-07,65,20.91
2008-03-14,51,19.78
2008-03-21,56,
2008-03-28,56,20.83
2008-04-04,57,24.08
2008-04-11,51,23.36
2008-04-18,49,25.11
2008-04-25,64,26.60
2008-05-02,68,26.39
2008-05-09,49,23.63
2008-05-16,50,23.12
2008-05-23,57,21.12
2008-05-30,61,21.89
2008-06-06,52,20.06
2008-06-13,49,20.48
2008-06-20,50,19.30
2008-06-27,54,17.25
2008-07-04,52,
2008-07-11,75,16.19
2008-07-18,54,19.35
2008-07-25,61,18.85
2008-08-01,64,18.87
2008-08-08,56,19.39
2008-08-15,60,18.55
2008-08-22,71,18.14
2008-08-29,64,18.99
2008-09-05,60,19.07
2008-09-12,65,17.96
2008-09-19,56,20.65
2008-09-26,65,20.15
2008-10-03,62,18.35
2008-10-10,54,14.11
2008-10-17,58,14.88
2008-10-24,49,12.14
2008-10-31,57,13.65
2008-11-07,55,11.82
2008-11-14,71,9.52
2008-11-21,68,3.77
2008-11-28,86,8.29
2008-12-05,75,7.71
2008-12-12,81,7.70
2008-12-19,72,7.02
2008-12-26,70,6.73
2009-01-02,59,7.14
2009-01-09,54,6.75
2009-01-16,57,3.50
2009-01-23,80,3.47
2009-01-30,60,3.55
2009-02-06,49,3.91
2009-02-13,56,3.49
2009-02-20,61,1.95
2009-02-27,67,1.50
2009-03-06,64,1.03
2009-03-13,64,1.78
2009-03-20,60,2.62
2009-03-27,64,2.62
2009-04-03,58,2.85
2009-04-10,50,
2009-04-17,66,3.65
2009-04-24,65,3.19
2009-05-01,65,2.97
2009-05-08,64,4.02
2009-05-15,67,3.48
2009-05-22,68,3.67
