Date,Kimberly-Clark,Price
2004-01-09,93,
2004-01-16,92,
2004-01-23,51,
2004-01-30,82,
2004-02-06,100,59.36
2004-02-13,86,60.64
2004-02-20,44,62.87
2004-02-27,84,64.68
2004-03-05,80,64.11
2004-03-12,95,62.32
2004-03-19,58,61.43
2004-03-26,97,62.02
2004-04-02,61,63.59
2004-04-09,66,
2004-04-16,94,64.24
2004-04-23,85,65.94
2004-04-30,60,65.45
2004-05-07,71,64.97
2004-05-14,58,63.61
2004-05-21,40,64.17
2004-05-28,47,65.90
2004-06-04,72,64.73
2004-06-11,40,
2004-06-18,40,66.35
2004-06-25,74,64.85
2004-07-02,52,65.84
2004-07-09,76,65.93
2004-07-16,70,65.71
2004-07-23,78,64.41
2004-07-30,83,64.07
2004-08-06,68,62.64
2004-08-13,55,63.92
2004-08-20,73,65.24
2004-08-27,77,65.80
2004-09-03,69,68.13
2004-09-10,62,67.03
2004-09-17,51,66.62
2004-09-24,41,65.01
2004-10-01,66,64.99
2004-10-08,32,63.95
2004-10-15,53,62.95
2004-10-22,46,63.06
2004-10-29,53,59.67
2004-11-05,40,62.08
2004-11-12,56,63.25
2004-11-19,71,62.48
2004-11-26,77,63.72
2004-12-03,78,63.98
2004-12-10,52,64.00
2004-12-17,53,64.18
2004-12-24,35,
2004-12-31,45,65.81
2005-01-07,52,64.14
2005-01-14,57,64.37
2005-01-21,48,63.78
2005-01-28,65,65.18
2005-02-04,67,66.90
2005-02-11,37,67.67
2005-02-18,52,65.92
2005-02-25,71,66.30
2005-03-04,49,65.86
2005-03-11,62,65.59
2005-03-18,66,64.90
2005-03-25,40,
2005-04-01,54,65.46
2005-04-08,37,65.77
2005-04-15,58,64.53
2005-04-22,71,63.53
2005-04-29,50,62.45
2005-05-06,55,61.53
2005-05-13,86,61.98
2005-05-20,77,65.20
2005-05-27,41,64.75
2005-06-03,60,64.42
2005-06-10,49,64.78
2005-06-17,61,65.26
2005-06-24,46,62.81
2005-07-01,54,63.13
2005-07-08,74,61.29
2005-07-15,41,62.18
2005-07-22,91,64.38
2005-07-29,94,63.76
2005-08-05,77,62.27
2005-08-12,66,63.11
2005-08-19,57,63.18
2005-08-26,53,61.93
2005-09-02,33,61.97
2005-09-09,55,61.68
2005-09-16,62,62.58
2005-09-23,57,60.75
2005-09-30,56,59.53
2005-10-07,67,58.29
2005-10-14,63,57.24
2005-10-21,71,56.82
2005-10-28,67,57.33
2005-11-04,63,56.59
2005-11-11,43,59.05
2005-11-18,28,59.84
2005-11-25,52,59.09
2005-12-02,64,59.56
2005-12-09,48,58.24
2005-12-16,49,59.12
2005-12-23,39,59.83
2005-12-30,28,59.65
2006-01-06,35,60.22
2006-01-13,37,61.41
2006-01-20,66,59.84
2006-01-27,78,58.80
2006-02-03,55,57.30
2006-02-10,40,57.07
2006-02-17,50,58.56
2006-02-24,59,59.69
2006-03-03,58,59.36
2006-03-10,52,58.60
2006-03-17,55,58.99
2006-03-24,45,59.04
2006-03-31,43,57.80
2006-04-07,67,57.33
2006-04-14,50,
2006-04-21,61,57.19
2006-04-28,65,58.53
2006-05-05,48,59.64
2006-05-12,40,61.41
2006-05-19,36,59.80
2006-05-26,40,60.12
2006-06-02,39,60.80
2006-06-09,39,61.06
2006-06-16,41,60.84
2006-06-23,50,61.00
2006-06-30,39,61.70
2006-07-07,43,60.61
2006-07-14,56,59.43
2006-07-21,44,59.07
2006-07-28,63,60.94
2006-08-04,44,60.99
2006-08-11,39,61.16
2006-08-18,43,61.79
2006-08-25,49,61.69
2006-09-01,36,64.28
2006-09-08,39,64.00
2006-09-15,36,65.31
2006-09-22,53,64.91
2006-09-29,53,65.36
2006-10-06,38,66.10
2006-10-13,50,66.30
2006-10-20,54,67.42
2006-10-27,40,66.25
2006-11-03,51,65.91
2006-11-10,38,65.99
2006-11-17,48,66.52
2006-11-24,35,66.29
2006-12-01,57,66.34
2006-12-08,43,66.27
2006-12-15,41,67.23
2006-12-22,35,67.76
2006-12-29,31,67.95
2007-01-05,36,68.44
2007-01-12,52,69.01
2007-01-19,58,68.91
2007-01-26,47,68.25
2007-02-02,39,69.47
2007-02-09,49,68.34
2007-02-16,46,69.34
2007-02-23,36,70.00
2007-03-02,28,67.24
2007-03-09,42,67.26
2007-03-16,31,66.72
2007-03-23,37,68.99
2007-03-30,39,68.49
2007-04-06,29,
2007-04-13,37,70.14
2007-04-20,41,71.94
2007-04-27,35,71.63
2007-05-04,30,71.25
2007-05-11,31,71.27
2007-05-18,46,71.91
2007-05-25,34,71.01
2007-06-01,38,71.67
2007-06-08,30,70.26
2007-06-15,41,69.38
2007-06-22,40,66.68
2007-06-29,32,66.89
2007-07-06,38,67.40
2007-07-13,42,67.03
2007-07-20,42,66.56
2007-07-27,39,68.18
2007-08-03,34,67.63
2007-08-10,34,68.21
2007-08-17,40,69.07
2007-08-24,28,70.33
2007-08-31,31,68.69
2007-09-07,37,67.76
2007-09-14,34,69.55
2007-09-21,43,69.96
