Date,buy HOT,Price
2004-01-09,52,
2004-01-16,46,
2004-01-23,43,
2004-01-30,61,
2004-02-06,34,38.20
2004-02-13,31,38.65
2004-02-20,37,38.64
2004-02-27,52,39.01
2004-03-05,51,39.85
2004-03-12,35,38.00
2004-03-19,35,38.16
2004-03-26,43,39.88
2004-04-02,42,42.22
2004-04-09,65,
2004-04-16,32,40.80
2004-04-23,54,41.50
2004-04-30,37,39.79
2004-05-07,25,40.57
2004-05-14,66,39.27
2004-05-21,39,40.81
2004-05-28,36,42.18
2004-06-04,45,42.43
2004-06-11,34,
2004-06-18,59,44.18
2004-06-25,28,43.95
2004-07-02,41,45.16
2004-07-09,49,44.34
2004-07-16,53,46.05
2004-07-23,45,44.52
2004-07-30,63,45.00
2004-08-06,34,42.01
2004-08-13,53,40.56
2004-08-20,39,43.19
2004-08-27,39,44.15
2004-09-03,53,45.09
2004-09-10,49,44.05
2004-09-17,43,45.70
2004-09-24,35,45.95
2004-10-01,41,47.29
2004-10-08,46,47.80
2004-10-15,58,46.92
2004-10-22,46,47.76
2004-10-29,61,47.73
2004-11-05,61,49.50
2004-11-12,62,50.94
2004-11-19,68,49.34
2004-11-26,59,52.05
2004-12-03,51,53.62
2004-12-10,57,54.82
2004-12-17,62,57.80
2004-12-24,55,
2004-12-31,57,58.40
2005-01-07,44,57.64
2005-01-14,56,57.98
2005-01-21,35,57.50
2005-01-28,50,58.05
2005-02-04,51,60.55
2005-02-11,47,59.00
2005-02-18,42,58.50
2005-02-25,42,57.60
2005-03-04,26,59.50
2005-03-11,39,59.10
2005-03-18,54,59.34
2005-03-25,43,
2005-04-01,48,59.40
2005-04-08,44,59.77
2005-04-15,50,56.40
2005-04-22,42,56.20
2005-04-29,46,54.34
2005-05-06,44,53.66
2005-05-13,36,51.75
2005-05-20,40,54.34
2005-05-27,44,55.49
2005-06-03,30,57.75
2005-06-10,44,57.88
2005-06-17,35,58.62
2005-06-24,39,57.91
2005-07-01,53,59.62
2005-07-08,54,61.45
2005-07-15,35,62.17
2005-07-22,43,63.49
2005-07-29,51,63.32
2005-08-05,38,61.10
2005-08-12,56,60.61
2005-08-19,50,60.28
2005-08-26,41,59.26
2005-09-02,50,57.48
2005-09-09,50,59.87
2005-09-16,40,58.49
2005-09-23,41,56.60
2005-09-30,46,57.17
2005-10-07,39,59.05
2005-10-14,48,57.30
2005-10-21,46,57.67
2005-10-28,34,57.40
2005-11-04,53,58.59
2005-11-11,48,59.26
2005-11-18,56,59.24
2005-11-25,57,61.92
2005-12-02,51,63.86
2005-12-09,60,64.27
2005-12-16,63,63.89
2005-12-23,50,63.76
2005-12-30,60,63.86
2006-01-06,44,64.05
2006-01-13,37,63.80
2006-01-20,51,62.68
2006-01-27,61,62.99
2006-02-03,44,59.76
2006-02-10,31,62.29
2006-02-17,47,63.65
2006-02-24,52,63.65
2006-03-03,47,63.61
2006-03-10,39,64.55
2006-03-17,48,67.02
2006-03-24,42,66.62
2006-03-31,39,67.73
2006-04-07,45,68.08
2006-04-14,43,
2006-04-21,49,54.32
2006-04-28,38,57.38
2006-05-05,50,61.21
2006-05-12,54,60.61
2006-05-19,46,60.68
2006-05-26,42,62.27
2006-06-02,46,62.52
2006-06-09,38,59.85
2006-06-16,40,56.57
2006-06-23,44,58.01
2006-06-30,47,60.34
2006-07-07,41,59.30
2006-07-14,37,55.54
2006-07-21,51,54.30
2006-07-28,44,52.54
2006-08-04,46,54.94
2006-08-11,31,50.19
2006-08-18,40,53.06
2006-08-25,41,50.92
2006-09-01,46,54.06
2006-09-08,35,57.91
2006-09-15,44,59.69
2006-09-22,44,57.82
2006-09-29,49,57.19
2006-10-06,40,60.38
2006-10-13,40,59.96
2006-10-20,48,61.93
2006-10-27,42,59.47
2006-11-03,38,58.30
2006-11-10,47,61.48
2006-11-17,45,61.78
2006-11-24,59,65.38
2006-12-01,46,63.82
2006-12-08,55,64.57
2006-12-15,54,63.48
2006-12-22,54,62.72
2006-12-29,63,62.50
2007-01-05,39,60.90
2007-01-12,50,63.09
2007-01-19,36,63.69
2007-01-26,38,60.86
2007-02-02,48,66.18
2007-02-09,42,66.96
2007-02-16,41,68.83
2007-02-23,40,67.80
2007-03-02,44,64.49
2007-03-09,40,65.67
2007-03-16,43,62.99
2007-03-23,41,65.43
2007-03-30,39,64.85
2007-04-06,47,
2007-04-13,44,67.78
2007-04-20,48,69.14
2007-04-27,57,69.02
2007-05-04,46,70.91
2007-05-11,44,69.60
