Date,YUM,Price
2004-01-09,48,
2004-01-16,50,
2004-01-23,48,
2004-01-30,46,
2004-02-06,52,33.25
2004-02-13,50,35.31
2004-02-20,64,35.64
2004-02-27,52,37.03
2004-03-05,55,38.28
2004-03-12,53,37.18
2004-03-19,59,37.10
2004-03-26,55,37.46
2004-04-02,49,38.50
2004-04-09,51,
2004-04-16,48,38.39
2004-04-23,44,39.05
2004-04-30,52,38.79
2004-05-07,53,37.76
2004-05-14,50,36.32
2004-05-21,60,36.37
2004-05-28,56,37.50
2004-06-04,47,37.07
2004-06-11,52,
2004-06-18,54,38.00
2004-06-25,71,37.62
2004-07-02,57,36.62
2004-07-09,62,36.02
2004-07-16,61,38.50
2004-07-23,60,37.91
2004-07-30,59,38.39
2004-08-06,60,36.79
2004-08-13,62,37.45
2004-08-20,65,39.02
2004-08-27,54,39.35
2004-09-03,60,39.95
2004-09-10,57,40.91
2004-09-17,53,40.67
2004-09-24,62,40.59
2004-10-01,62,40.39
2004-10-08,58,41.43
2004-10-15,64,42.87
2004-10-22,64,42.87
2004-10-29,63,43.50
2004-11-05,61,46.00
2004-11-12,66,44.95
2004-11-19,69,43.73
2004-11-26,64,45.79
2004-12-03,58,46.58
2004-12-10,62,45.86
2004-12-17,65,46.33
2004-12-24,62,
2004-12-31,66,47.18
2005-01-07,70,46.35
2005-01-14,78,45.18
2005-01-21,73,45.52
2005-01-28,67,45.12
2005-02-04,78,46.40
2005-02-11,74,46.98
2005-02-18,68,48.19
2005-02-25,76,48.89
2005-03-04,64,50.07
2005-03-11,75,50.80
2005-03-18,72,50.45
2005-03-25,71,
2005-04-01,70,51.20
2005-04-08,69,50.63
2005-04-15,74,50.21
2005-04-22,65,47.86
2005-04-29,73,46.96
2005-05-06,71,48.20
2005-05-13,69,47.84
2005-05-20,73,50.59
2005-05-27,70,51.98
2005-06-03,66,52.04
2005-06-10,68,53.09
2005-06-17,88,53.32
2005-06-24,80,51.43
2005-07-01,81,51.48
2005-07-08,82,51.87
2005-07-15,84,51.42
2005-07-22,83,52.77
2005-07-29,81,52.35
2005-08-05,79,50.15
2005-08-12,86,51.30
2005-08-19,87,50.89
2005-08-26,87,48.81
2005-09-02,84,46.86
2005-09-09,100,51.00
2005-09-16,90,50.58
2005-09-23,90,48.94
2005-09-30,87,48.41
2005-10-07,93,50.08
2005-10-14,94,50.00
2005-10-21,79,51.21
2005-10-28,89,50.11
2005-11-04,76,52.17
2005-11-11,84,48.50
2005-11-18,81,48.64
2005-11-25,77,49.05
2005-12-02,74,48.90
2005-12-09,78,48.13
2005-12-16,85,48.33
2005-12-23,72,48.30
2005-12-30,79,46.88
2006-01-06,78,49.02
2006-01-13,82,48.05
2006-01-20,74,47.01
2006-01-27,81,50.23
2006-02-03,76,50.45
2006-02-10,89,50.07
2006-02-17,76,50.00
2006-02-24,82,49.75
2006-03-03,78,48.59
2006-03-10,70,48.78
2006-03-17,73,50.45
2006-03-24,91,48.79
2006-03-31,82,48.86
2006-04-07,82,47.94
2006-04-14,84,
2006-04-21,77,49.04
2006-04-28,74,51.68
2006-05-05,83,52.48
2006-05-12,76,53.17
2006-05-19,73,52.39
2006-05-26,74,51.39
2006-06-02,76,50.87
2006-06-09,76,51.71
2006-06-16,74,51.91
2006-06-23,70,49.92
2006-06-30,70,50.27
2006-07-07,73,50.34
2006-07-14,79,47.71
2006-07-21,70,44.93
2006-07-28,73,45.01
2006-08-04,74,47.00
2006-08-11,69,46.15
2006-08-18,74,49.10
