Date,ABC,Price
2004-01-09,59,
2004-01-16,59,
2004-01-23,61,
2004-01-30,66,
2004-02-06,59,55.59
2004-02-13,58,56.61
2004-02-20,63,56.90
2004-02-27,62,58.03
2004-03-05,58,58.34
2004-03-12,84,56.21
2004-03-19,69,53.80
2004-03-26,63,53.50
2004-04-02,60,54.79
2004-04-09,67,
2004-04-16,60,55.43
2004-04-23,61,58.00
2004-04-30,65,57.89
2004-05-07,61,60.89
2004-05-14,64,58.97
2004-05-21,68,57.94
2004-05-28,65,59.98
2004-06-04,59,61.64
2004-06-11,58,
2004-06-18,56,59.75
2004-06-25,59,58.44
2004-07-02,57,55.55
2004-07-09,57,53.09
2004-07-16,58,52.90
2004-07-23,59,55.38
2004-07-30,60,54.06
2004-08-06,62,52.99
2004-08-13,65,49.91
2004-08-20,62,52.78
2004-08-27,59,54.07
2004-09-03,65,56.27
2004-09-10,68,54.50
2004-09-17,67,55.05
2004-09-24,67,54.92
2004-10-01,74,55.02
2004-10-08,80,52.92
2004-10-15,77,52.60
2004-10-22,70,51.75
2004-10-29,74,55.04
2004-11-05,100,57.53
2004-11-12,70,59.00
2004-11-19,76,57.30
2004-11-26,65,57.92
2004-12-03,68,59.83
2004-12-10,66,63.68
2004-12-17,62,61.67
2004-12-24,61,
2004-12-31,66,58.68
2005-01-07,69,57.90
2005-01-14,65,57.27
2005-01-21,65,57.01
2005-01-28,64,58.37
2005-02-04,61,59.60
2005-02-11,62,60.34
2005-02-18,62,60.00
2005-02-25,63,60.00
2005-03-04,70,62.65
2005-03-11,62,60.31
2005-03-18,59,60.86
2005-03-25,62,
2005-04-01,66,56.36
2005-04-08,68,57.83
2005-04-15,61,60.50
2005-04-22,64,60.00
2005-04-29,63,61.28
2005-05-06,64,62.99
2005-05-13,65,63.92
2005-05-20,72,65.97
2005-05-27,71,65.02
2005-06-03,64,65.10
2005-06-10,62,64.56
2005-06-17,64,68.17
2005-06-24,64,67.05
2005-07-01,62,69.35
2005-07-08,65,70.89
2005-07-15,59,70.82
2005-07-22,61,69.31
2005-07-29,61,71.79
2005-08-05,60,72.05
2005-08-12,71,73.00
2005-08-19,63,71.89
2005-08-26,63,72.69
2005-09-02,77,73.83
2005-09-09,68,74.95
2005-09-16,67,78.22
2005-09-23,80,77.10
2005-09-30,72,77.30
2005-10-07,71,75.98
2005-10-14,67,74.81
2005-10-21,68,75.06
2005-10-28,69,75.34
2005-11-04,68,76.50
2005-11-11,68,76.98
2005-11-18,68,78.00
2005-11-25,64,79.39
2005-12-02,66,79.46
2005-12-09,70,81.43
2005-12-16,66,81.93
2005-12-23,65,81.80
2005-12-30,60,41.40
2006-01-06,72,41.00
2006-01-13,66,41.42
2006-01-20,65,41.03
2006-01-27,64,44.08
2006-02-03,75,43.60
2006-02-10,72,43.66
2006-02-17,68,43.97
2006-02-24,68,45.88
2006-03-03,70,45.50
2006-03-10,66,45.76
2006-03-17,63,47.71
2006-03-24,64,47.30
2006-03-31,61,48.27
2006-04-07,64,46.10
2006-04-14,66,
2006-04-21,66,46.89
2006-04-28,63,43.15
2006-05-05,68,43.92
2006-05-12,72,43.98
2006-05-19,74,43.45
2006-05-26,75,44.25
2006-06-02,61,43.73
2006-06-09,63,41.79
2006-06-16,61,41.30
2006-06-23,61,40.97
2006-06-30,63,41.92
2006-07-07,60,42.25
2006-07-14,59,41.69
2006-07-21,60,41.98
2006-07-28,60,43.00
2006-08-04,57,42.72
2006-08-11,60,43.31
2006-08-18,62,43.67
2006-08-25,59,43.72
2006-09-01,62,45.44
2006-09-08,71,44.95
2006-09-15,73,46.41
2006-09-22,71,44.43
2006-09-29,71,45.20
2006-10-06,84,45.95
2006-10-13,76,46.15
2006-10-20,76,46.69
2006-10-27,73,46.73
2006-11-03,74,45.42
2006-11-10,80,45.13
2006-11-17,73,46.97
2006-11-24,68,45.22
2006-12-01,74,45.73
2006-12-08,68,46.00
2006-12-15,63,46.43
2006-12-22,62,44.66
2006-12-29,60,44.96
2007-01-05,65,45.73
2007-01-12,63,47.37
2007-01-19,66,48.01
2007-01-26,64,52.83
2007-02-02,65,52.33
2007-02-09,73,53.51
2007-02-16,77,54.90
2007-02-23,69,55.01
2007-03-02,69,51.68
2007-03-09,65,53.09
2007-03-16,67,51.86
2007-03-23,70,53.89
2007-03-30,67,52.75
2007-04-06,68,
2007-04-13,65,54.35
2007-04-20,75,54.76
2007-04-27,67,50.33
2007-05-04,69,51.32
2007-05-11,69,50.00
2007-05-18,78,51.32
2007-05-25,81,52.20
2007-06-01,65,51.34
2007-06-08,60,51.20
2007-06-15,57,50.49
2007-06-22,57,49.40
2007-06-29,59,49.47
2007-07-06,56,49.93
2007-07-13,57,50.16
2007-07-20,59,48.33
2007-07-27,57,46.33
2007-08-03,57,46.09
2007-08-10,58,45.56
2007-08-17,58,46.15
2007-08-24,58,47.74
2007-08-31,59,47.85
2007-09-07,58,47.10
2007-09-14,61,44.65
2007-09-21,60,45.32
2007-09-28,73,45.33
2007-10-05,71,45.84
2007-10-12,66,45.45
2007-10-19,66,44.27
2007-10-26,71,44.54
2007-11-02,69,43.88
2007-11-09,68,43.72
2007-11-16,68,44.98
2007-11-23,72,43.89
2007-11-30,73,45.37
2007-12-07,68,45.89
2007-12-14,62,42.83
2007-12-21,61,44.55
2007-12-28,55,45.50
2008-01-04,61,43.80
2008-01-11,66,47.31
2008-01-18,64,46.59
2008-01-25,63,44.97
2008-02-01,73,46.63
2008-02-08,74,45.33
2008-02-15,70,43.62
2008-02-22,70,43.07
2008-02-29,72,41.72
2008-03-07,72,41.13
2008-03-14,67,39.18
2008-03-21,63,
2008-03-28,66,40.99
2008-04-04,65,40.91
2008-04-11,64,39.35
2008-04-18,69,40.77
2008-04-25,66,40.93
2008-05-02,71,41.45
2008-05-09,68,41.19
2008-05-16,71,41.13
2008-05-23,69,41.14
2008-05-30,65,41.33
2008-06-06,63,41.12
2008-06-13,60,40.98
2008-06-20,57,39.78
2008-06-27,58,39.21
2008-07-04,60,
2008-07-11,60,38.36
2008-07-18,60,37.86
2008-07-25,59,42.19
2008-08-01,59,42.04
2008-08-08,61,43.15
2008-08-15,58,42.39
2008-08-22,59,42.09
2008-08-29,62,41.01
2008-09-05,63,40.55
2008-09-12,78,41.06
2008-09-19,64,39.43
2008-09-26,72,38.29
2008-10-03,71,37.00
2008-10-10,73,29.45
2008-10-17,68,31.02
2008-10-24,68,30.66
2008-10-31,71,31.27
2008-11-07,86,30.25
2008-11-14,64,29.98
2008-11-21,63,29.75
