Date,FMC,Price
2004-01-09,87,
2004-01-16,68,
2004-01-23,75,
2004-01-30,72,
2004-02-06,82,35.32
2004-02-13,95,37.81
2004-02-20,77,36.73
2004-02-27,82,37.45
2004-03-05,80,39.73
2004-03-12,91,38.25
2004-03-19,67,37.30
2004-03-26,85,37.09
2004-04-02,78,43.00
2004-04-09,83,
2004-04-16,67,42.54
2004-04-23,70,44.14
2004-04-30,73,42.89
2004-05-07,73,40.06
2004-05-14,88,39.97
2004-05-21,66,39.03
2004-05-28,70,40.57
2004-06-04,71,41.55
2004-06-11,81,
2004-06-18,100,41.39
2004-06-25,79,43.08
2004-07-02,69,41.98
2004-07-09,81,41.45
2004-07-16,93,39.90
2004-07-23,89,39.25
2004-07-30,76,43.95
2004-08-06,72,41.71
2004-08-13,71,42.00
2004-08-20,81,43.94
2004-08-27,80,45.92
2004-09-03,70,46.35
2004-09-10,66,47.00
2004-09-17,86,46.20
2004-09-24,84,47.21
2004-10-01,67,49.04
2004-10-08,78,48.18
2004-10-15,87,47.70
2004-10-22,67,46.65
2004-10-29,78,43.85
2004-11-05,72,46.41
2004-11-12,66,48.56
2004-11-19,76,48.39
2004-11-26,75,49.12
2004-12-03,79,48.92
2004-12-10,87,46.80
2004-12-17,84,48.10
2004-12-24,66,
2004-12-31,71,48.30
2005-01-07,77,44.98
2005-01-14,72,45.10
2005-01-21,82,44.47
2005-01-28,86,46.40
2005-02-04,77,48.00
2005-02-11,76,46.75
2005-02-18,86,48.31
2005-02-25,84,50.15
2005-03-04,68,51.94
2005-03-11,79,51.85
2005-03-18,86,51.46
2005-03-25,78,
2005-04-01,73,53.13
2005-04-08,85,52.07
2005-04-15,88,48.14
2005-04-22,76,48.95
2005-04-29,71,49.00
2005-05-06,76,52.09
2005-05-13,78,51.30
2005-05-20,86,55.16
2005-05-27,80,56.00
2005-06-03,86,56.37
2005-06-10,81,55.99
2005-06-17,95,57.41
2005-06-24,80,55.28
2005-07-01,86,56.65
2005-07-08,90,58.83
2005-07-15,75,60.55
2005-07-22,85,62.60
2005-07-29,81,60.48
2005-08-05,99,60.69
2005-08-12,79,60.33
2005-08-19,80,57.86
2005-08-26,76,56.35
2005-09-02,84,56.65
2005-09-09,80,58.79
2005-09-16,83,58.00
2005-09-23,90,56.04
2005-09-30,85,57.22
2005-10-07,74,52.91
2005-10-14,91,50.83
2005-10-21,87,51.59
2005-10-28,81,53.48
