Date,Whole Foods Market,Price
2004-01-09,71,
2004-01-16,50,
2004-01-23,62,
2004-01-30,61,
2004-02-06,69,71.75
2004-02-13,55,74.50
2004-02-20,57,76.56
2004-02-27,66,77.31
2004-03-05,60,77.48
2004-03-12,38,73.98
2004-03-19,54,76.74
2004-03-26,65,74.50
2004-04-02,40,75.19
2004-04-09,67,
2004-04-16,51,76.90
2004-04-23,46,80.58
2004-04-30,33,79.99
2004-05-07,28,77.57
2004-05-14,41,77.73
2004-05-21,57,79.76
2004-05-28,70,86.00
2004-06-04,54,84.55
2004-06-11,52,
2004-06-18,48,91.00
2004-06-25,50,93.43
2004-07-02,54,95.53
2004-07-09,62,92.31
2004-07-16,52,89.63
2004-07-23,56,88.44
2004-07-30,56,82.32
2004-08-06,43,74.49
2004-08-13,37,74.02
2004-08-20,63,78.87
2004-08-27,45,79.69
2004-09-03,48,81.02
2004-09-10,49,84.06
2004-09-17,44,86.24
2004-09-24,54,84.73
2004-10-01,63,86.85
2004-10-08,42,84.87
2004-10-15,58,82.99
2004-10-22,57,82.09
2004-10-29,48,81.43
2004-11-05,48,87.31
2004-11-12,60,94.62
2004-11-19,54,91.38
2004-11-26,76,93.03
2004-12-03,61,89.80
2004-12-10,51,93.70
2004-12-17,54,93.25
2004-12-24,85,
2004-12-31,85,95.35
2005-01-07,44,92.73
2005-01-14,55,94.89
2005-01-21,54,93.89
2005-01-28,56,90.40
2005-02-04,45,91.82
2005-02-11,65,98.73
2005-02-18,53,102.52
2005-02-25,54,101.28
2005-03-04,51,104.81
2005-03-11,58,102.87
2005-03-18,61,101.35
2005-03-25,70,
2005-04-01,61,100.32
2005-04-08,47,102.08
2005-04-15,56,98.04
2005-04-22,57,97.25
2005-04-29,42,99.65
2005-05-06,75,108.34
2005-05-13,52,108.55
2005-05-20,49,116.85
2005-05-27,60,119.53
2005-06-03,94,117.50
2005-06-10,56,113.54
2005-06-17,72,119.64
2005-06-24,55,116.54
2005-07-01,57,118.37
2005-07-08,69,123.36
2005-07-15,61,122.21
2005-07-22,68,119.07
2005-07-29,58,136.51
2005-08-05,77,135.78
2005-08-12,57,135.95
2005-08-19,80,130.83
2005-08-26,69,129.33
2005-09-02,52,128.25
2005-09-09,69,135.31
2005-09-16,57,134.44
2005-09-23,63,128.87
2005-09-30,60,134.45
2005-10-07,62,130.97
2005-10-14,64,128.66
2005-10-21,64,135.28
2005-10-28,49,139.35
2005-11-04,76,149.93
2005-11-11,63,141.38
2005-11-18,71,144.59
2005-11-25,90,147.95
2005-12-02,56,152.53
2005-12-09,53,154.04
2005-12-16,57,153.50
2005-12-23,71,153.18
2005-12-30,69,77.39
2006-01-06,63,77.44
2006-01-13,74,73.32
2006-01-20,72,72.59
2006-01-27,65,73.00
2006-02-03,66,70.84
2006-02-10,56,64.85
2006-02-17,54,63.60
2006-02-24,52,63.73
2006-03-03,56,63.52
2006-03-10,49,63.49
2006-03-17,55,64.11
2006-03-24,66,65.10
2006-03-31,61,66.44
2006-04-07,51,66.06
2006-04-14,69,
2006-04-21,60,63.91
2006-04-28,56,61.38
2006-05-05,61,72.08
2006-05-12,65,68.96
2006-05-19,55,65.96
2006-05-26,52,66.85
2006-06-02,54,65.69
2006-06-09,69,64.60
2006-06-16,60,62.18
2006-06-23,62,61.97
2006-06-30,57,64.64
2006-07-07,74,62.47
2006-07-14,68,58.39
2006-07-21,64,57.09
2006-07-28,67,57.65
2006-08-04,67,51.23
2006-08-11,58,47.37
2006-08-18,58,53.95
2006-08-25,71,54.66
2006-09-01,66,53.54
2006-09-08,64,53.16
2006-09-15,60,56.32
2006-09-22,56,59.29
2006-09-29,63,59.43
2006-10-06,58,61.44
2006-10-13,59,62.76
2006-10-20,54,64.75
2006-10-27,70,64.75
2006-11-03,69,46.26
2006-11-10,79,48.97
2006-11-17,93,49.40
2006-11-24,84,49.17
2006-12-01,56,48.28
2006-12-08,61,48.88
2006-12-15,79,49.06
2006-12-22,94,47.68
2006-12-29,83,46.93
2007-01-05,82,46.63
2007-01-12,63,45.69
2007-01-19,69,43.96
2007-01-26,60,42.51
2007-02-02,78,44.67
2007-02-09,60,45.61
2007-02-16,71,46.43
2007-02-23,91,50.47
2007-03-02,62,46.23
2007-03-09,65,46.02
2007-03-16,66,44.22
2007-03-23,65,45.02
2007-03-30,74,44.85
2007-04-06,83,
2007-04-13,74,44.34
2007-04-20,79,45.91
2007-04-27,73,47.51
2007-05-04,74,45.25
2007-05-11,76,40.97
2007-05-18,62,39.74
2007-05-25,79,40.43
2007-06-01,63,41.67
2007-06-08,88,39.32
2007-06-15,68,39.66
2007-06-22,68,38.30
2007-06-29,75,38.30
2007-07-06,89,38.06
2007-07-13,77,40.50
2007-07-20,82,39.32
2007-07-27,83,36.00
2007-08-03,81,40.31
2007-08-10,78,42.27
2007-08-17,84,44.30
2007-08-24,76,44.54
2007-08-31,70,44.26
2007-09-07,73,43.13
2007-09-14,68,43.38
2007-09-21,74,45.03
2007-09-28,66,48.96
2007-10-05,71,53.20
2007-10-12,64,51.50
2007-10-19,64,47.25
2007-10-26,71,47.70
2007-11-02,80,48.91
2007-11-09,81,43.38
2007-11-16,100,45.31
2007-11-23,95,40.75
2007-11-30,75,43.01
2007-12-07,65,43.05
2007-12-14,73,40.58
2007-12-21,79,42.58
2007-12-28,92,41.60
2008-01-04,86,37.92
2008-01-11,71,37.50
2008-01-18,70,35.08
2008-01-25,74,37.55
2008-02-01,74,40.76
2008-02-08,70,39.38
2008-02-15,78,39.12
2008-02-22,72,36.76
2008-02-29,72,35.15
2008-03-07,70,34.07
2008-03-14,65,31.17
2008-03-21,69,
2008-03-28,72,32.48
