Date,SHW,Price
2004-01-09,0,
2004-01-16,35,
2004-01-23,50,
2004-01-30,48,
2004-02-06,48,34.84
2004-02-13,51,35.33
2004-02-20,37,35.10
2004-02-27,40,35.00
2004-03-05,33,35.69
2004-03-12,33,34.68
2004-03-19,33,34.43
2004-03-26,43,36.55
2004-04-02,54,37.95
2004-04-09,38,
2004-04-16,37,39.20
2004-04-23,37,38.67
2004-04-30,37,38.05
2004-05-07,34,36.61
2004-05-14,60,37.12
2004-05-21,40,37.79
2004-05-28,58,39.30
2004-06-04,35,38.84
2004-06-11,40,
2004-06-18,55,39.96
2004-06-25,40,41.20
2004-07-02,41,40.90
2004-07-09,32,40.65
2004-07-16,31,40.72
2004-07-23,31,40.25
2004-07-30,32,40.38
2004-08-06,31,38.23
2004-08-13,31,38.23
2004-08-20,31,39.85
2004-08-27,29,40.89
2004-09-03,38,40.08
2004-09-10,46,40.52
2004-09-17,51,42.51
2004-09-24,56,42.28
2004-10-01,50,43.87
2004-10-08,32,42.77
2004-10-15,32,41.62
2004-10-22,36,41.79
2004-10-29,42,42.72
2004-11-05,41,44.93
2004-11-12,35,45.44
2004-11-19,35,44.54
2004-11-26,37,45.18
2004-12-03,39,44.56
2004-12-10,39,44.16
2004-12-17,25,43.28
2004-12-24,52,
2004-12-31,36,44.63
2005-01-07,36,42.72
2005-01-14,43,43.77
2005-01-21,38,44.39
2005-01-28,26,42.68
2005-02-04,26,45.51
2005-02-11,47,45.78
2005-02-18,41,45.07
2005-02-25,39,44.66
2005-03-04,39,46.16
2005-03-11,31,45.14
2005-03-18,52,44.69
2005-03-25,36,
2005-04-01,40,43.66
2005-04-08,37,42.91
2005-04-15,33,44.50
2005-04-22,37,43.17
2005-04-29,45,44.57
2005-05-06,32,43.68
2005-05-13,51,42.06
2005-05-20,27,43.70
2005-05-27,27,45.00
2005-06-03,44,45.05
2005-06-10,33,45.02
2005-06-17,50,46.63
2005-06-24,37,45.49
2005-07-01,41,47.13
2005-07-08,31,47.16
2005-07-15,49,48.00
2005-07-22,61,48.42
2005-07-29,40,47.61
2005-08-05,35,47.11
2005-08-12,22,47.25
2005-08-19,40,46.25
2005-08-26,31,45.44
2005-09-02,32,46.03
2005-09-09,33,46.00
2005-09-16,37,46.07
2005-09-23,43,44.00
2005-09-30,51,44.07
2005-10-07,41,43.43
2005-10-14,24,43.29
2005-10-21,38,43.63
2005-10-28,48,42.23
2005-11-04,52,42.02
2005-11-11,34,42.20
2005-11-18,45,43.72
2005-11-25,43,44.20
2005-12-02,55,44.03
2005-12-09,41,43.69
2005-12-16,44,43.93
2005-12-23,50,45.09
2005-12-30,45,45.42
2006-01-06,47,46.14
2006-01-13,49,46.01
2006-01-20,64,48.75
2006-01-27,61,52.53
2006-02-03,75,52.51
2006-02-10,63,53.10
2006-02-17,62,52.69
2006-02-24,62,41.29
2006-03-03,100,44.43
2006-03-10,81,44.75
2006-03-17,57,48.27
2006-03-24,64,50.44
2006-03-31,48,49.44
2006-04-07,62,50.65
2006-04-14,73,
2006-04-21,64,52.67
2006-04-28,50,50.94
2006-05-05,57,52.01
2006-05-12,52,49.76
