Date,Hewlett-Packard,Price
2004-01-09,72,
2004-01-16,72,
2004-01-23,67,
2004-01-30,63,
2004-02-06,59,23.78
2004-02-13,66,23.01
2004-02-20,71,23.13
2004-02-27,65,22.71
2004-03-05,52,22.74
2004-03-12,67,22.36
2004-03-19,53,21.63
2004-03-26,60,22.36
2004-04-02,58,23.08
2004-04-09,54,
2004-04-16,51,22.00
2004-04-23,45,21.67
2004-04-30,66,19.70
2004-05-07,54,20.00
2004-05-14,47,19.61
2004-05-21,45,20.82
2004-05-28,52,21.24
2004-06-04,56,21.26
2004-06-11,51,
2004-06-18,53,20.92
2004-06-25,53,20.81
2004-07-02,65,20.41
2004-07-09,49,20.13
2004-07-16,51,19.64
2004-07-23,50,19.58
2004-07-30,53,20.15
2004-08-06,47,19.90
2004-08-13,58,16.50
2004-08-20,42,18.11
2004-08-27,54,18.26
2004-09-03,68,17.70
2004-09-10,50,18.29
2004-09-17,54,18.11
2004-09-24,55,18.58
2004-10-01,58,19.12
2004-10-08,52,18.56
2004-10-15,47,18.21
2004-10-22,55,17.94
2004-10-29,52,18.66
2004-11-05,52,19.69
2004-11-12,41,19.34
2004-11-19,51,20.08
2004-11-26,51,20.17
2004-12-03,54,20.99
2004-12-10,62,20.81
2004-12-17,52,20.96
2004-12-24,46,
2004-12-31,48,20.97
2005-01-07,45,20.84
2005-01-14,50,20.07
2005-01-21,51,19.99
2005-01-28,47,19.34
2005-02-04,55,20.45
2005-02-11,63,21.30
2005-02-18,68,21.00
2005-02-25,61,20.66
2005-03-04,53,20.56
2005-03-11,52,19.94
2005-03-18,44,20.10
2005-03-25,45,
2005-04-01,50,21.71
2005-04-08,44,21.64
2005-04-15,40,20.84
2005-04-22,38,20.78
2005-04-29,45,20.47
2005-05-06,48,20.98
2005-05-13,45,20.62
2005-05-20,45,22.50
2005-05-27,45,22.77
2005-06-03,45,22.72
2005-06-10,44,23.50
2005-06-17,47,23.91
2005-06-24,42,23.80
2005-07-01,36,23.48
2005-07-08,41,24.28
2005-07-15,43,24.94
2005-07-22,46,24.18
2005-07-29,44,24.62
2005-08-05,35,24.68
2005-08-12,29,24.03
2005-08-19,37,26.49
2005-08-26,44,27.01
2005-09-02,41,27.60
2005-09-09,38,27.81
2005-09-16,40,28.34
2005-09-23,39,28.47
2005-09-30,36,29.20
2005-10-07,42,27.10
2005-10-14,35,27.54
2005-10-21,35,27.57
2005-10-28,37,27.96
2005-11-04,100,28.53
2005-11-11,44,28.52
2005-11-18,43,29.40
2005-11-25,41,29.73
2005-12-02,41,29.23
2005-12-09,35,29.92
2005-12-16,43,28.92
2005-12-23,38,28.77
2005-12-30,35,28.63
2006-01-06,40,30.24
2006-01-13,42,31.90
2006-01-20,40,31.74
2006-01-27,39,31.29
2006-02-03,36,30.56
2006-02-10,33,31.51
2006-02-17,35,34.07
2006-02-24,42,32.02
2006-03-03,36,33.26
2006-03-10,34,32.99
2006-03-17,33,34.16
2006-03-24,36,33.17
2006-03-31,32,32.90
2006-04-07,32,33.37
2006-04-14,24,
2006-04-21,33,32.96
2006-04-28,30,32.47
2006-05-05,31,33.87
2006-05-12,27,32.13
2006-05-19,31,32.02
2006-05-26,27,32.54
2006-06-02,28,32.40
2006-06-09,26,29.94
2006-06-16,28,33.04
2006-06-23,24,32.66
2006-06-30,30,31.68
2006-07-07,23,32.85
2006-07-14,28,30.76
2006-07-21,30,30.52
2006-07-28,29,32.11
2006-08-04,26,32.44
2006-08-11,30,33.05
2006-08-18,37,35.52
2006-08-25,32,35.23
2006-09-01,29,36.53
2006-09-08,35,36.17
2006-09-15,35,36.18
2006-09-22,37,35.11
2006-09-29,33,36.69
2006-10-06,32,37.72
2006-10-13,30,38.86
2006-10-20,31,39.38
2006-10-27,28,38.46
2006-11-03,31,38.22
2006-11-10,30,39.99
2006-11-17,30,39.77
2006-11-24,38,39.56
2006-12-01,31,39.44
2006-12-08,33,39.64
