Date,buy GAS,Price
2004-01-09,44,
2004-01-16,34,
2004-01-23,38,
2004-01-30,21,
2004-02-06,50,28.92
2004-02-13,41,28.68
2004-02-20,39,27.91
2004-02-27,47,28.68
2004-03-05,32,28.58
2004-03-12,37,28.59
2004-03-19,42,28.51
2004-03-26,36,28.06
2004-04-02,36,29.22
2004-04-09,54,
2004-04-16,38,28.27
2004-04-23,49,28.20
2004-04-30,48,28.60
2004-05-07,37,27.81
2004-05-14,64,27.22
2004-05-21,83,27.15
2004-05-28,43,28.20
2004-06-04,59,28.02
2004-06-11,59,
2004-06-18,33,28.93
2004-06-25,49,28.70
2004-07-02,27,29.13
2004-07-09,27,29.17
2004-07-16,42,29.13
2004-07-23,51,28.66
2004-07-30,60,29.55
2004-08-06,31,29.29
2004-08-13,37,29.01
2004-08-20,52,29.74
2004-08-27,31,30.20
2004-09-03,36,30.70
2004-09-10,61,30.99
2004-09-17,40,31.24
2004-09-24,32,30.41
2004-10-01,39,30.96
2004-10-08,42,30.85
2004-10-15,36,30.68
2004-10-22,47,30.42
2004-10-29,57,31.20
2004-11-05,36,31.75
2004-11-12,49,32.25
2004-11-19,54,32.32
2004-11-26,45,33.11
2004-12-03,41,33.06
2004-12-10,34,32.85
2004-12-17,28,33.48
2004-12-24,30,
2004-12-31,39,33.24
2005-01-07,53,32.28
2005-01-14,35,32.84
2005-01-21,34,33.40
2005-01-28,31,34.35
2005-02-04,32,35.86
2005-02-11,46,35.82
2005-02-18,39,34.89
2005-02-25,32,34.65
2005-03-04,24,35.63
2005-03-11,43,34.53
2005-03-18,36,34.82
2005-03-25,44,
2005-04-01,61,34.80
2005-04-08,52,35.17
2005-04-15,46,34.35
2005-04-22,48,35.36
2005-04-29,37,34.60
2005-05-06,37,34.65
2005-05-13,31,33.75
2005-05-20,47,34.75
2005-05-27,49,34.99
2005-06-03,45,35.85
2005-06-10,44,36.15
2005-06-17,35,37.47
2005-06-24,41,37.20
2005-07-01,29,39.10
2005-07-08,35,38.62
2005-07-15,40,38.30
2005-07-22,39,37.90
2005-07-29,25,38.45
2005-08-05,44,37.53
2005-08-12,45,36.83
2005-08-19,64,36.02
2005-08-26,64,35.69
2005-09-02,100,37.26
2005-09-09,72,37.91
2005-09-16,51,37.50
2005-09-23,53,36.35
2005-09-30,43,37.11
2005-10-07,52,35.27
2005-10-14,41,34.31
2005-10-21,39,33.10
2005-10-28,48,34.15
2005-11-04,32,35.77
2005-11-11,37,36.07
2005-11-18,47,35.87
2005-11-25,38,36.05
2005-12-02,42,35.93
2005-12-09,46,33.99
2005-12-16,42,35.30
2005-12-23,33,34.95
2005-12-30,48,34.81
2006-01-06,34,35.69
2006-01-13,37,35.69
2006-01-20,35,35.63
2006-01-27,31,36.25
2006-02-03,38,35.59
