Date,Frontier Communications,Price
2004-01-09,31,
2004-01-16,23,
2004-01-23,24,
2004-01-30,25,
2004-02-06,26,12.27
2004-02-13,22,12.33
2004-02-20,24,12.45
2004-02-27,24,13.18
2004-03-05,24,12.87
2004-03-12,24,12.71
2004-03-19,25,12.72
2004-03-26,25,12.61
2004-04-02,25,12.94
2004-04-09,22,
2004-04-16,22,12.91
2004-04-23,22,13.25
2004-04-30,20,13.04
2004-05-07,26,13.20
2004-05-14,37,13.00
2004-05-21,26,12.79
2004-05-28,34,12.70
2004-06-04,28,12.67
2004-06-11,28,
2004-06-18,22,12.96
2004-06-25,22,12.56
2004-07-02,24,13.11
2004-07-09,25,13.11
2004-07-16,27,14.53
2004-07-23,29,14.30
2004-07-30,31,14.40
2004-08-06,30,13.81
2004-08-13,30,14.29
2004-08-20,33,12.55
2004-08-27,35,12.66
2004-09-03,38,12.63
2004-09-10,21,12.65
2004-09-17,21,13.08
2004-09-24,21,13.38
2004-10-01,17,13.36
2004-10-08,21,13.29
2004-10-15,29,13.37
2004-10-22,24,13.48
2004-10-29,29,13.40
2004-11-05,22,13.90
2004-11-12,23,14.32
2004-11-19,24,14.09
2004-11-26,23,14.35
2004-12-03,22,14.54
2004-12-10,22,14.10
2004-12-17,21,13.75
2004-12-24,21,
2004-12-31,20,13.79
2005-01-07,20,13.85
2005-01-14,24,13.64
2005-01-21,27,13.23
2005-01-28,23,13.36
2005-02-04,23,13.65
2005-02-11,24,13.41
2005-02-18,18,13.06
2005-02-25,18,13.36
2005-03-04,14,13.21
2005-03-11,18,13.06
2005-03-18,16,12.59
2005-03-25,17,
2005-04-01,17,12.95
2005-04-08,18,12.73
2005-04-15,20,12.31
2005-04-22,13,12.39
2005-04-29,17,12.75
2005-05-06,15,12.86
2005-05-13,23,12.67
2005-05-20,19,13.05
2005-05-27,13,13.58
2005-06-03,20,13.39
2005-06-10,14,13.30
2005-06-17,22,13.53
2005-06-24,21,13.09
2005-07-01,28,13.45
2005-07-08,20,13.16
2005-07-15,20,13.40
2005-07-22,16,13.23
2005-07-29,14,13.14
2005-08-05,18,13.56
2005-08-12,16,13.56
2005-08-19,34,13.80
2005-08-26,29,13.46
2005-09-02,17,13.64
2005-09-09,23,13.61
2005-09-16,19,13.70
2005-09-23,28,13.32
2005-09-30,13,13.55
2005-10-07,25,13.05
2005-10-14,16,12.36
2005-10-21,14,12.24
2005-10-28,21,12.16
2005-11-04,13,12.71
2005-11-11,15,12.56
2005-11-18,17,12.71
2005-11-25,12,12.86
2005-12-02,18,12.54
2005-12-09,16,12.69
2005-12-16,14,12.85
2005-12-23,24,12.49
2005-12-30,15,12.23
2006-01-06,18,12.37
2006-01-13,16,12.33
2006-01-20,12,12.14
2006-01-27,18,12.35
2006-02-03,14,12.26
2006-02-10,14,12.33
2006-02-17,13,12.83
2006-02-24,14,13.20
2006-03-03,14,13.55
2006-03-10,11,13.64
2006-03-17,19,13.55
2006-03-24,14,13.69
2006-03-31,13,13.27
2006-04-07,17,13.22
2006-04-14,12,
2006-04-21,19,13.58
2006-04-28,20,13.28
2006-05-05,26,13.17
2006-05-12,17,13.17
2006-05-19,13,12.68
2006-05-26,16,12.77
2006-06-02,17,12.81
2006-06-09,21,12.53
2006-06-16,18,12.51
2006-06-23,18,12.36
2006-06-30,20,13.05
2006-07-07,12,12.98
2006-07-14,16,12.51
2006-07-21,24,12.42
2006-07-28,19,12.91
2006-08-04,13,13.22
2006-08-11,14,13.13
2006-08-18,16,13.51
2006-08-25,18,13.50
2006-09-01,24,13.74
2006-09-08,20,13.53
2006-09-15,19,13.55
2006-09-22,15,13.85
2006-09-29,17,14.04
2006-10-06,20,14.28
2006-10-13,20,14.55
2006-10-20,19,14.49
2006-10-27,13,14.78
2006-11-03,17,14.62
2006-11-10,13,13.95
2006-11-17,15,14.03
2006-11-24,18,14.05
2006-12-01,16,14.04
2006-12-08,19,14.06
2006-12-15,15,14.31
2006-12-22,19,14.08
2006-12-29,33,14.37
2007-01-05,25,14.11
2007-01-12,18,14.20
2007-01-19,19,14.28
2007-01-26,19,14.42
2007-02-02,16,14.74
2007-02-09,20,14.68
2007-02-16,11,14.94
2007-02-23,15,14.86
2007-03-02,20,14.80
2007-03-09,24,14.46
2007-03-16,17,14.31
2007-03-23,15,14.63
2007-03-30,20,14.95
2007-04-06,12,
2007-04-13,15,15.32
2007-04-20,13,15.86
2007-04-27,18,15.61
2007-05-04,13,15.69
2007-05-11,16,15.49
2007-05-18,11,15.59
2007-05-25,14,15.67
2007-06-01,14,15.80
2007-06-08,16,15.30
2007-06-15,19,15.14
2007-06-22,14,15.06
2007-06-29,24,15.27
2007-07-06,15,15.32
2007-07-13,18,15.55
2007-07-20,22,15.16
2007-07-27,20,14.36
2007-08-03,18,13.28
2007-08-10,15,13.52
2007-08-17,21,13.80
2007-08-24,20,14.41
2007-08-31,17,14.51
2007-09-07,23,13.84
2007-09-14,19,13.54
2007-09-21,17,13.84
2007-09-28,19,14.32
2007-10-05,20,14.27
2007-10-12,14,13.74
2007-10-19,17,13.20
2007-10-26,21,13.11
2007-11-02,20,12.91
2007-11-09,21,12.60
2007-11-16,21,12.89
2007-11-23,17,12.64
2007-11-30,20,12.98
2007-12-07,17,12.68
2007-12-14,15,12.05
2007-12-21,16,12.78
2007-12-28,17,12.83
2008-01-04,19,12.06
2008-01-11,24,11.28
2008-01-18,21,10.52
