Date,Google Inc.,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,
2004-02-13,0,
2004-02-20,0,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,0,
2004-03-26,0,
2004-04-02,0,
2004-04-09,0,
2004-04-16,0,
2004-04-23,0,
2004-04-30,0,
2004-05-07,0,
2004-05-14,0,
2004-05-21,0,
2004-05-28,0,
2004-06-04,0,
2004-06-11,0,
2004-06-18,0,
2004-06-25,0,
2004-07-02,0,
2004-07-09,0,
2004-07-16,0,
2004-07-23,0,
2004-07-30,0,
2004-08-06,0,
2004-08-13,0,
2004-08-20,0,108.31
2004-08-27,0,106.15
2004-09-03,0,100.01
2004-09-10,0,105.33
2004-09-17,0,117.49
2004-09-24,0,119.83
2004-10-01,0,132.58
2004-10-08,0,137.73
2004-10-15,0,144.11
2004-10-22,0,172.43
2004-10-29,0,190.64
2004-11-05,0,169.35
2004-11-12,0,182.00
2004-11-19,0,169.40
2004-11-26,0,179.39
2004-12-03,0,180.40
2004-12-10,0,171.65
2004-12-17,0,180.08
2004-12-24,0,
2004-12-31,0,192.79
2005-01-07,0,193.85
2005-01-14,0,199.97
2005-01-21,0,188.28
2005-01-28,0,190.34
2005-02-04,0,204.36
2005-02-11,0,187.40
2005-02-18,0,197.95
2005-02-25,0,185.87
2005-03-04,0,185.90
2005-03-11,0,177.80
2005-03-18,0,180.04
2005-03-25,0,
2005-04-01,0,180.04
2005-04-08,0,192.05
2005-04-15,0,185.00
2005-04-22,0,215.81
2005-04-29,43,220.00
2005-05-06,42,228.02
2005-05-13,42,229.24
2005-05-20,46,241.61
2005-05-27,42,266.00
2005-06-03,42,280.26
2005-06-10,42,282.50
2005-06-17,42,280.30
2005-06-24,46,297.25
2005-07-01,49,291.25
2005-07-08,53,296.23
2005-07-15,56,301.19
2005-07-22,39,302.40
2005-07-29,46,287.76
2005-08-05,52,292.35
2005-08-12,59,289.72
2005-08-19,65,280.00
2005-08-26,47,283.58
2005-09-02,47,288.45
2005-09-09,54,299.09
2005-09-16,61,300.20
2005-09-23,45,315.36
2005-09-30,36,316.46
2005-10-07,47,312.99
2005-10-14,46,296.14
2005-10-21,51,339.90
2005-10-28,35,358.17
2005-11-04,55,390.43
2005-11-11,48,390.40
2005-11-18,58,400.21
2005-11-25,35,428.62
2005-12-02,39,417.70
2005-12-09,42,409.20
2005-12-16,43,430.15
2005-12-23,44,430.93
2005-12-30,42,414.86
2006-01-06,66,465.66
2006-01-13,35,466.25
2006-01-20,64,399.46
2006-01-27,47,433.49
2006-02-03,69,381.55
2006-02-10,53,362.61
2006-02-17,48,368.75
2006-02-24,51,377.40
2006-03-03,51,378.18
2006-03-10,39,337.50
2006-03-17,46,339.79
2006-03-24,56,365.80
2006-03-31,71,390.00
2006-04-07,41,406.16
2006-04-14,54,
2006-04-21,55,437.10
2006-04-28,50,417.94
2006-05-05,39,394.30
2006-05-12,53,374.13
2006-05-19,62,370.02
2006-05-26,57,381.35
2006-06-02,51,379.44
2006-06-09,56,386.57
2006-06-16,80,390.70
2006-06-23,48,404.86
2006-06-30,46,419.33
2006-07-07,26,420.45
2006-07-14,48,403.50
2006-07-21,44,390.11
2006-07-28,49,388.12
2006-08-04,50,373.85
2006-08-11,52,368.50
2006-08-18,38,383.36
2006-08-25,38,373.26
2006-09-01,46,378.60
2006-09-08,32,377.85
2006-09-15,52,409.88
2006-09-22,32,403.78
2006-09-29,48,401.90
2006-10-06,44,420.50
2006-10-13,58,427.30
2006-10-20,52,459.67
2006-10-27,50,475.20
2006-11-03,54,471.80
2006-11-10,48,473.55
2006-11-17,43,498.79
2006-11-24,30,505.00
2006-12-01,33,480.80
2006-12-08,41,484.11
2006-12-15,53,480.30
2006-12-22,51,455.58
2006-12-29,40,460.48
2007-01-05,50,487.19
2007-01-12,62,505.00
2007-01-19,52,489.75
2007-01-26,45,495.84
2007-02-02,58,481.50
2007-02-09,42,461.89
2007-02-16,65,469.94
2007-02-23,54,470.62
2007-03-02,42,438.68
2007-03-09,50,452.96
2007-03-16,62,440.85
2007-03-23,52,461.83
2007-03-30,46,458.16
2007-04-06,47,
2007-04-13,43,466.29
2007-04-20,61,482.48
2007-04-27,74,479.01
2007-05-04,72,471.12
2007-05-11,64,466.74
2007-05-18,57,470.32
2007-05-25,32,483.52
2007-06-01,60,500.40
2007-06-08,91,515.49
2007-06-15,50,505.89
2007-06-22,42,524.98
2007-06-29,51,522.70
2007-07-06,55,539.40
2007-07-13,69,552.16
2007-07-20,55,520.12
2007-07-27,54,511.89
2007-08-03,68,503.00
2007-08-10,51,515.75
2007-08-17,64,500.04
2007-08-24,44,515.00
2007-08-31,62,515.25
2007-09-07,50,519.35
2007-09-14,52,528.75
2007-09-21,47,560.10
2007-09-28,58,567.27
2007-10-05,64,594.05
2007-10-12,52,637.39
2007-10-19,69,644.71
2007-10-26,51,674.60
2007-11-02,50,711.25
2007-11-09,64,663.97
2007-11-16,53,633.63
2007-11-23,65,676.70
2007-11-30,75,693.00
2007-12-07,53,714.87
2007-12-14,54,689.96
2007-12-21,43,696.69
2007-12-28,25,702.53
2008-01-04,28,657.00
2008-01-11,48,638.25
2008-01-18,73,600.25
2008-01-25,48,566.40
2008-02-01,52,515.90
2008-02-08,66,516.69
2008-02-15,49,529.64
2008-02-22,48,507.80
2008-02-29,61,471.18
2008-03-07,55,433.35
2008-03-14,48,437.92
2008-03-21,49,
2008-03-28,46,438.08
2008-04-04,57,471.09
2008-04-11,50,457.45
2008-04-18,57,539.41
2008-04-25,54,544.06
2008-05-02,55,581.29
2008-05-09,51,573.20
2008-05-16,61,580.07
2008-05-23,50,544.62
2008-05-30,48,585.80
2008-06-06,48,567.00
2008-06-13,47,571.51
2008-06-20,56,546.43
2008-06-27,52,528.07
2008-07-04,53,
2008-07-11,56,533.80
2008-07-18,59,481.32
2008-07-25,59,491.98
2008-08-01,58,467.86
2008-08-08,46,495.01
2008-08-15,58,510.15
2008-08-22,43,490.59
2008-08-29,47,463.29
2008-09-05,52,444.25
2008-09-12,50,437.66
2008-09-19,70,449.15
2008-09-26,67,431.04
2008-10-03,52,386.91
2008-10-10,54,332.00
2008-10-17,40,372.54
2008-10-24,42,339.29
2008-10-31,46,359.36
2008-11-07,48,331.14
2008-11-14,44,310.02
2008-11-21,50,262.43
2008-11-28,31,292.96
2008-12-05,46,283.99
2008-12-12,45,315.76
2008-12-19,37,310.17
2008-12-26,32,300.36
2009-01-02,43,321.32
2009-01-09,49,315.07
2009-01-16,43,299.67
2009-01-23,40,324.70
2009-01-30,39,338.53
2009-02-06,49,371.28
2009-02-13,56,357.68
2009-02-20,43,346.45
2009-02-27,50,337.99
2009-03-06,44,308.57
2009-03-13,52,324.42
2009-03-20,53,330.16
2009-03-27,51,347.70
2009-04-03,49,369.78
2009-04-10,53,
2009-04-17,59,392.24
2009-04-24,60,389.49
2009-05-01,52,393.69
2009-05-08,40,407.33
2009-05-15,49,390.00
2009-05-22,49,393.50
2009-05-29,50,417.23
2009-06-05,53,444.32
2009-06-12,50,424.84
2009-06-19,44,420.09
2009-06-26,52,425.32
2009-07-03,47,
2009-07-10,64,414.40
2009-07-17,46,430.25
2009-07-24,60,446.72
2009-07-31,45,443.05
2009-08-07,60,457.10
2009-08-14,49,460.00
2009-08-21,52,465.24
2009-08-28,50,464.75
2009-09-04,52,461.30
2009-09-11,44,472.14
2009-09-18,70,491.46
2009-09-25,60,492.48
2009-10-02,41,484.58
2009-10-09,53,516.25
2009-10-16,63,549.85
2009-10-23,49,553.69
2009-10-30,53,536.12
2009-11-06,61,551.10
2009-11-13,50,572.05
2009-11-20,50,569.96
2009-11-27,53,579.76
2009-12-04,83,585.01
2009-12-11,100,590.51
2009-12-18,75,596.42
2009-12-25,32,
2010-01-01,40,
2010-01-08,56,602.02
2010-01-15,54,580.00
2010-01-22,38,550.01
2010-01-29,50,529.94
2010-02-05,49,531.29
2010-02-12,49,533.12
2010-02-19,51,540.76
2010-02-26,49,526.80
2010-03-05,45,564.21
2010-03-12,53,579.54
2010-03-19,47,560.00
2010-03-26,51,562.69
2010-04-02,63,
2010-04-09,49,566.22
2010-04-16,55,550.15
2010-04-23,55,544.99
2010-04-30,52,525.70
2010-05-07,58,493.14
2010-05-14,44,507.53
2010-05-21,51,472.05
2010-05-28,41,485.63
2010-06-04,47,498.72
2010-06-11,52,488.50
2010-06-18,42,500.03
2010-06-25,48,472.68
2010-07-02,53,436.55
2010-07-09,43,467.49
2010-07-16,50,459.61
2010-07-23,46,490.06
2010-07-30,42,484.85
2010-08-06,42,500.22
2010-08-13,58,486.35
2010-08-20,40,462.02
2010-08-27,39,458.83
2010-09-03,41,470.30
2010-09-10,45,476.14
2010-09-17,53,490.15
2010-09-24,53,527.29
2010-10-01,44,525.62
2010-10-08,51,536.35
2010-10-15,49,601.45
2010-10-22,50,612.53
2010-10-29,55,613.70
2010-11-05,44,625.08
2010-11-12,54,603.29
2010-11-19,44,590.83
2010-11-26,42,590.00
2010-12-03,45,573.00
2010-12-10,45,592.21
2010-12-17,46,590.80
2010-12-24,33,
2010-12-31,29,593.97
2011-01-07,41,616.44
2011-01-14,41,624.18
2011-01-21,52,611.83
2011-01-28,46,600.99
2011-02-04,45,610.98
2011-02-11,50,624.50
2011-02-18,46,630.08
2011-02-25,49,610.04
2011-03-04,47,600.62
2011-03-11,47,576.71
2011-03-18,48,561.06
2011-03-25,51,579.74
2011-04-01,53,591.80
2011-04-08,53,578.16
2011-04-15,43,530.70
2011-04-22,47,
2011-04-29,50,544.10
2011-05-06,43,535.30
2011-05-13,45,529.55
2011-05-20,43,524.03
2011-05-27,47,520.90
2011-06-03,41,523.08
2011-06-10,46,509.51
2011-06-17,39,485.02
2011-06-24,46,474.88
2011-07-01,50,521.03
2011-07-08,45,531.99
2011-07-15,48,597.62
2011-07-22,54,618.23
2011-07-29,44,603.69
2011-08-05,46,579.04
2011-08-12,46,563.77
2011-08-19,45,490.92
2011-08-26,43,526.86
2011-09-02,36,524.84
2011-09-09,47,524.85
2011-09-16,43,546.68
2011-09-23,50,525.51
2011-09-30,43,515.04
2011-10-07,47,515.12
2011-10-14,48,591.68
2011-10-21,41,590.49
2011-10-28,41,600.14
2011-11-04,41,596.14
2011-11-11,40,608.35
2011-11-18,43,594.88
2011-11-25,41,563.00
2011-12-02,43,620.36
2011-12-09,37,627.42
2011-12-16,41,625.96
2011-12-23,38,633.14
2011-12-30,28,645.90
2012-01-06,29,650.02
2012-01-13,39,624.99
2012-01-20,36,585.99
2012-01-27,44,579.98
2012-02-03,37,596.33
2012-02-10,47,605.91
2012-02-17,38,604.64
2012-02-24,48,609.90
2012-03-02,37,621.25
2012-03-09,44,600.25
2012-03-16,35,625.04
2012-03-23,40,642.59
2012-03-30,33,641.24
2012-04-06,40,
2012-04-13,43,624.60
2012-04-20,39,596.06
2012-04-27,44,614.98
2012-05-04,34,596.97
2012-05-11,42,605.23
2012-05-18,35,600.40
2012-05-25,42,591.53
2012-06-01,38,570.98
2012-06-08,34,580.45
2012-06-15,46,564.51
2012-06-22,47,571.48
2012-06-29,32,580.07
2012-07-06,35,585.98
2012-07-13,38,576.52
2012-07-20,32,610.82
2012-07-27,41,634.96
2012-08-03,40,641.33
2012-08-10,34,642.00
2012-08-17,37,677.14
2012-08-24,37,678.63
2012-08-31,43,685.09
2012-09-07,40,706.15
2012-09-14,41,709.68
2012-09-21,32,733.99
2012-09-28,45,754.50
2012-10-05,36,767.65
2012-10-12,45,744.75
2012-10-19,42,681.79
2012-10-26,44,675.15
2012-11-02,45,687.92
2012-11-09,35,663.03
2012-11-16,40,647.18
2012-11-23,32,667.97
2012-11-30,45,698.37
2012-12-07,39,684.21
2012-12-14,34,701.96
2012-12-21,37,715.63
2012-12-28,25,700.01
2013-01-04,26,737.97
2013-01-11,43,739.99
2013-01-18,43,704.51
2013-01-25,41,753.67
2013-02-01,42,775.60
2013-02-08,49,785.37
2013-02-15,42,792.89
2013-02-22,34,799.71
2013-03-01,41,806.19
2013-03-08,37,831.52
2013-03-15,40,814.30
2013-03-22,43,810.31
2013-03-29,39,
2013-04-05,47,783.05
2013-04-12,44,790.05
2013-04-19,41,799.87
2013-04-26,46,801.42
2013-05-03,45,845.72
2013-05-10,38,880.23
2013-05-17,41,909.18
2013-05-24,46,873.32
2013-05-31,39,871.22
2013-06-07,42,879.73
2013-06-14,41,875.04
2013-06-21,40,880.93
2013-06-28,39,880.37
2013-07-05,37,893.49
2013-07-12,46,923.00
2013-07-19,38,896.60
2013-07-26,46,885.35
2013-08-02,42,906.57
2013-08-09,34,890.41
2013-08-16,45,856.91
2013-08-23,43,870.21
2013-08-30,39,846.90
2013-09-06,47,879.58
2013-09-13,46,889.07
2013-09-20,44,903.11
2013-09-27,39,876.39
2013-10-04,46,872.35
2013-10-11,52,871.99
2013-10-18,42,1011.41
2013-10-25,52,1015.20
2013-11-01,46,1027.04
2013-11-08,44,1016.03
2013-11-15,52,1033.56
2013-11-22,46,1031.89
2013-11-29,37,1059.59
2013-12-06,45,1069.87
2013-12-13,40,1060.79
2013-12-20,38,1100.62
2013-12-27,29,1118.40
2014-01-03,28,1105.00
2014-01-10,48,1130.18
2014-01-17,46,1150.53
2014-01-24,58,1123.83
2014-01-31,43,1180.97
2014-02-07,47,1177.44
2014-02-14,48,1202.80
2014-02-21,42,1203.79
2014-02-28,45,1215.65
2014-03-07,39,1214.79
2014-03-14,50,1172.80
2014-03-21,47,1183.04
2014-03-28,58,1120.15
2014-04-04,52,545.25
2014-04-11,54,537.76
2014-04-18,44,
2014-04-25,43,523.10
2014-05-02,41,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
