Date,TEG,Price
2004-01-09,96,
2004-01-16,69,
2004-01-23,56,
2004-01-30,80,
2004-02-06,72,47.75
2004-02-13,82,48.00
2004-02-20,77,48.07
2004-02-27,48,47.55
2004-03-05,60,48.86
2004-03-12,57,47.70
2004-03-19,53,47.64
2004-03-26,67,47.29
2004-04-02,69,48.32
2004-04-09,60,
2004-04-16,70,46.49
2004-04-23,56,46.84
2004-04-30,69,45.81
2004-05-07,54,45.40
2004-05-14,63,44.14
2004-05-21,77,44.30
2004-05-28,64,45.26
2004-06-04,47,45.40
2004-06-11,64,
2004-06-18,58,46.22
2004-06-25,72,46.48
2004-07-02,86,46.73
2004-07-09,58,46.67
2004-07-16,64,47.54
2004-07-23,45,46.25
2004-07-30,59,45.89
2004-08-06,67,47.05
2004-08-13,61,46.87
2004-08-20,72,46.95
2004-08-27,69,46.16
2004-09-03,45,46.86
2004-09-10,65,46.68
2004-09-17,51,46.92
2004-09-24,52,45.52
2004-10-01,60,46.03
2004-10-08,62,46.28
2004-10-15,61,46.86
2004-10-22,58,46.36
2004-10-29,57,47.50
2004-11-05,73,49.02
2004-11-12,54,49.70
2004-11-19,57,48.80
2004-11-26,69,49.57
2004-12-03,69,48.45
2004-12-10,33,47.90
2004-12-17,66,48.90
2004-12-24,58,
2004-12-31,39,49.96
2005-01-07,42,47.84
2005-01-14,58,48.68
2005-01-21,61,48.36
2005-01-28,64,48.50
2005-02-04,48,51.54
2005-02-11,55,52.85
2005-02-18,49,52.40
2005-02-25,60,52.94
2005-03-04,55,53.90
2005-03-11,62,52.58
2005-03-18,46,54.35
2005-03-25,50,
2005-04-01,53,52.69
2005-04-08,44,52.67
2005-04-15,55,52.10
2005-04-22,69,53.10
2005-04-29,57,52.73
2005-05-06,48,53.15
2005-05-13,47,54.11
2005-05-20,58,55.07
2005-05-27,63,55.01
2005-06-03,49,55.53
2005-06-10,55,55.95
2005-06-17,46,56.49
2005-06-24,72,55.84
2005-07-01,61,57.09
2005-07-08,51,56.94
2005-07-15,53,57.38
2005-07-22,64,57.60
2005-07-29,46,57.76
2005-08-05,62,58.04
2005-08-12,47,57.76
2005-08-19,53,57.20
2005-08-26,58,57.81
2005-09-02,62,58.35
2005-09-09,47,59.27
2005-09-16,56,59.40
2005-09-23,48,57.47
2005-09-30,45,57.80
2005-10-07,47,55.45
2005-10-14,60,53.10
2005-10-21,56,52.88
2005-10-28,49,53.76
2005-11-04,55,56.36
2005-11-11,45,55.44
2005-11-18,45,53.74
2005-11-25,47,53.90
2005-12-02,68,54.95
2005-12-09,51,55.92
2005-12-16,53,57.12
2005-12-23,52,56.57
2005-12-30,63,55.31
2006-01-06,68,56.69
2006-01-13,71,56.54
2006-01-20,72,56.66
2006-01-27,48,57.21
2006-02-03,62,52.90
2006-02-10,62,52.50
2006-02-17,58,52.95
2006-02-24,61,53.14
2006-03-03,60,52.00
2006-03-10,58,50.99
2006-03-17,53,51.70
2006-03-24,65,49.76
2006-03-31,61,49.22
2006-04-07,54,50.35
2006-04-14,51,
2006-04-21,45,49.63
2006-04-28,50,49.99
2006-05-05,60,50.96
2006-05-12,59,49.59
2006-05-19,52,48.61
2006-05-26,41,48.92
2006-06-02,54,50.06
2006-06-09,61,49.66
2006-06-16,50,49.13
2006-06-23,51,47.63
2006-06-30,53,49.60
2006-07-07,55,47.98
2006-07-14,65,49.35
2006-07-21,52,50.47
2006-07-28,64,52.00
2006-08-04,66,52.00
2006-08-11,52,51.06
2006-08-18,42,51.16
2006-08-25,57,50.88
2006-09-01,49,51.08
2006-09-08,47,49.78
2006-09-15,42,50.48
2006-09-22,53,48.76
2006-09-29,62,49.63
2006-10-06,51,50.40
2006-10-13,40,51.10
2006-10-20,64,52.56
2006-10-27,50,53.03
2006-11-03,51,52.57
2006-11-10,59,53.28
2006-11-17,53,53.35
2006-11-24,42,52.65
2006-12-01,48,52.37
2006-12-08,47,52.82
2006-12-15,70,53.56
2006-12-22,61,53.38
2006-12-29,48,54.03
2007-01-05,51,54.05
2007-01-12,58,54.11
2007-01-19,60,53.50
2007-01-26,62,53.07
2007-02-02,54,53.50
2007-02-09,60,55.97
2007-02-16,57,56.92
2007-02-23,54,57.25
2007-03-02,61,54.71
2007-03-09,57,53.22
2007-03-16,52,53.54
2007-03-23,57,55.70
2007-03-30,57,55.51
2007-04-06,61,
2007-04-13,66,55.82
2007-04-20,60,56.00
2007-04-27,51,56.44
2007-05-04,69,58.01
2007-05-11,52,59.35
2007-05-18,51,58.60
2007-05-25,52,56.23
2007-06-01,68,55.84
2007-06-08,60,52.20
2007-06-15,55,53.28
2007-06-22,43,50.33
2007-06-29,49,50.73
2007-07-06,51,50.46
2007-07-13,52,51.58
2007-07-20,48,51.73
2007-07-27,54,49.06
2007-08-03,56,49.36
2007-08-10,55,50.31
2007-08-17,47,50.88
2007-08-24,59,52.24
2007-08-31,57,50.17
2007-09-07,49,50.45
2007-09-14,56,51.13
2007-09-21,52,52.23
2007-09-28,57,51.23
2007-10-05,50,52.39
2007-10-12,50,54.00
2007-10-19,59,51.44
2007-10-26,57,52.04
2007-11-02,68,52.90
2007-11-09,58,51.09
2007-11-16,51,51.16
2007-11-23,75,51.19
2007-11-30,71,51.01
2007-12-07,65,51.88
2007-12-14,60,50.91
2007-12-21,53,52.14
2007-12-28,49,51.97
2008-01-04,47,50.30
2008-01-11,63,52.08
2008-01-18,57,49.29
2008-01-25,56,47.48
2008-02-01,55,50.08
2008-02-08,63,49.41
2008-02-15,54,48.38
2008-02-22,63,48.84
2008-02-29,63,45.93
2008-03-07,61,44.88
2008-03-14,56,44.86
2008-03-21,53,
2008-03-28,59,46.06
2008-04-04,61,47.97
2008-04-11,57,47.87
2008-04-18,56,49.39
2008-04-25,53,48.42
2008-05-02,54,48.73
2008-05-09,47,49.32
2008-05-16,53,50.88
2008-05-23,59,50.88
2008-05-30,52,51.35
2008-06-06,50,51.16
2008-06-13,54,51.82
