Date,Regeneron,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,14.76
2004-02-13,0,13.95
2004-02-20,0,14.20
2004-02-27,0,14.16
2004-03-05,0,15.98
2004-03-12,0,14.35
2004-03-19,0,13.68
2004-03-26,0,13.27
2004-04-02,0,13.91
2004-04-09,0,
2004-04-16,0,12.44
2004-04-23,0,13.59
2004-04-30,0,12.53
2004-05-07,0,12.49
2004-05-14,0,11.95
2004-05-21,0,11.12
2004-05-28,0,11.23
2004-06-04,0,11.22
2004-06-11,0,
2004-06-18,0,9.43
2004-06-25,0,10.10
2004-07-02,0,10.12
2004-07-09,0,9.19
2004-07-16,0,8.27
2004-07-23,0,7.62
2004-07-30,0,8.56
2004-08-06,0,6.96
2004-08-13,0,7.05
2004-08-20,0,8.68
2004-08-27,0,9.18
2004-09-03,0,8.96
2004-09-10,0,9.22
2004-09-17,0,9.00
2004-09-24,0,8.65
2004-10-01,0,8.78
2004-10-08,0,7.89
2004-10-15,0,7.42
2004-10-22,0,6.86
2004-10-29,0,7.27
2004-11-05,0,8.02
2004-11-12,0,8.72
2004-11-19,0,8.33
2004-11-26,0,8.55
2004-12-03,0,9.02
2004-12-10,0,8.84
2004-12-17,0,8.95
2004-12-24,0,
2004-12-31,0,9.21
2005-01-07,0,8.15
2005-01-14,0,7.73
2005-01-21,0,7.14
2005-01-28,0,6.99
2005-02-04,0,7.51
2005-02-11,0,7.09
2005-02-18,0,6.39
2005-02-25,0,6.47
2005-03-04,0,5.88
2005-03-11,0,5.23
2005-03-18,0,5.51
2005-03-25,0,
2005-04-01,0,4.99
2005-04-08,0,4.77
2005-04-15,0,4.74
2005-04-22,0,5.02
2005-04-29,0,5.57
2005-05-06,0,6.90
2005-05-13,0,6.04
2005-05-20,0,6.22
2005-05-27,0,6.63
2005-06-03,0,6.16
2005-06-10,0,6.36
2005-06-17,0,7.65
2005-06-24,0,8.80
2005-07-01,0,8.62
2005-07-08,0,9.50
2005-07-15,0,9.51
2005-07-22,0,9.93
2005-07-29,0,9.64
2005-08-05,0,9.41
2005-08-12,0,8.41
2005-08-19,0,8.45
2005-08-26,0,7.49
2005-09-02,0,7.78
2005-09-09,0,8.41
2005-09-16,0,8.35
2005-09-23,0,8.26
2005-09-30,0,9.49
2005-10-07,0,9.50
2005-10-14,0,9.23
2005-10-21,0,9.00
2005-10-28,0,11.97
2005-11-04,0,13.00
2005-11-11,0,11.03
2005-11-18,0,11.23
2005-11-25,0,11.31
2005-12-02,0,10.80
2005-12-09,0,11.49
2005-12-16,0,11.96
2005-12-23,0,13.76
2005-12-30,0,15.90
2006-01-06,0,17.00
2006-01-13,67,16.13
2006-01-20,62,15.50
2006-01-27,62,15.44
2006-02-03,62,16.19
2006-02-10,62,15.33
2006-02-17,0,15.09
2006-02-24,0,16.00
2006-03-03,0,17.15
2006-03-10,0,16.70
2006-03-17,0,16.77
2006-03-24,0,17.20
2006-03-31,0,16.63
2006-04-07,0,15.15
2006-04-14,0,
2006-04-21,0,14.98
2006-04-28,0,14.52
2006-05-05,0,15.17
2006-05-12,0,13.72
2006-05-19,0,11.99
2006-05-26,0,12.09
2006-06-02,0,13.20
2006-06-09,0,12.71
2006-06-16,0,12.48
2006-06-23,0,12.30
2006-06-30,0,12.82
2006-07-07,0,12.74
2006-07-14,0,11.92
2006-07-21,0,11.12
2006-07-28,0,13.80
2006-08-04,0,14.00
2006-08-11,0,13.91
2006-08-18,0,15.41
2006-08-25,0,14.79
2006-09-01,0,15.82
2006-09-08,0,16.00
2006-09-15,0,16.75
2006-09-22,0,15.52
2006-09-29,0,15.69
2006-10-06,0,16.74
2006-10-13,0,17.50
2006-10-20,0,19.45
2006-10-27,48,19.66
2006-11-03,50,20.78
2006-11-10,51,23.82
2006-11-17,45,23.65
2006-11-24,45,23.24
2006-12-01,45,21.16
2006-12-08,0,21.71
2006-12-15,0,20.19
2006-12-22,0,20.28
2006-12-29,0,20.07
2007-01-05,0,20.80
2007-01-12,50,22.74
2007-01-19,49,21.77
2007-01-26,45,19.92
2007-02-02,45,20.18
2007-02-09,0,19.89
2007-02-16,0,22.00
2007-02-23,0,21.60
2007-03-02,0,18.68
2007-03-09,0,19.02
2007-03-16,0,18.37
2007-03-23,0,19.44
2007-03-30,51,21.62
2007-04-06,61,
2007-04-13,51,25.04
2007-04-20,53,25.90
2007-04-27,56,27.58
2007-05-04,48,28.53
2007-05-11,48,28.35
2007-05-18,52,24.87
2007-05-25,55,22.99
2007-06-01,58,22.99
2007-06-08,62,18.64
2007-06-15,42,18.81
2007-06-22,39,17.93
2007-06-29,41,17.92
2007-07-06,43,18.10
2007-07-13,44,18.45
2007-07-20,46,17.16
2007-07-27,33,15.38
2007-08-03,33,14.02
2007-08-10,36,16.23
2007-08-17,39,18.33
2007-08-24,29,18.54
2007-08-31,29,19.46
2007-09-07,29,21.25
2007-09-14,29,20.14
2007-09-21,28,18.89
2007-09-28,28,17.80
2007-10-05,46,17.99
2007-10-12,31,19.45
2007-10-19,30,20.33
2007-10-26,35,22.56
2007-11-02,28,21.00
2007-11-09,37,18.30
2007-11-16,46,18.56
2007-11-23,55,18.34
2007-11-30,64,21.78
2007-12-07,75,24.00
2007-12-14,26,22.20
2007-12-21,27,23.99
2007-12-28,29,24.43
2008-01-04,31,22.49
2008-01-11,33,24.29
2008-01-18,25,24.60
2008-01-25,29,21.90
2008-02-01,42,21.48
2008-02-08,45,19.57
2008-02-15,47,18.90
2008-02-22,39,17.99
2008-02-29,57,19.77
2008-03-07,49,17.30
2008-03-14,40,16.79
2008-03-21,37,
2008-03-28,64,19.62
2008-04-04,44,20.18
2008-04-11,74,18.59
2008-04-18,44,19.80
2008-04-25,47,20.91
2008-05-02,56,21.02
2008-05-09,56,20.45
2008-05-16,49,20.23
2008-05-23,34,18.91
2008-05-30,37,19.90
2008-06-06,36,14.82
2008-06-13,28,14.22
2008-06-20,33,14.68
2008-06-27,56,14.76
2008-07-04,24,
2008-07-11,26,15.08
2008-07-18,26,17.01
2008-07-25,43,19.00
2008-08-01,35,21.68
2008-08-08,50,21.62
2008-08-15,46,22.64
2008-08-22,30,21.54
2008-08-29,22,21.72
2008-09-05,24,19.07
2008-09-12,27,20.71
2008-09-19,51,23.07
2008-09-26,23,22.71
2008-10-03,50,20.96
2008-10-10,49,17.14
2008-10-17,26,18.75
2008-10-24,42,16.15
2008-10-31,30,19.30
2008-11-07,22,18.35
2008-11-14,45,17.17
2008-11-21,46,13.95
2008-11-28,25,15.46
2008-12-05,31,15.23
2008-12-12,30,16.83
2008-12-19,31,18.91
2008-12-26,33,18.23
2009-01-02,34,18.70
2009-01-09,36,17.48
2009-01-16,39,17.36
2009-01-23,33,15.57
2009-01-30,22,17.48
2009-02-06,25,19.92
2009-02-13,21,18.97
2009-02-20,43,18.15
2009-02-27,45,14.25
2009-03-06,35,12.67
2009-03-13,38,14.03
2009-03-20,44,13.45
2009-03-27,34,14.38
2009-04-03,25,13.02
2009-04-10,47,
2009-04-17,29,13.15
2009-04-24,40,12.94
2009-05-01,19,13.85
2009-05-08,35,15.84
2009-05-15,26,14.61
2009-05-22,37,13.99
2009-05-29,29,15.27
2009-06-05,39,16.36
2009-06-12,25,16.36
2009-06-19,33,18.21
2009-06-26,20,18.14
2009-07-03,24,
2009-07-10,24,16.29
2009-07-17,24,17.62
2009-07-24,35,20.75
2009-07-31,42,21.48
2009-08-07,40,21.86
2009-08-14,36,22.11
2009-08-21,19,22.22
2009-08-28,21,22.33
2009-09-04,22,22.25
2009-09-11,35,21.88
2009-09-18,38,21.28
2009-09-25,22,20.30
2009-10-02,35,18.62
2009-10-09,34,18.41
2009-10-16,24,18.82
2009-10-23,49,17.59
2009-10-30,33,15.70
2009-11-06,47,15.71
2009-11-13,43,18.57
2009-11-20,47,18.46
2009-11-27,21,18.09
2009-12-04,41,19.32
2009-12-11,48,18.96
2009-12-18,37,21.41
2009-12-25,29,
2010-01-01,49,
2010-01-08,70,24.37
2010-01-15,52,23.88
2010-01-22,41,25.97
2010-01-29,43,26.66
2010-02-05,40,25.73
2010-02-12,44,29.27
2010-02-19,52,26.29
2010-02-26,39,24.46
2010-03-05,48,25.51
2010-03-12,43,24.69
2010-03-19,53,23.77
2010-03-26,54,26.23
2010-04-02,50,
2010-04-09,35,25.78
2010-04-16,34,26.40
2010-04-23,37,24.77
2010-04-30,34,25.53
2010-05-07,39,23.58
2010-05-14,53,27.37
2010-05-21,65,27.14
2010-05-28,40,28.57
2010-06-04,44,28.19
2010-06-11,55,26.42
2010-06-18,37,26.11
2010-06-25,37,24.53
2010-07-02,26,21.61
2010-07-09,33,23.22
2010-07-16,40,22.48
2010-07-23,39,24.01
2010-07-30,55,24.19
2010-08-06,39,24.85
2010-08-13,48,23.56
2010-08-20,43,22.93
2010-08-27,29,22.78
2010-09-03,36,24.58
2010-09-10,37,25.15
2010-09-17,43,26.50
2010-09-24,46,26.74
2010-10-01,37,26.70
2010-10-08,37,28.18
2010-10-15,20,28.04
2010-10-22,33,27.37
2010-10-29,48,26.11
2010-11-05,36,26.53
2010-11-12,41,25.29
2010-11-19,42,24.67
2010-11-26,67,28.83
2010-12-03,38,29.98
2010-12-10,34,30.20
2010-12-17,33,33.06
2010-12-24,41,
2010-12-31,32,32.83
2011-01-07,45,34.10
2011-01-14,41,34.50
2011-01-21,41,33.28
2011-01-28,38,33.45
2011-02-04,31,34.47
2011-02-11,44,35.31
2011-02-18,40,37.48
2011-02-25,37,37.00
2011-03-04,45,38.00
2011-03-11,58,38.68
2011-03-18,42,38.81
2011-03-25,52,41.34
2011-04-01,54,45.26
2011-04-08,55,42.70
2011-04-15,54,45.84
2011-04-22,55,
2011-04-29,69,51.04
2011-05-06,55,50.25
2011-05-13,47,53.03
2011-05-20,45,56.91
2011-05-27,51,58.27
2011-06-03,51,58.04
2011-06-10,46,54.58
2011-06-17,88,54.02
2011-06-24,82,52.89
2011-07-01,44,57.75
2011-07-08,39,59.64
2011-07-15,58,55.59
2011-07-22,36,57.47
2011-07-29,42,53.06
2011-08-05,62,46.81
2011-08-12,46,54.18
2011-08-19,58,54.37
2011-08-26,35,55.81
2011-09-02,41,64.78
2011-09-09,34,65.62
2011-09-16,37,60.20
2011-09-23,53,66.19
2011-09-30,43,58.20
2011-10-07,33,63.02
2011-10-14,34,63.95
2011-10-21,54,62.17
2011-10-28,45,55.66
2011-11-04,38,56.42
2011-11-11,41,52.93
2011-11-18,70,49.81
2011-11-25,73,53.78
2011-12-02,47,58.28
2011-12-09,52,53.38
2011-12-16,36,53.00
2011-12-23,35,55.57
2011-12-30,23,55.43
2012-01-06,44,65.79
2012-01-13,74,78.92
2012-01-20,38,78.33
2012-01-27,51,85.54
2012-02-03,48,96.86
2012-02-10,59,102.08
2012-02-17,93,103.28
2012-02-24,52,103.22
2012-03-02,51,108.80
2012-03-09,51,107.21
2012-03-16,52,115.33
2012-03-23,75,119.18
2012-03-30,64,116.62
2012-04-06,47,
2012-04-13,47,122.60
2012-04-20,44,126.38
2012-04-27,74,140.01
2012-05-04,69,131.40
2012-05-11,56,134.09
2012-05-18,46,120.23
2012-05-25,42,132.17
2012-06-01,52,123.93
2012-06-08,46,129.62
2012-06-15,55,113.85
2012-06-22,53,115.90
2012-06-29,38,114.22
2012-07-06,41,119.54
2012-07-13,38,117.64
2012-07-20,48,121.65
2012-07-27,76,136.90
2012-08-03,55,136.96
2012-08-10,52,136.84
2012-08-17,45,138.06
2012-08-24,48,145.09
2012-08-31,36,148.05
2012-09-07,34,152.55
2012-09-14,45,149.68
2012-09-21,48,145.09
2012-09-28,70,152.66
2012-10-05,55,159.00
2012-10-12,47,150.73
2012-10-19,43,158.24
2012-10-26,66,149.25
2012-11-02,30,143.50
2012-11-09,41,140.74
2012-11-16,51,157.69
2012-11-23,38,176.08
2012-11-30,47,176.55
2012-12-07,44,180.87
2012-12-14,37,179.71
2012-12-21,35,173.48
2012-12-28,28,167.97
2013-01-04,32,181.07
2013-01-11,62,179.46
2013-01-18,59,167.97
2013-01-25,41,174.48
2013-02-01,45,172.88
2013-02-08,48,165.88
2013-02-15,70,164.93
2013-02-22,53,160.38
2013-03-01,49,171.73
2013-03-08,64,172.97
2013-03-15,47,171.84
2013-03-22,41,172.40
2013-03-29,51,
2013-04-05,66,185.41
2013-04-12,69,215.84
2013-04-19,57,212.58
2013-04-26,66,216.60
2013-05-03,85,266.16
2013-05-10,77,273.50
2013-05-17,76,266.97
2013-05-24,68,250.31
2013-05-31,57,241.88
2013-06-07,65,257.50
2013-06-14,63,236.93
2013-06-21,62,215.47
2013-06-28,46,224.88
2013-07-05,41,233.48
2013-07-12,54,266.00
2013-07-19,53,274.86
2013-07-26,73,269.21
2013-08-02,60,272.39
2013-08-09,76,250.01
2013-08-16,76,230.98
2013-08-23,74,238.85
2013-08-30,55,242.31
2013-09-06,58,267.57
2013-09-13,91,289.97
2013-09-20,83,300.80
2013-09-27,77,305.65
2013-10-04,61,308.60
2013-10-11,54,290.30
2013-10-18,78,303.56
2013-10-25,70,302.24
2013-11-01,74,285.79
2013-11-08,82,283.07
2013-11-15,74,280.00
2013-11-22,63,293.68
2013-11-29,51,293.86
2013-12-06,65,282.74
2013-12-13,49,269.59
2013-12-20,80,278.69
2013-12-27,28,277.04
2014-01-03,34,271.75
2014-01-10,59,274.38
2014-01-17,100,292.00
2014-01-24,73,279.61
2014-01-31,74,288.59
2014-02-07,54,299.79
2014-02-14,82,323.99
2014-02-21,71,334.98
2014-02-28,76,332.50
2014-03-07,90,328.11
2014-03-14,68,329.50
2014-03-21,61,310.79
2014-03-28,67,300.09
2014-04-04,69,285.34
2014-04-11,68,288.36
2014-04-18,66,
2014-04-25,77,284.42
2014-05-02,47,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
