Date,MSFT,Price
2004-01-09,11,
2004-01-16,13,
2004-01-23,19,
2004-01-30,18,
2004-02-06,17,27.08
2004-02-13,20,26.59
2004-02-20,16,26.57
2004-02-27,16,26.53
2004-03-05,23,26.35
2004-03-12,16,25.38
2004-03-19,16,24.63
2004-03-26,22,25.03
2004-04-02,22,25.85
2004-04-09,17,
2004-04-16,15,25.16
2004-04-23,14,27.54
2004-04-30,18,26.13
2004-05-07,20,25.78
2004-05-14,16,25.86
2004-05-21,14,25.89
2004-05-28,18,26.23
2004-06-04,13,25.95
2004-06-11,16,
2004-06-18,20,28.35
2004-06-25,24,28.57
2004-07-02,22,28.57
2004-07-09,19,27.86
2004-07-16,19,27.48
2004-07-23,57,28.03
2004-07-30,28,28.49
2004-08-06,20,27.14
2004-08-13,23,27.02
2004-08-20,23,27.20
2004-08-27,21,27.46
2004-09-03,17,27.11
2004-09-10,20,27.49
2004-09-17,19,27.51
2004-09-24,14,27.29
2004-10-01,16,28.25
2004-10-08,16,27.99
2004-10-15,15,27.99
2004-10-22,23,27.74
2004-10-29,22,27.97
2004-11-05,25,29.31
2004-11-12,39,29.97
2004-11-19,33,26.86
2004-11-26,18,26.60
2004-12-03,24,27.23
2004-12-10,19,27.08
2004-12-17,17,26.96
2004-12-24,12,
2004-12-31,16,26.72
2005-01-07,16,26.67
2005-01-14,20,26.12
2005-01-21,14,25.65
2005-01-28,17,26.18
2005-02-04,16,26.32
2005-02-11,17,25.97
2005-02-18,16,25.48
2005-02-25,12,25.25
2005-03-04,20,25.17
2005-03-11,17,25.09
2005-03-18,20,24.31
2005-03-25,16,
2005-04-01,23,24.12
2005-04-08,61,24.94
2005-04-15,25,24.46
2005-04-22,23,24.98
2005-04-29,34,25.30
2005-05-06,26,25.22
2005-05-13,31,25.30
2005-05-20,31,25.74
2005-05-27,44,26.07
2005-06-03,28,25.43
2005-06-10,35,25.43
2005-06-17,21,25.04
2005-06-24,35,25.04
2005-07-01,39,24.71
2005-07-08,31,25.09
2005-07-15,37,25.79
2005-07-22,53,25.68
2005-07-29,47,25.61
2005-08-05,55,27.76
2005-08-12,56,27.05
2005-08-19,53,26.72
2005-08-26,36,26.97
2005-09-02,44,27.02
2005-09-09,35,26.58
2005-09-16,37,26.07
2005-09-23,49,25.27
2005-09-30,40,25.73
2005-10-07,44,24.59
2005-10-14,46,24.67
2005-10-21,40,24.78
2005-10-28,60,25.53
2005-11-04,59,26.66
2005-11-11,60,27.28
2005-11-18,66,28.07
2005-11-25,69,27.76
2005-12-02,57,28.01
2005-12-09,48,27.71
2005-12-16,56,26.90
2005-12-23,46,26.64
2005-12-30,36,26.15
2006-01-06,49,26.91
2006-01-13,52,27.19
2006-01-20,43,26.41
2006-01-27,56,27.79
2006-02-03,59,27.54
2006-02-10,44,26.69
2006-02-17,46,26.70
2006-02-24,33,26.63
2006-03-03,47,26.93
2006-03-10,45,27.17
2006-03-17,44,27.50
2006-03-24,64,27.01
2006-03-31,44,27.21
2006-04-07,44,27.25
2006-04-14,32,
2006-04-21,34,27.15
2006-04-28,77,24.15
2006-05-05,100,23.80
2006-05-12,70,23.17
2006-05-19,67,22.56
2006-05-26,59,23.72
2006-06-02,65,22.76
2006-06-09,59,21.92
2006-06-16,76,22.10
2006-06-23,48,22.50
2006-06-30,49,23.30
2006-07-07,47,23.30
2006-07-14,58,22.29
2006-07-21,70,23.87
2006-07-28,61,24.25
2006-08-04,51,24.29
2006-08-11,51,24.43
2006-08-18,55,25.79
2006-08-25,55,25.85
