Date,CB,Price
2004-01-09,62,
2004-01-16,69,
2004-01-23,76,
2004-01-30,68,
2004-02-06,71,72.45
2004-02-13,65,70.76
2004-02-20,75,70.78
2004-02-27,71,70.98
2004-03-05,73,73.65
2004-03-12,69,69.34
2004-03-19,73,68.43
2004-03-26,74,67.90
2004-04-02,72,71.06
2004-04-09,76,
2004-04-16,78,69.79
2004-04-23,78,69.13
2004-04-30,72,69.00
2004-05-07,78,66.67
2004-05-14,73,68.00
2004-05-21,79,67.53
2004-05-28,74,67.37
2004-06-04,78,68.92
2004-06-11,71,
2004-06-18,69,68.54
2004-06-25,71,68.53
2004-07-02,70,67.13
2004-07-09,71,66.65
2004-07-16,76,66.32
2004-07-23,72,64.16
2004-07-30,79,68.78
2004-08-06,72,65.41
2004-08-13,68,65.78
2004-08-20,64,67.27
2004-08-27,76,68.45
2004-09-03,69,68.59
2004-09-10,73,69.29
2004-09-17,73,71.02
2004-09-24,72,69.60
2004-10-01,70,70.47
2004-10-08,69,70.05
2004-10-15,64,66.76
2004-10-22,68,65.46
2004-10-29,67,72.13
2004-11-05,63,73.60
2004-11-12,65,74.82
2004-11-19,68,73.78
2004-11-26,71,76.08
2004-12-03,62,76.20
2004-12-10,67,75.02
2004-12-17,66,76.27
2004-12-24,69,
2004-12-31,69,76.90
2005-01-07,69,75.91
2005-01-14,66,76.77
2005-01-21,64,75.24
2005-01-28,67,73.34
2005-02-04,64,77.60
2005-02-11,71,79.93
2005-02-18,70,78.70
2005-02-25,68,79.84
2005-03-04,68,79.60
2005-03-11,70,79.19
2005-03-18,62,77.97
2005-03-25,71,
2005-04-01,68,77.55
2005-04-08,76,78.05
2005-04-15,71,77.85
2005-04-22,79,78.33
2005-04-29,71,81.78
2005-05-06,73,83.55
2005-05-13,67,80.45
2005-05-20,68,82.83
2005-05-27,71,83.53
2005-06-03,71,83.60
2005-06-10,73,85.59
2005-06-17,70,84.80
2005-06-24,71,84.70
2005-07-01,70,85.44
2005-07-08,71,85.95
2005-07-15,68,86.97
2005-07-22,75,86.99
2005-07-29,68,88.82
2005-08-05,70,87.54
2005-08-12,71,87.66
2005-08-19,70,87.31
2005-08-26,72,87.06
2005-09-02,70,86.49
2005-09-09,68,86.60
2005-09-16,70,90.61
2005-09-23,66,88.06
2005-09-30,72,89.55
2005-10-07,72,86.33
2005-10-14,71,84.86
2005-10-21,67,85.67
2005-10-28,70,92.45
2005-11-04,67,94.84
2005-11-11,68,97.75
2005-11-18,67,97.77
2005-11-25,64,97.53
2005-12-02,63,97.23
2005-12-09,65,95.94
2005-12-16,62,96.56
