Date,CCL,Price
2004-01-09,21,
2004-01-16,19,
2004-01-23,18,
2004-01-30,16,
2004-02-06,13,44.23
2004-02-13,12,44.43
2004-02-20,16,44.55
2004-02-27,13,44.37
2004-03-05,12,45.61
2004-03-12,11,42.94
2004-03-19,17,42.51
2004-03-26,15,43.87
2004-04-02,12,45.94
2004-04-09,12,
2004-04-16,15,44.70
2004-04-23,14,44.30
2004-04-30,12,42.67
2004-05-07,14,41.50
2004-05-14,13,41.13
2004-05-21,16,40.90
2004-05-28,14,42.61
2004-06-04,14,42.12
2004-06-11,15,
2004-06-18,11,45.25
2004-06-25,11,46.93
2004-07-02,15,47.81
2004-07-09,15,46.50
2004-07-16,16,45.68
2004-07-23,15,44.39
2004-07-30,15,46.61
2004-08-06,16,43.60
2004-08-13,12,43.39
2004-08-20,15,44.75
2004-08-27,15,45.36
2004-09-03,14,46.46
2004-09-10,15,46.93
2004-09-17,14,48.31
2004-09-24,14,47.94
2004-10-01,16,47.84
2004-10-08,16,48.80
2004-10-15,19,48.98
2004-10-22,15,49.17
2004-10-29,14,50.56
2004-11-05,16,52.50
2004-11-12,14,53.65
2004-11-19,13,50.90
2004-11-26,14,52.87
2004-12-03,15,54.62
2004-12-10,14,54.65
2004-12-17,13,56.48
2004-12-24,12,
2004-12-31,18,57.63
2005-01-07,16,57.50
2005-01-14,17,57.24
2005-01-21,14,56.81
2005-01-28,13,56.72
2005-02-04,16,56.51
2005-02-11,17,55.55
2005-02-18,15,55.64
2005-02-25,15,54.75
2005-03-04,15,53.78
2005-03-11,14,53.87
2005-03-18,17,54.83
2005-03-25,18,
2005-04-01,16,50.78
2005-04-08,18,50.93
2005-04-15,17,48.65
2005-04-22,15,49.21
2005-04-29,16,48.88
2005-05-06,13,50.04
2005-05-13,15,49.67
2005-05-20,17,52.46
2005-05-27,15,52.84
2005-06-03,16,52.30
2005-06-10,14,51.00
2005-06-17,12,55.54
2005-06-24,19,55.12
2005-07-01,16,54.72
2005-07-08,15,54.74
2005-07-15,15,54.38
2005-07-22,16,53.82
2005-07-29,18,52.40
2005-08-05,16,51.76
2005-08-12,17,50.46
2005-08-19,14,50.93
2005-08-26,14,49.74
2005-09-02,14,48.24
2005-09-09,15,49.70
2005-09-16,17,49.03
2005-09-23,16,49.63
2005-09-30,17,49.98
2005-10-07,16,48.07
2005-10-14,15,47.54
2005-10-21,17,47.75
2005-10-28,17,48.72
2005-11-04,17,52.12
2005-11-11,17,54.05
2005-11-18,17,53.28
2005-11-25,17,54.16
2005-12-02,17,56.00
2005-12-09,14,54.57
2005-12-16,17,52.65
2005-12-23,14,53.91
