Date,LH,Price
2004-01-09,60,
2004-01-16,71,
2004-01-23,60,
2004-01-30,61,
2004-02-06,66,41.04
2004-02-13,68,39.00
2004-02-20,63,38.12
2004-02-27,67,39.19
2004-03-05,67,38.73
2004-03-12,54,38.05
2004-03-19,70,38.52
2004-03-26,69,38.90
2004-04-02,53,39.20
2004-04-09,48,
2004-04-16,65,39.10
2004-04-23,57,40.39
2004-04-30,57,39.74
2004-05-07,67,39.41
2004-05-14,60,39.02
2004-05-21,52,39.93
2004-05-28,58,41.36
2004-06-04,60,41.59
2004-06-11,60,
2004-06-18,63,42.47
2004-06-25,78,40.60
2004-07-02,71,39.40
2004-07-09,59,38.29
2004-07-16,55,38.47
2004-07-23,55,39.81
2004-07-30,58,39.16
2004-08-06,61,38.75
2004-08-13,65,38.65
2004-08-20,61,40.03
2004-08-27,65,41.29
2004-09-03,64,41.73
2004-09-10,62,41.81
2004-09-17,60,42.44
2004-09-24,65,43.72
2004-10-01,64,43.70
2004-10-08,56,42.95
2004-10-15,70,41.41
2004-10-22,53,43.00
2004-10-29,52,45.80
2004-11-05,69,47.30
2004-11-12,48,47.34
2004-11-19,54,47.01
2004-11-26,63,47.89
2004-12-03,59,48.00
2004-12-10,55,49.17
2004-12-17,60,49.39
2004-12-24,56,
2004-12-31,55,49.82
2005-01-07,54,47.85
2005-01-14,54,48.27
2005-01-21,59,47.25
2005-01-28,70,47.43
2005-02-04,72,49.74
2005-02-11,62,49.31
2005-02-18,65,49.30
2005-02-25,60,48.12
2005-03-04,64,47.56
2005-03-11,63,46.08
2005-03-18,65,45.40
2005-03-25,67,
2005-04-01,65,48.06
2005-04-08,55,49.48
2005-04-15,71,47.87
2005-04-22,68,48.81
2005-04-29,56,49.50
2005-05-06,67,50.69
2005-05-13,74,48.72
2005-05-20,56,50.01
2005-05-27,62,48.68
2005-06-03,71,48.70
2005-06-10,67,48.80
2005-06-17,57,50.08
2005-06-24,68,49.15
2005-07-01,65,49.61
2005-07-08,58,49.89
2005-07-15,67,50.10
2005-07-22,64,51.75
2005-07-29,63,50.67
2005-08-05,76,49.25
2005-08-12,66,49.62
2005-08-19,62,49.50
2005-08-26,60,49.07
2005-09-02,69,48.71
2005-09-09,63,48.65
2005-09-16,65,48.01
2005-09-23,67,48.07
2005-09-30,67,48.71
2005-10-07,66,48.51
2005-10-14,65,48.22
2005-10-21,58,49.32
2005-10-28,65,48.02
2005-11-04,67,48.10
2005-11-11,65,48.97
2005-11-18,60,50.69
2005-11-25,60,51.35
2005-12-02,63,51.41
2005-12-09,63,54.58
2005-12-16,67,54.54
2005-12-23,62,54.41
2005-12-30,59,53.85
2006-01-06,67,55.00
2006-01-13,61,56.93
2006-01-20,67,56.71
2006-01-27,64,58.23
2006-02-03,68,56.85
2006-02-10,59,56.36
2006-02-17,63,58.77
2006-02-24,67,58.31
2006-03-03,71,58.39
2006-03-10,68,57.32
2006-03-17,65,58.15
2006-03-24,63,59.32
2006-03-31,65,58.48
2006-04-07,70,57.45
2006-04-14,67,
2006-04-21,65,58.50
2006-04-28,69,57.10
2006-05-05,70,57.74
2006-05-12,68,58.52
2006-05-19,66,59.29
2006-05-26,68,59.03
2006-06-02,59,59.93
2006-06-09,62,60.86
2006-06-16,58,61.29
2006-06-23,61,61.29
2006-06-30,63,62.23
2006-07-07,69,62.06
2006-07-14,65,62.21
2006-07-21,62,62.15
2006-07-28,69,64.07
2006-08-04,64,65.69
2006-08-11,66,66.37
2006-08-18,63,68.06
2006-08-25,71,68.43
2006-09-01,61,68.15
2006-09-08,67,67.01
2006-09-15,64,66.82
2006-09-22,64,66.84
2006-09-29,69,65.57
2006-10-06,68,66.69
2006-10-13,57,66.15
2006-10-20,61,68.10
2006-10-27,68,68.15
2006-11-03,65,66.96
2006-11-10,67,67.87
2006-11-17,60,69.60
2006-11-24,73,69.20
2006-12-01,61,70.84
2006-12-08,65,72.05
2006-12-15,62,71.89
2006-12-22,60,73.94
2006-12-29,54,73.47
2007-01-05,57,73.49
2007-01-12,61,73.00
2007-01-19,68,73.08
2007-01-26,71,71.46
2007-02-02,61,73.53
2007-02-09,65,73.84
2007-02-16,64,80.37
2007-02-23,66,80.38
2007-03-02,64,68.36
2007-03-09,72,68.75
2007-03-16,69,70.86
2007-03-23,67,71.83
2007-03-30,68,72.63
2007-04-06,68,
2007-04-13,65,73.11
2007-04-20,64,74.07
2007-04-27,62,78.92
2007-05-04,62,78.14
2007-05-11,65,78.37
2007-05-18,59,78.43
2007-05-25,66,78.63
2007-06-01,66,79.74
2007-06-08,68,78.24
2007-06-15,67,79.92
2007-06-22,69,78.70
2007-06-29,66,78.26
2007-07-06,65,81.40
2007-07-13,67,81.08
2007-07-20,66,79.81
2007-07-27,59,74.15
2007-08-03,69,76.75
2007-08-10,68,76.11
2007-08-17,68,75.25
2007-08-24,72,75.85
2007-08-31,71,77.66
2007-09-07,69,77.74
2007-09-14,69,79.60
2007-09-21,71,77.61
2007-09-28,73,78.23
2007-10-05,66,77.57
2007-10-12,66,77.93
2007-10-19,72,76.28
2007-10-26,68,69.54
2007-11-02,63,68.52
2007-11-09,71,69.20
2007-11-16,64,69.72
2007-11-23,78,69.59
2007-11-30,74,72.67
2007-12-07,77,73.10
2007-12-14,64,74.60
2007-12-21,60,76.68
2007-12-28,54,75.55
2008-01-04,61,73.35
2008-01-11,69,78.55
2008-01-18,66,74.94
2008-01-25,70,73.50
2008-02-01,69,74.21
2008-02-08,67,79.11
2008-02-15,70,79.76
2008-02-22,70,79.29
2008-02-29,66,77.31
2008-03-07,86,77.57
2008-03-14,71,75.05
2008-03-21,72,
2008-03-28,68,73.00
