Date,HP,Price
2004-01-09,79,
2004-01-16,80,
2004-01-23,80,
2004-01-30,78,
2004-02-06,76,28.32
2004-02-13,75,29.48
2004-02-20,77,29.33
2004-02-27,73,29.72
2004-03-05,73,30.48
2004-03-12,74,28.90
2004-03-19,72,28.48
2004-03-26,71,27.68
2004-04-02,72,28.25
2004-04-09,73,
2004-04-16,70,29.55
2004-04-23,69,28.08
2004-04-30,71,26.99
2004-05-07,70,25.77
2004-05-14,70,25.15
2004-05-21,69,24.25
2004-05-28,69,24.95
2004-06-04,73,24.62
2004-06-11,73,
2004-06-18,72,26.24
2004-06-25,72,25.85
2004-07-02,72,26.57
2004-07-09,73,26.70
2004-07-16,72,27.43
2004-07-23,72,25.82
2004-07-30,74,25.32
2004-08-06,75,24.20
2004-08-13,69,24.51
2004-08-20,74,25.50
2004-08-27,76,25.45
2004-09-03,80,26.68
2004-09-10,78,26.85
2004-09-17,75,27.55
2004-09-24,73,28.92
2004-10-01,77,29.50
2004-10-08,76,29.86
2004-10-15,77,29.00
2004-10-22,76,29.19
2004-10-29,75,28.55
2004-11-05,71,28.24
2004-11-12,70,29.86
2004-11-19,74,31.04
2004-11-26,77,32.45
2004-12-03,80,31.36
2004-12-10,80,30.86
2004-12-17,81,33.09
2004-12-24,81,
2004-12-31,80,34.04
2005-01-07,77,31.57
2005-01-14,80,32.98
2005-01-21,77,34.28
2005-01-28,77,37.22
2005-02-04,75,39.11
2005-02-11,75,39.91
2005-02-18,77,40.63
2005-02-25,75,40.52
2005-03-04,76,41.10
2005-03-11,75,38.08
2005-03-18,71,39.30
2005-03-25,68,
2005-04-01,68,40.03
2005-04-08,67,39.95
2005-04-15,70,37.80
2005-04-22,69,40.32
2005-04-29,67,38.44
2005-05-06,65,40.87
2005-05-13,67,37.65
2005-05-20,64,38.49
2005-05-27,67,40.87
2005-06-03,69,41.90
2005-06-10,68,43.33
2005-06-17,69,45.25
2005-06-24,67,45.82
2005-07-01,67,47.61
2005-07-08,68,49.45
2005-07-15,67,49.14
2005-07-22,70,52.84
2005-07-29,69,57.12
2005-08-05,69,57.50
2005-08-12,67,58.00
2005-08-19,69,54.53
2005-08-26,69,55.60
2005-09-02,72,58.30
2005-09-09,70,59.41
2005-09-16,71,59.92
2005-09-23,70,58.13
2005-09-30,69,60.39
2005-10-07,70,53.64
2005-10-14,69,51.71
2005-10-21,70,50.47
2005-10-28,67,54.47
2005-11-04,67,55.39
2005-11-11,68,53.79
2005-11-18,69,55.01
2005-11-25,76,58.32
2005-12-02,72,59.56
2005-12-09,70,63.45
2005-12-16,72,62.23
2005-12-23,72,62.66
2005-12-30,70,61.91
2006-01-06,69,66.40
2006-01-13,70,70.18
2006-01-20,68,72.07
2006-01-27,70,75.74
2006-02-03,66,75.92
2006-02-10,69,71.65
2006-02-17,65,64.94
2006-02-24,67,68.21
2006-03-03,64,67.95
2006-03-10,64,60.96
2006-03-17,65,66.56
2006-03-24,63,66.60
2006-03-31,62,69.82
2006-04-07,62,68.88
2006-04-14,61,
2006-04-21,61,75.39
2006-04-28,60,72.74
2006-05-05,59,76.30
2006-05-12,61,74.89
2006-05-19,61,65.40
2006-05-26,60,64.26
2006-06-02,60,67.11
2006-06-09,61,58.52
2006-06-16,60,58.11
2006-06-23,60,56.42
2006-06-30,59,60.26
2006-07-07,60,58.45
2006-07-14,62,27.88
2006-07-21,63,24.75
2006-07-28,62,27.03
2006-08-04,64,25.84
2006-08-11,64,25.25
2006-08-18,65,25.17
2006-08-25,69,25.83
2006-09-01,69,24.73
2006-09-08,70,23.73
2006-09-15,71,22.93
2006-09-22,69,22.02
2006-09-29,71,23.03
2006-10-06,69,22.45
2006-10-13,66,23.73
2006-10-20,68,23.98
2006-10-27,66,24.71
2006-11-03,70,23.90
2006-11-10,69,24.67
2006-11-17,67,24.94
2006-11-24,70,25.64
2006-12-01,70,27.11
2006-12-08,71,27.37
2006-12-15,70,26.86
2006-12-22,69,24.77
2006-12-29,72,24.47
2007-01-05,66,23.13
2007-01-12,71,24.34
2007-01-19,69,25.08
2007-01-26,70,25.89
2007-02-02,72,28.35
2007-02-09,70,27.54
2007-02-16,70,27.04
2007-02-23,68,27.55
2007-03-02,65,26.40
2007-03-09,70,28.09
2007-03-16,69,28.36
2007-03-23,67,30.65
2007-03-30,67,30.34
2007-04-06,64,
2007-04-13,64,31.92
2007-04-20,66,31.29
2007-04-27,65,32.74
2007-05-04,63,32.20
2007-05-11,66,32.20
2007-05-18,65,33.32
2007-05-25,65,32.57
2007-06-01,66,33.87
2007-06-08,65,33.05
2007-06-15,64,35.22
2007-06-22,64,36.11
2007-06-29,66,35.42
2007-07-06,68,36.13
2007-07-13,68,36.30
2007-07-20,68,35.59
2007-07-27,67,32.14
2007-08-03,70,32.14
2007-08-10,70,31.55
2007-08-17,68,29.87
2007-08-24,71,31.42
2007-08-31,72,31.49
2007-09-07,73,31.83
2007-09-14,72,33.15
2007-09-21,72,34.54
2007-09-28,70,32.83
2007-10-05,72,33.09
2007-10-12,70,32.98
2007-10-19,68,31.38
2007-10-26,68,30.65
2007-11-02,69,31.84
2007-11-09,69,32.16
2007-11-16,70,34.08
2007-11-23,81,34.83
2007-11-30,81,34.55
2007-12-07,80,36.43
2007-12-14,72,36.36
2007-12-21,71,39.01
2007-12-28,74,40.28
2008-01-04,69,40.11
2008-01-11,75,37.95
2008-01-18,74,35.47
2008-01-25,71,35.77
2008-02-01,71,40.32
2008-02-08,70,41.32
2008-02-15,69,41.95
2008-02-22,72,43.73
2008-02-29,70,44.83
2008-03-07,70,44.15
2008-03-14,68,45.91
2008-03-21,69,
2008-03-28,68,46.16
2008-04-04,68,49.41
2008-04-11,70,51.62
2008-04-18,70,56.53
2008-04-25,68,55.84
2008-05-02,63,54.61
2008-05-09,66,57.98
2008-05-16,68,61.26
2008-05-23,66,60.03
2008-05-30,66,62.65
2008-06-06,67,65.23
2008-06-13,65,65.76
2008-06-20,66,72.03
2008-06-27,69,71.89
2008-07-04,68,
2008-07-11,67,67.50
2008-07-18,69,60.19
2008-07-25,70,57.94
2008-08-01,67,61.32
2008-08-08,70,53.00
2008-08-15,70,53.38
2008-08-22,71,56.61
2008-08-29,72,57.12
2008-09-05,72,49.33
2008-09-12,75,47.97
2008-09-19,71,52.66
2008-09-26,70,45.71
2008-10-03,68,36.41
2008-10-10,69,24.11
