Date,COP,Price
2004-01-09,47,
2004-01-16,44,
2004-01-23,42,
2004-01-30,47,
2004-02-06,43,66.03
2004-02-13,45,68.63
2004-02-20,45,68.13
2004-02-27,42,68.87
2004-03-05,41,70.33
2004-03-12,42,69.15
2004-03-19,41,69.29
2004-03-26,40,66.80
2004-04-02,42,68.93
2004-04-09,37,
2004-04-16,40,72.79
2004-04-23,38,71.83
2004-04-30,53,71.30
2004-05-07,40,73.14
2004-05-14,37,73.33
2004-05-21,37,70.47
2004-05-28,39,73.33
2004-06-04,48,73.94
2004-06-11,39,
2004-06-18,37,76.69
2004-06-25,39,77.19
2004-07-02,39,76.19
2004-07-09,37,77.35
2004-07-16,38,79.50
2004-07-23,40,77.17
2004-07-30,41,78.77
2004-08-06,39,73.92
2004-08-13,39,73.47
2004-08-20,44,74.16
2004-08-27,39,73.33
2004-09-03,41,76.19
2004-09-10,37,77.68
2004-09-17,36,79.13
2004-09-24,38,81.70
2004-10-01,41,84.07
2004-10-08,42,88.08
2004-10-15,39,83.99
2004-10-22,41,84.80
2004-10-29,44,84.31
2004-11-05,39,88.36
2004-11-12,36,87.89
2004-11-19,37,87.43
2004-11-26,31,90.36
2004-12-03,42,86.50
2004-12-10,38,84.75
2004-12-17,39,86.99
2004-12-24,36,
2004-12-31,38,86.83
2005-01-07,39,84.86
2005-01-14,42,89.02
2005-01-21,38,87.30
2005-01-28,36,90.99
2005-02-04,39,96.22
2005-02-11,37,99.04
2005-02-18,37,106.25
2005-02-25,39,112.32
2005-03-04,39,112.21
2005-03-11,39,105.59
2005-03-18,37,110.25
2005-03-25,38,
2005-04-01,38,110.28
2005-04-08,35,109.13
2005-04-15,37,100.07
2005-04-22,40,106.96
2005-04-29,37,104.85
2005-05-06,37,104.92
2005-05-13,37,98.51
2005-05-20,37,101.11
2005-05-27,36,107.55
2005-06-03,35,55.01
2005-06-10,38,55.94
2005-06-17,36,60.68
2005-06-24,40,58.21
2005-07-01,36,59.10
2005-07-08,36,60.24
2005-07-15,36,59.35
2005-07-22,36,61.25
2005-07-29,37,62.59
2005-08-05,35,63.75
2005-08-12,38,66.62
2005-08-19,39,63.07
2005-08-26,38,61.88
2005-09-02,40,66.77
2005-09-09,35,69.02
2005-09-16,38,69.15
2005-09-23,38,68.29
2005-09-30,36,69.91
2005-10-07,38,63.60
2005-10-14,43,62.33
2005-10-21,40,58.15
2005-10-28,46,63.26
2005-11-04,34,66.25
2005-11-11,39,63.50
2005-11-18,36,62.23
2005-11-25,37,64.00
2005-12-02,39,62.39
2005-12-09,43,63.07
2005-12-16,44,57.35
2005-12-23,38,59.15
2005-12-30,38,58.18
2006-01-06,40,60.89
2006-01-13,39,60.76
2006-01-20,37,64.65
2006-01-27,38,65.08
2006-02-03,42,62.50
2006-02-10,42,59.35
2006-02-17,40,61.09
2006-02-24,37,62.73
2006-03-03,37,62.48
2006-03-10,40,59.07
2006-03-17,36,61.36
2006-03-24,41,61.76
2006-03-31,40,63.15
2006-04-07,40,65.96
2006-04-14,46,
2006-04-21,39,72.50
2006-04-28,38,66.90
2006-05-05,40,66.85
2006-05-12,37,65.19
2006-05-19,37,62.72
2006-05-26,37,63.46
2006-06-02,37,64.51
2006-06-09,40,60.57
2006-06-16,40,61.17
2006-06-23,39,61.26
2006-06-30,38,65.53
2006-07-07,36,67.19
2006-07-14,35,67.45
2006-07-21,36,63.63
2006-07-28,38,67.95
2006-08-04,43,68.52
2006-08-11,43,68.38
2006-08-18,46,66.40
2006-08-25,44,66.30
2006-09-01,40,64.24
2006-09-08,40,60.34
2006-09-15,51,58.10
2006-09-22,44,58.04
2006-09-29,43,59.53
2006-10-06,43,58.01
2006-10-13,42,60.03
2006-10-20,45,60.86
2006-10-27,47,61.19
2006-11-03,38,60.97
2006-11-10,38,63.09
2006-11-17,38,62.70
2006-11-24,34,64.29
2006-12-01,38,67.37
2006-12-08,40,71.04
2006-12-15,41,72.77
2006-12-22,42,71.05
2006-12-29,40,71.95
2007-01-05,58,67.42
2007-01-12,43,63.83
2007-01-19,41,63.95
2007-01-26,41,64.77
2007-02-02,41,67.29
2007-02-09,50,66.99
2007-02-16,40,66.15
2007-02-23,37,67.20
2007-03-02,37,64.93
2007-03-09,40,67.80
2007-03-16,37,65.34
2007-03-23,46,69.25
2007-03-30,38,68.35
2007-04-06,38,
2007-04-13,39,70.54
2007-04-20,39,71.25
2007-04-27,70,70.04
2007-05-04,40,70.19
2007-05-11,39,70.19
2007-05-18,43,74.85
2007-05-25,44,76.42
2007-06-01,40,78.86
2007-06-08,40,77.29
2007-06-15,36,80.52
2007-06-22,36,78.74
2007-06-29,50,78.50
2007-07-06,47,81.04
2007-07-13,47,90.17
2007-07-20,43,86.30
2007-07-27,38,79.80
2007-08-03,40,77.59
2007-08-10,39,78.21
2007-08-17,40,79.13
2007-08-24,38,80.74
2007-08-31,38,81.89
2007-09-07,40,82.81
2007-09-14,52,85.27
2007-09-21,43,88.94
2007-09-28,40,87.77
2007-10-05,40,84.20
2007-10-12,44,85.72
2007-10-19,42,85.07
2007-10-26,42,84.81
2007-11-02,41,84.57
2007-11-09,40,82.56
2007-11-16,40,78.93
2007-11-23,45,79.12
2007-11-30,44,80.04
2007-12-07,46,83.30
2007-12-14,40,83.29
2007-12-21,42,86.71
2007-12-28,41,89.13
2008-01-04,43,85.56
2008-01-11,43,83.04
2008-01-18,45,72.89
2008-01-25,43,74.13
2008-02-01,42,80.36
2008-02-08,42,75.38
2008-02-15,52,79.05
2008-02-22,49,80.61
2008-02-29,44,82.71
2008-03-07,45,78.36
2008-03-14,52,77.49
2008-03-21,45,
2008-03-28,43,75.67
2008-04-04,41,78.81
2008-04-11,37,78.59
2008-04-18,40,83.89
2008-04-25,41,83.57
2008-05-02,41,86.88
2008-05-09,44,88.71
2008-05-16,40,91.98
2008-05-23,39,91.40
2008-05-30,42,93.10
2008-06-06,40,92.17
2008-06-13,40,94.26
2008-06-20,39,92.76
2008-06-27,42,91.64
2008-07-04,41,
2008-07-11,40,88.13
2008-07-18,40,83.91
2008-07-25,42,81.98
2008-08-01,45,81.15
2008-08-08,39,80.91
2008-08-15,40,77.66
2008-08-22,41,83.18
2008-08-29,40,82.51
2008-09-05,39,75.43
2008-09-12,40,73.43
2008-09-19,42,78.31
2008-09-26,49,76.24
2008-10-03,45,66.14
2008-10-10,45,48.23
2008-10-17,44,52.51
2008-10-24,47,48.45
2008-10-31,50,52.01
2008-11-07,40,51.58
2008-11-14,40,47.39
2008-11-21,40,46.84
2008-11-28,40,52.52
2008-12-05,44,47.77
2008-12-12,44,51.39
2008-12-19,45,50.80
2008-12-26,51,48.59
2009-01-02,61,54.85
2009-01-09,62,51.99
2009-01-16,79,49.38
2009-01-23,84,48.18
2009-01-30,71,47.53
2009-02-06,61,47.94
2009-02-13,58,45.67
2009-02-20,60,39.44
2009-02-27,56,37.35
2009-03-06,54,35.36
2009-03-13,54,36.41
2009-03-20,58,37.81
2009-03-27,71,40.33
2009-04-03,62,42.36
2009-04-10,57,
2009-04-17,53,40.17
2009-04-24,51,41.21
2009-05-01,56,42.50
