Date,NWL,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,24.18
2004-02-13,0,25.30
2004-02-20,0,25.77
2004-02-27,0,25.59
2004-03-05,0,25.64
2004-03-12,0,24.89
2004-03-19,0,22.75
2004-03-26,0,23.20
2004-04-02,0,23.75
2004-04-09,0,
2004-04-16,0,24.49
2004-04-23,0,24.84
2004-04-30,0,23.64
2004-05-07,0,22.63
2004-05-14,0,23.35
2004-05-21,0,22.87
2004-05-28,0,23.57
2004-06-04,0,23.51
2004-06-11,0,
2004-06-18,0,23.18
2004-06-25,0,23.00
2004-07-02,0,23.17
2004-07-09,0,22.67
2004-07-16,0,21.89
2004-07-23,0,21.56
2004-07-30,0,21.60
2004-08-06,0,20.81
2004-08-13,0,20.88
2004-08-20,0,21.69
2004-08-27,0,21.77
2004-09-03,0,22.04
2004-09-10,0,22.15
2004-09-17,0,21.69
2004-09-24,0,20.82
2004-10-01,0,20.16
2004-10-08,0,20.44
2004-10-15,0,19.68
2004-10-22,0,19.30
2004-10-29,0,21.56
2004-11-05,0,22.38
2004-11-12,0,22.80
2004-11-19,0,23.64
2004-11-26,0,23.49
2004-12-03,0,23.05
2004-12-10,0,22.46
2004-12-17,0,22.76
2004-12-24,0,
2004-12-31,0,24.19
2005-01-07,0,23.23
2005-01-14,0,23.01
2005-01-21,0,22.69
2005-01-28,0,21.70
2005-02-04,0,22.45
2005-02-11,0,22.75
2005-02-18,0,22.66
2005-02-25,0,22.16
2005-03-04,0,22.40
2005-03-11,0,21.86
2005-03-18,0,20.95
2005-03-25,0,
2005-04-01,0,21.92
2005-04-08,0,22.47
2005-04-15,0,21.50
2005-04-22,0,21.91
2005-04-29,0,21.73
2005-05-06,0,21.59
2005-05-13,0,21.50
2005-05-20,0,22.69
2005-05-27,0,22.55
2005-06-03,0,22.40
2005-06-10,71,23.02
2005-06-17,76,23.52
2005-06-24,82,23.86
2005-07-01,72,23.54
2005-07-08,72,24.05
2005-07-15,72,23.99
2005-07-22,72,23.75
2005-07-29,72,24.87
2005-08-05,73,24.48
2005-08-12,78,24.85
2005-08-19,0,24.16
2005-08-26,0,23.70
2005-09-02,0,23.02
2005-09-09,0,23.37
2005-09-16,0,23.38
2005-09-23,0,22.07
2005-09-30,0,22.65
2005-10-07,0,22.33
2005-10-14,0,21.84
2005-10-21,0,22.97
2005-10-28,0,22.94
2005-11-04,0,22.64
2005-11-11,0,23.00
2005-11-18,0,23.04
2005-11-25,0,23.15
2005-12-02,0,23.34
2005-12-09,0,23.91
2005-12-16,0,24.01
2005-12-23,81,24.00
2005-12-30,0,23.78
2006-01-06,0,24.01
2006-01-13,0,23.90
2006-01-20,0,23.95
2006-01-27,0,23.51
2006-02-03,61,23.55
2006-02-10,49,23.97
2006-02-17,75,24.39
2006-02-24,100,24.38
2006-03-03,62,24.89
2006-03-10,62,25.45
2006-03-17,61,25.61
2006-03-24,61,25.44
2006-03-31,61,25.19
2006-04-07,61,25.08
2006-04-14,65,
2006-04-21,68,25.25
2006-04-28,79,27.42
2006-05-05,69,28.31
2006-05-12,69,27.22
2006-05-19,69,26.63
2006-05-26,69,26.29
2006-06-02,52,26.25
2006-06-09,59,25.10
2006-06-16,67,25.71
2006-06-23,61,26.14
2006-06-30,66,25.83
2006-07-07,61,25.46
2006-07-14,61,24.36
2006-07-21,48,24.55
2006-07-28,62,26.50
2006-08-04,65,26.65
2006-08-11,50,26.19
2006-08-18,56,26.70
2006-08-25,62,26.65
2006-09-01,77,27.38
2006-09-08,63,27.00
2006-09-15,66,29.01
2006-09-22,76,28.60
2006-09-29,78,28.32
2006-10-06,81,29.11
2006-10-13,40,28.89
2006-10-20,58,28.92
2006-10-27,42,28.37
2006-11-03,42,28.55
2006-11-10,43,28.89
2006-11-17,43,29.15
2006-11-24,45,28.66
2006-12-01,54,28.82
2006-12-08,68,28.92
2006-12-15,69,29.36
2006-12-22,67,28.68
2006-12-29,34,28.95
2007-01-05,34,29.16
2007-01-12,34,29.67
2007-01-19,34,30.28
2007-01-26,34,30.43
2007-02-02,39,29.94
2007-02-09,39,29.84
2007-02-16,42,31.51
2007-02-23,43,31.74
2007-03-02,43,30.35
2007-03-09,57,30.59
2007-03-16,51,30.21
2007-03-23,40,31.70
2007-03-30,53,31.09
2007-04-06,46,
2007-04-13,54,30.67
2007-04-20,49,30.47
2007-04-27,49,31.14
2007-05-04,62,30.82
2007-05-11,48,31.30
2007-05-18,65,30.32
2007-05-25,42,31.42
2007-06-01,37,31.51
2007-06-08,51,30.18
2007-06-15,53,29.31
2007-06-22,32,29.12
2007-06-29,68,29.43
2007-07-06,49,29.52
2007-07-13,54,29.61
2007-07-20,61,28.59
2007-07-27,74,26.76
2007-08-03,45,26.21
2007-08-10,45,26.31
2007-08-17,76,25.25
2007-08-24,43,26.32
2007-08-31,67,25.79
2007-09-07,29,25.37
2007-09-14,46,25.76
2007-09-21,51,28.83
2007-09-28,50,28.82
2007-10-05,35,29.24
2007-10-12,53,28.63
2007-10-19,55,28.01
2007-10-26,47,29.02
2007-11-02,63,28.43
2007-11-09,49,27.13
2007-11-16,61,27.95
2007-11-23,50,28.70
2007-11-30,66,26.78
2007-12-07,63,26.86
2007-12-14,65,25.04
2007-12-21,48,25.87
2007-12-28,32,25.95
2008-01-04,50,23.91
2008-01-11,76,22.42
2008-01-18,62,22.83
2008-01-25,47,24.16
2008-02-01,36,23.92
2008-02-08,52,22.36
2008-02-15,40,22.72
2008-02-22,48,22.81
2008-02-29,47,22.70
2008-03-07,53,22.35
2008-03-14,54,22.16
2008-03-21,53,
2008-03-28,58,22.54
2008-04-04,41,23.43
2008-04-11,47,22.31
2008-04-18,34,22.55
2008-04-25,54,21.40
2008-05-02,44,21.08
2008-05-09,43,19.97
2008-05-16,28,21.08
2008-05-23,44,19.58
2008-05-30,40,20.08
2008-06-06,49,19.50
2008-06-13,41,19.17
2008-06-20,29,18.16
2008-06-27,41,16.98
2008-07-04,62,
2008-07-11,62,15.82
2008-07-18,60,16.34
2008-07-25,65,16.80
2008-08-01,51,16.36
2008-08-08,58,18.36
2008-08-15,51,19.02
2008-08-22,32,18.38
2008-08-29,33,18.10
2008-09-05,51,19.80
2008-09-12,39,20.18
2008-09-19,52,19.09
2008-09-26,53,18.07
2008-10-03,55,16.23
2008-10-10,52,12.82
2008-10-17,78,14.68
2008-10-24,35,13.07
2008-10-31,47,13.75
2008-11-07,38,13.79
2008-11-14,48,12.05
2008-11-21,53,10.10
2008-11-28,46,13.36
2008-12-05,45,13.03
2008-12-12,60,12.65
2008-12-19,63,9.50
2008-12-26,42,9.84
2009-01-02,35,10.52
2009-01-09,61,10.11
2009-01-16,45,8.83
2009-01-23,56,8.69
2009-01-30,53,8.08
2009-02-06,31,8.42
2009-02-13,42,7.58
2009-02-20,37,6.41
2009-02-27,56,5.65
2009-03-06,51,4.71
2009-03-13,58,5.61
2009-03-20,42,6.58
2009-03-27,57,6.91
2009-04-03,57,7.30
2009-04-10,37,
2009-04-17,33,7.92
2009-04-24,24,8.30
2009-05-01,49,10.81
2009-05-08,48,11.32
2009-05-15,42,10.39
2009-05-22,37,11.11
2009-05-29,39,11.51
2009-06-05,34,11.36
2009-06-12,34,10.80
2009-06-19,36,10.68
2009-06-26,39,10.28
2009-07-03,27,
2009-07-10,39,10.27
2009-07-17,21,11.43
2009-07-24,35,12.23
2009-07-31,50,12.87
2009-08-07,35,13.86
2009-08-14,26,13.73
2009-08-21,31,13.69
2009-08-28,36,13.64
2009-09-04,32,13.97
2009-09-11,35,15.11
2009-09-18,30,15.78
2009-09-25,32,15.12
2009-10-02,27,14.95
2009-10-09,32,15.10
2009-10-16,28,15.03
2009-10-23,32,15.15
2009-10-30,34,14.51
2009-11-06,32,14.42
2009-11-13,30,14.71
2009-11-20,21,14.45
2009-11-27,22,14.65
2009-12-04,26,15.14
2009-12-11,30,15.11
2009-12-18,28,14.83
2009-12-25,28,
2010-01-01,22,
2010-01-08,19,15.77
2010-01-15,28,14.91
2010-01-22,33,14.47
2010-01-29,34,13.57
2010-02-05,35,13.36
2010-02-12,29,13.78
2010-02-19,25,13.77
2010-02-26,35,13.75
2010-03-05,23,14.51
2010-03-12,30,15.36
2010-03-19,31,15.34
2010-03-26,25,15.26
2010-04-02,28,
2010-04-09,35,16.29
2010-04-16,28,16.66
2010-04-23,20,17.71
2010-04-30,26,17.07
2010-05-07,20,15.69
2010-05-14,27,16.49
2010-05-21,27,15.77
2010-05-28,25,16.66
2010-06-04,28,16.37
2010-06-11,32,16.62
2010-06-18,26,16.99
2010-06-25,33,15.86
2010-07-02,31,14.28
2010-07-09,32,15.39
2010-07-16,37,14.95
2010-07-23,44,15.77
2010-07-30,30,15.50
2010-08-06,34,16.37
2010-08-13,32,16.02
2010-08-20,30,15.34
2010-08-27,35,15.40
2010-09-03,30,16.10
2010-09-10,27,16.83
2010-09-17,38,16.74
2010-09-24,31,17.87
2010-10-01,33,17.99
2010-10-08,32,18.28
2010-10-15,29,18.11
2010-10-22,31,18.07
2010-10-29,37,17.65
2010-11-05,31,17.47
2010-11-12,26,17.28
2010-11-19,30,17.13
2010-11-26,27,17.14
2010-12-03,32,17.69
2010-12-10,26,17.58
2010-12-17,34,18.00
2010-12-24,20,
2010-12-31,31,18.18
2011-01-07,41,18.07
2011-01-14,32,17.76
2011-01-21,26,17.70
2011-01-28,33,19.34
2011-02-04,35,19.61
2011-02-11,35,20.02
2011-02-18,27,20.21
2011-02-25,26,19.42
2011-03-04,29,19.15
2011-03-11,37,19.54
2011-03-18,32,18.87
2011-03-25,40,19.52
2011-04-01,33,19.25
2011-04-08,30,18.81
2011-04-15,18,19.13
2011-04-22,34,
2011-04-29,20,19.06
2011-05-06,22,18.65
2011-05-13,39,18.47
2011-05-20,31,17.86
2011-05-27,33,17.65
2011-06-03,36,14.97
2011-06-10,41,14.61
2011-06-17,25,14.72
2011-06-24,49,15.66
2011-07-01,42,16.13
2011-07-08,28,15.96
2011-07-15,36,15.38
2011-07-22,33,15.25
2011-07-29,28,15.52
2011-08-05,37,13.16
2011-08-12,24,13.94
2011-08-19,21,12.46
2011-08-26,32,13.46
2011-09-02,23,13.25
2011-09-09,29,12.81
2011-09-16,39,12.99
2011-09-23,33,11.44
2011-09-30,34,11.87
2011-10-07,19,12.20
2011-10-14,42,13.09
2011-10-21,20,13.44
2011-10-28,41,15.36
2011-11-04,36,15.91
2011-11-11,37,16.20
2011-11-18,28,15.15
2011-11-25,22,14.25
2011-12-02,31,15.02
2011-12-09,26,15.60
2011-12-16,24,14.99
2011-12-23,29,16.08
2011-12-30,20,16.15
2012-01-06,26,17.00
2012-01-13,23,17.19
2012-01-20,19,17.30
2012-01-27,31,18.82
2012-02-03,31,18.72
2012-02-10,25,18.88
2012-02-17,19,19.26
2012-02-24,30,18.38
2012-03-02,37,18.17
2012-03-09,29,17.92
2012-03-16,30,18.47
2012-03-23,21,18.12
2012-03-30,23,17.81
2012-04-06,27,
2012-04-13,19,17.13
2012-04-20,26,17.40
2012-04-27,24,18.57
2012-05-04,29,18.56
2012-05-11,25,18.32
2012-05-18,30,17.69
2012-05-25,31,18.94
2012-06-01,33,17.66
2012-06-08,36,17.99
2012-06-15,31,18.49
2012-06-22,32,18.01
2012-06-29,44,18.14
2012-07-06,40,18.29
2012-07-13,42,17.70
2012-07-20,35,18.12
2012-07-27,21,18.09
2012-08-03,19,17.07
2012-08-10,29,16.98
2012-08-17,22,17.60
2012-08-24,42,17.65
2012-08-31,27,17.93
2012-09-07,31,18.76
2012-09-14,32,19.71
2012-09-21,25,19.31
2012-09-28,37,19.09
2012-10-05,28,19.48
2012-10-12,24,19.75
2012-10-19,28,20.60
2012-10-26,28,20.59
2012-11-02,23,21.04
2012-11-09,22,20.34
2012-11-16,30,20.94
2012-11-23,30,21.35
2012-11-30,21,21.81
2012-12-07,27,21.91
2012-12-14,26,21.97
2012-12-21,26,21.82
2012-12-28,10,21.82
2013-01-04,19,22.55
2013-01-11,32,21.80
2013-01-18,33,23.12
2013-01-25,25,23.23
2013-02-01,35,23.39
2013-02-08,31,24.14
2013-02-15,31,24.18
2013-02-22,31,23.48
2013-03-01,30,23.30
2013-03-08,31,24.94
2013-03-15,33,25.51
2013-03-22,25,25.27
2013-03-29,22,
2013-04-05,28,25.00
2013-04-12,30,25.65
2013-04-19,23,26.37
2013-04-26,25,26.45
2013-05-03,33,26.57
2013-05-10,29,27.58
2013-05-17,28,28.05
2013-05-24,25,27.39
2013-05-31,33,27.04
2013-06-07,26,27.28
2013-06-14,28,27.17
2013-06-21,35,25.95
2013-06-28,35,26.25
2013-07-05,40,26.12
2013-07-12,35,27.04
2013-07-19,33,27.15
2013-07-26,38,27.09
2013-08-02,34,27.71
2013-08-09,38,26.83
2013-08-16,34,25.95
2013-08-23,26,25.51
2013-08-30,32,25.30
2013-09-06,29,26.04
2013-09-13,30,26.93
2013-09-20,27,27.29
2013-09-27,23,27.59
2013-10-04,30,27.54
2013-10-11,33,27.81
2013-10-18,31,29.02
2013-10-25,27,29.40
2013-11-01,29,29.64
2013-11-08,26,29.01
2013-11-15,24,30.10
2013-11-22,33,30.34
2013-11-29,24,30.35
2013-12-06,27,30.91
2013-12-13,28,30.76
2013-12-20,28,31.64
2013-12-27,21,32.20
2014-01-03,23,32.40
2014-01-10,30,32.03
2014-01-17,31,31.77
2014-01-24,30,30.95
2014-01-31,33,30.90
2014-02-07,33,30.82
2014-02-14,38,31.36
2014-02-21,31,31.79
2014-02-28,24,32.11
2014-03-07,27,31.32
2014-03-14,26,29.32
2014-03-21,31,29.75
2014-03-28,27,29.18
2014-04-04,28,29.31
2014-04-11,35,28.68
2014-04-18,25,
2014-04-25,21,30.09
2014-05-02,21,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
