Date,ETR,Price
2004-01-09,55,
2004-01-16,46,
2004-01-23,67,
2004-01-30,49,
2004-02-06,56,59.55
2004-02-13,37,57.99
2004-02-20,60,57.90
2004-02-27,54,59.29
2004-03-05,36,58.58
2004-03-12,45,57.80
2004-03-19,31,58.11
2004-03-26,41,58.30
2004-04-02,35,59.37
2004-04-09,31,
2004-04-16,34,56.23
2004-04-23,45,56.34
2004-04-30,53,54.60
2004-05-07,31,52.24
2004-05-14,47,51.67
2004-05-21,39,51.54
2004-05-28,29,54.61
2004-06-04,43,54.19
2004-06-11,32,
2004-06-18,45,54.98
2004-06-25,57,56.48
2004-07-02,26,55.98
2004-07-09,43,55.50
2004-07-16,37,56.95
2004-07-23,52,55.13
2004-07-30,61,57.50
2004-08-06,43,58.88
2004-08-13,40,59.02
2004-08-20,58,59.70
2004-08-27,38,59.79
2004-09-03,54,60.58
2004-09-10,49,61.72
2004-09-17,61,60.67
2004-09-24,47,59.88
2004-10-01,46,60.45
2004-10-08,49,62.92
2004-10-15,43,62.57
2004-10-22,49,62.77
2004-10-29,44,65.36
2004-11-05,46,65.50
2004-11-12,33,68.04
2004-11-19,47,65.51
2004-11-26,52,66.92
2004-12-03,37,64.95
2004-12-10,51,65.10
2004-12-17,41,66.70
2004-12-24,41,
2004-12-31,40,67.59
2005-01-07,38,64.91
2005-01-14,45,66.50
2005-01-21,42,66.70
2005-01-28,51,69.54
2005-02-04,46,71.58
2005-02-11,47,70.21
2005-02-18,47,68.85
2005-02-25,44,70.27
2005-03-04,34,71.20
2005-03-11,33,70.00
2005-03-18,41,70.22
2005-03-25,34,
2005-04-01,52,71.24
2005-04-08,35,72.45
2005-04-15,35,70.10
2005-04-22,42,72.35
2005-04-29,40,73.30
2005-05-06,46,72.60
2005-05-13,49,70.43
2005-05-20,41,71.01
2005-05-27,46,72.07
2005-06-03,44,72.70
2005-06-10,52,73.60
2005-06-17,52,73.63
2005-06-24,45,74.91
2005-07-01,43,75.77
2005-07-08,43,76.58
2005-07-15,45,75.80
2005-07-22,54,76.93
2005-07-29,39,77.94
2005-08-05,34,76.38
2005-08-12,51,75.55
2005-08-19,52,75.33
2005-08-26,45,77.29
2005-09-02,58,75.55
2005-09-09,58,74.80
2005-09-16,62,74.77
2005-09-23,63,72.00
2005-09-30,43,74.32
2005-10-07,46,71.68
2005-10-14,40,69.72
2005-10-21,42,68.38
2005-10-28,46,70.44
2005-11-04,48,69.83
2005-11-11,60,68.96
2005-11-18,57,68.70
2005-11-25,48,71.00
2005-12-02,41,70.19
2005-12-09,34,70.45
2005-12-16,60,70.40
2005-12-23,47,69.18
2005-12-30,32,68.65
2006-01-06,45,70.58
2006-01-13,50,70.87
2006-01-20,41,70.48
2006-01-27,47,69.78
2006-02-03,40,69.01
2006-02-10,49,70.00
2006-02-17,34,70.77
2006-02-24,37,72.18
2006-03-03,41,70.94
2006-03-10,36,70.93
2006-03-17,43,71.64
2006-03-24,48,69.98
2006-03-31,43,68.94
2006-04-07,48,69.57
2006-04-14,46,
2006-04-21,39,70.09
2006-04-28,51,69.94
2006-05-05,53,70.46
2006-05-12,40,68.12
2006-05-19,44,68.56
2006-05-26,46,69.56
2006-06-02,47,72.31
2006-06-09,50,72.48
2006-06-16,48,71.08
2006-06-23,46,69.73
2006-06-30,55,70.75
2006-07-07,52,72.06
2006-07-14,39,73.59
2006-07-21,49,76.61
2006-07-28,52,77.61
2006-08-04,48,77.90
2006-08-11,48,77.78
2006-08-18,48,77.46
2006-08-25,50,77.08
2006-09-01,62,77.54
2006-09-08,61,78.11
2006-09-15,57,78.38
2006-09-22,60,77.01
2006-09-29,59,78.23
2006-10-06,43,80.63
2006-10-13,47,81.20
2006-10-20,53,85.30
2006-10-27,53,86.45
2006-11-03,49,84.26
2006-11-10,44,86.73
2006-11-17,46,89.35
2006-11-24,48,89.31
2006-12-01,58,90.83
2006-12-08,55,91.23
2006-12-15,58,92.60
2006-12-22,53,92.80
2006-12-29,53,92.32
2007-01-05,64,91.76
2007-01-12,63,90.46
2007-01-19,69,91.03
2007-01-26,59,91.88
2007-02-02,58,95.13
2007-02-09,57,98.12
2007-02-16,48,99.66
2007-02-23,54,100.95
2007-03-02,47,96.25
2007-03-09,48,97.83
2007-03-16,51,99.78
2007-03-23,43,104.06
2007-03-30,44,104.92
2007-04-06,45,
2007-04-13,47,109.74
2007-04-20,48,113.90
2007-04-27,50,114.12
2007-05-04,62,117.27
2007-05-11,60,118.37
2007-05-18,59,118.27
2007-05-25,66,110.91
2007-06-01,61,112.27
2007-06-08,77,106.80
2007-06-15,55,112.34
2007-06-22,59,105.18
2007-06-29,58,107.35
2007-07-06,52,107.25
2007-07-13,52,110.25
2007-07-20,46,106.76
2007-07-27,55,97.84
2007-08-03,53,98.56
2007-08-10,45,97.99
2007-08-17,48,99.84
2007-08-24,64,105.11
2007-08-31,76,103.62
2007-09-07,87,104.44
2007-09-14,88,105.70
2007-09-21,69,109.59
2007-09-28,48,108.29
2007-10-05,54,114.59
2007-10-12,61,115.42
2007-10-19,64,112.19
2007-10-26,58,119.49
2007-11-02,52,118.69
2007-11-09,57,119.46
2007-11-16,56,117.70
2007-11-23,61,115.13
2007-11-30,64,119.54
2007-12-07,75,122.46
2007-12-14,77,116.87
2007-12-21,70,120.06
2007-12-28,53,120.74
2008-01-04,58,118.70
2008-01-11,76,124.39
2008-01-18,81,111.25
2008-01-25,70,106.33
2008-02-01,74,109.57
2008-02-08,69,104.30
2008-02-15,62,106.49
2008-02-22,52,104.50
2008-02-29,51,102.74
2008-03-07,52,105.48
2008-03-14,49,107.30
2008-03-21,50,
2008-03-28,52,108.06
2008-04-04,57,111.35
2008-04-11,46,109.19
2008-04-18,51,113.86
2008-04-25,51,113.21
2008-05-02,59,115.85
2008-05-09,60,114.32
2008-05-16,68,119.10
2008-05-23,63,120.38
2008-05-30,75,120.77
2008-06-06,68,117.76
2008-06-13,69,121.21
2008-06-20,70,120.98
2008-06-27,63,117.72
2008-07-04,54,
2008-07-11,48,119.71
2008-07-18,47,110.60
2008-07-25,44,107.01
2008-08-01,48,104.12
2008-08-08,44,102.05
2008-08-15,44,100.55
2008-08-22,57,102.50
2008-08-29,64,103.39
2008-09-05,77,96.85
2008-09-12,70,100.60
2008-09-19,56,91.24
2008-09-26,59,90.53
2008-10-03,58,86.65
2008-10-10,56,68.25
2008-10-17,49,80.85
2008-10-24,45,79.27
2008-10-31,52,78.05
2008-11-07,50,80.10
2008-11-14,53,79.99
2008-11-21,60,85.76
2008-11-28,57,85.10
2008-12-05,58,83.11
2008-12-12,59,81.54
2008-12-19,70,81.86
2008-12-26,57,81.72
2009-01-02,57,84.69
2009-01-09,76,80.12
2009-01-16,71,77.11
2009-01-23,81,78.06
2009-01-30,73,76.36
2009-02-06,75,74.29
2009-02-13,60,69.98
2009-02-20,60,67.64
2009-02-27,51,67.39
2009-03-06,55,63.52
2009-03-13,47,60.53
2009-03-20,49,67.05
2009-03-27,47,68.00
2009-04-03,53,69.22
2009-04-10,41,
2009-04-17,52,68.19
2009-04-24,57,64.00
2009-05-01,52,66.90
2009-05-08,55,74.70
2009-05-15,70,73.42
2009-05-22,70,72.58
2009-05-29,73,74.62
2009-06-05,68,74.17
2009-06-12,67,78.24
2009-06-19,63,76.87
2009-06-26,61,76.43
2009-07-03,51,
2009-07-10,55,72.71
2009-07-17,49,74.86
2009-07-24,47,80.96
2009-07-31,48,80.33
2009-08-07,50,78.87
2009-08-14,51,79.06
2009-08-21,54,81.78
2009-08-28,64,79.95
2009-09-04,95,79.58
2009-09-11,89,77.69
2009-09-18,68,80.89
2009-09-25,66,79.36
2009-10-02,59,77.38
2009-10-09,60,79.73
2009-10-16,58,80.64
2009-10-23,56,79.29
2009-10-30,50,76.72
2009-11-06,54,77.01
2009-11-13,64,78.64
2009-11-20,62,77.79
2009-11-27,72,78.50
2009-12-04,68,80.46
2009-12-11,76,83.06
2009-12-18,79,83.04
2009-12-25,68,
2010-01-01,62,
2010-01-08,84,79.51
2010-01-15,76,81.85
2010-01-22,78,78.54
2010-01-29,84,76.31
2010-02-05,74,77.09
2010-02-12,72,77.14
2010-02-19,58,78.75
2010-02-26,58,75.97
2010-03-05,53,79.45
2010-03-12,52,78.25
2010-03-19,47,80.69
2010-03-26,49,80.28
2010-04-02,46,
2010-04-09,49,82.26
2010-04-16,48,80.19
2010-04-23,45,82.28
2010-04-30,61,81.29
2010-05-07,58,75.79
2010-05-14,67,77.42
2010-05-21,76,74.60
2010-05-28,67,75.07
2010-06-04,71,71.99
2010-06-11,68,74.39
2010-06-18,64,78.10
2010-06-25,67,73.43
2010-07-02,56,70.70
2010-07-09,42,76.11
2010-07-16,41,75.96
2010-07-23,46,78.29
2010-07-30,47,77.51
2010-08-06,50,79.75
2010-08-13,54,78.11
2010-08-20,56,77.46
2010-08-27,79,79.64
2010-09-03,98,79.97
2010-09-10,94,80.09
2010-09-17,75,76.68
2010-09-24,69,77.05
2010-10-01,66,77.17
2010-10-08,60,76.12
2010-10-15,60,76.97
2010-10-22,56,74.59
2010-10-29,57,74.53
2010-11-05,54,75.40
2010-11-12,60,72.26
2010-11-19,57,73.74
2010-11-26,66,72.32
2010-12-03,71,72.39
2010-12-10,69,70.37
2010-12-17,75,70.51
2010-12-24,75,
2010-12-31,62,70.83
2011-01-07,78,72.35
2011-01-14,83,73.11
2011-01-21,84,73.04
2011-01-28,82,72.07
2011-02-04,83,73.25
2011-02-11,82,72.11
2011-02-18,65,71.71
2011-02-25,52,70.93
2011-03-04,55,72.25
2011-03-11,51,73.69
2011-03-18,51,65.64
2011-03-25,52,66.61
2011-04-01,47,67.64
2011-04-08,44,66.30
2011-04-15,50,66.52
2011-04-22,54,
2011-04-29,60,69.72
2011-05-06,67,69.33
2011-05-13,67,68.99
2011-05-20,74,69.04
2011-05-27,72,67.77
2011-06-03,74,66.61
2011-06-10,69,67.77
2011-06-17,69,69.35
2011-06-24,66,68.17
2011-07-01,56,68.38
2011-07-08,45,67.94
2011-07-15,43,67.34
2011-07-22,49,68.31
2011-07-29,47,66.80
2011-08-05,51,62.84
2011-08-12,55,61.55
2011-08-19,53,61.88
2011-08-26,68,62.43
2011-09-02,100,63.62
2011-09-09,96,62.30
2011-09-16,84,65.60
2011-09-23,66,65.27
2011-09-30,62,66.29
2011-10-07,62,65.38
2011-10-14,58,66.69
2011-10-21,59,68.48
2011-10-28,58,69.01
2011-11-04,54,69.46
2011-11-11,58,69.95
2011-11-18,63,68.77
2011-11-25,65,66.54
2011-12-02,72,69.64
2011-12-09,67,71.27
2011-12-16,80,71.64
2011-12-23,82,73.14
2011-12-30,56,73.05
2012-01-06,77,71.50
2012-01-13,86,71.11
2012-01-20,79,69.93
2012-01-27,86,70.62
2012-02-03,87,69.04
2012-02-10,79,67.80
2012-02-17,72,67.78
2012-02-24,60,67.14
2012-03-02,62,67.13
2012-03-09,58,67.87
2012-03-16,51,67.87
2012-03-23,50,66.83
2012-03-30,52,67.20
2012-04-06,46,
2012-04-13,50,65.50
2012-04-20,55,65.65
2012-04-27,58,65.30
2012-05-04,61,65.11
2012-05-11,72,64.72
2012-05-18,74,63.08
2012-05-25,77,64.51
2012-06-01,78,64.35
2012-06-08,78,66.28
2012-06-15,73,66.55
2012-06-22,82,66.70
2012-06-29,66,67.89
2012-07-06,60,67.88
2012-07-13,49,69.60
2012-07-20,44,71.31
2012-07-27,45,72.59
2012-08-03,49,72.71
2012-08-10,50,71.75
2012-08-17,47,69.48
2012-08-24,70,68.73
2012-08-31,86,68.08
2012-09-07,92,68.21
2012-09-14,84,68.36
2012-09-21,67,68.45
2012-09-28,64,69.30
2012-10-05,63,70.48
2012-10-12,57,69.95
2012-10-19,50,71.23
2012-10-26,54,72.10
2012-11-02,52,71.23
2012-11-09,54,64.90
2012-11-16,53,62.86
2012-11-23,61,62.04
2012-11-30,60,63.54
2012-12-07,66,63.94
2012-12-14,71,63.40
2012-12-21,70,64.52
2012-12-28,44,62.58
2013-01-04,51,64.43
2013-01-11,71,63.07
2013-01-18,68,63.87
2013-01-25,71,64.59
2013-02-01,71,64.84
2013-02-08,65,64.47
2013-02-15,60,61.45
2013-02-22,53,62.05
2013-03-01,44,62.12
2013-03-08,49,63.43
2013-03-15,42,65.23
2013-03-22,42,62.38
2013-03-29,40,
2013-04-05,40,67.28
2013-04-12,45,69.70
2013-04-19,46,69.71
2013-04-26,47,69.11
2013-05-03,52,71.10
2013-05-10,54,67.49
2013-05-17,63,71.14
2013-05-24,62,68.94
2013-05-31,67,68.88
2013-06-07,61,68.19
2013-06-14,60,68.47
2013-06-21,53,68.13
2013-06-28,53,69.68
2013-07-05,47,68.06
2013-07-12,40,70.89
2013-07-19,42,71.91
2013-07-26,40,70.13
2013-08-02,44,68.19
2013-08-09,43,66.90
2013-08-16,48,64.59
2013-08-23,60,63.94
2013-08-30,71,63.23
2013-09-06,78,62.92
2013-09-13,63,63.09
2013-09-20,58,63.63
2013-09-27,52,63.32
2013-10-04,51,63.48
2013-10-11,51,65.30
2013-10-18,46,66.35
2013-10-25,43,68.27
2013-11-01,45,65.14
2013-11-08,48,64.42
2013-11-15,49,63.67
2013-11-22,49,62.53
2013-11-29,57,61.89
2013-12-06,62,63.01
2013-12-13,69,61.20
2013-12-20,66,62.49
2013-12-27,38,62.83
2014-01-03,47,61.03
2014-01-10,62,61.06
2014-01-17,66,61.61
2014-01-24,62,61.28
2014-01-31,64,63.03
2014-02-07,68,63.56
2014-02-14,58,64.49
2014-02-21,48,64.45
2014-02-28,46,63.82
2014-03-07,46,62.56
2014-03-14,42,64.58
2014-03-21,42,66.03
2014-03-28,42,66.65
2014-04-04,41,69.07
2014-04-11,44,70.35
2014-04-18,40,
2014-04-25,42,71.84
2014-05-02,46,
