Date,AFL,Price
2004-01-09,14,
2004-01-16,14,
2004-01-23,14,
2004-01-30,15,
2004-02-06,21,39.75
2004-02-13,25,40.26
2004-02-20,23,41.13
2004-02-27,29,40.61
2004-03-05,24,40.09
2004-03-12,29,39.87
2004-03-19,30,39.87
2004-03-26,50,39.60
2004-04-02,48,41.44
2004-04-09,47,
2004-04-16,49,41.94
2004-04-23,43,41.68
2004-04-30,46,42.23
2004-05-07,50,40.30
2004-05-14,46,39.75
2004-05-21,49,40.64
2004-05-28,45,40.60
2004-06-04,44,41.07
2004-06-11,46,
2004-06-18,46,40.55
2004-06-25,38,40.40
2004-07-02,39,40.98
2004-07-09,41,40.43
2004-07-16,43,41.09
2004-07-23,43,41.22
2004-07-30,43,39.64
2004-08-06,52,38.21
2004-08-13,43,38.18
2004-08-20,45,39.88
2004-08-27,43,39.99
2004-09-03,48,40.37
2004-09-10,50,40.00
2004-09-17,46,39.85
2004-09-24,59,38.73
2004-10-01,32,40.15
2004-10-08,30,39.76
2004-10-15,21,38.93
2004-10-22,18,37.56
2004-10-29,19,35.88
2004-11-05,16,36.88
2004-11-12,17,37.25
2004-11-19,17,37.40
2004-11-26,16,37.70
2004-12-03,13,39.43
2004-12-10,12,39.22
2004-12-17,13,39.59
2004-12-24,11,
2004-12-31,8,39.84
2005-01-07,13,39.69
2005-01-14,15,39.65
2005-01-21,14,39.61
2005-01-28,17,39.07
2005-02-04,24,38.88
2005-02-11,25,38.94
2005-02-18,30,38.67
2005-02-25,33,38.72
2005-03-04,26,39.19
2005-03-11,28,38.41
2005-03-18,30,38.13
2005-03-25,57,
2005-04-01,60,37.10
2005-04-08,73,37.08
2005-04-15,58,35.70
2005-04-22,55,36.61
2005-04-29,56,40.65
2005-05-06,60,40.79
2005-05-13,55,39.68
2005-05-20,55,40.22
2005-05-27,53,41.40
2005-06-03,54,42.29
2005-06-10,48,42.21
2005-06-17,53,43.72
2005-06-24,43,43.05
2005-07-01,41,43.87
2005-07-08,47,44.60
2005-07-15,49,44.44
2005-07-22,51,43.75
2005-07-29,56,45.10
2005-08-05,56,43.70
2005-08-12,57,43.73
2005-08-19,55,43.48
