Date,SWK,Price
2004-01-09,100,
2004-01-16,64,
2004-01-23,75,
2004-01-30,72,
2004-02-06,49,37.90
2004-02-13,46,38.14
2004-02-20,32,38.00
2004-02-27,45,38.73
2004-03-05,44,39.15
2004-03-12,44,37.21
2004-03-19,44,39.65
2004-03-26,78,42.46
2004-04-02,40,43.04
2004-04-09,40,
2004-04-16,54,44.84
2004-04-23,42,44.80
2004-04-30,42,42.51
2004-05-07,51,41.16
2004-05-14,46,41.54
2004-05-21,56,41.56
2004-05-28,41,43.55
2004-06-04,43,43.36
2004-06-11,45,
2004-06-18,44,43.12
2004-06-25,42,45.39
2004-07-02,33,44.50
2004-07-09,37,42.81
2004-07-16,36,42.53
2004-07-23,45,43.60
2004-07-30,58,42.40
2004-08-06,52,40.27
2004-08-13,32,41.33
2004-08-20,35,43.90
2004-08-27,59,43.65
2004-09-03,53,42.76
2004-09-10,39,42.62
2004-09-17,47,43.35
2004-09-24,41,42.28
2004-10-01,48,42.67
2004-10-08,44,41.69
2004-10-15,46,41.26
2004-10-22,30,43.93
2004-10-29,37,44.52
2004-11-05,30,47.77
2004-11-12,36,47.74
2004-11-19,27,46.75
2004-11-26,27,46.92
2004-12-03,23,46.95
2004-12-10,35,47.11
2004-12-17,40,47.21
2004-12-24,28,
2004-12-31,33,48.99
2005-01-07,37,46.24
2005-01-14,51,46.94
2005-01-21,24,46.54
2005-01-28,38,47.15
2005-02-04,51,47.82
2005-02-11,30,47.29
2005-02-18,29,46.45
2005-02-25,40,46.16
2005-03-04,51,47.31
2005-03-11,40,46.81
2005-03-18,50,45.50
2005-03-25,28,
2005-04-01,44,44.81
2005-04-08,32,45.89
2005-04-15,39,45.62
2005-04-22,20,45.35
2005-04-29,39,43.03
2005-05-06,41,43.33
2005-05-13,30,42.37
2005-05-20,46,44.23
2005-05-27,41,44.61
2005-06-03,33,44.90
2005-06-10,38,44.48
2005-06-17,54,45.76
2005-06-24,35,44.94
2005-07-01,22,46.52
2005-07-08,28,46.24
2005-07-15,22,46.72
2005-07-22,29,49.49
2005-07-29,29,48.93
2005-08-05,20,46.88
2005-08-12,32,47.00
2005-08-19,38,45.93
2005-08-26,39,44.83
2005-09-02,33,45.30
2005-09-09,25,45.99
2005-09-16,30,46.17
2005-09-23,27,44.84
2005-09-30,42,46.68
2005-10-07,21,45.55
2005-10-14,52,47.76
2005-10-21,38,47.28
2005-10-28,43,47.18
2005-11-04,26,47.43
2005-11-11,36,47.28
2005-11-18,27,47.60
2005-11-25,44,47.96
2005-12-02,28,48.67
2005-12-09,30,47.66
2005-12-16,30,48.43
2005-12-23,22,48.66
2005-12-30,28,48.04
2006-01-06,31,48.70
2006-01-13,52,50.10
2006-01-20,40,49.82
2006-01-27,37,48.99
2006-02-03,24,48.90
2006-02-10,41,49.10
2006-02-17,27,49.59
2006-02-24,33,50.00
2006-03-03,31,51.28
2006-03-10,37,50.16
2006-03-17,38,50.87
2006-03-24,42,51.30
2006-03-31,26,50.66
2006-04-07,31,52.42
2006-04-14,35,
2006-04-21,39,54.17
2006-04-28,31,52.25
2006-05-05,43,52.59
2006-05-12,35,50.68
2006-05-19,32,48.20
2006-05-26,35,49.14
2006-06-02,36,49.87
2006-06-09,25,46.82
2006-06-16,29,45.67
2006-06-23,32,45.69
2006-06-30,25,47.22
2006-07-07,32,45.66
2006-07-14,23,42.75
2006-07-21,28,41.95
2006-07-28,20,45.30
2006-08-04,45,46.40
2006-08-11,38,45.44
2006-08-18,17,47.73
2006-08-25,44,45.94
2006-09-01,33,47.82
2006-09-08,48,47.09
2006-09-15,35,49.81
2006-09-22,24,48.55
2006-09-29,46,49.85
2006-10-06,33,51.40
2006-10-13,32,52.79
2006-10-20,31,50.75
2006-10-27,28,47.36
2006-11-03,36,47.08
2006-11-10,31,49.23
2006-11-17,27,51.17
2006-11-24,37,51.24
2006-12-01,35,50.49
2006-12-08,24,51.41
2006-12-15,31,49.59
2006-12-22,33,49.15
2006-12-29,41,50.29
2007-01-05,56,50.90
2007-01-12,40,53.22
2007-01-19,41,53.09
2007-01-26,42,55.57
2007-02-02,50,58.95
2007-02-09,39,57.00
2007-02-16,45,57.05
2007-02-23,38,57.62
2007-03-02,44,54.39
2007-03-09,44,56.40
2007-03-16,54,53.78
2007-03-23,43,55.95
2007-03-30,34,55.36
2007-04-06,42,
2007-04-13,38,55.71
2007-04-20,36,58.47
2007-04-27,44,60.08
2007-05-04,28,59.37
2007-05-11,43,60.01
2007-05-18,36,59.83
2007-05-25,32,61.77
2007-06-01,38,63.13
2007-06-08,34,60.44
2007-06-15,52,60.92
2007-06-22,57,59.50
2007-06-29,47,60.70
2007-07-06,48,62.65
2007-07-13,47,62.74
2007-07-20,52,62.50
2007-07-27,46,55.46
2007-08-03,52,53.91
2007-08-10,52,56.55
2007-08-17,35,56.32
2007-08-24,44,56.93
2007-08-31,35,56.74
2007-09-07,47,53.78
2007-09-14,47,54.61
2007-09-21,43,57.09
2007-09-28,36,56.13
2007-10-05,37,56.90
2007-10-12,41,57.61
2007-10-19,51,55.19
2007-10-26,57,57.62
2007-11-02,34,55.28
2007-11-09,49,52.05
2007-11-16,47,51.50
2007-11-23,46,49.84
2007-11-30,38,52.15
2007-12-07,52,51.16
2007-12-14,39,48.93
2007-12-21,54,48.55
2007-12-28,44,48.39
2008-01-04,59,44.35
2008-01-11,51,46.03
2008-01-18,53,46.63
2008-01-25,46,46.58
2008-02-01,48,51.32
2008-02-08,53,48.73
2008-02-15,51,49.41
2008-02-22,59,50.01
2008-02-29,53,48.54
2008-03-07,53,47.02
2008-03-14,45,47.43
2008-03-21,45,
