Date,CSC,Price
2004-01-09,54,
2004-01-16,65,
2004-01-23,57,
2004-01-30,52,
2004-02-06,59,45.67
2004-02-13,57,42.91
2004-02-20,60,41.50
2004-02-27,56,41.79
2004-03-05,64,42.74
2004-03-12,76,42.14
2004-03-19,61,41.30
2004-03-26,52,40.23
2004-04-02,59,42.16
2004-04-09,63,
2004-04-16,57,42.95
2004-04-23,62,42.64
2004-04-30,60,40.91
2004-05-07,56,39.64
2004-05-14,58,39.40
2004-05-21,57,41.89
2004-05-28,51,43.59
2004-06-04,63,42.45
2004-06-11,57,
2004-06-18,56,43.18
2004-06-25,52,45.78
2004-07-02,63,45.53
2004-07-09,74,44.83
2004-07-16,78,43.81
2004-07-23,100,45.70
2004-07-30,81,47.25
2004-08-06,66,43.56
2004-08-13,60,43.09
2004-08-20,59,45.07
2004-08-27,53,46.79
2004-09-03,61,46.51
2004-09-10,55,47.85
2004-09-17,60,47.51
2004-09-24,54,47.32
2004-10-01,55,48.33
2004-10-08,52,48.88
2004-10-15,53,47.39
2004-10-22,53,47.60
2004-10-29,51,49.67
2004-11-05,47,50.00
2004-11-12,45,55.29
2004-11-19,45,52.95
2004-11-26,50,53.46
2004-12-03,47,56.06
2004-12-10,52,55.77
2004-12-17,56,56.20
2004-12-24,42,
2004-12-31,37,56.37
2005-01-07,48,54.02
2005-01-14,49,53.66
2005-01-21,49,51.50
2005-01-28,55,50.34
2005-02-04,57,52.18
2005-02-11,56,48.51
2005-02-18,58,45.61
2005-02-25,56,45.74
2005-03-04,50,46.85
2005-03-11,56,45.53
2005-03-18,58,44.96
2005-03-25,57,
2005-04-01,51,45.42
2005-04-08,54,45.62
2005-04-15,53,43.96
2005-04-22,60,43.50
2005-04-29,60,43.48
2005-05-06,55,44.01
2005-05-13,56,43.62
2005-05-20,60,44.88
2005-05-27,66,46.40
2005-06-03,51,45.74
2005-06-10,59,44.89
2005-06-17,62,44.26
2005-06-24,58,43.24
2005-07-01,71,44.28
2005-07-08,93,44.58
