Date,sell EBAY,Price
2004-01-09,58,
2004-01-16,48,
2004-01-23,52,
2004-01-30,44,
2004-02-06,58,67.76
2004-02-13,27,68.60
2004-02-20,54,69.27
2004-02-27,50,68.70
2004-03-05,53,69.31
2004-03-12,70,69.13
2004-03-19,32,68.30
2004-03-26,66,66.80
2004-04-02,49,73.77
2004-04-09,59,
2004-04-16,43,74.86
2004-04-23,38,82.14
2004-04-30,39,80.03
2004-05-07,56,79.82
2004-05-14,47,78.95
2004-05-21,45,80.34
2004-05-28,59,88.80
2004-06-04,52,88.08
2004-06-11,49,
2004-06-18,47,86.50
2004-06-25,54,90.72
2004-07-02,56,91.27
2004-07-09,60,83.78
2004-07-16,72,80.36
2004-07-23,55,75.01
2004-07-30,52,78.33
2004-08-06,52,73.76
2004-08-13,64,77.36
2004-08-20,58,81.37
2004-08-27,47,85.91
2004-09-03,50,89.38
2004-09-10,64,90.07
2004-09-17,58,93.10
2004-09-24,55,89.22
2004-10-01,49,92.44
2004-10-08,58,92.59
2004-10-15,43,93.76
2004-10-22,58,95.91
2004-10-29,42,97.63
2004-11-05,56,99.68
2004-11-12,52,109.89
2004-11-19,43,108.34
2004-11-26,59,111.50
2004-12-03,56,116.41
2004-12-10,61,114.41
2004-12-17,41,114.75
2004-12-24,37,
2004-12-31,63,116.34
2005-01-07,47,106.58
2005-01-14,79,105.20
2005-01-21,59,86.05
2005-01-28,58,81.10
2005-02-04,51,75.88
2005-02-11,61,82.07
2005-02-18,44,42.46
2005-02-25,59,42.24
2005-03-04,63,41.75
2005-03-11,47,38.25
2005-03-18,50,35.01
2005-03-25,59,
2005-04-01,63,37.07
2005-04-08,59,35.16
2005-04-15,61,31.97
2005-04-22,47,31.51
2005-04-29,56,31.71
2005-05-06,49,33.79
2005-05-13,48,35.06
2005-05-20,53,36.56
2005-05-27,67,38.30
2005-06-03,59,37.80
2005-06-10,46,36.63
2005-06-17,56,38.05
2005-06-24,67,34.37
2005-07-01,55,32.88
2005-07-08,92,34.50
2005-07-15,72,35.08
2005-07-22,70,41.02
2005-07-29,67,41.78
2005-08-05,61,43.34
2005-08-12,65,40.96
2005-08-19,61,40.01
2005-08-26,62,38.97
2005-09-02,61,39.69
2005-09-09,63,38.62
2005-09-16,66,37.10
2005-09-23,70,38.78
2005-09-30,58,41.20
2005-10-07,53,39.90
2005-10-14,57,39.70
2005-10-21,59,39.29
2005-10-28,53,38.43
2005-11-04,59,41.58
2005-11-11,59,43.89
2005-11-18,49,44.67
2005-11-25,49,46.71
2005-12-02,52,45.19
2005-12-09,66,43.42
2005-12-16,57,45.94
2005-12-23,55,44.61
2005-12-30,78,43.22
2006-01-06,81,46.65
2006-01-13,77,45.97
2006-01-20,86,44.97
2006-01-27,76,44.07
2006-02-03,73,40.58
2006-02-10,70,39.53
2006-02-17,58,41.31
2006-02-24,67,41.49
2006-03-03,65,40.37
2006-03-10,65,37.85
2006-03-17,75,38.22
2006-03-24,68,37.30
2006-03-31,61,39.00
2006-04-07,60,38.26
2006-04-14,61,
2006-04-21,59,35.09
2006-04-28,68,34.41
2006-05-05,62,32.39
2006-05-12,59,31.49
2006-05-19,58,29.70
2006-05-26,50,34.20
2006-06-02,65,32.63
2006-06-09,60,30.58
2006-06-16,60,30.28
2006-06-23,56,30.00
2006-06-30,67,29.29
2006-07-07,69,26.62
2006-07-14,78,25.58
2006-07-21,77,24.48
2006-07-28,76,24.43
2006-08-04,76,24.20
2006-08-11,71,24.20
2006-08-18,81,27.25
2006-08-25,72,25.30
2006-09-01,65,28.15
2006-09-08,76,28.51
2006-09-15,70,27.85
2006-09-22,71,26.11
2006-09-29,73,28.36
2006-10-06,69,29.39
2006-10-13,61,29.75
2006-10-20,65,30.49
2006-10-27,68,32.07
2006-11-03,66,32.39
2006-11-10,78,32.81
2006-11-17,67,33.74
2006-11-24,68,33.39
2006-12-01,56,31.50
2006-12-08,58,31.76
2006-12-15,51,32.92
2006-12-22,51,30.22
2006-12-29,55,30.07
2007-01-05,82,30.78
2007-01-12,64,30.00
2007-01-19,73,29.66
2007-01-26,79,31.65
2007-02-02,72,32.40
2007-02-09,73,33.51
2007-02-16,63,33.62
2007-02-23,59,33.99
2007-03-02,66,30.83
2007-03-09,63,30.82
2007-03-16,59,31.74
2007-03-23,60,31.83
2007-03-30,55,33.15
2007-04-06,62,
2007-04-13,54,34.78
2007-04-20,54,33.52
2007-04-27,50,34.17
2007-05-04,55,34.15
2007-05-11,56,34.20
2007-05-18,56,32.70
2007-05-25,67,32.65
2007-06-01,71,32.27
2007-06-08,62,31.42
2007-06-15,63,32.04
2007-06-22,70,31.76
2007-06-29,69,32.18
2007-07-06,66,33.39
2007-07-13,77,33.95
2007-07-20,72,33.53
2007-07-27,67,32.57
2007-08-03,64,33.32
2007-08-10,71,36.00
2007-08-17,77,34.14
2007-08-24,63,34.08
2007-08-31,66,34.10
2007-09-07,61,35.25
2007-09-14,60,37.81
2007-09-21,59,39.00
2007-09-28,65,39.02
2007-10-05,58,38.75
2007-10-12,71,39.90
2007-10-19,60,36.72
2007-10-26,55,36.64
2007-11-02,57,35.02
2007-11-09,52,33.46
2007-11-16,53,32.74
2007-11-23,65,31.94
2007-11-30,65,33.53
2007-12-07,69,33.73
2007-12-14,57,32.70
2007-12-21,52,34.30
2007-12-28,64,33.78
2008-01-04,76,31.30
2008-01-11,61,29.68
2008-01-18,70,28.33
2008-01-25,64,26.83
2008-02-01,67,28.81
2008-02-08,59,28.07
2008-02-15,61,27.79
2008-02-22,67,27.71
2008-02-29,66,26.36
2008-03-07,60,25.78
2008-03-14,59,26.25
2008-03-21,69,
2008-03-28,69,30.22
2008-04-04,64,32.94
2008-04-11,62,30.87
2008-04-18,61,31.71
2008-04-25,62,31.30
2008-05-02,66,31.11
2008-05-09,60,30.00
2008-05-16,63,31.17
2008-05-23,67,30.18
2008-05-30,67,30.01
2008-06-06,69,29.26
2008-06-13,69,28.38
2008-06-20,68,28.17
2008-06-27,76,27.61
2008-07-04,75,
2008-07-11,75,28.01
2008-07-18,76,23.98
2008-07-25,85,25.40
2008-08-01,70,24.58
2008-08-08,86,26.36
2008-08-15,77,25.98
2008-08-22,69,25.03
2008-08-29,65,24.93
2008-09-05,69,23.77
2008-09-12,70,22.55
2008-09-19,69,23.17
2008-09-26,70,22.57
2008-10-03,64,18.94
2008-10-10,67,16.73
2008-10-17,63,15.35
2008-10-24,62,14.89
2008-10-31,60,15.27
2008-11-07,57,14.19
2008-11-14,63,12.36
2008-11-21,61,12.01
2008-11-28,62,13.13
2008-12-05,65,13.96
2008-12-12,67,14.27
2008-12-19,61,14.45
2008-12-26,46,13.60
2009-01-02,80,14.66
2009-01-09,71,14.19
2009-01-16,70,13.26
2009-01-23,69,12.00
2009-01-30,68,12.02
2009-02-06,68,13.63
2009-02-13,61,13.19
2009-02-20,63,12.18
2009-02-27,68,10.87
2009-03-06,64,10.43
2009-03-13,68,11.93
2009-03-20,63,12.09
2009-03-27,60,12.85
2009-04-03,62,14.31
2009-04-10,67,
2009-04-17,66,14.39
2009-04-24,63,16.78
2009-05-01,63,16.51
2009-05-08,63,17.38
2009-05-15,66,16.91
2009-05-22,68,17.36
2009-05-29,62,17.62
2009-06-05,63,17.84
2009-06-12,71,17.80
2009-06-19,68,17.28
2009-06-26,69,17.35
2009-07-03,76,
2009-07-10,78,16.30
2009-07-17,82,18.55
2009-07-24,75,21.24
2009-07-31,76,21.25
2009-08-07,80,22.55
2009-08-14,79,21.64
2009-08-21,78,22.08
2009-08-28,74,22.46
2009-09-04,79,21.91
2009-09-11,70,23.56
2009-09-18,63,24.34
2009-09-25,65,23.45
2009-10-02,66,22.70
2009-10-09,67,24.42
2009-10-16,68,24.49
2009-10-23,64,23.56
2009-10-30,66,22.27
2009-11-06,61,23.34
2009-11-13,62,23.74
2009-11-20,62,22.79
2009-11-27,67,23.22
2009-12-04,63,23.67
2009-12-11,62,22.70
2009-12-18,58,22.67
2009-12-25,52,
2010-01-01,77,
2010-01-08,77,23.51
2010-01-15,73,22.47
2010-01-22,70,23.58
2010-01-29,70,23.02
2010-02-05,68,22.71
2010-02-12,68,21.77
2010-02-19,72,23.42
2010-02-26,60,23.02
2010-03-05,68,24.63
2010-03-12,63,25.97
2010-03-19,66,27.19
2010-03-26,62,27.45
2010-04-02,70,
2010-04-09,64,26.55
2010-04-16,64,26.33
2010-04-23,68,24.55
2010-04-30,63,23.78
2010-05-07,61,21.48
2010-05-14,68,22.25
2010-05-21,66,21.42
2010-05-28,61,21.41
2010-06-04,69,21.99
2010-06-11,70,22.65
2010-06-18,71,22.16
2010-06-25,74,20.95
2010-07-02,72,19.26
2010-07-09,73,20.29
2010-07-16,73,20.09
2010-07-23,79,21.09
2010-07-30,75,20.91
2010-08-06,80,21.45
2010-08-13,80,21.50
2010-08-20,77,23.37
2010-08-27,76,23.18
2010-09-03,75,24.13
2010-09-10,73,24.10
2010-09-17,72,24.22
2010-09-24,67,24.74
2010-10-01,71,24.46
2010-10-08,72,24.61
2010-10-15,68,25.68
2010-10-22,69,28.07
2010-10-29,68,29.86
2010-11-05,65,30.87
2010-11-12,69,30.14
2010-11-19,70,30.30
2010-11-26,73,31.15
2010-12-03,71,29.61
2010-12-10,62,30.69
2010-12-17,64,29.82
2010-12-24,62,
2010-12-31,79,27.83
2011-01-07,80,27.70
2011-01-14,75,29.18
2011-01-21,78,30.02
2011-01-28,77,30.31
2011-02-04,74,32.21
2011-02-11,71,34.51
2011-02-18,74,34.53
2011-02-25,75,33.63
2011-03-04,75,32.01
2011-03-11,66,30.92
2011-03-18,64,30.47
2011-03-25,69,31.70
2011-04-01,75,31.36
2011-04-08,70,31.14
2011-04-15,72,31.61
2011-04-22,65,
2011-04-29,64,34.39
2011-05-06,69,32.72
2011-05-13,70,33.57
2011-05-20,74,32.48
2011-05-27,75,30.68
2011-06-03,74,30.30
2011-06-10,72,29.96
2011-06-17,76,28.83
2011-06-24,78,28.35
2011-07-01,73,32.74
2011-07-08,72,33.42
2011-07-15,85,32.81
2011-07-22,82,33.50
2011-07-29,81,32.75
2011-08-05,82,29.30
2011-08-12,79,30.53
2011-08-19,79,27.16
2011-08-26,82,29.46
2011-09-02,72,29.41
2011-09-09,72,28.46
2011-09-16,74,33.69
2011-09-23,70,32.08
2011-09-30,72,29.49
2011-10-07,74,31.07
2011-10-14,74,33.69
2011-10-21,75,32.12
2011-10-28,71,33.25
2011-11-04,73,32.71
2011-11-11,69,31.76
2011-11-18,67,29.81
2011-11-25,75,28.23
2011-12-02,72,29.60
2011-12-09,67,31.64
2011-12-16,65,30.40
2011-12-23,59,30.84
2011-12-30,77,30.33
2012-01-06,84,30.63
2012-01-13,78,30.62
2012-01-20,76,31.93
2012-01-27,72,31.85
2012-02-03,75,32.95
2012-02-10,75,33.03
2012-02-17,73,35.06
2012-02-24,76,36.36
2012-03-02,76,36.25
2012-03-09,76,36.25
2012-03-16,77,37.69
2012-03-23,74,37.09
2012-03-30,70,36.90
2012-04-06,66,
2012-04-13,71,36.12
2012-04-20,71,40.29
2012-04-27,73,41.23
2012-05-04,74,39.44
2012-05-11,70,40.74
2012-05-18,72,38.36
2012-05-25,71,40.35
2012-06-01,72,38.82
2012-06-08,74,41.05
2012-06-15,75,40.67
2012-06-22,77,42.80
2012-06-29,78,42.01
2012-07-06,78,40.41
2012-07-13,81,39.95
2012-07-20,78,44.85
2012-07-27,80,45.22
2012-08-03,82,44.50
2012-08-10,78,43.99
2012-08-17,81,46.87
2012-08-24,83,47.10
2012-08-31,82,47.47
2012-09-07,82,49.24
2012-09-14,86,49.97
2012-09-21,87,49.47
2012-09-28,84,48.37
2012-10-05,83,48.73
2012-10-12,79,47.85
2012-10-19,81,49.97
2012-10-26,84,49.51
2012-11-02,76,48.69
2012-11-09,81,47.73
2012-11-16,85,47.26
2012-11-23,83,49.01
2012-11-30,85,52.82
2012-12-07,75,51.74
2012-12-14,74,50.36
2012-12-21,69,51.35
2012-12-28,78,49.81
2013-01-04,92,52.78
2013-01-11,91,53.70
2013-01-18,82,54.21
2013-01-25,85,56.53
2013-02-01,89,57.21
2013-02-08,82,56.62
2013-02-15,78,56.70
2013-02-22,80,55.02
2013-03-01,77,54.90
2013-03-08,78,53.13
2013-03-15,81,50.41
2013-03-22,83,53.27
2013-03-29,78,
2013-04-05,77,55.52
2013-04-12,78,57.31
2013-04-19,77,52.39
2013-04-26,74,52.54
2013-05-03,78,54.21
2013-05-10,75,55.65
2013-05-17,72,56.71
2013-05-24,79,54.64
2013-05-31,79,54.10
2013-06-07,77,51.45
2013-06-14,80,51.29
2013-06-21,76,51.13
2013-06-28,80,51.72
2013-07-05,78,53.85
2013-07-12,84,57.04
2013-07-19,81,52.19
2013-07-26,87,52.25
2013-08-02,88,52.54
2013-08-09,86,53.33
2013-08-16,87,52.92
2013-08-23,82,51.65
2013-08-30,79,49.99
2013-09-06,79,52.83
2013-09-13,74,53.82
2013-09-20,79,54.95
2013-09-27,71,55.78
2013-10-04,73,55.58
2013-10-11,77,54.37
2013-10-18,76,52.20
2013-10-25,77,51.64
2013-11-01,75,51.94
2013-11-08,75,53.00
2013-11-15,80,52.60
2013-11-22,78,50.33
2013-11-29,71,50.52
2013-12-06,73,52.01
2013-12-13,70,51.55
2013-12-20,68,54.58
2013-12-27,69,54.18
2014-01-03,86,53.26
2014-01-10,86,52.16
2014-01-17,82,53.20
2014-01-24,81,54.37
2014-01-31,80,53.20
2014-02-07,74,54.59
2014-02-14,100,54.77
2014-02-21,86,54.59
2014-02-28,79,58.77
