Date,BEN,Price
2004-01-09,34,
2004-01-16,35,
2004-01-23,39,
2004-01-30,37,
2004-02-06,35,57.02
2004-02-13,34,58.45
2004-02-20,35,56.06
2004-02-27,36,56.50
2004-03-05,35,59.00
2004-03-12,36,56.40
2004-03-19,36,56.44
2004-03-26,36,55.70
2004-04-02,35,57.02
2004-04-09,37,
2004-04-16,35,55.13
2004-04-23,36,54.41
2004-04-30,37,54.83
2004-05-07,33,52.75
2004-05-14,33,49.36
2004-05-21,33,49.00
2004-05-28,33,50.28
2004-06-04,33,50.25
2004-06-11,34,
2004-06-18,33,49.34
2004-06-25,33,50.43
2004-07-02,30,49.60
2004-07-09,31,47.45
2004-07-16,31,47.90
2004-07-23,32,47.80
2004-07-30,33,48.25
2004-08-06,33,47.75
2004-08-13,30,48.52
2004-08-20,32,51.71
2004-08-27,32,53.27
2004-09-03,32,53.66
2004-09-10,33,55.01
2004-09-17,34,54.88
2004-09-24,37,54.72
2004-10-01,33,56.95
2004-10-08,34,57.39
2004-10-15,33,58.03
2004-10-22,33,57.27
2004-10-29,34,60.62
2004-11-05,34,62.14
2004-11-12,34,64.50
2004-11-19,33,62.30
2004-11-26,32,63.75
2004-12-03,33,66.50
2004-12-10,35,67.85
2004-12-17,34,68.50
2004-12-24,33,
2004-12-31,33,69.65
2005-01-07,34,67.67
2005-01-14,35,67.87
2005-01-21,34,64.99
2005-01-28,33,67.10
2005-02-04,33,68.38
2005-02-11,35,70.43
2005-02-18,34,70.11
2005-02-25,33,69.87
2005-03-04,31,72.86
2005-03-11,32,71.52
2005-03-18,32,71.89
2005-03-25,34,
2005-04-01,33,68.15
2005-04-08,32,68.22
2005-04-15,33,64.56
2005-04-22,35,64.61
2005-04-29,35,68.68
2005-05-06,36,69.52
2005-05-13,36,68.14
2005-05-20,33,71.38
2005-05-27,34,72.37
2005-06-03,34,72.29
2005-06-10,33,73.05
2005-06-17,33,71.75
2005-06-24,33,74.05
2005-07-01,34,77.70
2005-07-08,33,82.86
2005-07-15,33,82.00
2005-07-22,33,82.20
2005-07-29,32,80.82
2005-08-05,33,80.42
2005-08-12,32,81.58
2005-08-19,32,81.41
2005-08-26,31,80.31
2005-09-02,31,81.45
2005-09-09,31,82.93
2005-09-16,32,80.40
2005-09-23,34,81.14
2005-09-30,33,83.96
2005-10-07,34,81.30
2005-10-14,35,80.70
2005-10-21,33,83.54
2005-10-28,36,86.62
2005-11-04,34,91.15
2005-11-11,34,95.00
2005-11-18,33,95.50
2005-11-25,31,98.03
2005-12-02,34,94.73
2005-12-09,34,97.90
2005-12-16,32,97.01
2005-12-23,31,96.47
2005-12-30,32,94.01
2006-01-06,32,95.84
2006-01-13,33,98.03
2006-01-20,34,96.97
2006-01-27,36,100.90
2006-02-03,36,96.07
2006-02-10,36,94.64
2006-02-17,33,98.55
2006-02-24,33,102.05
2006-03-03,35,103.08
2006-03-10,34,97.25
2006-03-17,33,101.45
2006-03-24,36,97.40
2006-03-31,35,94.24
2006-04-07,33,94.98
2006-04-14,34,
2006-04-21,35,96.86
2006-04-28,36,93.12
2006-05-05,34,93.57
2006-05-12,34,89.30
2006-05-19,33,88.75
2006-05-26,34,90.39
2006-06-02,32,90.69
2006-06-09,31,86.96
2006-06-16,42,85.04
2006-06-23,31,86.69
2006-06-30,30,86.81
2006-07-07,31,82.50
2006-07-14,32,83.04
2006-07-21,30,84.46
2006-07-28,31,91.00
