Date,WYNN,Price
2004-01-09,6,
2004-01-16,5,
2004-01-23,6,
2004-01-30,6,
2004-02-06,6,32.80
2004-02-13,4,35.93
2004-02-20,5,34.18
2004-02-27,6,36.34
2004-03-05,6,39.16
2004-03-12,6,36.10
2004-03-19,6,35.41
2004-03-26,5,35.88
2004-04-02,6,35.01
2004-04-09,6,
2004-04-16,5,36.42
2004-04-23,6,39.22
2004-04-30,6,39.93
2004-05-07,6,38.25
2004-05-14,6,37.87
2004-05-21,6,40.32
2004-05-28,4,38.66
2004-06-04,5,40.60
2004-06-11,8,
2004-06-18,7,38.31
2004-06-25,6,38.41
2004-07-02,6,37.81
2004-07-09,6,36.19
2004-07-16,7,35.60
2004-07-23,7,36.18
2004-07-30,7,35.78
2004-08-06,7,34.73
2004-08-13,5,35.10
2004-08-20,7,35.72
2004-08-27,6,38.81
2004-09-03,6,39.18
2004-09-10,6,40.60
2004-09-17,7,41.46
2004-09-24,7,47.79
2004-10-01,6,50.98
2004-10-08,6,52.96
2004-10-15,6,52.23
2004-10-22,6,52.95
2004-10-29,6,58.15
2004-11-05,10,63.01
2004-11-12,11,59.61
2004-11-19,8,58.40
2004-11-26,7,59.16
2004-12-03,8,60.37
2004-12-10,7,64.10
2004-12-17,7,70.38
2004-12-24,7,
2004-12-31,8,66.92
2005-01-07,8,66.54
2005-01-14,11,65.44
2005-01-21,10,62.65
2005-01-28,9,62.87
2005-02-04,11,69.50
2005-02-11,15,70.59
2005-02-18,12,72.74
2005-02-25,10,72.06
2005-03-04,17,71.65
2005-03-11,15,70.59
2005-03-18,14,71.93
2005-03-25,17,
2005-04-01,20,66.04
2005-04-08,17,63.13
2005-04-15,16,59.82
2005-04-22,22,53.01
2005-04-29,100,52.94
2005-05-06,44,48.42
2005-05-13,33,43.82
2005-05-20,28,47.22
2005-05-27,24,45.29
2005-06-03,21,55.02
2005-06-10,23,52.47
2005-06-17,22,53.16
2005-06-24,22,49.51
2005-07-01,23,48.06
2005-07-08,24,51.59
2005-07-15,24,55.10
2005-07-22,20,56.71
2005-07-29,21,56.30
2005-08-05,20,51.88
2005-08-12,20,52.94
2005-08-19,23,49.35
2005-08-26,18,48.01
2005-09-02,17,48.60
2005-09-09,18,50.03
2005-09-16,16,48.06
2005-09-23,17,45.23
2005-09-30,17,45.15
2005-10-07,16,42.85
2005-10-14,17,44.89
2005-10-21,15,47.48
2005-10-28,15,44.63
2005-11-04,16,49.94
2005-11-11,16,51.58
2005-11-18,17,54.41
2005-11-25,12,60.03
2005-12-02,16,56.00
2005-12-09,14,56.70
2005-12-16,13,54.84
2005-12-23,16,54.71
2005-12-30,17,54.85
2006-01-06,20,54.04
2006-01-13,21,58.35
2006-01-20,17,58.78
2006-01-27,19,62.94
2006-02-03,17,62.82
2006-02-10,17,59.50
2006-02-17,16,65.92
2006-02-24,16,66.81
2006-03-03,17,64.41
2006-03-10,16,68.24
2006-03-17,14,71.73
2006-03-24,17,72.83
2006-03-31,15,76.85
2006-04-07,15,77.03
2006-04-14,15,
2006-04-21,16,77.19
2006-04-28,16,76.11
2006-05-05,16,71.73
2006-05-12,16,75.26
2006-05-19,15,74.54
2006-05-26,15,72.64
2006-06-02,14,71.12
2006-06-09,14,69.26
2006-06-16,15,68.91
2006-06-23,14,68.84
2006-06-30,14,73.30
2006-07-07,14,70.43
2006-07-14,15,68.43
2006-07-21,15,66.59
2006-07-28,16,64.10
2006-08-04,15,69.20
2006-08-11,15,71.68
2006-08-18,15,77.60
2006-08-25,15,74.91
2006-09-01,15,77.01
2006-09-08,17,77.03
2006-09-15,16,73.10
2006-09-22,14,67.02
2006-09-29,15,68.01
2006-10-06,14,71.66
2006-10-13,14,73.11
2006-10-20,23,72.80
2006-10-27,15,72.70
2006-11-03,14,73.44
2006-11-10,14,82.19
2006-11-17,15,94.13
2006-11-24,11,90.02
2006-12-01,12,87.54
2006-12-08,13,95.75
2006-12-15,12,93.88
2006-12-22,12,89.99
2006-12-29,13,93.85
2007-01-05,15,96.88
2007-01-12,16,104.49
2007-01-19,14,105.62
2007-01-26,14,107.90
2007-02-02,14,111.44
2007-02-09,14,104.19
2007-02-16,14,101.71
2007-02-23,13,103.81
2007-03-02,14,93.63
2007-03-09,14,94.24
2007-03-16,13,92.74
2007-03-23,14,100.65
2007-03-30,14,94.86
2007-04-06,13,
2007-04-13,14,102.44
2007-04-20,13,102.51
2007-04-27,13,104.52
2007-05-04,13,102.52
2007-05-11,12,96.52
2007-05-18,13,93.74
2007-05-25,13,94.75
2007-06-01,12,98.43
2007-06-08,14,95.51
2007-06-15,14,95.06
2007-06-22,12,89.55
2007-06-29,13,89.65
2007-07-06,12,94.24
2007-07-13,13,98.39
2007-07-20,13,98.68
2007-07-27,13,100.35
2007-08-03,14,101.06
2007-08-10,14,111.53
2007-08-17,13,112.34
2007-08-24,12,123.13
2007-08-31,13,123.73
2007-09-07,11,124.28
2007-09-14,13,139.86
2007-09-21,14,143.55
2007-09-28,13,157.56
2007-10-05,12,151.07
2007-10-12,12,158.18
2007-10-19,11,150.03
2007-10-26,12,164.65
2007-11-02,13,149.40
2007-11-09,11,136.38
2007-11-16,11,134.50
2007-11-23,9,135.05
2007-11-30,10,126.94
2007-12-07,10,124.60
2007-12-14,10,117.87
2007-12-21,10,115.25
2007-12-28,10,115.71
2008-01-04,13,105.20
2008-01-11,13,102.54
2008-01-18,12,101.43
2008-01-25,11,104.02
2008-02-01,11,116.83
2008-02-08,11,119.00
2008-02-15,14,104.62
2008-02-22,12,104.11
2008-02-29,10,100.70
2008-03-07,12,92.82
2008-03-14,11,96.67
2008-03-21,11,
2008-03-28,11,100.23
2008-04-04,12,112.87
2008-04-11,11,102.85
2008-04-18,11,98.46
2008-04-25,11,108.01
2008-05-02,11,108.03
2008-05-09,11,103.02
2008-05-16,12,109.52
2008-05-23,11,99.74
2008-05-30,11,100.03
2008-06-06,11,94.79
2008-06-13,11,92.19
2008-06-20,11,88.40
2008-06-27,11,79.81
2008-07-04,11,
2008-07-11,12,78.14
2008-07-18,11,88.03
2008-07-25,14,90.04
2008-08-01,12,95.58
2008-08-08,13,107.60
2008-08-15,11,105.96
2008-08-22,11,95.64
2008-08-29,12,95.42
2008-09-05,10,89.17
2008-09-12,10,87.49
2008-09-19,9,94.99
2008-09-26,9,84.97
2008-10-03,9,70.42
2008-10-10,9,59.48
2008-10-17,9,57.52
2008-10-24,10,36.59
2008-10-31,9,60.40
2008-11-07,9,46.04
2008-11-14,10,43.00
2008-11-21,9,32.02
2008-11-28,8,39.82
2008-12-05,9,40.61
2008-12-12,11,42.08
2008-12-19,12,43.05
2008-12-26,13,42.80
2009-01-02,14,47.42
2009-01-09,14,44.04
2009-01-16,13,36.94
2009-01-23,12,34.26
2009-01-30,12,30.08
2009-02-06,12,29.76
2009-02-13,11,26.04
2009-02-20,10,24.95
2009-02-27,11,20.95
2009-03-06,12,15.40
2009-03-13,12,20.80
2009-03-20,11,20.53
2009-03-27,11,21.37
2009-04-03,11,29.65
2009-04-10,11,
2009-04-17,13,32.76
2009-04-24,11,39.53
2009-05-01,11,39.16
2009-05-08,11,47.46
