Date,Sigma-Aldrich,Price
2004-01-09,63,
2004-01-16,90,
2004-01-23,69,
2004-01-30,100,
2004-02-06,99,58.41
2004-02-13,92,57.02
2004-02-20,82,57.20
2004-02-27,84,57.18
2004-03-05,73,58.13
2004-03-12,70,57.14
2004-03-19,70,54.60
2004-03-26,43,54.56
2004-04-02,86,56.07
2004-04-09,79,
2004-04-16,74,55.42
2004-04-23,76,56.96
2004-04-30,41,56.85
2004-05-07,65,55.59
2004-05-14,71,55.10
2004-05-21,51,56.09
2004-05-28,65,57.11
2004-06-04,46,56.56
2004-06-11,51,
2004-06-18,63,57.67
2004-06-25,34,58.63
2004-07-02,35,58.96
2004-07-09,49,58.70
2004-07-16,46,59.33
2004-07-23,28,56.47
2004-07-30,55,57.44
2004-08-06,53,54.37
2004-08-13,36,54.69
2004-08-20,47,56.55
2004-08-27,27,56.48
2004-09-03,50,57.75
2004-09-10,54,57.04
2004-09-17,62,57.75
2004-09-24,55,56.72
2004-10-01,60,58.29
2004-10-08,45,56.90
2004-10-15,35,57.19
2004-10-22,52,53.92
2004-10-29,50,55.64
2004-11-05,38,57.59
2004-11-12,47,58.58
2004-11-19,50,58.55
2004-11-26,46,59.48
2004-12-03,49,59.35
2004-12-10,39,59.11
2004-12-17,38,60.80
2004-12-24,32,
2004-12-31,35,60.46
2005-01-07,39,59.17
2005-01-14,52,58.50
2005-01-21,36,61.55
2005-01-28,44,62.10
2005-02-04,47,63.58
2005-02-11,55,62.17
2005-02-18,54,61.70
2005-02-25,49,62.63
2005-03-04,53,63.69
2005-03-11,52,62.75
2005-03-18,50,62.52
2005-03-25,38,
2005-04-01,43,60.84
2005-04-08,47,60.62
2005-04-15,37,58.58
2005-04-22,37,57.57
2005-04-29,38,58.43
2005-05-06,45,60.00
2005-05-13,47,58.41
2005-05-20,63,59.99
2005-05-27,34,60.24
2005-06-03,35,59.81
2005-06-10,50,58.23
2005-06-17,50,57.50
2005-06-24,68,55.72
2005-07-01,47,56.22
2005-07-08,34,57.65
2005-07-15,39,58.00
2005-07-22,46,58.49
2005-07-29,36,64.16
2005-08-05,42,62.38
2005-08-12,51,61.87
2005-08-19,30,62.34
2005-08-26,31,61.32
2005-09-02,54,61.49
2005-09-09,58,62.94
2005-09-16,33,62.04
2005-09-23,41,60.82
2005-09-30,42,64.06
2005-10-07,41,61.84
2005-10-14,38,61.98
2005-10-21,44,62.92
2005-10-28,41,63.50
2005-11-04,53,64.45
2005-11-11,25,65.94
2005-11-18,47,66.45
2005-11-25,31,66.40
2005-12-02,41,66.03
2005-12-09,41,64.91
2005-12-16,40,64.01
2005-12-23,32,64.14
2005-12-30,20,63.29
2006-01-06,23,64.35
2006-01-13,46,63.58
2006-01-20,32,63.72
2006-01-27,32,65.02
2006-02-03,48,63.07
2006-02-10,41,64.34
2006-02-17,40,64.64
2006-02-24,49,64.91
2006-03-03,46,64.41
2006-03-10,46,64.03
2006-03-17,27,64.57
2006-03-24,39,64.72
2006-03-31,34,65.79
2006-04-07,47,65.89
2006-04-14,37,
2006-04-21,36,68.21
2006-04-28,40,68.61
2006-05-05,40,69.72
2006-05-12,43,68.87
2006-05-19,31,68.33
2006-05-26,48,69.59
2006-06-02,40,70.25
2006-06-09,40,68.62
2006-06-16,39,70.86
2006-06-23,48,70.49
2006-06-30,36,72.64
2006-07-07,30,71.64
2006-07-14,42,69.43
2006-07-21,47,69.80
2006-07-28,32,69.28
2006-08-04,32,71.10
2006-08-11,29,71.49
2006-08-18,46,72.46
2006-08-25,39,72.02
2006-09-01,40,73.40
