Date,buy DO,Price
2004-01-09,23,
2004-01-16,25,
2004-01-23,19,
2004-01-30,22,
2004-02-06,17,22.48
2004-02-13,17,24.46
2004-02-20,19,24.44
2004-02-27,20,25.01
2004-03-05,18,26.38
2004-03-12,22,25.21
2004-03-19,18,25.60
2004-03-26,22,23.99
2004-04-02,23,23.48
2004-04-09,22,
2004-04-16,18,24.33
2004-04-23,19,23.30
2004-04-30,23,22.56
2004-05-07,20,22.09
2004-05-14,22,22.35
2004-05-21,22,21.90
2004-05-28,19,22.59
2004-06-04,16,21.96
2004-06-11,16,
2004-06-18,20,23.66
2004-06-25,21,23.62
2004-07-02,21,24.36
2004-07-09,22,24.06
2004-07-16,20,24.87
2004-07-23,22,23.69
2004-07-30,19,24.44
2004-08-06,20,22.98
2004-08-13,22,23.30
2004-08-20,22,24.21
2004-08-27,20,24.56
2004-09-03,18,27.20
2004-09-10,18,27.93
2004-09-17,18,30.60
2004-09-24,18,32.15
2004-10-01,20,33.84
2004-10-08,19,33.84
2004-10-15,19,32.91
2004-10-22,20,35.66
2004-10-29,24,33.80
2004-11-05,20,32.73
2004-11-12,17,33.86
2004-11-19,23,36.28
2004-11-26,24,37.95
2004-12-03,21,35.76
2004-12-10,24,35.65
2004-12-17,25,37.84
2004-12-24,22,
2004-12-31,22,40.05
2005-01-07,19,38.80
2005-01-14,19,41.42
2005-01-21,22,42.49
2005-01-28,20,42.95
2005-02-04,25,45.70
2005-02-11,21,46.92
2005-02-18,19,49.08
2005-02-25,20,49.55
2005-03-04,22,50.68
2005-03-11,19,49.16
2005-03-18,23,49.02
2005-03-25,22,
2005-04-01,24,51.74
2005-04-08,26,49.59
2005-04-15,21,45.20
2005-04-22,22,48.01
2005-04-29,23,44.11
2005-05-06,20,43.90
2005-05-13,20,40.52
2005-05-20,22,41.07
2005-05-27,21,46.99
2005-06-03,20,48.74
2005-06-10,21,51.36
2005-06-17,22,54.08
2005-06-24,20,55.06
2005-07-01,21,54.38
2005-07-08,19,54.02
2005-07-15,20,52.10
2005-07-22,20,58.12
2005-07-29,22,57.06
2005-08-05,24,58.04
2005-08-12,23,57.60
2005-08-19,20,55.90
2005-08-26,19,55.29
2005-09-02,20,57.86
2005-09-09,24,60.34
2005-09-16,22,59.10
2005-09-23,19,58.76
2005-09-30,22,61.25
2005-10-07,19,56.89
2005-10-14,24,55.01
2005-10-21,23,53.06
2005-10-28,22,57.16
2005-11-04,22,58.92
2005-11-11,23,55.52
2005-11-18,24,55.83
2005-11-25,23,63.09
2005-12-02,23,66.55
2005-12-09,23,69.90
2005-12-16,23,68.20
2005-12-23,22,71.31
2005-12-30,23,69.56
2006-01-06,19,74.86
2006-01-13,22,78.02
2006-01-20,20,81.00
2006-01-27,23,80.86
2006-02-03,23,82.08
2006-02-10,20,80.50
2006-02-17,22,78.22
2006-02-24,23,77.90
2006-03-03,21,82.77
2006-03-10,23,77.39
2006-03-17,22,83.06
2006-03-24,21,81.93
2006-03-31,22,89.50
2006-04-07,21,91.22
2006-04-14,22,
2006-04-21,20,95.38
2006-04-28,22,90.77
2006-05-05,22,94.90
2006-05-12,20,91.62
2006-05-19,19,83.55
2006-05-26,21,83.64
2006-06-02,23,87.28
2006-06-09,20,76.99
2006-06-16,19,78.50
2006-06-23,19,77.78
2006-06-30,22,83.93
2006-07-07,23,80.55
2006-07-14,21,77.30
2006-07-21,21,69.32
2006-07-28,22,77.07
2006-08-04,23,74.86
2006-08-11,23,71.79
2006-08-18,21,73.15
2006-08-25,21,73.23
2006-09-01,21,75.91
2006-09-08,21,74.70
