Date,MKC,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,46,
2004-01-30,0,
2004-02-06,0,30.90
2004-02-13,0,30.67
2004-02-20,0,30.48
2004-02-27,0,31.27
2004-03-05,0,31.95
2004-03-12,0,31.58
2004-03-19,0,31.38
2004-03-26,0,32.40
2004-04-02,0,33.41
2004-04-09,0,
2004-04-16,0,33.33
2004-04-23,0,33.96
2004-04-30,0,34.16
2004-05-07,0,34.84
2004-05-14,0,34.79
2004-05-21,0,35.56
2004-05-28,0,35.45
2004-06-04,0,35.15
2004-06-11,47,
2004-06-18,0,34.35
2004-06-25,0,34.15
2004-07-02,0,34.22
2004-07-09,0,35.12
2004-07-16,0,35.72
2004-07-23,0,35.75
2004-07-30,0,35.77
2004-08-06,0,33.03
2004-08-13,0,32.25
2004-08-20,0,32.70
2004-08-27,0,33.48
2004-09-03,0,34.08
2004-09-10,41,34.40
2004-09-17,34,35.08
2004-09-24,34,33.72
2004-10-01,39,34.78
2004-10-08,44,34.34
2004-10-15,49,35.19
2004-10-22,36,35.01
2004-10-29,37,35.43
2004-11-05,37,37.41
2004-11-12,38,37.33
2004-11-19,39,36.30
2004-11-26,40,37.27
2004-12-03,40,36.98
2004-12-10,37,36.94
2004-12-17,37,38.61
2004-12-24,37,
2004-12-31,28,38.60
2005-01-07,28,38.06
2005-01-14,28,38.03
2005-01-21,28,38.83
2005-01-28,28,37.10
2005-02-04,31,37.85
2005-02-11,35,37.52
2005-02-18,39,37.82
2005-02-25,37,38.00
2005-03-04,37,38.25
2005-03-11,37,37.65
2005-03-18,37,36.75
2005-03-25,38,
2005-04-01,25,34.24
2005-04-08,27,34.74
2005-04-15,29,34.29
2005-04-22,32,34.67
2005-04-29,31,34.59
2005-05-06,34,34.10
2005-05-13,38,33.56
2005-05-20,38,34.74
2005-05-27,39,34.15
2005-06-03,29,33.43
2005-06-10,29,33.00
2005-06-17,29,33.55
2005-06-24,29,33.26
2005-07-01,34,32.75
2005-07-08,29,32.43
2005-07-15,29,33.52
2005-07-22,26,34.45
2005-07-29,28,34.78
2005-08-05,31,33.46
2005-08-12,33,33.79
2005-08-19,30,34.30
2005-08-26,27,33.77
2005-09-02,27,33.53
2005-09-09,27,29.39
2005-09-16,27,31.06
2005-09-23,30,31.11
2005-09-30,32,32.63
2005-10-07,28,31.90
2005-10-14,28,30.81
2005-10-21,21,30.43
2005-10-28,21,30.11
2005-11-04,21,30.02
2005-11-11,27,30.80
2005-11-18,34,30.63
2005-11-25,40,31.20
2005-12-02,36,31.80
2005-12-09,36,30.14
2005-12-16,33,30.28
2005-12-23,33,30.57
2005-12-30,30,30.92
2006-01-06,29,31.60
2006-01-13,31,30.85
2006-01-20,33,30.49
2006-01-27,24,31.16
2006-02-03,20,30.61
2006-02-10,23,31.91
2006-02-17,19,32.90
2006-02-24,32,33.37
2006-03-03,33,32.85
2006-03-10,25,33.75
2006-03-17,30,34.37
2006-03-24,28,35.04
2006-03-31,25,33.86
2006-04-07,25,33.84
2006-04-14,22,
2006-04-21,23,34.31
2006-04-28,35,34.83
2006-05-05,28,35.02
2006-05-12,32,34.62
2006-05-19,31,35.02
2006-05-26,21,34.95
2006-06-02,20,34.14
2006-06-09,32,33.23
2006-06-16,36,32.97
2006-06-23,23,32.55
2006-06-30,27,33.55
2006-07-07,17,34.10
2006-07-14,38,34.25
2006-07-21,32,34.82
2006-07-28,25,34.83
2006-08-04,28,35.33
2006-08-11,26,35.65
2006-08-18,26,35.52
2006-08-25,23,35.70
2006-09-01,20,36.70
2006-09-08,33,36.64
2006-09-15,22,36.92
2006-09-22,27,36.65
2006-09-29,26,37.98
2006-10-06,20,37.32
2006-10-13,25,36.74
2006-10-20,27,37.01
2006-10-27,29,36.70
2006-11-03,23,36.90
2006-11-10,23,37.57
2006-11-17,29,38.67
2006-11-24,24,38.61
2006-12-01,32,38.85
2006-12-08,31,39.13
2006-12-15,23,39.41
2006-12-22,22,39.03
2006-12-29,28,38.56
2007-01-05,34,37.99
2007-01-12,27,37.98
2007-01-19,30,38.13
2007-01-26,26,38.50
2007-02-02,32,39.18
2007-02-09,31,39.03
2007-02-16,26,39.28
2007-02-23,26,39.36
2007-03-02,27,37.48
2007-03-09,25,37.53
2007-03-16,33,37.64
2007-03-23,21,39.18
2007-03-30,25,38.52
2007-04-06,25,
2007-04-13,19,38.46
2007-04-20,25,38.10
2007-04-27,33,37.30
2007-05-04,27,37.27
2007-05-11,29,36.97
2007-05-18,19,37.41
2007-05-25,26,37.32
2007-06-01,21,37.32
2007-06-08,18,37.36
2007-06-15,27,37.62
2007-06-22,30,36.93
2007-06-29,27,38.18
2007-07-06,20,37.44
2007-07-13,22,37.20
2007-07-20,25,36.63
2007-07-27,26,34.84
2007-08-03,23,34.85
2007-08-10,31,35.91
2007-08-17,34,37.51
2007-08-24,30,36.93
2007-08-31,26,35.84
2007-09-07,31,34.99
2007-09-14,29,35.40
2007-09-21,32,36.71
2007-09-28,24,35.97
2007-10-05,25,35.49
2007-10-12,24,35.52
2007-10-19,32,35.57
2007-10-26,28,34.88
2007-11-02,21,34.41
2007-11-09,32,34.90
2007-11-16,28,38.03
2007-11-23,33,37.88
2007-11-30,32,38.21
2007-12-07,23,38.36
2007-12-14,28,37.06
2007-12-21,32,38.90
2007-12-28,20,38.21
2008-01-04,30,36.65
2008-01-11,32,36.98
2008-01-18,30,35.98
2008-01-25,31,34.02
2008-02-01,34,34.46
2008-02-08,27,33.55
2008-02-15,37,35.22
2008-02-22,32,35.61
2008-02-29,39,34.45
2008-03-07,30,34.58
2008-03-14,32,34.77
2008-03-21,21,
2008-03-28,27,36.87
2008-04-04,30,37.79
2008-04-11,23,36.96
2008-04-18,32,38.00
2008-04-25,35,38.00
2008-05-02,31,37.20
2008-05-09,27,36.90
2008-05-16,25,37.21
2008-05-23,35,36.31
2008-05-30,28,37.58
2008-06-06,30,37.76
2008-06-13,20,37.99
2008-06-20,29,37.12
2008-06-27,18,35.88
2008-07-04,31,
2008-07-11,24,36.53
2008-07-18,28,38.82
2008-07-25,29,39.32
2008-08-01,29,39.83
2008-08-08,32,41.55
2008-08-15,24,41.53
2008-08-22,42,40.61
2008-08-29,28,40.45
2008-09-05,27,40.05
2008-09-12,35,41.57
2008-09-19,28,39.98
2008-09-26,28,38.87
2008-10-03,31,38.50
2008-10-10,27,34.26
2008-10-17,22,34.46
2008-10-24,33,31.52
2008-10-31,24,33.66
2008-11-07,24,31.15
2008-11-14,28,30.79
2008-11-21,23,30.27
2008-11-28,27,29.77
2008-12-05,24,29.73
2008-12-12,36,29.43
2008-12-19,32,31.50
2008-12-26,28,31.49
2009-01-02,23,32.23
2009-01-09,33,30.86
2009-01-16,30,31.01
2009-01-23,30,30.44
2009-01-30,33,32.04
2009-02-06,24,33.11
2009-02-13,30,31.97
2009-02-20,34,30.15
2009-02-27,35,31.35
2009-03-06,27,30.32
2009-03-13,36,31.81
2009-03-20,31,32.48
2009-03-27,26,29.34
2009-04-03,29,29.28
2009-04-10,30,
2009-04-17,33,29.06
2009-04-24,35,28.92
2009-05-01,29,29.50
2009-05-08,25,30.89
2009-05-15,27,31.17
2009-05-22,25,30.88
2009-05-29,32,30.52
2009-06-05,18,30.84
2009-06-12,26,31.97
2009-06-19,27,32.20
2009-06-26,32,32.55
2009-07-03,22,
2009-07-10,30,32.46
2009-07-17,24,32.76
2009-07-24,24,32.99
2009-07-31,29,32.22
2009-08-07,30,31.67
2009-08-14,21,31.79
2009-08-21,23,32.54
2009-08-28,29,32.33
2009-09-04,28,32.80
2009-09-11,27,33.49
2009-09-18,31,35.04
2009-09-25,32,33.69
2009-10-02,22,33.40
2009-10-09,30,33.67
2009-10-16,30,34.54
2009-10-23,27,34.38
2009-10-30,26,35.01
2009-11-06,25,35.06
2009-11-13,25,35.93
2009-11-20,26,35.96
2009-11-27,22,35.78
2009-12-04,30,36.51
2009-12-11,23,36.19
2009-12-18,24,35.93
2009-12-25,25,
2010-01-01,19,
2010-01-08,26,36.72
2010-01-15,23,37.59
2010-01-22,29,36.77
2010-01-29,29,36.30
2010-02-05,26,35.77
2010-02-12,27,36.08
2010-02-19,32,37.76
2010-02-26,28,37.11
2010-03-05,23,38.00
2010-03-12,24,38.31
2010-03-19,24,39.11
2010-03-26,25,37.63
2010-04-02,22,
2010-04-09,23,38.43
2010-04-16,24,38.64
2010-04-23,19,39.49
2010-04-30,22,39.57
2010-05-07,25,37.95
2010-05-14,28,39.28
2010-05-21,26,38.75
2010-05-28,26,38.57
2010-06-04,23,38.71
2010-06-11,21,39.68
2010-06-18,23,40.54
2010-06-25,19,38.97
2010-07-02,26,37.53
2010-07-09,21,38.29
2010-07-16,19,38.42
2010-07-23,24,38.98
2010-07-30,30,39.33
2010-08-06,20,39.32
2010-08-13,28,39.75
2010-08-20,26,40.90
2010-08-27,22,40.10
2010-09-03,28,40.55
2010-09-10,28,40.87
2010-09-17,26,41.24
2010-09-24,24,41.72
2010-10-01,24,41.66
2010-10-08,24,41.69
2010-10-15,22,42.92
2010-10-22,21,43.40
2010-10-29,27,44.20
2010-11-05,27,44.70
2010-11-12,29,43.66
2010-11-19,29,44.12
2010-11-26,29,44.27
2010-12-03,22,46.26
2010-12-10,23,46.51
2010-12-17,28,47.71
2010-12-24,26,
2010-12-31,24,46.53
2011-01-07,31,45.19
2011-01-14,25,45.95
2011-01-21,29,46.47
2011-01-28,23,44.51
2011-02-04,26,44.95
2011-02-11,26,45.10
2011-02-18,28,46.06
2011-02-25,26,47.34
2011-03-04,29,48.16
2011-03-11,30,48.86
2011-03-18,27,48.86
2011-03-25,21,49.61
2011-04-01,26,47.91
2011-04-08,23,46.96
2011-04-15,27,48.01
2011-04-22,18,
2011-04-29,20,49.12
2011-05-06,24,48.77
2011-05-13,30,49.69
2011-05-20,23,50.31
2011-05-27,20,49.80
2011-06-03,27,48.19
2011-06-10,22,48.25
2011-06-17,22,49.75
2011-06-24,27,50.00
2011-07-01,33,49.88
2011-07-08,26,49.10
2011-07-15,25,49.23
2011-07-22,25,50.25
2011-07-29,25,48.65
2011-08-05,22,46.60
2011-08-12,23,45.80
2011-08-19,22,44.29
2011-08-26,23,45.73
2011-09-02,21,46.62
2011-09-09,20,45.51
2011-09-16,24,46.95
2011-09-23,28,46.65
2011-09-30,21,46.16
2011-10-07,24,46.68
2011-10-14,21,47.49
2011-10-21,18,49.81
2011-10-28,21,49.62
2011-11-04,20,49.73
2011-11-11,20,49.55
2011-11-18,18,48.17
2011-11-25,28,47.44
2011-12-02,21,48.77
2011-12-09,22,49.79
2011-12-16,22,48.76
2011-12-23,21,50.34
2011-12-30,19,50.42
2012-01-06,20,50.38
2012-01-13,21,51.21
2012-01-20,17,51.51
2012-01-27,23,50.41
2012-02-03,20,51.24
2012-02-10,20,50.45
2012-02-17,27,50.78
2012-02-24,22,50.28
2012-03-02,21,50.80
2012-03-09,25,50.98
2012-03-16,20,51.73
2012-03-23,27,52.15
2012-03-30,24,54.43
2012-04-06,22,
2012-04-13,24,53.70
2012-04-20,25,55.41
2012-04-27,21,55.98
2012-05-04,22,55.79
2012-05-11,28,56.60
2012-05-18,22,56.43
2012-05-25,21,56.87
2012-06-01,18,55.20
2012-06-08,23,55.80
2012-06-15,20,57.76
2012-06-22,21,57.87
2012-06-29,17,60.65
2012-07-06,21,60.93
2012-07-13,17,60.90
2012-07-20,19,60.88
2012-07-27,20,61.27
2012-08-03,16,59.99
2012-08-10,16,60.16
2012-08-17,17,60.12
2012-08-24,22,61.10
2012-08-31,22,61.44
2012-09-07,22,63.00
2012-09-14,21,62.99
2012-09-21,18,63.16
2012-09-28,23,62.04
2012-10-05,20,62.64
2012-10-12,20,61.76
2012-10-19,15,61.64
2012-10-26,17,61.51
2012-11-02,19,61.48
2012-11-09,21,62.00
2012-11-16,21,63.55
2012-11-23,18,66.37
2012-11-30,21,64.56
2012-12-07,19,64.20
2012-12-14,19,64.42
2012-12-21,24,64.07
2012-12-28,17,62.64
2013-01-04,21,65.25
2013-01-11,28,65.07
2013-01-18,100,66.65
2013-01-25,52,61.87
2013-02-01,47,63.38
2013-02-08,39,63.63
2013-02-15,30,64.69
2013-02-22,31,66.20
2013-03-01,30,68.39
2013-03-08,28,70.20
2013-03-15,24,70.75
2013-03-22,29,72.19
2013-03-29,29,
2013-04-05,35,70.90
2013-04-12,28,71.72
2013-04-19,25,72.30
2013-04-26,29,71.20
2013-05-03,28,72.68
2013-05-10,26,73.08
2013-05-17,27,74.68
2013-05-24,26,73.83
2013-05-31,23,69.08
2013-06-07,29,70.92
2013-06-14,27,72.25
2013-06-21,27,71.44
2013-06-28,27,70.36
2013-07-05,22,69.68
2013-07-12,28,71.63
2013-07-19,24,73.07
2013-07-26,26,71.95
2013-08-02,27,72.74
2013-08-09,23,72.80
2013-08-16,28,70.69
2013-08-23,29,70.16
2013-08-30,28,67.65
2013-09-06,30,67.42
2013-09-13,29,67.79
2013-09-20,27,68.91
2013-09-27,28,65.40
2013-10-04,26,64.66
2013-10-11,26,66.28
2013-10-18,30,67.92
2013-10-25,25,69.15
2013-11-01,33,68.71
2013-11-08,31,69.10
2013-11-15,84,70.09
2013-11-22,57,69.36
2013-11-29,42,69.00
2013-12-06,41,69.37
2013-12-13,38,67.66
2013-12-20,41,68.61
2013-12-27,35,68.76
2014-01-03,36,68.55
2014-01-10,36,69.45
2014-01-17,38,68.95
2014-01-24,46,68.99
2014-01-31,53,64.18
2014-02-07,38,63.04
2014-02-14,38,65.50
2014-02-21,41,65.97
2014-02-28,39,66.40
2014-03-07,42,66.99
2014-03-14,39,67.65
2014-03-21,42,67.54
2014-03-28,42,71.32
2014-04-04,40,70.29
2014-04-11,39,70.00
2014-04-18,46,
2014-04-25,48,71.15
2014-05-02,56,
