Date,sell L,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,54.94
2004-02-13,0,58.66
2004-02-20,0,59.72
2004-02-27,0,60.29
2004-03-05,0,62.74
2004-03-12,0,61.01
2004-03-19,0,59.90
2004-03-26,0,58.08
2004-04-02,0,60.32
2004-04-09,0,
2004-04-16,0,60.49
2004-04-23,0,60.05
2004-04-30,0,58.01
2004-05-07,0,56.58
2004-05-14,0,59.29
2004-05-21,0,58.31
2004-05-28,0,57.63
2004-06-04,0,59.02
2004-06-11,0,
2004-06-18,0,58.13
2004-06-25,0,60.05
2004-07-02,0,59.60
2004-07-09,0,58.26
2004-07-16,0,57.12
2004-07-23,0,54.48
2004-07-30,0,56.63
2004-08-06,0,54.02
2004-08-13,0,53.62
2004-08-20,0,56.60
2004-08-27,0,56.17
2004-09-03,0,57.31
2004-09-10,0,58.52
2004-09-17,0,59.51
2004-09-24,0,58.35
2004-10-01,0,58.75
2004-10-08,0,58.57
2004-10-15,0,56.85
2004-10-22,0,56.85
2004-10-29,0,59.90
2004-11-05,0,63.53
2004-11-12,0,65.44
2004-11-19,0,66.63
2004-11-26,0,68.55
2004-12-03,0,70.19
2004-12-10,0,69.44
2004-12-17,0,69.10
2004-12-24,0,
2004-12-31,0,70.30
2005-01-07,0,69.47
2005-01-14,0,69.40
2005-01-21,0,68.29
2005-01-28,0,67.39
2005-02-04,0,70.80
2005-02-11,0,71.74
2005-02-18,0,72.03
2005-02-25,0,72.24
2005-03-04,0,73.87
2005-03-11,0,71.80
2005-03-18,0,70.82
2005-03-25,0,
2005-04-01,0,72.94
2005-04-08,0,73.35
2005-04-15,0,70.01
2005-04-22,0,69.97
2005-04-29,0,70.88
2005-05-06,0,73.00
2005-05-13,0,71.36
2005-05-20,0,72.34
2005-05-27,0,74.50
2005-06-03,0,74.93
2005-06-10,0,77.83
2005-06-17,0,79.70
2005-06-24,0,78.63
2005-07-01,0,77.57
2005-07-08,0,78.33
2005-07-15,0,80.48
2005-07-22,0,83.00
2005-07-29,0,83.63
2005-08-05,0,83.45
2005-08-12,0,85.35
2005-08-19,0,87.20
2005-08-26,0,87.60
2005-09-02,0,87.28
2005-09-09,0,93.67
2005-09-16,0,93.07
2005-09-23,0,90.43
2005-09-30,0,92.41
2005-10-07,0,90.68
2005-10-14,0,88.30
2005-10-21,0,89.94
2005-10-28,0,90.75
2005-11-04,0,94.53
2005-11-11,0,96.36
2005-11-18,0,97.80
2005-11-25,0,97.80
2005-12-02,0,97.52
2005-12-09,0,96.96
2005-12-16,0,96.50
2005-12-23,0,95.94
2005-12-30,0,94.85
2006-01-06,0,98.79
2006-01-13,0,100.76
2006-01-20,0,99.26
2006-01-27,0,99.47
2006-02-03,0,97.53
2006-02-10,0,95.85
2006-02-17,0,95.43
2006-02-24,0,93.35
2006-03-03,0,94.59
2006-03-10,0,95.04
2006-03-17,0,100.05
2006-03-24,0,100.59
2006-03-31,0,101.20
2006-04-07,0,99.98
2006-04-14,0,
2006-04-21,0,104.21
2006-04-28,0,106.15
2006-05-05,0,110.38
2006-05-12,0,35.51
2006-05-19,0,34.85
2006-05-26,0,33.80
2006-06-02,0,34.97
2006-06-09,0,34.38
2006-06-16,0,34.03
2006-06-23,0,34.33
2006-06-30,0,35.45
2006-07-07,0,35.62
2006-07-14,0,35.46
2006-07-21,0,35.04
2006-07-28,0,36.23
2006-08-04,0,36.79
2006-08-11,0,36.65
2006-08-18,0,37.34
2006-08-25,0,37.90
2006-09-01,0,38.60
2006-09-08,0,38.05
2006-09-15,0,38.41
2006-09-22,0,38.00
2006-09-29,0,37.90
2006-10-06,0,37.81
2006-10-13,0,38.25
2006-10-20,0,38.14
2006-10-27,0,38.65
2006-11-03,100,38.82
2006-11-10,0,40.00
2006-11-17,0,39.41
2006-11-24,0,40.06
2006-12-01,0,40.30
2006-12-08,0,40.59
2006-12-15,0,41.57
2006-12-22,0,41.43
2006-12-29,0,41.47
2007-01-05,0,40.37
2007-01-12,0,42.26
2007-01-19,0,42.44
2007-01-26,0,42.43
2007-02-02,0,43.58
2007-02-09,0,42.84
2007-02-16,0,44.01
2007-02-23,0,44.09
2007-03-02,0,42.53
2007-03-09,0,43.90
2007-03-16,0,43.70
2007-03-23,0,45.96
2007-03-30,0,45.43
2007-04-06,0,
2007-04-13,0,46.54
2007-04-20,0,46.44
2007-04-27,0,46.64
2007-05-04,0,47.93
2007-05-11,0,48.56
2007-05-18,0,50.09
2007-05-25,0,50.95
2007-06-01,0,51.02
2007-06-08,0,50.87
2007-06-15,0,52.85
2007-06-22,0,52.07
2007-06-29,0,50.98
2007-07-06,63,52.06
2007-07-13,0,51.86
2007-07-20,0,51.12
2007-07-27,0,47.60
2007-08-03,0,44.95
2007-08-10,0,44.30
2007-08-17,0,46.45
2007-08-24,0,48.25
2007-08-31,0,47.01
2007-09-07,0,46.02
2007-09-14,0,45.57
2007-09-21,0,47.62
2007-09-28,0,48.35
2007-10-05,0,49.67
2007-10-12,0,50.12
2007-10-19,0,48.84
2007-10-26,0,50.03
2007-11-02,0,47.61
2007-11-09,0,45.90
2007-11-16,0,45.18
2007-11-23,0,45.31
2007-11-30,0,47.79
2007-12-07,0,48.54
2007-12-14,0,46.80
2007-12-21,0,49.49
2007-12-28,0,49.35
2008-01-04,0,48.49
2008-01-11,0,47.88
2008-01-18,0,44.92
2008-01-25,0,44.75
2008-02-01,0,47.28
2008-02-08,0,44.73
2008-02-15,0,42.92
2008-02-22,0,43.01
2008-02-29,53,41.84
2008-03-07,0,40.96
2008-03-14,0,40.24
2008-03-21,0,
2008-03-28,0,40.06
2008-04-04,0,42.14
2008-04-11,0,41.09
2008-04-18,0,44.27
2008-04-25,0,44.63
2008-05-02,68,43.32
2008-05-09,43,46.29
2008-05-16,43,49.41
2008-05-23,43,47.09
2008-05-30,44,49.57
2008-06-06,44,49.95
2008-06-13,44,50.40
2008-06-20,44,49.49
2008-06-27,47,47.52
2008-07-04,51,
2008-07-11,0,45.36
2008-07-18,0,42.94
2008-07-25,0,41.92
2008-08-01,0,44.37
2008-08-08,0,43.50
2008-08-15,0,42.38
2008-08-22,0,42.08
2008-08-29,43,43.43
2008-09-05,45,42.29
2008-09-12,40,41.85
2008-09-19,40,40.98
2008-09-26,40,42.99
2008-10-03,40,35.82
2008-10-10,39,26.10
2008-10-17,39,31.41
2008-10-24,39,31.31
2008-10-31,39,33.20
2008-11-07,39,30.19
2008-11-14,0,27.94
2008-11-21,0,22.34
2008-11-28,0,27.39
2008-12-05,0,25.98
2008-12-12,0,27.42
2008-12-19,0,27.98
2008-12-26,0,26.76
2009-01-02,0,29.77
2009-01-09,0,27.50
2009-01-16,0,25.09
2009-01-23,0,24.53
2009-01-30,0,24.40
2009-02-06,0,24.98
2009-02-13,44,22.82
2009-02-20,49,20.15
2009-02-27,55,19.85
2009-03-06,60,18.13
2009-03-13,40,20.32
2009-03-20,44,22.70
2009-03-27,33,22.34
2009-04-03,41,23.49
2009-04-10,49,
2009-04-17,39,25.18
2009-04-24,39,25.02
2009-05-01,32,25.19
2009-05-08,32,29.01
2009-05-15,32,25.21
2009-05-22,35,25.76
2009-05-29,38,27.05
2009-06-05,41,27.69
2009-06-12,44,28.13
2009-06-19,35,27.43
2009-06-26,37,27.17
2009-07-03,39,
2009-07-10,0,25.75
2009-07-17,0,27.39
2009-07-24,0,29.34
2009-07-31,0,30.02
2009-08-07,0,31.71
2009-08-14,0,32.01
2009-08-21,49,33.15
2009-08-28,42,34.13
2009-09-04,42,32.82
2009-09-11,33,33.78
2009-09-18,32,34.79
2009-09-25,37,33.52
2009-10-02,41,33.52
2009-10-09,43,34.81
2009-10-16,46,35.89
2009-10-23,28,35.88
2009-10-30,34,33.10
2009-11-06,40,34.60
2009-11-13,47,35.48
2009-11-20,31,35.50
2009-11-27,31,35.00
2009-12-04,41,35.45
2009-12-11,36,35.58
2009-12-18,28,36.12
2009-12-25,31,
2010-01-01,33,
2010-01-08,36,37.89
2010-01-15,39,37.21
2010-01-22,28,35.73
2010-01-29,30,35.77
2010-02-05,30,35.37
2010-02-12,31,35.17
2010-02-19,31,36.55
2010-02-26,25,36.46
2010-03-05,38,37.50
2010-03-12,27,37.56
2010-03-19,42,37.17
2010-03-26,32,37.24
2010-04-02,32,
2010-04-09,29,38.44
2010-04-16,32,37.80
2010-04-23,32,38.37
2010-04-30,33,37.24
2010-05-07,33,33.60
2010-05-14,33,34.10
2010-05-21,41,31.97
2010-05-28,31,32.51
2010-06-04,31,31.60
2010-06-11,31,32.55
2010-06-18,35,33.90
2010-06-25,39,33.88
2010-07-02,25,33.57
2010-07-09,25,35.70
2010-07-16,24,35.56
2010-07-23,25,37.17
2010-07-30,29,37.15
2010-08-06,42,37.98
2010-08-13,36,37.05
2010-08-20,27,36.29
2010-08-27,33,35.96
2010-09-03,34,36.90
2010-09-10,42,36.51
2010-09-17,38,37.23
2010-09-24,26,37.62
2010-10-01,44,38.02
2010-10-08,39,38.91
2010-10-15,30,39.66
2010-10-22,28,39.70
2010-10-29,34,39.49
2010-11-05,23,40.08
2010-11-12,24,39.23
2010-11-19,25,38.30
2010-11-26,37,37.54
2010-12-03,39,38.13
2010-12-10,37,38.77
2010-12-17,33,38.65
2010-12-24,30,
2010-12-31,45,38.91
2011-01-07,46,39.98
2011-01-14,29,40.35
2011-01-21,29,40.23
2011-01-28,35,39.96
2011-02-04,50,41.40
2011-02-11,42,43.03
2011-02-18,30,43.19
2011-02-25,33,42.91
2011-03-04,22,42.77
2011-03-11,28,41.97
2011-03-18,39,42.14
2011-03-25,20,43.04
2011-04-01,32,43.51
2011-04-08,36,43.00
2011-04-15,21,42.48
2011-04-22,30,
2011-04-29,25,44.26
2011-05-06,30,41.72
2011-05-13,38,41.65
2011-05-20,35,41.74
2011-05-27,30,41.84
2011-06-03,58,41.31
2011-06-10,35,40.70
2011-06-17,35,40.56
2011-06-24,28,40.79
2011-07-01,32,42.12
2011-07-08,51,42.36
2011-07-15,32,40.77
2011-07-22,52,40.90
2011-07-29,37,39.87
2011-08-05,34,37.58
2011-08-12,37,36.26
2011-08-19,41,35.25
2011-08-26,41,35.88
2011-09-02,46,36.07
2011-09-09,31,35.96
2011-09-16,29,37.57
2011-09-23,37,34.40
2011-09-30,24,34.55
2011-10-07,32,34.67
2011-10-14,29,36.56
2011-10-21,42,38.66
2011-10-28,23,41.28
2011-11-04,28,39.28
2011-11-11,34,39.50
2011-11-18,32,38.18
2011-11-25,37,35.85
2011-12-02,50,38.25
2011-12-09,30,38.58
2011-12-16,37,36.96
2011-12-23,22,38.22
2011-12-30,35,37.65
2012-01-06,32,37.72
2012-01-13,29,38.23
2012-01-20,36,38.56
2012-01-27,36,37.63
2012-02-03,49,38.61
2012-02-10,44,38.10
2012-02-17,21,38.30
2012-02-24,45,39.14
2012-03-02,42,38.87
2012-03-09,33,38.65
2012-03-16,46,39.48
2012-03-23,43,39.19
2012-03-30,36,39.87
2012-04-06,45,
2012-04-13,37,38.91
2012-04-20,32,39.84
2012-04-27,44,41.01
2012-05-04,43,40.77
2012-05-11,41,40.64
2012-05-18,29,38.32
2012-05-25,46,39.22
2012-06-01,25,38.36
2012-06-08,42,39.87
2012-06-15,29,40.46
2012-06-22,53,40.07
2012-06-29,42,40.91
2012-07-06,37,40.50
2012-07-13,42,40.90
2012-07-20,45,40.55
2012-07-27,51,41.70
2012-08-03,46,40.35
2012-08-10,36,40.51
2012-08-17,43,40.48
2012-08-24,40,40.23
2012-08-31,32,40.65
2012-09-07,41,41.18
2012-09-14,37,42.69
2012-09-21,25,41.43
2012-09-28,26,41.26
2012-10-05,47,41.96
2012-10-12,45,41.48
2012-10-19,53,42.51
2012-10-26,32,42.39
2012-11-02,38,42.16
2012-11-09,45,41.13
2012-11-16,34,40.72
2012-11-23,30,41.30
2012-11-30,37,40.88
2012-12-07,51,41.28
2012-12-14,45,40.65
2012-12-21,32,40.90
2012-12-28,33,40.18
2013-01-04,36,42.06
2013-01-11,38,42.65
2013-01-18,40,42.82
2013-01-25,38,43.47
2013-02-01,43,44.08
2013-02-08,31,43.85
2013-02-15,30,43.91
2013-02-22,36,43.68
2013-03-01,42,43.18
2013-03-08,35,43.58
2013-03-15,44,44.60
2013-03-22,43,43.98
2013-03-29,55,
2013-04-05,48,43.80
2013-04-12,41,43.99
2013-04-19,38,43.18
2013-04-26,34,44.44
2013-05-03,36,45.42
2013-05-10,48,45.45
2013-05-17,33,46.44
2013-05-24,27,45.95
2013-05-31,43,45.82
2013-06-07,37,45.74
2013-06-14,39,44.58
2013-06-21,34,43.58
2013-06-28,34,44.40
2013-07-05,37,44.87
2013-07-12,37,45.68
2013-07-19,30,46.51
2013-07-26,48,46.05
2013-08-02,48,46.29
2013-08-09,31,46.18
2013-08-16,31,46.41
2013-08-23,47,45.95
2013-08-30,43,44.46
2013-09-06,41,44.69
2013-09-13,38,46.23
2013-09-20,41,47.44
2013-09-27,36,46.95
2013-10-04,31,47.06
2013-10-11,47,48.33
2013-10-18,36,49.07
2013-10-25,37,48.81
2013-11-01,31,48.34
2013-11-08,40,48.57
2013-11-15,51,48.07
2013-11-22,47,48.24
2013-11-29,35,47.35
2013-12-06,43,47.29
2013-12-13,26,46.56
2013-12-20,42,47.62
2013-12-27,42,47.67
2014-01-03,37,47.26
2014-01-10,32,46.86
2014-01-17,41,47.33
2014-01-24,47,44.65
2014-01-31,36,44.59
2014-02-07,54,45.18
2014-02-14,33,44.03
2014-02-21,38,43.50
2014-02-28,32,43.48
2014-03-07,48,45.05
2014-03-14,32,43.97
2014-03-21,39,44.23
2014-03-28,56,43.42
2014-04-04,45,44.70
2014-04-11,27,43.44
2014-04-18,41,
2014-04-25,46,44.14
2014-05-02,31,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
