Date,DHI,Price
2004-01-09,52,
2004-01-16,71,
2004-01-23,50,
2004-01-30,50,
2004-02-06,53,30.00
2004-02-13,57,30.45
2004-02-20,61,30.15
2004-02-27,69,31.79
2004-03-05,82,35.18
2004-03-12,96,34.37
2004-03-19,63,34.46
2004-03-26,38,34.78
2004-04-02,38,33.73
2004-04-09,70,
2004-04-16,81,31.77
2004-04-23,60,30.67
2004-04-30,57,28.80
2004-05-07,68,26.93
2004-05-14,77,26.77
2004-05-21,66,26.15
2004-05-28,77,28.90
2004-06-04,65,28.64
2004-06-11,52,
2004-06-18,48,27.95
2004-06-25,49,29.70
2004-07-02,83,28.22
2004-07-09,77,25.87
2004-07-16,80,26.54
2004-07-23,53,26.59
2004-07-30,65,27.63
2004-08-06,84,28.16
2004-08-13,48,28.27
2004-08-20,52,30.34
2004-08-27,42,30.77
2004-09-03,80,31.56
2004-09-10,76,32.18
2004-09-17,61,32.80
2004-09-24,73,33.48
2004-10-01,54,32.94
2004-10-08,100,29.34
2004-10-15,50,28.77
2004-10-22,83,27.61
2004-10-29,57,30.00
2004-11-05,80,30.47
2004-11-12,77,34.46
2004-11-19,76,34.34
2004-11-26,31,36.11
2004-12-03,73,36.35
2004-12-10,81,39.29
2004-12-17,68,39.69
2004-12-24,67,
2004-12-31,66,40.31
2005-01-07,67,37.46
2005-01-14,60,40.95
2005-01-21,49,38.79
2005-01-28,79,38.97
2005-02-04,55,43.84
2005-02-11,76,43.06
2005-02-18,84,42.30
2005-02-25,69,45.01
2005-03-04,68,45.50
2005-03-11,100,41.09
2005-03-18,47,30.19
2005-03-25,57,
2005-04-01,62,30.14
2005-04-08,71,29.09
2005-04-15,59,26.91
2005-04-22,97,29.24
2005-04-29,82,30.50
2005-05-06,60,32.14
2005-05-13,73,29.99
2005-05-20,52,32.40
2005-05-27,56,34.58
2005-06-03,51,35.07
2005-06-10,66,34.18
2005-06-17,72,37.46
2005-06-24,71,35.65
2005-07-01,64,37.52
2005-07-08,87,39.96
2005-07-15,59,41.46
2005-07-22,80,41.94
2005-07-29,70,41.08
2005-08-05,73,38.45
2005-08-12,74,35.86
2005-08-19,64,35.01
2005-08-26,92,34.40
2005-09-02,70,36.74
2005-09-09,95,38.58
2005-09-16,99,36.25
2005-09-23,58,35.15
2005-09-30,53,36.22
2005-10-07,84,33.18
2005-10-14,59,31.39
2005-10-21,56,31.01
