Date,sell XL,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,81.40
2004-02-13,0,77.30
2004-02-20,0,75.10
2004-02-27,0,76.66
2004-03-05,0,77.75
2004-03-12,0,74.96
2004-03-19,0,75.41
2004-03-26,0,74.80
2004-04-02,0,76.26
2004-04-09,0,
2004-04-16,0,79.21
2004-04-23,0,78.47
2004-04-30,0,76.35
2004-05-07,0,74.67
2004-05-14,0,74.67
2004-05-21,0,74.20
2004-05-28,0,74.65
2004-06-04,0,74.40
2004-06-11,0,
2004-06-18,0,77.03
2004-06-25,0,75.79
2004-07-02,0,75.14
2004-07-09,0,75.66
2004-07-16,0,73.43
2004-07-23,0,69.01
2004-07-30,0,70.68
2004-08-06,0,69.00
2004-08-13,0,69.52
2004-08-20,0,71.42
2004-08-27,0,69.95
2004-09-03,0,73.10
2004-09-10,0,71.82
2004-09-17,0,73.16
2004-09-24,0,74.01
2004-10-01,0,74.40
2004-10-08,0,73.63
2004-10-15,0,69.50
2004-10-22,0,68.00
2004-10-29,0,72.50
2004-11-05,0,72.65
2004-11-12,0,74.25
2004-11-19,0,73.97
2004-11-26,0,75.07
2004-12-03,0,77.14
2004-12-10,0,78.19
2004-12-17,0,79.20
2004-12-24,0,
2004-12-31,0,77.65
2005-01-07,0,76.09
2005-01-14,0,77.06
2005-01-21,0,75.20
2005-01-28,0,73.72
2005-02-04,0,77.05
2005-02-11,0,75.46
2005-02-18,0,76.75
2005-02-25,0,75.03
2005-03-04,0,75.67
2005-03-11,0,72.85
2005-03-18,0,72.86
2005-03-25,0,
2005-04-01,0,71.65
2005-04-08,0,68.61
2005-04-15,0,68.10
2005-04-22,0,68.20
2005-04-29,0,70.30
2005-05-06,0,73.86
2005-05-13,0,72.85
2005-05-20,0,73.65
2005-05-27,0,74.69
2005-06-03,0,75.00
2005-06-10,0,74.69
2005-06-17,0,75.18
2005-06-24,0,72.56
2005-07-01,0,74.41
2005-07-08,0,70.99
2005-07-15,0,71.75
2005-07-22,0,72.04
2005-07-29,0,71.82
2005-08-05,0,69.30
2005-08-12,0,70.07
2005-08-19,0,71.33
2005-08-26,0,71.00
2005-09-02,0,68.34
2005-09-09,0,68.34
2005-09-16,0,70.70
2005-09-23,0,69.22
2005-09-30,0,68.03
2005-10-07,0,66.00
2005-10-14,0,67.65
2005-10-21,0,66.98
2005-10-28,0,62.10
2005-11-04,0,69.39
2005-11-11,0,73.02
2005-11-18,0,73.10
2005-11-25,0,67.42
2005-12-02,0,68.69
2005-12-09,0,66.55
2005-12-16,0,66.00
2005-12-23,0,66.98
2005-12-30,0,67.38
2006-01-06,0,69.61
2006-01-13,0,71.13
2006-01-20,0,68.90
2006-01-27,0,69.31
2006-02-03,0,67.25
2006-02-10,0,66.13
2006-02-17,0,66.06
2006-02-24,0,67.44
2006-03-03,0,68.10
2006-03-10,0,66.60
2006-03-17,0,67.45
2006-03-24,0,65.39
2006-03-31,0,64.11
2006-04-07,0,63.75
2006-04-14,0,
2006-04-21,0,65.50
2006-04-28,0,65.89
2006-05-05,0,66.77
2006-05-12,0,65.51
2006-05-19,0,64.24
2006-05-26,0,64.03
2006-06-02,0,63.63
2006-06-09,0,63.82
2006-06-16,0,61.95
2006-06-23,0,61.11
2006-06-30,0,61.30
2006-07-07,0,63.02
2006-07-14,0,62.76
2006-07-21,0,64.56
2006-07-28,0,65.09
2006-08-04,0,61.56
2006-08-11,0,61.50
2006-08-18,0,63.67
2006-08-25,0,62.76
2006-09-01,0,65.49
2006-09-08,0,66.90
2006-09-15,0,67.78
2006-09-22,0,67.23
2006-09-29,0,68.70
2006-10-06,0,70.91
2006-10-13,0,71.79
2006-10-20,0,70.76
2006-10-27,0,70.82
2006-11-03,0,69.40
2006-11-10,0,71.16
2006-11-17,0,72.01
2006-11-24,0,71.64
2006-12-01,0,70.55
2006-12-08,0,70.87
2006-12-15,0,72.08
2006-12-22,0,71.24
2006-12-29,0,72.02
2007-01-05,0,71.01
2007-01-12,0,68.30
2007-01-19,0,67.85
2007-01-26,0,68.86
2007-02-02,0,69.89
2007-02-09,0,72.64
2007-02-16,0,73.85
2007-02-23,0,72.90
2007-03-02,0,69.69
2007-03-09,0,70.69
2007-03-16,0,68.31
2007-03-23,0,70.85
2007-03-30,0,69.96
2007-04-06,0,
2007-04-13,0,70.80
2007-04-20,0,73.09
2007-04-27,0,78.19
2007-05-04,0,79.43
2007-05-11,0,80.45
2007-05-18,0,81.58
2007-05-25,0,80.03
2007-06-01,0,81.90
2007-06-08,0,81.44
2007-06-15,0,83.42
2007-06-22,0,83.31
2007-06-29,0,84.29
2007-07-06,0,83.44
2007-07-13,0,84.33
2007-07-20,0,83.00
2007-07-27,0,78.01
2007-08-03,0,72.94
2007-08-10,0,75.16
2007-08-17,0,73.64
2007-08-24,0,78.45
2007-08-31,0,76.20
2007-09-07,0,73.50
2007-09-14,0,73.91
2007-09-21,0,76.62
2007-09-28,0,79.20
2007-10-05,0,81.24
2007-10-12,0,79.70
2007-10-19,0,74.06
2007-10-26,0,71.89
2007-11-02,0,64.90
2007-11-09,0,64.68
2007-11-16,0,63.20
2007-11-23,0,52.99
2007-11-30,0,58.53
2007-12-07,0,60.30
2007-12-14,0,52.46
2007-12-21,0,50.16
2007-12-28,0,50.02
2008-01-04,0,49.89
2008-01-11,0,49.69
2008-01-18,0,39.52
2008-01-25,0,44.69
2008-02-01,0,46.44
2008-02-08,0,42.68
2008-02-15,0,38.65
2008-02-22,0,36.86
2008-02-29,0,36.06
2008-03-07,0,32.58
2008-03-14,0,31.47
2008-03-21,0,
2008-03-28,0,29.50
2008-04-04,0,30.33
2008-04-11,0,29.95
2008-04-18,0,30.44
2008-04-25,0,32.28
2008-05-02,0,37.78
2008-05-09,0,34.26
2008-05-16,0,35.45
2008-05-23,0,33.87
2008-05-30,0,34.91
2008-06-06,0,32.31
2008-06-13,0,30.58
2008-06-20,0,28.36
2008-06-27,0,23.77
2008-07-04,0,
2008-07-11,0,16.25
2008-07-18,0,19.88
2008-07-25,0,18.77
2008-08-01,0,18.47
2008-08-08,0,19.87
2008-08-15,0,20.04
2008-08-22,0,19.50
2008-08-29,0,20.10
2008-09-05,0,19.08
2008-09-12,0,17.78
2008-09-19,0,20.59
2008-09-26,0,18.41
2008-10-03,0,14.99
2008-10-10,0,5.43
2008-10-17,0,9.85
2008-10-24,0,7.21
2008-10-31,0,9.70
2008-11-07,0,8.42
2008-11-14,0,6.14
2008-11-21,0,4.64
2008-11-28,0,5.03
2008-12-05,0,6.05
2008-12-12,0,2.68
2008-12-19,0,4.00
2008-12-26,0,3.33
2009-01-02,0,3.89
2009-01-09,0,4.30
2009-01-16,0,3.18
2009-01-23,0,3.32
2009-01-30,0,2.90
2009-02-06,0,3.03
2009-02-13,0,4.31
2009-02-20,0,3.38
2009-02-27,0,3.31
2009-03-06,0,2.95
2009-03-13,0,3.99
2009-03-20,0,4.24
2009-03-27,0,6.19
2009-04-03,0,6.13
2009-04-10,0,
2009-04-17,0,8.16
2009-04-24,0,8.96
2009-05-01,0,9.84
2009-05-08,0,11.12
2009-05-15,0,8.93
2009-05-22,0,9.86
2009-05-29,0,10.12
2009-06-05,0,10.67
2009-06-12,0,11.63
2009-06-19,0,11.23
2009-06-26,0,10.85
2009-07-03,0,
2009-07-10,0,11.05
2009-07-17,0,12.44
2009-07-24,0,13.61
2009-07-31,0,14.08
2009-08-07,0,14.98
2009-08-14,0,15.04
2009-08-21,0,15.77
2009-08-28,0,17.22
2009-09-04,0,16.85
2009-09-11,0,16.98
2009-09-18,0,16.89
2009-09-25,0,16.86
2009-10-02,0,16.78
2009-10-09,0,17.81
2009-10-16,0,17.88
2009-10-23,0,17.18
2009-10-30,0,16.41
2009-11-06,0,17.22
2009-11-13,0,17.45
2009-11-20,0,18.00
2009-11-27,0,17.70
2009-12-04,0,18.21
2009-12-11,0,18.15
2009-12-18,0,18.21
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,18.20
2010-01-15,0,17.09
2010-01-22,0,16.48
2010-01-29,0,16.77
2010-02-05,0,16.46
2010-02-12,0,17.64
2010-02-19,0,18.42
2010-02-26,0,18.27
2010-03-05,0,19.34
2010-03-12,0,18.78
2010-03-19,0,18.83
2010-03-26,0,18.89
2010-04-02,0,
2010-04-09,0,19.09
2010-04-16,0,19.72
2010-04-23,0,19.96
2010-04-30,0,17.80
2010-05-07,0,17.26
2010-05-14,0,18.80
2010-05-21,0,17.37
2010-05-28,0,17.61
2010-06-04,0,16.41
2010-06-11,0,17.35
2010-06-18,0,17.99
2010-06-25,0,17.39
2010-07-02,0,15.97
2010-07-09,0,17.40
2010-07-16,0,16.80
2010-07-23,0,17.77
2010-07-30,0,17.73
2010-08-06,0,17.99
2010-08-13,0,18.00
2010-08-20,0,17.63
2010-08-27,0,18.17
2010-09-03,0,19.10
2010-09-10,0,20.24
2010-09-17,0,20.89
2010-09-24,0,21.22
2010-10-01,0,21.55
2010-10-08,0,22.08
2010-10-15,0,22.04
2010-10-22,0,21.98
2010-10-29,0,21.15
2010-11-05,0,20.80
2010-11-12,0,20.13
2010-11-19,0,20.18
2010-11-26,0,19.75
2010-12-03,0,20.55
2010-12-10,0,21.11
2010-12-17,0,21.70
2010-12-24,0,
2010-12-31,0,21.82
2011-01-07,0,22.12
2011-01-14,54,23.57
2011-01-21,0,22.69
2011-01-28,0,22.81
2011-02-04,0,23.44
2011-02-11,0,23.24
2011-02-18,0,24.65
2011-02-25,0,23.28
2011-03-04,0,22.95
2011-03-11,0,22.22
2011-03-18,0,21.97
2011-03-25,0,23.12
2011-04-01,0,24.78
2011-04-08,0,25.19
2011-04-15,0,24.47
2011-04-22,0,
2011-04-29,0,24.42
2011-05-06,0,23.45
2011-05-13,0,23.00
2011-05-20,0,23.54
2011-05-27,0,23.21
2011-06-03,58,22.44
2011-06-10,67,20.87
2011-06-17,0,21.32
2011-06-24,0,21.18
2011-07-01,0,22.30
2011-07-08,0,22.11
2011-07-15,0,21.19
2011-07-22,0,21.57
2011-07-29,0,20.52
2011-08-05,0,19.96
2011-08-12,0,19.24
2011-08-19,51,18.76
2011-08-26,47,19.27
2011-09-02,47,19.56
2011-09-09,47,19.25
2011-09-16,47,20.03
2011-09-23,47,18.36
2011-09-30,0,18.80
2011-10-07,0,18.76
2011-10-14,0,19.75
2011-10-21,0,21.54
2011-10-28,0,22.56
2011-11-04,0,21.31
2011-11-11,50,21.20
2011-11-18,49,19.86
2011-11-25,55,18.92
2011-12-02,60,20.75
2011-12-09,66,20.56
2011-12-16,57,19.66
2011-12-23,49,20.27
2011-12-30,49,19.77
2012-01-06,49,19.93
2012-01-13,51,20.26
2012-01-20,54,20.39
2012-01-27,41,20.30
2012-02-03,41,21.02
2012-02-10,41,19.27
2012-02-17,41,19.94
2012-02-24,41,20.08
2012-03-02,44,21.02
2012-03-09,46,21.22
2012-03-16,53,21.87
2012-03-23,54,21.13
2012-03-30,54,21.69
2012-04-06,55,
2012-04-13,41,20.81
2012-04-20,41,21.38
2012-04-27,45,21.72
2012-05-04,50,21.14
2012-05-11,44,22.12
2012-05-18,48,20.35
2012-05-25,44,20.25
2012-06-01,44,19.70
2012-06-08,44,20.39
2012-06-15,44,20.35
2012-06-22,44,20.11
2012-06-29,57,21.04
2012-07-06,41,20.83
2012-07-13,48,20.45
2012-07-20,40,20.41
2012-07-27,70,20.88
2012-08-03,82,21.20
2012-08-10,58,22.98
2012-08-17,66,23.45
2012-08-24,67,23.23
2012-08-31,52,23.12
2012-09-07,84,23.76
2012-09-14,39,24.68
2012-09-21,54,24.20
2012-09-28,46,24.03
2012-10-05,65,24.86
2012-10-12,75,24.98
2012-10-19,37,25.43
2012-10-26,49,24.77
2012-11-02,62,24.01
2012-11-09,58,24.00
2012-11-16,69,23.71
2012-11-23,59,24.36
2012-11-30,50,24.33
2012-12-07,50,25.09
2012-12-14,46,24.29
2012-12-21,55,24.56
2012-12-28,76,24.69
2013-01-04,53,26.01
2013-01-11,44,26.60
2013-01-18,50,27.22
2013-01-25,47,27.79
2013-02-01,47,28.07
2013-02-08,57,28.24
2013-02-15,51,28.67
2013-02-22,39,28.99
2013-03-01,46,28.82
2013-03-08,49,29.66
2013-03-15,48,30.40
2013-03-22,74,30.25
2013-03-29,87,
2013-04-05,40,30.77
2013-04-12,42,31.29
2013-04-19,65,30.44
2013-04-26,46,31.15
2013-05-03,36,32.23
2013-05-10,72,31.93
2013-05-17,45,32.45
2013-05-24,49,31.50
2013-05-31,46,31.43
2013-06-07,58,31.31
2013-06-14,76,31.06
2013-06-21,85,29.56
2013-06-28,75,30.32
2013-07-05,79,30.65
2013-07-12,83,32.01
2013-07-19,72,32.88
2013-07-26,47,32.22
2013-08-02,79,31.95
2013-08-09,50,30.84
2013-08-16,47,30.43
2013-08-23,53,30.92
2013-08-30,71,29.56
2013-09-06,47,29.94
2013-09-13,62,30.51
2013-09-20,62,31.44
2013-09-27,53,31.00
2013-10-04,74,31.15
2013-10-11,77,31.30
2013-10-18,93,32.08
2013-10-25,79,31.68
2013-11-01,86,30.32
2013-11-08,72,31.25
2013-11-15,63,31.39
2013-11-22,90,31.55
2013-11-29,90,31.99
2013-12-06,42,30.75
2013-12-13,100,29.65
2013-12-20,59,31.10
2013-12-27,67,31.69
2014-01-03,65,30.81
2014-01-10,70,30.42
2014-01-17,63,29.94
2014-01-24,63,28.81
2014-01-31,37,28.74
2014-02-07,56,28.87
2014-02-14,48,29.23
2014-02-21,57,29.44
2014-02-28,28,30.40
2014-03-07,31,30.70
2014-03-14,34,29.97
2014-03-21,71,30.55
2014-03-28,93,30.62
2014-04-04,37,31.21
2014-04-11,59,30.95
2014-04-18,51,
2014-04-25,67,31.39
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
