Date,ESV,Price
2004-01-09,76,
2004-01-16,46,
2004-01-23,65,
2004-01-30,60,
2004-02-06,50,28.24
2004-02-13,60,29.47
2004-02-20,42,28.55
2004-02-27,68,29.37
2004-03-05,58,30.30
2004-03-12,45,28.90
2004-03-19,49,28.53
2004-03-26,54,27.50
2004-04-02,56,27.51
2004-04-09,47,
2004-04-16,37,28.31
2004-04-23,71,27.80
2004-04-30,64,27.37
2004-05-07,49,25.90
2004-05-14,56,25.74
2004-05-21,41,25.40
2004-05-28,58,26.64
2004-06-04,54,26.15
2004-06-11,45,
2004-06-18,46,28.82
2004-06-25,60,28.90
2004-07-02,62,29.48
2004-07-09,59,29.11
2004-07-16,44,30.07
2004-07-23,49,29.42
2004-07-30,51,30.11
2004-08-06,41,28.27
2004-08-13,48,27.79
2004-08-20,47,28.69
2004-08-27,67,28.53
2004-09-03,55,29.91
2004-09-10,58,29.88
2004-09-17,65,30.64
2004-09-24,44,32.45
2004-10-01,58,33.22
2004-10-08,57,33.40
2004-10-15,76,31.92
2004-10-22,66,32.95
2004-10-29,74,30.55
2004-11-05,59,30.00
2004-11-12,55,30.26
2004-11-19,61,30.85
2004-11-26,67,31.53
2004-12-03,62,29.25
2004-12-10,56,29.42
2004-12-17,68,32.05
2004-12-24,53,
2004-12-31,40,31.74
2005-01-07,62,30.67
2005-01-14,60,32.31
2005-01-21,53,33.25
2005-01-28,70,33.70
2005-02-04,66,36.24
2005-02-11,54,37.48
2005-02-18,55,39.93
2005-02-25,50,40.62
2005-03-04,49,40.87
2005-03-11,60,38.41
2005-03-18,62,37.65
2005-03-25,47,
2005-04-01,53,38.86
2005-04-08,75,36.11
2005-04-15,49,33.08
2005-04-22,61,35.48
2005-04-29,57,32.60
2005-05-06,61,32.85
2005-05-13,59,29.79
2005-05-20,41,31.34
2005-05-27,57,33.37
2005-06-03,49,34.17
2005-06-10,74,35.68
2005-06-17,53,37.98
2005-06-24,55,36.23
2005-07-01,69,36.25
2005-07-08,62,37.27
2005-07-15,52,35.91
2005-07-22,47,38.36
2005-07-29,54,40.38
2005-08-05,46,40.21
2005-08-12,70,41.03
2005-08-19,61,38.89
2005-08-26,71,38.76
2005-09-02,67,39.83
2005-09-09,76,39.82
2005-09-16,62,39.91
2005-09-23,66,41.46
2005-09-30,62,46.59
2005-10-07,70,42.84
2005-10-14,61,42.07
2005-10-21,67,40.86
2005-10-28,69,45.11
2005-11-04,58,47.34
2005-11-11,71,44.50
2005-11-18,69,47.21
2005-11-25,61,48.99
2005-12-02,58,47.50
2005-12-09,76,49.75
2005-12-16,75,45.77
2005-12-23,70,46.38
2005-12-30,61,44.35
2006-01-06,71,49.97
2006-01-13,64,50.86
2006-01-20,54,54.34
2006-01-27,59,51.33
2006-02-03,66,48.92
2006-02-10,67,46.55
2006-02-17,60,45.29
2006-02-24,71,47.56
2006-03-03,57,47.56
2006-03-10,65,45.37
2006-03-17,60,47.80
2006-03-24,69,49.72
2006-03-31,57,51.45
2006-04-07,56,53.69
2006-04-14,64,
2006-04-21,63,57.66
2006-04-28,71,53.49
2006-05-05,62,55.65
2006-05-12,61,53.54
2006-05-19,60,48.60
2006-05-26,63,48.99
2006-06-02,73,51.71
2006-06-09,60,46.09
2006-06-16,56,42.65
2006-06-23,50,42.95
2006-06-30,52,46.02
2006-07-07,63,44.32
