Date,buy GOOGL,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,
2004-02-13,0,
2004-02-20,0,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,0,
2004-03-26,0,
2004-04-02,0,
2004-04-09,0,
2004-04-16,0,
2004-04-23,0,
2004-04-30,0,
2004-05-07,0,
2004-05-14,0,
2004-05-21,0,
2004-05-28,0,
2004-06-04,0,
2004-06-11,0,
2004-06-18,0,
2004-06-25,0,
2004-07-02,0,
2004-07-09,0,
2004-07-16,0,
2004-07-23,0,
2004-07-30,0,
2004-08-06,0,
2004-08-13,0,
2004-08-20,0,108.31
2004-08-27,0,106.15
2004-09-03,0,100.01
2004-09-10,0,105.33
2004-09-17,0,117.49
2004-09-24,0,119.83
2004-10-01,0,132.58
2004-10-08,0,137.73
2004-10-15,0,144.11
2004-10-22,0,172.43
2004-10-29,0,190.64
2004-11-05,0,169.35
2004-11-12,0,182.00
2004-11-19,0,169.40
2004-11-26,0,179.39
2004-12-03,0,180.40
2004-12-10,0,171.65
2004-12-17,0,180.08
2004-12-24,0,
2004-12-31,0,192.79
2005-01-07,0,193.85
2005-01-14,0,199.97
2005-01-21,0,188.28
2005-01-28,0,190.34
2005-02-04,0,204.36
2005-02-11,0,187.40
2005-02-18,0,197.95
2005-02-25,0,185.87
2005-03-04,0,185.90
2005-03-11,0,177.80
2005-03-18,0,180.04
2005-03-25,0,
2005-04-01,0,180.04
2005-04-08,0,192.05
2005-04-15,0,185.00
2005-04-22,0,215.81
2005-04-29,0,220.00
2005-05-06,0,228.02
2005-05-13,0,229.24
2005-05-20,0,241.61
2005-05-27,0,266.00
2005-06-03,0,280.26
2005-06-10,0,282.50
2005-06-17,0,280.30
2005-06-24,0,297.25
2005-07-01,0,291.25
2005-07-08,0,296.23
2005-07-15,0,301.19
2005-07-22,0,302.40
2005-07-29,0,287.76
2005-08-05,0,292.35
2005-08-12,0,289.72
2005-08-19,0,280.00
2005-08-26,0,283.58
2005-09-02,0,288.45
2005-09-09,0,299.09
2005-09-16,0,300.20
2005-09-23,0,315.36
2005-09-30,0,316.46
2005-10-07,0,312.99
2005-10-14,0,296.14
2005-10-21,0,339.90
2005-10-28,0,358.17
2005-11-04,0,390.43
2005-11-11,0,390.40
2005-11-18,0,400.21
2005-11-25,0,428.62
2005-12-02,0,417.70
2005-12-09,0,409.20
2005-12-16,0,430.15
2005-12-23,0,430.93
2005-12-30,0,414.86
2006-01-06,0,465.66
2006-01-13,0,466.25
2006-01-20,0,399.46
2006-01-27,0,433.49
2006-02-03,0,381.55
2006-02-10,0,362.61
2006-02-17,0,368.75
2006-02-24,0,377.40
2006-03-03,0,378.18
2006-03-10,0,337.50
2006-03-17,0,339.79
2006-03-24,0,365.80
2006-03-31,0,390.00
2006-04-07,0,406.16
2006-04-14,0,
2006-04-21,0,437.10
2006-04-28,0,417.94
2006-05-05,0,394.30
2006-05-12,0,374.13
2006-05-19,0,370.02
2006-05-26,0,381.35
2006-06-02,0,379.44
2006-06-09,0,386.57
2006-06-16,0,390.70
2006-06-23,0,404.86
2006-06-30,0,419.33
2006-07-07,0,420.45
2006-07-14,0,403.50
2006-07-21,0,390.11
2006-07-28,0,388.12
2006-08-04,0,373.85
2006-08-11,0,368.50
2006-08-18,0,383.36
2006-08-25,0,373.26
2006-09-01,0,378.60
2006-09-08,0,377.85
2006-09-15,0,409.88
2006-09-22,0,403.78
2006-09-29,0,401.90
2006-10-06,0,420.50
2006-10-13,0,427.30
2006-10-20,0,459.67
2006-10-27,0,475.20
2006-11-03,0,471.80
2006-11-10,0,473.55
2006-11-17,0,498.79
2006-11-24,0,505.00
2006-12-01,0,480.80
2006-12-08,0,484.11
2006-12-15,0,480.30
2006-12-22,0,455.58
2006-12-29,0,460.48
2007-01-05,0,487.19
2007-01-12,0,505.00
2007-01-19,0,489.75
2007-01-26,0,495.84
2007-02-02,0,481.50
2007-02-09,0,461.89
2007-02-16,0,469.94
2007-02-23,0,470.62
2007-03-02,0,438.68
2007-03-09,0,452.96
2007-03-16,0,440.85
2007-03-23,0,461.83
2007-03-30,0,458.16
2007-04-06,0,
2007-04-13,0,466.29
2007-04-20,0,482.48
2007-04-27,0,479.01
2007-05-04,0,471.12
2007-05-11,0,466.74
2007-05-18,0,470.32
2007-05-25,0,483.52
2007-06-01,0,500.40
2007-06-08,0,515.49
2007-06-15,0,505.89
2007-06-22,0,524.98
2007-06-29,0,522.70
2007-07-06,0,539.40
2007-07-13,0,552.16
2007-07-20,0,520.12
2007-07-27,0,511.89
2007-08-03,0,503.00
2007-08-10,0,515.75
2007-08-17,0,500.04
2007-08-24,0,515.00
2007-08-31,0,515.25
2007-09-07,0,519.35
2007-09-14,0,528.75
2007-09-21,0,560.10
2007-09-28,0,567.27
2007-10-05,0,594.05
2007-10-12,0,637.39
2007-10-19,0,644.71
2007-10-26,0,674.60
2007-11-02,0,711.25
2007-11-09,0,663.97
2007-11-16,0,633.63
2007-11-23,0,676.70
2007-11-30,0,693.00
2007-12-07,0,714.87
2007-12-14,0,689.96
2007-12-21,0,696.69
2007-12-28,0,702.53
2008-01-04,0,657.00
2008-01-11,0,638.25
2008-01-18,0,600.25
2008-01-25,0,566.40
2008-02-01,0,515.90
2008-02-08,0,516.69
2008-02-15,0,529.64
2008-02-22,0,507.80
2008-02-29,0,471.18
2008-03-07,0,433.35
2008-03-14,0,437.92
2008-03-21,0,
2008-03-28,0,438.08
2008-04-04,0,471.09
2008-04-11,0,457.45
2008-04-18,0,539.41
2008-04-25,0,544.06
2008-05-02,0,581.29
2008-05-09,0,573.20
2008-05-16,0,580.07
2008-05-23,0,544.62
2008-05-30,0,585.80
2008-06-06,0,567.00
2008-06-13,0,571.51
2008-06-20,0,546.43
2008-06-27,0,528.07
2008-07-04,0,
2008-07-11,0,533.80
2008-07-18,0,481.32
2008-07-25,0,491.98
2008-08-01,0,467.86
2008-08-08,0,495.01
2008-08-15,0,510.15
2008-08-22,0,490.59
2008-08-29,0,463.29
2008-09-05,0,444.25
2008-09-12,0,437.66
2008-09-19,0,449.15
2008-09-26,0,431.04
2008-10-03,0,386.91
2008-10-10,0,332.00
2008-10-17,0,372.54
2008-10-24,0,339.29
2008-10-31,0,359.36
2008-11-07,0,331.14
2008-11-14,0,310.02
2008-11-21,0,262.43
2008-11-28,0,292.96
2008-12-05,0,283.99
2008-12-12,0,315.76
2008-12-19,0,310.17
2008-12-26,0,300.36
2009-01-02,0,321.32
2009-01-09,0,315.07
2009-01-16,0,299.67
2009-01-23,0,324.70
2009-01-30,0,338.53
2009-02-06,0,371.28
2009-02-13,0,357.68
2009-02-20,0,346.45
2009-02-27,0,337.99
2009-03-06,0,308.57
2009-03-13,0,324.42
2009-03-20,0,330.16
2009-03-27,0,347.70
2009-04-03,0,369.78
2009-04-10,0,
2009-04-17,0,392.24
2009-04-24,0,389.49
2009-05-01,0,393.69
2009-05-08,0,407.33
2009-05-15,0,390.00
2009-05-22,0,393.50
2009-05-29,0,417.23
2009-06-05,0,444.32
2009-06-12,0,424.84
2009-06-19,0,420.09
2009-06-26,0,425.32
2009-07-03,0,
2009-07-10,0,414.40
2009-07-17,0,430.25
2009-07-24,0,446.72
2009-07-31,0,443.05
2009-08-07,0,457.10
2009-08-14,0,460.00
2009-08-21,0,465.24
2009-08-28,0,464.75
2009-09-04,0,461.30
2009-09-11,0,472.14
2009-09-18,0,491.46
2009-09-25,0,492.48
2009-10-02,0,484.58
2009-10-09,0,516.25
2009-10-16,0,549.85
2009-10-23,0,553.69
2009-10-30,0,536.12
2009-11-06,0,551.10
2009-11-13,0,572.05
2009-11-20,0,569.96
2009-11-27,0,579.76
2009-12-04,0,585.01
2009-12-11,0,590.51
2009-12-18,0,596.42
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,602.02
2010-01-15,0,580.00
2010-01-22,0,550.01
2010-01-29,0,529.94
2010-02-05,0,531.29
2010-02-12,0,533.12
2010-02-19,0,540.76
2010-02-26,0,526.80
2010-03-05,0,564.21
2010-03-12,0,579.54
2010-03-19,0,560.00
2010-03-26,0,562.69
2010-04-02,0,
2010-04-09,0,566.22
2010-04-16,0,550.15
2010-04-23,0,544.99
2010-04-30,0,525.70
2010-05-07,0,493.14
2010-05-14,0,507.53
2010-05-21,0,472.05
2010-05-28,0,485.63
2010-06-04,0,498.72
2010-06-11,0,488.50
2010-06-18,0,500.03
2010-06-25,0,472.68
2010-07-02,0,436.55
2010-07-09,0,467.49
2010-07-16,0,459.61
2010-07-23,0,490.06
2010-07-30,0,484.85
2010-08-06,0,500.22
2010-08-13,0,486.35
2010-08-20,63,462.02
2010-08-27,0,458.83
2010-09-03,0,470.30
2010-09-10,0,476.14
2010-09-17,0,490.15
2010-09-24,0,527.29
2010-10-01,0,525.62
2010-10-08,56,536.35
2010-10-15,0,601.45
2010-10-22,0,612.53
2010-10-29,0,613.70
2010-11-05,0,625.08
2010-11-12,0,603.29
2010-11-19,0,590.83
2010-11-26,0,590.00
2010-12-03,0,573.00
2010-12-10,0,592.21
2010-12-17,0,590.80
2010-12-24,0,
2010-12-31,0,593.97
2011-01-07,0,616.44
2011-01-14,0,624.18
2011-01-21,0,611.83
2011-01-28,0,600.99
2011-02-04,0,610.98
2011-02-11,55,624.50
2011-02-18,56,630.08
2011-02-25,57,610.04
2011-03-04,58,600.62
2011-03-11,0,576.71
2011-03-18,0,561.06
2011-03-25,0,579.74
2011-04-01,0,591.80
2011-04-08,0,578.16
2011-04-15,54,530.70
2011-04-22,57,
2011-04-29,51,544.10
2011-05-06,69,535.30
2011-05-13,58,529.55
2011-05-20,58,524.03
2011-05-27,61,520.90
2011-06-03,65,523.08
2011-06-10,48,509.51
2011-06-17,50,485.02
2011-06-24,52,474.88
2011-07-01,54,521.03
2011-07-08,69,531.99
2011-07-15,74,597.62
2011-07-22,77,618.23
2011-07-29,80,603.69
2011-08-05,83,579.04
2011-08-12,57,563.77
2011-08-19,53,490.92
2011-08-26,46,526.86
2011-09-02,50,524.84
2011-09-09,49,524.85
2011-09-16,49,546.68
2011-09-23,44,525.51
2011-09-30,44,515.04
2011-10-07,61,515.12
2011-10-14,50,591.68
2011-10-21,69,590.49
2011-10-28,65,600.14
2011-11-04,42,596.14
2011-11-11,42,608.35
2011-11-18,50,594.88
2011-11-25,89,563.00
2011-12-02,42,620.36
2011-12-09,75,627.42
2011-12-16,62,625.96
2011-12-23,66,633.14
2011-12-30,83,645.90
2012-01-06,79,650.02
2012-01-13,62,624.99
2012-01-20,62,585.99
2012-01-27,62,579.98
2012-02-03,58,596.33
2012-02-10,54,605.91
2012-02-17,46,604.64
2012-02-24,52,609.90
2012-03-02,57,621.25
2012-03-09,63,600.25
2012-03-16,58,625.04
2012-03-23,58,642.59
2012-03-30,74,641.24
2012-04-06,68,
2012-04-13,44,624.60
2012-04-20,57,596.06
2012-04-27,38,614.98
2012-05-04,74,596.97
2012-05-11,42,605.23
2012-05-18,42,600.40
2012-05-25,69,591.53
2012-06-01,45,570.98
2012-06-08,45,580.45
2012-06-15,52,564.51
2012-06-22,42,571.48
2012-06-29,57,580.07
2012-07-06,50,585.98
2012-07-13,45,576.52
2012-07-20,49,610.82
2012-07-27,50,634.96
2012-08-03,50,641.33
2012-08-10,66,642.00
2012-08-17,46,677.14
2012-08-24,62,678.63
2012-08-31,49,685.09
2012-09-07,44,706.15
2012-09-14,48,709.68
2012-09-21,51,733.99
2012-09-28,53,754.50
2012-10-05,43,767.65
2012-10-12,45,744.75
2012-10-19,41,681.79
2012-10-26,49,675.15
2012-11-02,34,687.92
2012-11-09,45,663.03
2012-11-16,55,647.18
2012-11-23,65,667.97
2012-11-30,80,698.37
2012-12-07,76,684.21
2012-12-14,33,701.96
2012-12-21,65,715.63
2012-12-28,72,700.01
2013-01-04,57,737.97
2013-01-11,57,739.99
2013-01-18,62,704.51
2013-01-25,38,753.67
2013-02-01,47,775.60
2013-02-08,41,785.37
2013-02-15,54,792.89
2013-02-22,48,799.71
2013-03-01,46,806.19
2013-03-08,64,831.52
2013-03-15,45,814.30
2013-03-22,61,810.31
2013-03-29,47,
2013-04-05,46,783.05
2013-04-12,39,790.05
2013-04-19,31,799.87
2013-04-26,46,801.42
2013-05-03,62,845.72
2013-05-10,49,880.23
2013-05-17,34,909.18
2013-05-24,35,873.32
2013-05-31,37,871.22
2013-06-07,33,879.73
2013-06-14,49,875.04
2013-06-21,37,880.93
2013-06-28,37,880.37
2013-07-05,47,893.49
2013-07-12,41,923.00
2013-07-19,39,896.60
2013-07-26,38,885.35
2013-08-02,47,906.57
2013-08-09,41,890.41
2013-08-16,32,856.91
2013-08-23,37,870.21
2013-08-30,33,846.90
2013-09-06,62,879.58
2013-09-13,41,889.07
2013-09-20,41,903.11
2013-09-27,32,876.39
2013-10-04,43,872.35
2013-10-11,41,871.99
2013-10-18,64,1011.41
2013-10-25,28,1015.20
2013-11-01,69,1027.04
2013-11-08,53,1016.03
2013-11-15,57,1033.56
2013-11-22,72,1031.89
2013-11-29,43,1059.59
2013-12-06,83,1069.87
2013-12-13,62,1060.79
2013-12-20,67,1100.62
2013-12-27,63,1118.40
2014-01-03,55,1105.00
2014-01-10,49,1130.18
2014-01-17,38,1150.53
2014-01-24,32,1123.83
2014-01-31,48,1180.97
2014-02-07,34,1177.44
2014-02-14,59,1202.80
2014-02-21,51,1203.79
2014-02-28,32,1215.65
2014-03-07,29,1214.79
2014-03-14,40,1172.80
2014-03-21,37,1183.04
2014-03-28,34,1120.15
2014-04-04,87,545.25
2014-04-11,100,537.76
2014-04-18,83,
2014-04-25,65,523.10
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
