Date,HRB,Price
2004-01-09,69,
2004-01-16,76,
2004-01-23,83,
2004-01-30,68,
2004-02-06,49,58.90
2004-02-13,63,59.70
2004-02-20,74,59.55
2004-02-27,81,54.05
2004-03-05,88,55.75
2004-03-12,64,52.89
2004-03-19,64,51.42
2004-03-26,55,50.47
2004-04-02,55,49.04
2004-04-09,84,
2004-04-16,57,46.90
2004-04-23,57,47.10
2004-04-30,54,45.11
2004-05-07,84,44.77
2004-05-14,81,45.57
2004-05-21,79,47.00
2004-05-28,60,48.85
2004-06-04,93,47.10
2004-06-11,38,
2004-06-18,85,47.66
2004-06-25,46,48.70
2004-07-02,57,47.98
2004-07-09,62,46.82
2004-07-16,50,49.03
2004-07-23,42,48.48
2004-07-30,51,49.13
2004-08-06,74,48.81
2004-08-13,72,48.87
2004-08-20,71,50.19
2004-08-27,93,48.90
2004-09-03,78,48.94
2004-09-10,39,48.29
2004-09-17,36,48.28
2004-09-24,55,50.04
2004-10-01,80,50.49
2004-10-08,95,47.86
2004-10-15,62,46.32
2004-10-22,85,45.48
2004-10-29,65,47.55
2004-11-05,41,49.37
2004-11-12,46,50.17
2004-11-19,39,48.71
2004-11-26,82,46.82
2004-12-03,44,48.33
2004-12-10,77,48.01
2004-12-17,48,48.45
2004-12-24,60,
2004-12-31,41,49.00
2005-01-07,41,46.72
2005-01-14,58,47.34
2005-01-21,55,46.92
2005-01-28,67,47.60
2005-02-04,45,47.23
2005-02-11,61,47.52
2005-02-18,85,47.78
2005-02-25,70,51.50
2005-03-04,59,52.50
2005-03-11,53,52.14
2005-03-18,48,50.14
2005-03-25,31,
2005-04-01,65,50.36
2005-04-08,38,50.59
2005-04-15,87,49.36
2005-04-22,76,50.38
2005-04-29,57,49.81
2005-05-06,41,50.27
2005-05-13,55,49.38
2005-05-20,54,50.26
2005-05-27,65,50.35
2005-06-03,89,51.05
2005-06-10,55,56.20
2005-06-17,78,59.20
2005-06-24,63,58.17
2005-07-01,75,58.50
2005-07-08,47,59.08
2005-07-15,62,59.61
2005-07-22,82,57.87
2005-07-29,67,56.96
2005-08-05,82,55.38
2005-08-12,60,56.11
2005-08-19,82,55.12
2005-08-26,66,26.64
2005-09-02,62,26.80
2005-09-09,49,24.91
2005-09-16,47,24.47
2005-09-23,59,23.70
2005-09-30,62,23.98
2005-10-07,69,23.26
2005-10-14,69,23.45
2005-10-21,54,24.09
2005-10-28,64,24.56
2005-11-04,100,23.69
2005-11-11,72,24.28
2005-11-18,80,25.45
2005-11-25,94,25.91
2005-12-02,66,25.26
2005-12-09,59,24.46
2005-12-16,62,24.17
2005-12-23,36,24.30
2005-12-30,33,24.55
2006-01-06,60,24.79
2006-01-13,67,25.64
2006-01-20,51,24.96
2006-01-27,70,24.73
2006-02-03,66,23.91
2006-02-10,69,24.28
2006-02-17,68,25.30
2006-02-24,83,23.01
2006-03-03,76,22.10
2006-03-10,71,22.64
2006-03-17,69,21.28
2006-03-24,77,22.01
2006-03-31,74,21.65
2006-04-07,51,22.25
2006-04-14,55,
2006-04-21,61,22.46
2006-04-28,70,22.83
2006-05-05,58,23.45
2006-05-12,44,22.27
2006-05-19,70,21.53
2006-05-26,46,22.50
2006-06-02,60,22.96
2006-06-09,51,23.47
2006-06-16,52,23.38
2006-06-23,45,24.17
2006-06-30,60,23.86
2006-07-07,66,23.52
2006-07-14,53,23.47
2006-07-21,57,22.65
2006-07-28,63,22.90
2006-08-04,54,22.74
2006-08-11,53,22.30
2006-08-18,71,22.67
2006-08-25,63,20.81
2006-09-01,71,21.33
2006-09-08,64,21.15
2006-09-15,57,21.75
2006-09-22,51,21.37
2006-09-29,62,21.74
2006-10-06,48,21.51
2006-10-13,66,22.01
2006-10-20,62,21.73
2006-10-27,44,21.43
2006-11-03,54,21.49
2006-11-10,53,23.20
2006-11-17,84,23.88
2006-11-24,62,23.90
2006-12-01,59,23.75
2006-12-08,56,23.60
2006-12-15,60,23.55
2006-12-22,60,22.95
2006-12-29,34,23.04
2007-01-05,56,22.95
2007-01-12,59,24.63
2007-01-19,57,24.54
2007-01-26,59,24.48
2007-02-02,72,24.66
2007-02-09,75,23.81
2007-02-16,56,23.55
2007-02-23,75,22.85
2007-03-02,58,21.55
2007-03-09,84,21.22
2007-03-16,78,20.88
2007-03-23,64,21.44
2007-03-30,78,21.04
2007-04-06,60,
2007-04-13,69,20.92
