Date,ConAgra Foods Inc.,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,26.01
2004-02-13,0,26.16
2004-02-20,0,26.49
2004-02-27,0,27.19
2004-03-05,0,27.57
2004-03-12,0,27.44
2004-03-19,0,26.23
2004-03-26,0,26.62
2004-04-02,0,27.47
2004-04-09,0,
2004-04-16,0,28.82
2004-04-23,0,29.30
2004-04-30,0,28.89
2004-05-07,0,29.23
2004-05-14,0,28.53
2004-05-21,0,27.66
2004-05-28,0,28.12
2004-06-04,0,27.89
2004-06-11,0,
2004-06-18,0,27.54
2004-06-25,0,27.11
2004-07-02,0,26.87
2004-07-09,0,27.52
2004-07-16,0,27.10
2004-07-23,0,26.74
2004-07-30,0,26.00
2004-08-06,0,25.76
2004-08-13,0,26.01
2004-08-20,0,26.18
2004-08-27,0,26.25
2004-09-03,0,27.14
2004-09-10,0,26.94
2004-09-17,0,26.94
2004-09-24,0,25.84
2004-10-01,0,25.86
2004-10-08,0,25.96
2004-10-15,0,26.10
2004-10-22,0,25.62
2004-10-29,0,26.40
2004-11-05,0,27.29
2004-11-12,0,28.13
2004-11-19,0,27.28
2004-11-26,0,27.20
2004-12-03,0,27.53
2004-12-10,0,26.97
2004-12-17,0,27.52
2004-12-24,0,
2004-12-31,0,29.45
2005-01-07,0,28.92
2005-01-14,0,29.20
2005-01-21,0,30.00
2005-01-28,0,29.25
2005-02-04,0,28.74
2005-02-11,0,28.47
2005-02-18,0,28.53
2005-02-25,0,27.43
2005-03-04,0,28.23
2005-03-11,0,27.76
2005-03-18,0,27.10
2005-03-25,0,
2005-04-01,0,26.67
2005-04-08,0,26.85
2005-04-15,0,26.38
2005-04-22,0,26.39
2005-04-29,0,26.75
2005-05-06,0,27.04
2005-05-13,0,26.40
2005-05-20,0,27.34
2005-05-27,0,26.59
2005-06-03,0,25.82
2005-06-10,0,23.71
2005-06-17,0,24.15
2005-06-24,0,23.28
2005-07-01,0,23.17
2005-07-08,0,22.99
2005-07-15,0,23.30
2005-07-22,0,22.93
2005-07-29,0,22.71
2005-08-05,0,22.23
2005-08-12,0,22.68
2005-08-19,0,22.66
2005-08-26,0,22.40
2005-09-02,0,23.39
2005-09-09,0,23.03
2005-09-16,0,22.70
2005-09-23,0,23.18
2005-09-30,0,24.75
2005-10-07,0,24.24
2005-10-14,0,24.02
2005-10-21,0,23.35
2005-10-28,0,23.37
2005-11-04,0,23.29
2005-11-11,0,23.42
2005-11-18,0,22.75
2005-11-25,0,21.94
2005-12-02,0,21.40
2005-12-09,0,20.13
2005-12-16,0,20.51
2005-12-23,0,20.35
2005-12-30,0,20.28
2006-01-06,0,20.43
2006-01-13,0,20.52
2006-01-20,0,20.72
2006-01-27,0,20.81
2006-02-03,0,21.15
2006-02-10,0,20.47
2006-02-17,0,20.61
2006-02-24,0,20.95
2006-03-03,0,21.12
2006-03-10,0,20.82
2006-03-17,0,19.64
2006-03-24,0,20.89
2006-03-31,0,21.46
2006-04-07,0,21.54
2006-04-14,0,
2006-04-21,0,21.82
2006-04-28,0,22.68
2006-05-05,0,23.00
2006-05-12,0,22.75
2006-05-19,0,22.38
2006-05-26,0,22.72
2006-06-02,0,22.67
2006-06-09,0,22.13
2006-06-16,0,22.12
2006-06-23,0,21.81
2006-06-30,0,22.11
2006-07-07,0,21.86
2006-07-14,0,21.91
2006-07-21,0,21.90
2006-07-28,0,21.74
2006-08-04,0,21.87
2006-08-11,0,22.36
2006-08-18,0,22.70
2006-08-25,0,23.72
2006-09-01,0,23.87
2006-09-08,0,23.52
2006-09-15,0,23.35
2006-09-22,0,23.50
2006-09-29,0,24.48
2006-10-06,0,24.99
2006-10-13,0,25.12
2006-10-20,0,25.94
2006-10-27,0,25.95
2006-11-03,0,25.58
2006-11-10,0,25.55
2006-11-17,0,25.22
2006-11-24,0,25.02
2006-12-01,0,25.76
2006-12-08,0,26.06
2006-12-15,0,26.48
2006-12-22,0,27.22
2006-12-29,0,27.00
2007-01-05,0,27.33
2007-01-12,0,27.05
2007-01-19,0,26.66
2007-01-26,0,26.09
2007-02-02,0,25.80
2007-02-09,0,25.48
2007-02-16,100,25.94
2007-02-23,0,25.53
2007-03-02,0,24.41
2007-03-09,0,25.14
2007-03-16,0,24.35
2007-03-23,0,24.90
2007-03-30,0,24.91
2007-04-06,0,
2007-04-13,0,24.72
2007-04-20,0,25.20
2007-04-27,0,24.59
2007-05-04,0,24.67
2007-05-11,0,24.39
2007-05-18,0,25.37
2007-05-25,0,25.66
2007-06-01,0,26.01
2007-06-08,0,25.46
2007-06-15,0,25.80
2007-06-22,0,25.46
2007-06-29,0,26.86
2007-07-06,0,27.24
2007-07-13,0,27.20
2007-07-20,0,26.57
2007-07-27,0,25.74
2007-08-03,0,25.76
2007-08-10,0,25.97
2007-08-17,0,25.15
2007-08-24,0,25.60
2007-08-31,0,25.71
2007-09-07,0,25.52
2007-09-14,0,26.36
2007-09-21,0,26.31
2007-09-28,0,26.13
2007-10-05,0,25.76
2007-10-12,0,24.80
2007-10-19,0,24.10
2007-10-26,0,23.82
2007-11-02,0,23.22
2007-11-09,0,23.16
2007-11-16,0,23.77
2007-11-23,0,23.82
2007-11-30,0,25.02
2007-12-07,0,25.92
2007-12-14,0,25.16
2007-12-21,0,24.14
2007-12-28,0,23.97
2008-01-04,0,22.98
2008-01-11,0,23.68
2008-01-18,0,22.31
2008-01-25,0,21.06
2008-02-01,0,22.06
2008-02-08,0,21.00
2008-02-15,0,21.72
2008-02-22,0,22.13
2008-02-29,0,22.10
2008-03-07,0,21.25
2008-03-14,0,21.28
2008-03-21,0,
2008-03-28,0,24.09
2008-04-04,0,24.60
2008-04-11,0,24.24
2008-04-18,0,24.05
2008-04-25,0,22.91
2008-05-02,0,23.51
2008-05-09,0,22.83
2008-05-16,0,23.76
2008-05-23,0,23.38
2008-05-30,0,23.58
2008-06-06,0,23.29
2008-06-13,0,22.82
2008-06-20,0,22.18
2008-06-27,0,19.67
2008-07-04,0,
2008-07-11,0,20.96
2008-07-18,0,20.76
2008-07-25,0,21.62
2008-08-01,0,21.34
2008-08-08,0,21.98
2008-08-15,0,22.58
2008-08-22,0,22.10
2008-08-29,0,21.27
2008-09-05,0,19.66
2008-09-12,0,20.04
2008-09-19,0,19.73
2008-09-26,0,19.73
2008-10-03,0,19.84
2008-10-10,0,17.77
2008-10-17,0,18.17
2008-10-24,0,16.81
2008-10-31,0,17.42
2008-11-07,0,16.71
2008-11-14,0,15.18
2008-11-21,0,14.55
2008-11-28,0,14.75
2008-12-05,0,14.23
2008-12-12,0,14.48
2008-12-19,0,15.98
2008-12-26,0,16.23
2009-01-02,0,16.80
2009-01-09,0,16.73
2009-01-16,0,16.99
2009-01-23,0,17.66
2009-01-30,0,17.10
2009-02-06,0,17.48
2009-02-13,0,16.22
2009-02-20,0,15.66
2009-02-27,0,15.08
2009-03-06,0,14.71
2009-03-13,0,14.81
2009-03-20,0,15.07
2009-03-27,0,16.95
2009-04-03,0,17.10
2009-04-10,0,
2009-04-17,0,18.27
2009-04-24,0,17.89
2009-05-01,0,17.95
2009-05-08,0,17.57
2009-05-15,0,17.66
2009-05-22,0,18.44
2009-05-29,0,18.59
2009-06-05,0,19.84
2009-06-12,0,19.46
2009-06-19,0,18.76
2009-06-26,0,19.34
2009-07-03,0,
2009-07-10,0,18.69
2009-07-17,0,18.91
2009-07-24,0,19.67
2009-07-31,0,19.63
2009-08-07,0,19.59
2009-08-14,0,19.20
2009-08-21,0,20.21
2009-08-28,0,20.27
2009-09-04,0,20.72
2009-09-11,0,22.22
2009-09-18,0,22.32
2009-09-25,0,21.47
2009-10-02,0,21.41
2009-10-09,0,21.41
2009-10-16,0,21.70
2009-10-23,0,21.56
2009-10-30,0,21.00
2009-11-06,0,21.40
2009-11-13,0,22.41
2009-11-20,0,22.35
2009-11-27,0,22.18
2009-12-04,0,22.60
2009-12-11,0,22.47
2009-12-18,0,22.16
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,23.02
2010-01-15,0,23.26
2010-01-22,0,23.14
2010-01-29,0,22.74
2010-02-05,0,22.83
2010-02-12,0,23.40
2010-02-19,0,24.64
2010-02-26,0,24.46
2010-03-05,0,25.29
2010-03-12,0,25.37
2010-03-19,0,25.84
2010-03-26,0,24.64
2010-04-02,0,
2010-04-09,0,25.23
2010-04-16,0,24.88
2010-04-23,0,24.91
2010-04-30,0,24.47
2010-05-07,0,23.58
2010-05-14,0,24.37
2010-05-21,0,24.76
2010-05-28,0,24.18
2010-06-04,0,24.21
2010-06-11,0,24.88
2010-06-18,0,24.97
2010-06-25,0,23.92
2010-07-02,0,23.16
2010-07-09,0,23.91
2010-07-16,0,23.66
2010-07-23,0,23.93
2010-07-30,0,23.48
2010-08-06,0,22.21
2010-08-13,0,21.62
2010-08-20,0,21.45
2010-08-27,0,21.74
2010-09-03,0,21.99
2010-09-10,0,21.95
2010-09-17,0,22.09
2010-09-24,0,21.78
2010-10-01,0,22.13
2010-10-08,0,21.87
2010-10-15,0,22.42
2010-10-22,0,22.95
2010-10-29,0,22.49
2010-11-05,0,22.14
2010-11-12,0,22.01
2010-11-19,0,21.48
2010-11-26,0,21.62
2010-12-03,0,22.08
2010-12-10,0,22.33
2010-12-17,0,22.49
2010-12-24,0,
2010-12-31,0,22.58
2011-01-07,0,22.61
2011-01-14,0,23.11
2011-01-21,0,23.47
2011-01-28,0,22.44
2011-02-04,0,22.78
2011-02-11,0,22.52
2011-02-18,0,22.76
2011-02-25,0,23.00
2011-03-04,0,23.16
2011-03-11,0,23.37
2011-03-18,0,22.77
2011-03-25,0,23.83
2011-04-01,0,23.84
2011-04-08,0,23.65
2011-04-15,0,24.69
2011-04-22,0,
2011-04-29,0,24.45
2011-05-06,0,25.17
2011-05-13,0,25.52
2011-05-20,0,25.52
2011-05-27,0,25.04
2011-06-03,0,24.47
2011-06-10,0,24.18
2011-06-17,0,24.65
2011-06-24,0,25.20
2011-07-01,0,25.90
2011-07-08,0,26.31
2011-07-15,0,26.37
2011-07-22,0,26.52
2011-07-29,0,25.61
2011-08-05,0,24.44
2011-08-12,0,23.19
2011-08-19,0,23.28
2011-08-26,0,23.91
2011-09-02,0,24.09
2011-09-09,0,23.80
2011-09-16,0,23.93
2011-09-23,0,23.62
2011-09-30,0,24.22
2011-10-07,0,25.03
2011-10-14,0,25.63
2011-10-21,0,25.52
2011-10-28,0,25.27
2011-11-04,0,25.39
2011-11-11,0,24.77
2011-11-18,0,24.28
2011-11-25,0,23.95
2011-12-02,0,25.29
2011-12-09,0,25.70
2011-12-16,0,25.45
2011-12-23,0,26.60
2011-12-30,0,26.40
2012-01-06,0,26.42
2012-01-13,0,26.85
2012-01-20,0,27.06
2012-01-27,0,26.71
2012-02-03,0,26.80
2012-02-10,0,26.65
2012-02-17,0,26.48
2012-02-24,0,26.84
2012-03-02,0,26.14
2012-03-09,0,26.17
2012-03-16,0,26.43
2012-03-23,0,26.05
2012-03-30,0,26.26
2012-04-06,0,
2012-04-13,0,25.77
2012-04-20,0,26.25
2012-04-27,0,25.92
2012-05-04,0,25.75
2012-05-11,0,25.74
2012-05-18,0,25.11
2012-05-25,0,25.25
2012-06-01,0,24.59
2012-06-08,0,25.14
2012-06-15,0,24.97
2012-06-22,0,25.35
2012-06-29,0,25.93
2012-07-06,0,25.72
2012-07-13,0,25.28
2012-07-20,0,24.13
2012-07-27,0,24.30
2012-08-03,0,24.57
2012-08-10,0,24.83
2012-08-17,0,24.73
2012-08-24,0,24.85
2012-08-31,0,25.11
2012-09-07,0,25.58
2012-09-14,0,25.59
2012-09-21,0,27.51
2012-09-28,0,27.59
2012-10-05,0,27.79
2012-10-12,0,27.94
2012-10-19,0,28.26
2012-10-26,0,28.21
2012-11-02,0,28.07
2012-11-09,0,27.77
2012-11-16,0,27.74
2012-11-23,0,28.41
2012-11-30,0,29.86
2012-12-07,0,29.75
2012-12-14,0,30.15
2012-12-21,0,29.80
2012-12-28,0,29.20
2013-01-04,0,30.24
2013-01-11,0,30.80
2013-01-18,0,31.70
2013-01-25,0,32.33
2013-02-01,0,33.07
2013-02-08,0,33.38
2013-02-15,0,33.73
2013-02-22,0,33.92
2013-03-01,0,34.30
2013-03-08,0,34.77
2013-03-15,0,34.97
2013-03-22,0,35.13
2013-03-29,0,
2013-04-05,0,34.42
2013-04-12,0,35.16
2013-04-19,0,36.06
2013-04-26,0,35.28
2013-05-03,0,35.66
2013-05-10,0,34.86
2013-05-17,0,35.92
2013-05-24,0,34.77
2013-05-31,0,33.69
2013-06-07,0,33.75
2013-06-14,0,34.09
2013-06-21,0,33.25
2013-06-28,0,34.93
2013-07-05,0,35.62
2013-07-12,0,36.58
2013-07-19,0,37.02
2013-07-26,0,36.74
2013-08-02,0,37.04
2013-08-09,0,36.65
2013-08-16,0,34.78
2013-08-23,0,35.08
2013-08-30,0,33.82
2013-09-06,0,33.70
2013-09-13,0,31.88
2013-09-20,0,31.00
2013-09-27,0,30.27
2013-10-04,0,30.37
2013-10-11,0,30.85
2013-10-18,0,31.17
2013-10-25,0,31.72
2013-11-01,0,31.80
2013-11-08,0,32.64
2013-11-15,0,33.00
2013-11-22,0,32.68
2013-11-29,0,32.99
2013-12-06,0,33.07
2013-12-13,0,31.67
2013-12-20,0,33.54
2013-12-27,0,33.55
2014-01-03,0,33.49
2014-01-10,0,33.86
2014-01-17,0,33.42
2014-01-24,0,32.75
2014-01-31,0,31.79
2014-02-07,0,30.85
2014-02-14,0,29.36
2014-02-21,0,28.50
2014-02-28,0,28.40
2014-03-07,0,29.47
2014-03-14,0,29.42
2014-03-21,0,30.07
2014-03-28,0,30.69
2014-04-04,0,30.98
2014-04-11,0,30.50
2014-04-18,0,
2014-04-25,0,31.00
2014-05-02,0,
