Date,sell CA,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,26.59
2004-02-13,0,27.30
2004-02-20,0,26.85
2004-02-27,0,26.56
2004-03-05,0,26.84
2004-03-12,0,26.46
2004-03-19,0,26.01
2004-03-26,0,26.75
2004-04-02,0,28.35
2004-04-09,0,
2004-04-16,0,26.33
2004-04-23,0,28.42
2004-04-30,0,26.81
2004-05-07,0,26.30
2004-05-14,0,26.09
2004-05-21,0,25.76
2004-05-28,70,27.06
2004-06-04,0,27.17
2004-06-11,0,
2004-06-18,0,27.05
2004-06-25,0,26.73
2004-07-02,0,27.22
2004-07-09,0,25.81
2004-07-16,0,24.63
2004-07-23,0,24.52
2004-07-30,0,25.24
2004-08-06,0,23.76
2004-08-13,0,23.00
2004-08-20,0,23.85
2004-08-27,0,24.51
2004-09-03,0,24.08
2004-09-10,0,25.09
2004-09-17,0,25.70
2004-09-24,0,27.06
2004-10-01,60,27.18
2004-10-08,0,26.54
2004-10-15,0,26.03
2004-10-22,0,26.74
2004-10-29,0,27.71
2004-11-05,0,28.71
2004-11-12,0,29.70
2004-11-19,0,29.86
2004-11-26,82,30.62
2004-12-03,0,31.51
2004-12-10,0,30.88
2004-12-17,0,30.17
2004-12-24,0,
2004-12-31,0,31.06
2005-01-07,67,28.53
2005-01-14,52,28.00
2005-01-21,52,28.12
2005-01-28,0,26.42
2005-02-04,0,27.84
2005-02-11,0,26.75
2005-02-18,0,26.77
2005-02-25,0,26.95
2005-03-04,0,27.72
2005-03-11,72,27.85
2005-03-18,63,27.69
2005-03-25,63,
2005-04-01,70,27.26
2005-04-08,78,27.36
2005-04-15,47,27.20
2005-04-22,62,27.07
2005-04-29,79,26.90
2005-05-06,97,27.82
2005-05-13,67,27.80
2005-05-20,59,28.98
2005-05-27,70,27.30
2005-06-03,78,27.00
2005-06-10,85,26.94
2005-06-17,64,27.42
2005-06-24,52,27.58
2005-07-01,47,27.36
2005-07-08,47,28.16
2005-07-15,66,29.07
2005-07-22,47,29.23
2005-07-29,70,27.45
2005-08-05,70,27.17
2005-08-12,100,26.92
2005-08-19,55,26.88
2005-08-26,78,26.41
2005-09-02,64,26.84
2005-09-09,46,27.96
2005-09-16,44,27.82
2005-09-23,61,27.69
2005-09-30,54,27.81
2005-10-07,67,26.69
2005-10-14,47,26.87
2005-10-21,48,26.80
2005-10-28,50,27.84
2005-11-04,51,28.96
2005-11-11,52,29.14
2005-11-18,47,28.44
2005-11-25,60,28.82
2005-12-02,42,29.18
2005-12-09,46,28.86
2005-12-16,43,29.03
2005-12-23,67,28.52
2005-12-30,49,28.19
2006-01-06,49,28.64
2006-01-13,58,29.36
2006-01-20,52,29.01
2006-01-27,57,27.45
2006-02-03,62,27.28
2006-02-10,35,27.07
2006-02-17,51,27.08
2006-02-24,67,27.04
2006-03-03,40,27.00
2006-03-10,64,27.51
2006-03-17,70,27.66
2006-03-24,56,27.21
2006-03-31,62,27.21
2006-04-07,54,26.80
2006-04-14,67,
2006-04-21,53,25.76
2006-04-28,59,25.36
2006-05-05,65,25.60
2006-05-12,65,24.43
2006-05-19,41,22.25
2006-05-26,56,22.16
2006-06-02,43,21.63
2006-06-09,60,21.77
2006-06-16,43,21.36
2006-06-23,33,20.89
2006-06-30,60,20.55
2006-07-07,53,20.18
2006-07-14,51,19.21
2006-07-21,52,19.56
2006-07-28,51,20.35
2006-08-04,44,21.83
2006-08-11,50,21.66
2006-08-18,36,23.87
2006-08-25,48,23.38
2006-09-01,52,23.58
2006-09-08,57,23.57
2006-09-15,29,23.50
2006-09-22,39,23.05
2006-09-29,33,23.69
2006-10-06,41,23.95
2006-10-13,28,23.88
2006-10-20,57,25.08
2006-10-27,39,24.51
2006-11-03,49,22.91
2006-11-10,54,23.38
2006-11-17,42,22.45
2006-11-24,33,22.22
2006-12-01,39,21.50
2006-12-08,57,22.35
2006-12-15,37,22.80
2006-12-22,50,22.73
2006-12-29,35,22.65
2007-01-05,59,24.04
2007-01-12,37,24.86
2007-01-19,57,24.41
2007-01-26,60,24.66
2007-02-02,50,26.69
2007-02-09,29,26.69
2007-02-16,44,26.81
2007-02-23,53,27.02
2007-03-02,46,25.49
2007-03-09,57,25.39
2007-03-16,47,25.22
2007-03-23,44,26.77
2007-03-30,40,25.91
2007-04-06,55,
2007-04-13,57,26.35
2007-04-20,65,26.65
2007-04-27,45,27.30
2007-05-04,53,28.16
2007-05-11,48,28.01
2007-05-18,56,27.60
2007-05-25,49,26.01
2007-06-01,67,26.19
2007-06-08,72,25.63
2007-06-15,50,25.85
2007-06-22,58,25.76
2007-06-29,72,25.83
2007-07-06,63,25.82
2007-07-13,66,26.00
2007-07-20,52,26.55
2007-07-27,56,25.23
2007-08-03,62,25.32
2007-08-10,62,24.14
2007-08-17,60,23.73
2007-08-24,47,24.94
2007-08-31,55,25.19
2007-09-07,64,25.14
2007-09-14,40,24.65
2007-09-21,61,25.95
2007-09-28,35,25.72
2007-10-05,38,26.02
2007-10-12,38,26.70
2007-10-19,34,25.60
2007-10-26,46,25.46
2007-11-02,51,27.18
2007-11-09,44,25.73
2007-11-16,47,25.65
2007-11-23,36,24.65
2007-11-30,33,24.49
2007-12-07,45,26.38
2007-12-14,47,26.46
2007-12-21,45,25.72
2007-12-28,43,25.39
2008-01-04,79,23.77
2008-01-11,70,22.48
2008-01-18,44,22.22
2008-01-25,69,21.94
2008-02-01,71,26.31
2008-02-08,48,24.07
2008-02-15,45,23.75
2008-02-22,62,23.30
2008-02-29,57,22.88
2008-03-07,55,22.21
2008-03-14,55,22.07
2008-03-21,68,
2008-03-28,69,22.53
2008-04-04,59,23.24
2008-04-11,53,21.79
2008-04-18,62,23.04
2008-04-25,63,22.66
2008-05-02,66,22.86
2008-05-09,74,22.68
2008-05-16,55,25.00
2008-05-23,70,25.10
2008-05-30,57,26.54
2008-06-06,54,24.94
2008-06-13,52,24.12
2008-06-20,53,23.53
2008-06-27,67,23.28
2008-07-04,75,
2008-07-11,66,22.15
2008-07-18,63,23.73
2008-07-25,85,23.41
2008-08-01,61,22.29
2008-08-08,65,23.87
2008-08-15,68,24.63
2008-08-22,81,24.48
2008-08-29,64,23.91
2008-09-05,50,22.10
2008-09-12,36,21.70
2008-09-19,79,21.93
2008-09-26,63,21.00
2008-10-03,59,19.37
2008-10-10,49,15.84
2008-10-17,51,15.90
2008-10-24,54,14.65
2008-10-31,49,17.80
2008-11-07,53,16.89
2008-11-14,56,17.02
2008-11-21,44,14.96
2008-11-28,62,16.84
2008-12-05,58,16.06
2008-12-12,70,17.45
2008-12-19,42,18.13
2008-12-26,65,18.02
2009-01-02,66,18.90
2009-01-09,44,18.42
2009-01-16,63,18.00
2009-01-23,79,17.44
2009-01-30,58,17.99
2009-02-06,51,18.56
2009-02-13,60,18.65
2009-02-20,54,17.46
2009-02-27,52,16.95
2009-03-06,49,16.01
2009-03-13,68,16.90
2009-03-20,71,15.95
2009-03-27,65,17.21
2009-04-03,70,18.17
2009-04-10,81,
2009-04-17,68,17.95
2009-04-24,56,18.13
2009-05-01,59,17.58
2009-05-08,56,17.53
2009-05-15,52,18.04
2009-05-22,70,17.26
2009-05-29,72,17.45
2009-06-05,58,17.51
2009-06-12,73,17.73
2009-06-19,74,17.22
2009-06-26,79,17.21
2009-07-03,71,
2009-07-10,72,16.44
2009-07-17,78,18.03
2009-07-24,72,20.64
2009-07-31,82,21.14
2009-08-07,73,21.99
2009-08-14,84,22.56
2009-08-21,77,22.99
2009-08-28,82,22.60
2009-09-04,61,21.45
2009-09-11,73,22.59
2009-09-18,65,22.51
2009-09-25,54,21.67
2009-10-02,70,21.39
2009-10-09,64,22.79
2009-10-16,56,23.71
2009-10-23,59,21.61
2009-10-30,55,20.92
2009-11-06,64,21.52
2009-11-13,50,22.10
2009-11-20,67,21.86
2009-11-27,66,22.00
2009-12-04,57,22.65
2009-12-11,61,22.83
2009-12-18,50,22.51
2009-12-25,61,
2010-01-01,71,
2010-01-08,69,23.11
2010-01-15,78,23.29
2010-01-22,67,22.80
2010-01-29,60,22.04
2010-02-05,68,21.71
2010-02-12,63,21.59
2010-02-19,57,22.51
2010-02-26,67,22.50
2010-03-05,57,22.84
2010-03-12,52,22.78
2010-03-19,51,23.45
2010-03-26,57,23.41
2010-04-02,65,
2010-04-09,58,22.94
2010-04-16,59,22.84
2010-04-23,58,23.54
2010-04-30,68,22.82
2010-05-07,50,20.49
2010-05-14,60,20.51
2010-05-21,57,19.89
2010-05-28,66,20.25
2010-06-04,73,19.41
2010-06-11,65,19.66
2010-06-18,60,20.11
2010-06-25,58,19.46
2010-07-02,71,17.96
2010-07-09,79,18.77
2010-07-16,74,19.00
2010-07-23,86,19.38
2010-07-30,69,19.56
2010-08-06,82,19.82
2010-08-13,70,18.32
2010-08-20,78,18.35
2010-08-27,70,18.30
2010-09-03,64,19.09
2010-09-10,61,19.78
2010-09-17,56,20.44
2010-09-24,72,21.15
2010-10-01,71,21.25
2010-10-08,57,21.82
2010-10-15,67,22.17
2010-10-22,67,22.87
2010-10-29,67,23.20
2010-11-05,58,23.46
2010-11-12,63,23.15
2010-11-19,60,23.16
2010-11-26,52,23.34
2010-12-03,59,24.15
2010-12-10,66,24.14
2010-12-17,75,24.89
2010-12-24,77,
2010-12-31,81,24.44
2011-01-07,78,24.64
2011-01-14,71,25.24
2011-01-21,70,25.31
2011-01-28,66,23.38
2011-02-04,77,24.53
2011-02-11,69,25.00
2011-02-18,74,25.21
2011-02-25,63,24.74
2011-03-04,68,23.98
2011-03-11,78,23.08
2011-03-18,68,22.87
2011-03-25,65,23.75
2011-04-01,69,24.13
2011-04-08,82,24.05
2011-04-15,72,24.18
2011-04-22,73,
2011-04-29,78,24.59
2011-05-06,62,24.37
2011-05-13,74,22.90
2011-05-20,58,23.18
2011-05-27,78,22.89
2011-06-03,80,22.57
2011-06-10,71,21.51
2011-06-17,84,21.59
2011-06-24,74,21.91
2011-07-01,80,23.17
2011-07-08,85,23.18
2011-07-15,87,21.98
2011-07-22,93,22.77
2011-07-29,83,22.30
2011-08-05,74,20.45
2011-08-12,89,20.09
2011-08-19,86,18.62
2011-08-26,79,19.92
2011-09-02,74,20.15
2011-09-09,78,19.71
2011-09-16,74,21.25
2011-09-23,71,19.95
2011-09-30,71,19.41
2011-10-07,69,20.72
2011-10-14,71,21.74
2011-10-21,60,21.97
2011-10-28,84,22.21
2011-11-04,64,21.68
2011-11-11,69,21.87
2011-11-18,72,20.44
2011-11-25,65,19.80
2011-12-02,82,21.03
2011-12-09,74,21.41
2011-12-16,76,20.12
2011-12-23,73,20.40
2011-12-30,70,20.22
2012-01-06,75,20.57
2012-01-13,72,21.51
2012-01-20,76,22.65
2012-01-27,69,25.42
2012-02-03,67,26.54
2012-02-10,72,26.72
2012-02-17,64,26.98
2012-02-24,77,26.93
2012-03-02,74,27.05
2012-03-09,74,27.00
2012-03-16,76,27.23
2012-03-23,76,27.35
2012-03-30,79,27.56
2012-04-06,74,
2012-04-13,74,26.75
2012-04-20,61,26.56
2012-04-27,86,26.54
2012-05-04,81,26.29
2012-05-11,80,26.12
2012-05-18,86,24.97
2012-05-25,74,25.12
2012-06-01,82,24.39
2012-06-08,90,25.47
2012-06-15,84,26.31
2012-06-22,85,26.13
2012-06-29,93,27.09
2012-07-06,97,26.37
2012-07-13,97,25.88
2012-07-20,97,26.05
2012-07-27,100,24.43
2012-08-03,93,24.79
2012-08-10,88,25.56
2012-08-17,83,25.94
2012-08-24,90,25.80
2012-08-31,86,26.03
2012-09-07,68,26.83
2012-09-14,79,27.31
2012-09-21,93,26.77
2012-09-28,80,25.77
2012-10-05,70,25.45
2012-10-12,82,24.86
2012-10-19,70,24.51
2012-10-26,74,22.73
2012-11-02,64,22.97
2012-11-09,65,22.21
2012-11-16,72,21.81
2012-11-23,60,22.10
2012-11-30,73,22.16
2012-12-07,78,22.03
2012-12-14,79,21.86
2012-12-21,79,22.19
2012-12-28,74,21.79
2013-01-04,77,23.05
2013-01-11,79,23.34
2013-01-18,79,24.57
2013-01-25,78,25.05
2013-02-01,79,25.03
2013-02-08,75,25.02
2013-02-15,90,25.05
2013-02-22,76,24.56
2013-03-01,73,24.42
2013-03-08,67,25.08
2013-03-15,73,25.44
2013-03-22,72,25.32
2013-03-29,88,
2013-04-05,89,24.60
2013-04-12,79,24.93
2013-04-19,68,24.36
2013-04-26,87,25.98
2013-05-03,77,27.73
2013-05-10,72,27.22
2013-05-17,74,27.69
2013-05-24,72,27.40
2013-05-31,74,27.32
2013-06-07,83,29.14
2013-06-14,77,28.26
2013-06-21,82,27.52
2013-06-28,86,28.62
2013-07-05,87,28.26
2013-07-12,77,29.92
2013-07-19,80,29.65
2013-07-26,90,29.68
2013-08-02,81,30.39
2013-08-09,86,30.98
2013-08-16,86,30.55
2013-08-23,86,30.24
2013-08-30,87,29.25
2013-09-06,85,29.60
2013-09-13,74,30.39
2013-09-20,77,30.72
2013-09-27,70,30.06
2013-10-04,75,29.57
2013-10-11,74,29.52
2013-10-18,68,30.10
2013-10-25,69,31.40
2013-11-01,77,31.73
2013-11-08,67,31.93
2013-11-15,72,32.85
2013-11-22,65,33.13
2013-11-29,63,33.00
2013-12-06,69,32.85
2013-12-13,67,32.34
2013-12-20,76,32.93
2013-12-27,74,33.43
2014-01-03,76,33.11
2014-01-10,81,34.02
2014-01-17,78,34.43
2014-01-24,72,32.66
2014-01-31,75,32.09
2014-02-07,58,32.17
2014-02-14,72,32.99
2014-02-21,73,32.42
2014-02-28,69,33.50
2014-03-07,67,32.93
2014-03-14,63,31.48
2014-03-21,65,31.11
2014-03-28,66,30.84
2014-04-04,70,31.08
2014-04-11,74,29.41
2014-04-18,73,
2014-04-25,69,29.95
2014-05-02,78,
