Date,Alcoa Inc,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,35.07
2004-02-13,0,37.01
2004-02-20,0,36.83
2004-02-27,0,37.47
2004-03-05,0,37.17
2004-03-12,0,35.12
2004-03-19,0,34.86
2004-03-26,0,34.64
2004-04-02,0,35.90
2004-04-09,0,
2004-04-16,0,33.99
2004-04-23,0,32.71
2004-04-30,0,30.75
2004-05-07,0,29.14
2004-05-14,0,29.78
2004-05-21,0,29.48
2004-05-28,0,31.30
2004-06-04,0,30.62
2004-06-11,0,
2004-06-18,0,32.53
2004-06-25,0,33.49
2004-07-02,0,32.18
2004-07-09,0,32.42
2004-07-16,0,32.95
2004-07-23,0,30.64
2004-07-30,0,32.03
2004-08-06,0,29.95
2004-08-13,0,29.63
2004-08-20,0,32.26
2004-08-27,0,32.85
2004-09-03,0,32.85
2004-09-10,0,30.75
2004-09-17,0,30.65
2004-09-24,0,31.23
2004-10-01,0,34.01
2004-10-08,0,33.40
2004-10-15,0,32.57
2004-10-22,0,31.66
2004-10-29,0,32.50
2004-11-05,0,33.34
2004-11-12,0,34.27
2004-11-19,0,33.61
2004-11-26,0,34.64
2004-12-03,0,32.86
2004-12-10,0,32.10
2004-12-17,0,30.75
2004-12-24,0,
2004-12-31,0,31.41
2005-01-07,0,30.69
2005-01-14,0,29.90
2005-01-21,0,28.93
2005-01-28,0,28.97
2005-02-04,0,29.37
2005-02-11,0,29.85
2005-02-18,0,31.10
2005-02-25,0,31.63
2005-03-04,0,31.80
2005-03-11,0,31.00
2005-03-18,0,31.68
2005-03-25,0,
2005-04-01,0,30.27
2005-04-08,0,31.61
2005-04-15,0,29.30
2005-04-22,0,29.20
2005-04-29,0,29.02
2005-05-06,0,29.32
2005-05-13,0,26.70
2005-05-20,0,27.45
2005-05-27,0,27.47
2005-06-03,0,27.32
2005-06-10,0,27.10
2005-06-17,0,28.25
2005-06-24,0,26.46
2005-07-01,0,26.14
2005-07-08,0,27.20
2005-07-15,0,27.50
2005-07-22,0,28.61
2005-07-29,0,28.05
2005-08-05,0,27.74
2005-08-12,0,29.72
2005-08-19,0,28.10
2005-08-26,0,27.29
2005-09-02,0,26.92
2005-09-09,0,26.84
2005-09-16,0,26.68
2005-09-23,0,24.42
2005-09-30,0,24.42
2005-10-07,0,23.04
2005-10-14,0,22.97
2005-10-21,0,23.35
2005-10-28,0,24.02
2005-11-04,0,25.17
2005-11-11,0,26.68
2005-11-18,0,26.40
2005-11-25,0,27.33
2005-12-02,0,28.10
2005-12-09,0,28.15
2005-12-16,0,28.23
2005-12-23,0,29.45
2005-12-30,0,29.57
2006-01-06,0,30.21
2006-01-13,0,28.95
2006-01-20,0,28.80
2006-01-27,0,31.30
2006-02-03,0,30.58
2006-02-10,0,30.86
2006-02-17,0,30.38
2006-02-24,0,30.16
2006-03-03,0,30.40
2006-03-10,0,29.23
2006-03-17,0,30.11
2006-03-24,0,29.83
2006-03-31,0,30.56
2006-04-07,0,32.50
2006-04-14,0,
2006-04-21,0,35.39
2006-04-28,0,33.78
2006-05-05,0,35.10
2006-05-12,0,34.81
2006-05-19,0,31.98
2006-05-26,0,32.30
2006-06-02,0,32.57
2006-06-09,0,30.18
2006-06-16,0,30.09
2006-06-23,0,30.18
2006-06-30,0,32.36
2006-07-07,0,33.55
2006-07-14,0,30.79
2006-07-21,0,29.56
2006-07-28,0,29.73
2006-08-04,0,29.57
2006-08-11,0,28.27
2006-08-18,0,28.43
2006-08-25,0,28.93
2006-09-01,0,29.01
2006-09-08,0,28.68
2006-09-15,0,28.13
2006-09-22,0,27.49
2006-09-29,0,28.04
2006-10-06,0,27.74
2006-10-13,0,26.64
2006-10-20,0,27.46
2006-10-27,0,28.30
2006-11-03,0,28.49
2006-11-10,0,28.51
2006-11-17,0,28.27
2006-11-24,0,30.71
2006-12-01,0,30.87
2006-12-08,0,31.11
2006-12-15,0,31.04
2006-12-22,0,29.24
2006-12-29,0,30.01
2007-01-05,0,28.76
2007-01-12,0,30.79
2007-01-19,0,31.40
2007-01-26,48,32.07
2007-02-02,49,32.44
2007-02-09,51,32.52
2007-02-16,52,34.78
2007-02-23,53,35.08
2007-03-02,44,32.70
2007-03-09,0,33.20
2007-03-16,0,33.48
2007-03-23,0,34.19
2007-03-30,0,33.90
2007-04-06,0,
2007-04-13,0,35.12
2007-04-20,0,34.37
2007-04-27,0,35.99
2007-05-04,0,35.66
2007-05-11,45,38.03
2007-05-18,0,39.73
2007-05-25,0,40.90
2007-06-01,0,41.46
2007-06-08,0,39.66
2007-06-15,0,41.60
2007-06-22,0,40.00
2007-06-29,0,40.53
2007-07-06,0,41.66
2007-07-13,0,47.35
2007-07-20,42,43.08
2007-07-27,44,37.41
2007-08-03,45,36.18
2007-08-10,47,34.69
2007-08-17,49,33.29
2007-08-24,43,36.69
2007-08-31,43,36.53
2007-09-07,45,34.87
2007-09-14,46,35.48
2007-09-21,48,37.40
2007-09-28,50,39.12
2007-10-05,41,38.79
2007-10-12,41,38.13
2007-10-19,41,37.44
2007-10-26,41,39.35
2007-11-02,40,38.56
2007-11-09,40,37.09
2007-11-16,40,36.31
2007-11-23,36,35.15
2007-11-30,36,36.37
2007-12-07,0,36.91
2007-12-14,0,35.19
2007-12-21,0,36.35
2007-12-28,0,36.86
2008-01-04,0,34.87
2008-01-11,0,31.73
2008-01-18,40,29.10
2008-01-25,34,30.69
2008-02-01,34,34.28
2008-02-08,35,33.76
2008-02-15,36,35.72
2008-02-22,36,36.55
2008-02-29,37,37.14
2008-03-07,38,36.60
2008-03-14,38,38.39
2008-03-21,41,
2008-03-28,44,36.11
2008-04-04,47,39.00
2008-04-11,32,35.15
2008-04-18,38,36.26
2008-04-25,35,35.72
2008-05-02,35,36.11
2008-05-09,35,39.04
2008-05-16,35,43.15
2008-05-23,0,40.25
2008-05-30,0,40.59
2008-06-06,0,39.22
2008-06-13,0,39.46
2008-06-20,0,37.34
2008-06-27,0,35.38
2008-07-04,0,
2008-07-11,0,34.64
2008-07-18,30,33.81
2008-07-25,0,31.81
2008-08-01,0,32.14
2008-08-08,0,31.76
2008-08-15,0,31.81
2008-08-22,0,32.28
2008-08-29,0,32.13
2008-09-05,0,28.30
2008-09-12,32,28.67
2008-09-19,29,26.79
2008-09-26,30,23.54
2008-10-03,32,19.24
2008-10-10,33,11.25
2008-10-17,34,11.80
2008-10-24,35,9.41
2008-10-31,34,11.50
2008-11-07,26,11.19
2008-11-14,29,10.84
2008-11-21,27,8.44
2008-11-28,27,10.76
2008-12-05,27,8.15
2008-12-12,25,10.08
2008-12-19,29,9.70
2008-12-26,33,9.78
2009-01-02,37,12.11
2009-01-09,40,10.81
2009-01-16,28,9.43
2009-01-23,28,8.33
2009-01-30,30,7.79
2009-02-06,27,8.40
2009-02-13,27,7.48
2009-02-20,27,6.29
2009-02-27,28,6.23
2009-03-06,28,5.22
2009-03-13,28,5.73
2009-03-20,51,6.54
2009-03-27,37,7.80
2009-04-03,40,8.17
2009-04-10,56,
2009-04-17,52,9.26
2009-04-24,26,9.14
2009-05-01,38,9.69
2009-05-08,44,10.01
2009-05-15,34,9.03
2009-05-22,38,8.86
2009-05-29,28,9.22
2009-06-05,36,10.94
2009-06-12,42,11.99
2009-06-19,31,11.00
2009-06-26,36,10.76
2009-07-03,21,
2009-07-10,72,9.34
2009-07-17,33,10.22
2009-07-24,54,11.02
2009-07-31,44,11.76
2009-08-07,26,13.00
2009-08-14,26,13.27
2009-08-21,32,12.56
2009-08-28,41,12.50
2009-09-04,24,12.18
2009-09-11,32,12.99
2009-09-18,35,14.06
2009-09-25,20,13.08
2009-10-02,37,12.82
2009-10-09,68,14.24
2009-10-16,25,14.04
2009-10-23,49,13.73
2009-10-30,26,12.42
2009-11-06,39,12.89
2009-11-13,29,13.18
2009-11-20,24,13.13
2009-11-27,30,12.66
2009-12-04,29,12.99
2009-12-11,27,14.61
2009-12-18,22,14.58
2009-12-25,27,
2010-01-01,32,
2010-01-08,38,17.02
2010-01-15,100,15.63
2010-01-22,43,13.40
2010-01-29,52,12.73
2010-02-05,44,13.18
2010-02-12,54,13.28
2010-02-19,49,13.53
2010-02-26,56,13.30
2010-03-05,37,13.84
2010-03-12,30,13.60
2010-03-19,45,14.26
2010-03-26,45,14.27
2010-04-02,39,
2010-04-09,70,14.39
2010-04-16,82,13.91
2010-04-23,48,14.11
2010-04-30,31,13.43
2010-05-07,37,12.00
2010-05-14,24,12.36
2010-05-21,19,11.35
2010-05-28,19,11.64
2010-06-04,22,10.84
2010-06-11,26,11.36
2010-06-18,22,11.11
2010-06-25,22,11.23
2010-07-02,25,10.00
2010-07-09,28,10.94
2010-07-16,37,10.41
2010-07-23,18,11.05
2010-07-30,19,11.17
2010-08-06,30,11.59
2010-08-13,16,10.64
2010-08-20,17,10.57
2010-08-27,18,10.32
2010-09-03,20,10.88
2010-09-10,15,11.17
2010-09-17,22,11.17
2010-09-24,22,12.20
2010-10-01,22,12.23
2010-10-08,34,12.89
2010-10-15,20,13.13
2010-10-22,20,12.72
2010-10-29,17,13.14
2010-11-05,14,14.00
2010-11-12,14,13.49
2010-11-19,14,13.38
2010-11-26,18,13.17
2010-12-03,21,14.23
2010-12-10,25,14.25
2010-12-17,25,14.56
2010-12-24,25,
2010-12-31,25,15.39
2011-01-07,25,16.42
2011-01-14,30,15.97
2011-01-21,27,15.79
2011-01-28,22,16.13
2011-02-04,20,17.14
2011-02-11,18,17.37
2011-02-18,13,17.28
2011-02-25,17,16.68
2011-03-04,26,16.58
2011-03-11,25,16.03
2011-03-18,16,16.11
2011-03-25,19,17.09
2011-04-01,25,17.47
2011-04-08,20,17.92
2011-04-15,35,16.52
2011-04-22,21,
2011-04-29,27,17.00
2011-05-06,25,17.15
2011-05-13,15,17.10
2011-05-20,21,16.26
2011-05-27,17,16.48
2011-06-03,22,15.92
2011-06-10,31,15.28
2011-06-17,21,14.72
2011-06-24,24,15.23
2011-07-01,15,16.31
2011-07-08,24,16.38
2011-07-15,21,15.48
2011-07-22,19,15.83
2011-07-29,14,14.73
2011-08-05,14,12.79
2011-08-12,14,12.26
2011-08-19,17,11.21
2011-08-26,23,11.86
2011-09-02,19,12.04
2011-09-09,31,11.58
2011-09-16,14,11.97
2011-09-23,26,10.07
2011-09-30,17,9.57
2011-10-07,23,9.71
2011-10-14,28,10.26
2011-10-21,14,10.23
2011-10-28,16,11.57
2011-11-04,16,10.93
2011-11-11,19,10.60
2011-11-18,18,9.69
2011-11-25,13,8.95
2011-12-02,13,9.91
2011-12-09,12,9.64
2011-12-16,12,8.81
2011-12-23,12,8.86
2011-12-30,13,8.65
2012-01-06,14,9.16
2012-01-13,38,9.80
2012-01-20,21,10.17
2012-01-27,18,10.43
2012-02-03,16,10.76
2012-02-10,19,10.29
2012-02-17,16,10.15
2012-02-24,10,10.43
2012-03-02,14,10.24
2012-03-09,13,9.81
2012-03-16,11,10.54
2012-03-23,13,10.11
2012-03-30,21,10.02
2012-04-06,13,
2012-04-13,26,9.85
2012-04-20,16,9.70
2012-04-27,16,9.75
2012-05-04,13,9.37
2012-05-11,13,9.06
2012-05-18,12,8.43
2012-05-25,12,8.63
2012-06-01,12,8.30
2012-06-08,14,8.52
2012-06-15,16,8.82
2012-06-22,15,8.62
2012-06-29,10,8.75
2012-07-06,15,8.73
2012-07-13,21,8.42
2012-07-20,17,8.26
2012-07-27,17,8.45
2012-08-03,18,8.37
2012-08-10,17,8.98
2012-08-17,10,8.75
2012-08-24,10,8.63
2012-08-31,19,8.56
2012-09-07,16,9.10
2012-09-14,12,9.84
2012-09-21,16,9.13
2012-09-28,14,8.86
2012-10-05,11,9.09
2012-10-12,22,8.69
2012-10-19,16,9.01
2012-10-26,10,8.65
2012-11-02,11,8.65
2012-11-09,11,8.43
2012-11-16,15,8.18
2012-11-23,16,8.35
2012-11-30,16,8.41
2012-12-07,14,8.50
2012-12-14,16,8.74
2012-12-21,18,8.57
2012-12-28,19,8.50
2013-01-04,20,9.26
2013-01-11,21,8.94
2013-01-18,18,9.00
2013-01-25,17,9.03
2013-02-01,18,9.00
2013-02-08,15,8.94
2013-02-15,14,9.32
2013-02-22,14,8.64
2013-03-01,16,8.44
2013-03-08,20,8.61
2013-03-15,14,8.63
2013-03-22,12,8.45
2013-03-29,11,
2013-04-05,13,8.24
2013-04-12,19,8.22
2013-04-19,10,8.08
2013-04-26,14,8.27
2013-05-03,16,8.62
2013-05-10,11,8.70
2013-05-17,13,8.61
2013-05-24,17,8.48
2013-05-31,12,8.50
2013-06-07,11,8.33
2013-06-14,13,8.12
2013-06-21,9,7.98
2013-06-28,13,7.82
2013-07-05,15,7.81
2013-07-12,25,8.10
2013-07-19,11,8.07
2013-07-26,9,8.07
2013-08-02,9,7.97
2013-08-09,18,8.22
2013-08-16,10,8.12
2013-08-23,19,8.05
2013-08-30,18,7.70
2013-09-06,18,7.92
2013-09-13,25,8.08
2013-09-20,20,8.29
2013-09-27,11,8.20
2013-10-04,10,7.96
2013-10-11,20,8.32
2013-10-18,16,8.63
2013-10-25,11,9.24
2013-11-01,13,9.27
2013-11-08,14,9.06
2013-11-15,11,9.03
2013-11-22,9,9.24
2013-11-29,12,9.61
2013-12-06,11,9.36
2013-12-13,12,9.51
2013-12-20,10,9.94
2013-12-27,10,10.69
2014-01-03,8,10.57
2014-01-10,19,10.11
2014-01-17,21,11.36
2014-01-24,24,11.44
2014-01-31,22,11.51
2014-02-07,17,11.19
2014-02-14,11,11.37
2014-02-21,20,11.73
2014-02-28,10,11.74
2014-03-07,14,12.16
2014-03-14,8,11.84
2014-03-21,9,12.01
2014-03-28,19,12.48
2014-04-04,13,12.63
2014-04-11,9,12.54
2014-04-18,14,
2014-04-25,11,13.33
2014-05-02,0,
