Date,FIS,Price
2004-01-09,82,
2004-01-16,76,
2004-01-23,86,
2004-01-30,70,
2004-02-06,59,33.19
2004-02-13,69,34.00
2004-02-20,69,32.88
2004-02-27,49,34.17
2004-03-05,48,34.50
2004-03-12,73,33.85
2004-03-19,47,33.44
2004-03-26,36,33.27
2004-04-02,31,35.90
2004-04-09,30,
2004-04-16,32,35.09
2004-04-23,25,34.77
2004-04-30,26,35.78
2004-05-07,27,35.30
2004-05-14,24,36.36
2004-05-21,30,36.93
2004-05-28,30,37.73
2004-06-04,35,38.00
2004-06-11,32,
2004-06-18,30,37.78
2004-06-25,28,39.48
2004-07-02,28,39.36
2004-07-09,27,38.42
2004-07-16,31,37.91
2004-07-23,30,37.08
2004-07-30,29,37.91
2004-08-06,30,36.35
2004-08-13,24,36.75
2004-08-20,25,38.28
2004-08-27,26,38.36
2004-09-03,36,38.99
2004-09-10,30,38.98
2004-09-17,32,38.86
2004-09-24,27,38.44
2004-10-01,30,38.03
2004-10-08,27,36.60
2004-10-15,39,36.18
2004-10-22,45,35.01
2004-10-29,40,35.35
2004-11-05,34,35.57
2004-11-12,40,34.67
2004-11-19,37,35.26
2004-11-26,59,34.88
2004-12-03,68,33.75
2004-12-10,62,33.00
2004-12-17,84,34.80
2004-12-24,84,
2004-12-31,81,35.53
2005-01-07,78,35.11
2005-01-14,97,35.06
2005-01-21,86,34.91
2005-01-28,74,34.25
2005-02-04,81,35.24
2005-02-11,100,35.14
2005-02-18,80,34.58
2005-02-25,79,35.32
2005-03-04,56,35.70
2005-03-11,65,36.15
2005-03-18,50,35.24
2005-03-25,43,
2005-04-01,34,34.19
2005-04-08,29,33.40
2005-04-15,32,32.78
2005-04-22,32,34.15
2005-04-29,25,36.43
2005-05-06,29,35.79
2005-05-13,27,35.94
2005-05-20,34,37.10
2005-05-27,23,37.60
2005-06-03,34,36.83
2005-06-10,28,38.08
2005-06-17,23,38.78
2005-06-24,30,37.46
2005-07-01,30,38.59
2005-07-08,25,38.57
2005-07-15,25,38.00
2005-07-22,31,36.51
2005-07-29,24,34.62
2005-08-05,27,33.80
2005-08-12,29,33.77
2005-08-19,26,33.28
2005-08-26,26,34.97
2005-09-02,28,33.92
2005-09-09,32,33.80
2005-09-16,32,39.93
2005-09-23,35,40.12
2005-09-30,30,40.02
2005-10-07,34,39.10
2005-10-14,34,37.97
2005-10-21,46,37.39
2005-10-28,41,36.90
2005-11-04,35,38.37
2005-11-11,37,39.00
2005-11-18,38,41.29
2005-11-25,55,40.47
2005-12-02,69,40.77
2005-12-09,65,40.02
2005-12-16,74,39.94
2005-12-23,64,40.68
2005-12-30,64,40.56
2006-01-06,72,42.47
2006-01-13,81,43.27
2006-01-20,75,43.15
2006-01-27,75,43.77
2006-02-03,74,38.95
2006-02-10,63,37.22
2006-02-17,71,39.23
2006-02-24,61,38.60
2006-03-03,56,40.16
2006-03-10,62,39.80
2006-03-17,62,40.11
2006-03-24,46,40.06
2006-03-31,37,40.55
2006-04-07,34,39.10
2006-04-14,27,
2006-04-21,28,39.07
2006-04-28,25,38.00
2006-05-05,29,38.80
2006-05-12,30,37.17
2006-05-19,29,37.14
2006-05-26,25,37.46
2006-06-02,27,37.70
2006-06-09,27,36.50
2006-06-16,30,37.35
2006-06-23,27,35.95
2006-06-30,25,35.40
2006-07-07,26,35.25
2006-07-14,22,33.74
2006-07-21,30,34.55
2006-07-28,25,36.18
2006-08-04,25,35.84
2006-08-11,31,35.33
2006-08-18,28,36.74
2006-08-25,30,35.35
2006-09-01,32,37.14
2006-09-08,31,37.50
2006-09-15,35,36.60
2006-09-22,28,36.70
2006-09-29,32,37.00
2006-10-06,33,37.86
2006-10-13,32,39.21
2006-10-20,29,39.40
2006-10-27,40,40.83
2006-11-03,37,41.59
2006-11-10,46,41.32
2006-11-17,49,41.88
2006-11-24,53,41.22
2006-12-01,64,39.74
2006-12-08,52,40.35
2006-12-15,63,40.85
2006-12-22,69,40.25
2006-12-29,59,40.09
2007-01-05,73,40.34
2007-01-12,70,41.29
2007-01-19,74,41.60
2007-01-26,64,42.00
2007-02-02,60,43.03
2007-02-09,90,45.40
2007-02-16,75,47.55
2007-02-23,68,47.04
2007-03-02,68,45.36
2007-03-09,58,45.30
2007-03-16,77,43.58
2007-03-23,57,43.89
2007-03-30,46,45.46
2007-04-06,35,
2007-04-13,35,47.81
2007-04-20,27,48.85
2007-04-27,30,51.13
2007-05-04,27,50.89
2007-05-11,29,50.60
2007-05-18,28,50.88
2007-05-25,30,50.13
2007-06-01,31,53.91
2007-06-08,30,52.24
2007-06-15,29,54.01
2007-06-22,30,53.80
2007-06-29,26,54.28
2007-07-06,29,56.30
2007-07-13,30,56.94
2007-07-20,29,56.24
2007-07-27,29,50.51
2007-08-03,26,49.38
2007-08-10,30,49.55
2007-08-17,34,48.06
2007-08-24,31,48.21
2007-08-31,33,47.40
2007-09-07,31,44.92
2007-09-14,34,46.29
2007-09-21,33,45.12
2007-09-28,32,44.37
2007-10-05,34,46.19
2007-10-12,35,47.86
2007-10-19,35,46.75
2007-10-26,40,45.55
2007-11-02,44,43.68
2007-11-09,42,41.78
2007-11-16,44,42.97
2007-11-23,56,42.89
2007-11-30,68,43.22
2007-12-07,69,44.90
2007-12-14,64,43.51
2007-12-21,64,42.27
2007-12-28,57,42.01
2008-01-04,81,39.87
2008-01-11,72,37.21
2008-01-18,75,38.45
2008-01-25,80,40.17
2008-02-01,59,43.48
2008-02-08,60,41.59
2008-02-15,58,42.04
2008-02-22,60,41.52
2008-02-29,64,41.49
2008-03-07,68,39.00
2008-03-14,68,37.67
2008-03-21,46,
2008-03-28,40,37.85
2008-04-04,37,38.15
2008-04-11,37,35.23
2008-04-18,33,38.07
2008-04-25,34,36.38
2008-05-02,28,37.49
2008-05-09,28,37.00
2008-05-16,29,39.22
2008-05-23,32,38.12
2008-05-30,30,40.28
2008-06-06,31,40.11
2008-06-13,27,39.99
2008-06-20,29,38.50
2008-06-27,30,36.97
2008-07-04,28,
2008-07-11,28,20.80
2008-07-18,31,20.84
2008-07-25,29,19.56
2008-08-01,28,19.13
2008-08-08,30,23.21
2008-08-15,29,23.09
2008-08-22,29,22.33
2008-08-29,32,21.85
2008-09-05,30,20.86
2008-09-12,31,21.83
2008-09-19,32,20.36
2008-09-26,32,19.74
2008-10-03,30,17.04
2008-10-10,38,15.14
2008-10-17,35,15.56
2008-10-24,40,13.37
2008-10-31,40,15.09
2008-11-07,33,16.16
2008-11-14,39,15.85
2008-11-21,48,13.80
2008-11-28,54,17.18
2008-12-05,63,17.05
2008-12-12,62,16.48
2008-12-19,60,16.95
2008-12-26,57,16.09
2009-01-02,74,17.05
2009-01-09,76,16.82
2009-01-16,79,16.44
2009-01-23,75,15.79
2009-01-30,82,15.91
2009-02-06,84,17.55
2009-02-13,86,18.29
2009-02-20,82,17.63
2009-02-27,76,17.50
2009-03-06,61,16.39
2009-03-13,77,17.11
2009-03-20,59,17.55
2009-03-27,47,17.80
2009-04-03,32,17.84
2009-04-10,31,
2009-04-17,30,19.72
2009-04-24,28,19.05
2009-05-01,25,17.76
2009-05-08,28,18.86
2009-05-15,29,18.33
2009-05-22,27,18.61
2009-05-29,26,19.26
2009-06-05,29,20.20
2009-06-12,23,20.10
2009-06-19,24,19.76
2009-06-26,27,19.96
2009-07-03,23,
2009-07-10,25,19.48
2009-07-17,25,20.62
2009-07-24,22,21.41
2009-07-31,23,23.42
2009-08-07,25,24.45
2009-08-14,28,24.24
2009-08-21,27,24.85
2009-08-28,29,24.72
2009-09-04,27,24.18
2009-09-11,29,24.82
2009-09-18,27,24.93
2009-09-25,30,25.40
2009-10-02,30,23.99
2009-10-09,30,24.35
2009-10-16,34,24.43
2009-10-23,36,22.82
2009-10-30,35,21.76
2009-11-06,32,22.46
2009-11-13,41,22.59
2009-11-20,43,22.73
2009-11-27,53,22.53
2009-12-04,57,23.46
2009-12-11,55,23.73
2009-12-18,60,23.53
2009-12-25,52,
2010-01-01,65,
2010-01-08,83,24.05
2010-01-15,77,23.99
2010-01-22,73,23.96
2010-01-29,68,23.56
2010-02-05,62,23.04
2010-02-12,50,22.36
2010-02-19,63,22.68
2010-02-26,55,22.54
2010-03-05,50,23.48
2010-03-12,68,23.19
2010-03-19,52,23.63
2010-03-26,38,23.66
2010-04-02,33,
2010-04-09,30,24.52
2010-04-16,30,25.19
2010-04-23,28,25.76
2010-04-30,28,26.29
2010-05-07,30,28.76
2010-05-14,30,29.69
2010-05-21,30,26.17
2010-05-28,28,27.52
2010-06-04,27,27.14
2010-06-11,27,27.21
2010-06-18,27,27.48
2010-06-25,26,27.54
2010-07-02,25,26.41
2010-07-09,26,27.70
2010-07-16,28,27.52
2010-07-23,27,28.10
2010-07-30,27,28.67
2010-08-06,26,27.70
2010-08-13,27,26.50
2010-08-20,29,26.49
2010-08-27,28,26.59
2010-09-03,27,27.50
2010-09-10,27,27.37
2010-09-17,28,27.40
2010-09-24,29,27.54
2010-10-01,30,26.99
2010-10-08,27,26.80
2010-10-15,30,28.07
2010-10-22,36,28.60
2010-10-29,39,27.10
2010-11-05,34,27.95
2010-11-12,38,27.20
2010-11-19,46,27.38
2010-11-26,56,27.29
2010-12-03,62,28.48
2010-12-10,57,28.25
2010-12-17,63,27.44
2010-12-24,50,
2010-12-31,66,27.39
2011-01-07,87,28.49
2011-01-14,74,30.12
2011-01-21,75,30.01
2011-01-28,74,30.28
2011-02-04,76,30.96
2011-02-11,79,31.89
2011-02-18,73,32.14
2011-02-25,66,32.03
2011-03-04,76,31.53
2011-03-11,57,31.23
2011-03-18,62,30.90
2011-03-25,43,32.04
2011-04-01,37,33.23
2011-04-08,33,32.82
2011-04-15,31,33.26
2011-04-22,29,
2011-04-29,26,33.11
2011-05-06,28,32.49
