Date,MS,Price
2004-01-09,80,
2004-01-16,86,
2004-01-23,86,
2004-01-30,81,
2004-02-06,85,57.36
2004-02-13,85,59.75
2004-02-20,86,61.19
2004-02-27,79,59.76
2004-03-05,81,62.22
2004-03-12,82,60.66
2004-03-19,81,59.61
2004-03-26,77,56.73
2004-04-02,78,56.75
2004-04-09,83,
2004-04-16,83,54.53
2004-04-23,85,53.03
2004-04-30,82,51.39
2004-05-07,83,51.94
2004-05-14,77,52.08
2004-05-21,78,52.53
2004-05-28,77,53.51
2004-06-04,78,53.03
2004-06-11,77,
2004-06-18,76,51.65
2004-06-25,80,52.44
2004-07-02,75,51.67
2004-07-09,78,50.00
2004-07-16,78,47.07
2004-07-23,79,48.00
2004-07-30,78,49.33
2004-08-06,81,46.80
2004-08-13,80,47.27
2004-08-20,79,50.30
2004-08-27,76,51.57
2004-09-03,78,51.00
2004-09-10,77,52.95
2004-09-17,80,51.45
2004-09-24,76,50.03
2004-10-01,76,50.56
2004-10-08,76,48.30
2004-10-15,76,48.24
2004-10-22,72,48.32
2004-10-29,72,51.09
2004-11-05,74,53.75
2004-11-12,72,53.13
2004-11-19,71,52.26
2004-11-26,69,51.12
2004-12-03,72,53.07
2004-12-10,72,53.70
2004-12-17,73,54.11
2004-12-24,66,
2004-12-31,68,55.52
2005-01-07,71,56.06
2005-01-14,78,56.07
2005-01-21,75,54.48
2005-01-28,75,54.37
2005-02-04,76,58.68
2005-02-11,75,60.32
2005-02-18,78,57.65
2005-02-25,77,57.66
2005-03-04,77,58.39
2005-03-11,75,58.49
2005-03-18,76,57.78
2005-03-25,76,
2005-04-01,71,56.87
2005-04-08,73,55.67
2005-04-15,77,51.49
2005-04-22,76,50.25
2005-04-29,76,52.62
2005-05-06,73,50.05
2005-05-13,73,48.22
2005-05-20,72,50.00
2005-05-27,73,49.26
2005-06-03,72,48.91
2005-06-10,75,49.88
2005-06-17,74,51.38
2005-06-24,76,53.12
2005-07-01,72,53.03
2005-07-08,72,53.12
2005-07-15,75,53.64
2005-07-22,75,54.00
2005-07-29,73,53.05
2005-08-05,76,52.65
2005-08-12,74,52.85
2005-08-19,73,52.04
2005-08-26,73,51.56
2005-09-02,100,50.83
2005-09-09,77,52.52
2005-09-16,75,52.00
2005-09-23,76,51.94
2005-09-30,72,53.94
2005-10-07,74,53.45
2005-10-14,72,52.20
2005-10-21,71,52.10
2005-10-28,70,53.93
2005-11-04,68,52.41
2005-11-11,69,55.28
2005-11-18,69,55.50
2005-11-25,65,57.77
2005-12-02,67,57.28
2005-12-09,69,55.96
2005-12-16,69,56.88
2005-12-23,64,58.41
2005-12-30,62,56.74
2006-01-06,68,58.57
2006-01-13,69,59.38
2006-01-20,70,57.85
