Date,BEAM,Price
2004-01-09,59,
2004-01-16,58,
2004-01-23,64,
2004-01-30,62,
2004-02-06,68,71.95
2004-02-13,57,70.90
2004-02-20,58,69.50
2004-02-27,63,71.48
2004-03-05,66,73.32
2004-03-12,67,71.30
2004-03-19,64,75.42
2004-03-26,67,75.55
2004-04-02,63,76.76
2004-04-09,64,
2004-04-16,60,75.01
2004-04-23,63,78.70
2004-04-30,70,76.25
2004-05-07,61,73.30
2004-05-14,59,74.05
2004-05-21,61,71.76
2004-05-28,61,75.30
2004-06-04,62,75.13
2004-06-11,63,
2004-06-18,56,73.10
2004-06-25,55,74.85
2004-07-02,55,73.67
2004-07-09,61,73.45
2004-07-16,57,72.77
2004-07-23,59,72.05
2004-07-30,58,72.18
2004-08-06,55,69.02
2004-08-13,58,69.55
2004-08-20,70,72.46
2004-08-27,63,74.08
2004-09-03,60,74.40
2004-09-10,59,72.99
2004-09-17,61,74.85
2004-09-24,60,73.29
2004-10-01,65,74.80
2004-10-08,59,72.10
2004-10-15,62,71.50
2004-10-22,58,72.01
2004-10-29,60,72.82
2004-11-05,57,75.70
2004-11-12,56,76.56
2004-11-19,58,75.86
2004-11-26,57,78.05
2004-12-03,64,78.05
2004-12-10,61,76.20
2004-12-17,57,75.72
2004-12-24,49,
2004-12-31,52,77.18
2005-01-07,59,76.30
2005-01-14,54,76.40
2005-01-21,54,79.91
2005-01-28,62,82.47
2005-02-04,58,84.89
2005-02-11,59,84.42
2005-02-18,58,83.60
2005-02-25,57,81.67
2005-03-04,63,83.35
2005-03-11,59,79.64
2005-03-18,58,82.72
2005-03-25,57,
2005-04-01,57,82.85
2005-04-08,57,85.98
2005-04-15,53,87.03
2005-04-22,58,87.75
2005-04-29,60,84.58
2005-05-06,56,84.23
2005-05-13,55,82.25
2005-05-20,55,87.56
2005-05-27,52,86.85
2005-06-03,51,86.79
2005-06-10,53,88.16
2005-06-17,53,90.30
2005-06-24,53,88.61
2005-07-01,53,90.51
2005-07-08,46,93.23
2005-07-15,50,93.33
2005-07-22,60,94.31
2005-07-29,53,94.55
2005-08-05,56,91.56
2005-08-12,50,91.74
2005-08-19,50,86.59
2005-08-26,51,86.67
2005-09-02,48,86.07
2005-09-09,49,88.70
2005-09-16,53,86.35
2005-09-23,54,82.19
2005-09-30,51,81.33
2005-10-07,53,77.97
2005-10-14,57,77.60
2005-10-21,52,75.60
2005-10-28,56,74.80
2005-11-04,56,79.42
2005-11-11,54,79.78
2005-11-18,52,81.15
2005-11-25,53,79.36
2005-12-02,54,79.86
2005-12-09,54,77.00
2005-12-16,52,77.84
2005-12-23,46,78.91
2005-12-30,42,78.02
2006-01-06,47,77.40
2006-01-13,51,77.95
