Date,VRSN,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,18.19
2004-02-13,0,17.86
2004-02-20,0,18.26
2004-02-27,0,17.41
2004-03-05,0,17.03
2004-03-12,0,16.20
2004-03-19,0,15.65
2004-03-26,0,16.26
2004-04-02,0,17.43
2004-04-09,0,
2004-04-16,0,15.94
2004-04-23,0,17.24
2004-04-30,0,16.21
2004-05-07,0,17.70
2004-05-14,0,17.85
2004-05-21,0,17.75
2004-05-28,0,18.14
2004-06-04,0,17.50
2004-06-11,0,
2004-06-18,0,17.96
2004-06-25,0,19.37
2004-07-02,0,18.60
2004-07-09,0,17.86
2004-07-16,0,16.95
2004-07-23,0,17.10
2004-07-30,0,17.51
2004-08-06,0,16.44
2004-08-13,0,16.58
2004-08-20,0,17.27
2004-08-27,0,17.23
2004-09-03,0,17.85
2004-09-10,0,19.30
2004-09-17,0,19.85
2004-09-24,0,19.01
2004-10-01,0,20.98
2004-10-08,0,20.55
2004-10-15,0,22.05
2004-10-22,0,25.01
2004-10-29,0,26.83
2004-11-05,0,27.53
2004-11-12,0,30.26
2004-11-19,0,31.12
2004-11-26,0,31.52
2004-12-03,0,34.19
2004-12-10,0,33.57
2004-12-17,0,33.38
2004-12-24,0,
2004-12-31,0,33.60
2005-01-07,0,30.95
2005-01-14,0,28.99
2005-01-21,0,28.13
2005-01-28,0,25.59
2005-02-04,0,25.76
2005-02-11,0,25.48
2005-02-18,0,27.30
2005-02-25,0,28.09
2005-03-04,0,29.30
2005-03-11,0,28.44
2005-03-18,0,27.72
2005-03-25,0,
2005-04-01,0,27.92
2005-04-08,0,28.56
2005-04-15,0,25.33
2005-04-22,0,29.00
2005-04-29,0,26.45
2005-05-06,0,28.35
2005-05-13,0,28.06
2005-05-20,0,29.92
2005-05-27,0,31.34
2005-06-03,0,32.94
2005-06-10,0,30.92
2005-06-17,0,32.95
2005-06-24,0,30.47
2005-07-01,0,28.53
2005-07-08,0,30.02
2005-07-15,0,28.68
2005-07-22,0,24.70
2005-07-29,0,26.31
2005-08-05,71,24.94
2005-08-12,0,23.39
2005-08-19,0,24.09
2005-08-26,0,21.34
2005-09-02,0,21.60
2005-09-09,0,22.94
2005-09-16,0,22.02
2005-09-23,0,21.41
2005-09-30,49,21.37
2005-10-07,66,19.94
2005-10-14,83,20.69
2005-10-21,100,22.48
2005-10-28,95,22.69
2005-11-04,67,23.35
2005-11-11,0,23.90
2005-11-18,0,23.10
2005-11-25,0,22.22
2005-12-02,0,22.52
2005-12-09,0,23.05
2005-12-16,63,22.89
2005-12-23,47,22.06
2005-12-30,47,21.90
2006-01-06,47,20.96
2006-01-13,73,21.79
2006-01-20,76,21.81
2006-01-27,79,22.55
2006-02-03,74,23.29
2006-02-10,52,23.70
2006-02-17,0,24.57
2006-02-24,0,24.59
2006-03-03,0,23.68
2006-03-10,0,23.14
2006-03-17,0,23.22
2006-03-24,0,23.53
2006-03-31,37,23.99
2006-04-07,42,24.46
2006-04-14,46,
2006-04-21,51,24.43
2006-04-28,0,23.52
2006-05-05,0,23.72
2006-05-12,0,22.73
2006-05-19,0,21.95
2006-05-26,0,22.60
2006-06-02,0,22.63
2006-06-09,0,22.34
2006-06-16,0,22.05
2006-06-23,0,22.46
2006-06-30,0,23.17
2006-07-07,0,22.26
2006-07-14,0,21.84
2006-07-21,0,18.99
2006-07-28,0,18.00
2006-08-04,41,17.58
2006-08-11,48,17.11
2006-08-18,46,19.41
2006-08-25,46,19.39
2006-09-01,33,20.27
2006-09-08,33,19.48
2006-09-15,33,21.60
2006-09-22,0,20.91
2006-09-29,0,20.20
2006-10-06,0,20.29
2006-10-13,0,20.70
2006-10-20,0,20.59
2006-10-27,0,20.90
2006-11-03,0,21.39
2006-11-10,0,22.01
2006-11-17,0,23.34
2006-11-24,0,24.00
2006-12-01,43,25.24
2006-12-08,0,25.43
2006-12-15,0,25.38
2006-12-22,0,24.21
2006-12-29,0,24.05
2007-01-05,0,24.59
2007-01-12,38,24.52
2007-01-19,26,23.39
2007-01-26,29,23.95
2007-02-02,47,25.55
2007-02-09,0,25.73
2007-02-16,0,26.12
2007-02-23,0,26.18
2007-03-02,0,24.41
2007-03-09,0,24.58
2007-03-16,0,24.54
2007-03-23,30,25.33
2007-03-30,27,25.12
2007-04-06,27,
2007-04-13,27,26.34
2007-04-20,27,26.70
2007-04-27,34,27.03
2007-05-04,42,26.25
2007-05-11,25,26.32
2007-05-18,25,26.76
2007-05-25,25,27.25
2007-06-01,36,30.36
2007-06-08,39,29.54
2007-06-15,27,29.32
2007-06-22,23,29.42
2007-06-29,23,31.73
2007-07-06,23,32.60
2007-07-13,23,33.91
2007-07-20,37,32.22
2007-07-27,48,29.51
2007-08-03,48,29.25
2007-08-10,36,29.26
2007-08-17,36,29.67
2007-08-24,30,31.90
2007-08-31,27,32.20
2007-09-07,27,32.49
2007-09-14,28,31.67
2007-09-21,29,33.58
2007-09-28,29,33.74
2007-10-05,30,34.19
2007-10-12,28,34.00
2007-10-19,31,32.99
2007-10-26,21,34.62
2007-11-02,21,32.42
2007-11-09,19,32.85
2007-11-16,39,36.06
2007-11-23,30,36.75
2007-11-30,32,40.90
2007-12-07,29,39.72
2007-12-14,24,36.31
2007-12-21,24,37.85
2007-12-28,25,37.88
2008-01-04,26,35.82
2008-01-11,31,34.67
2008-01-18,21,33.54
2008-01-25,38,32.41
2008-02-01,40,35.85
2008-02-08,18,33.36
2008-02-15,29,36.21
2008-02-22,19,36.71
2008-02-29,20,34.80
2008-03-07,21,33.76
2008-03-14,19,32.91
2008-03-21,19,
2008-03-28,19,33.09
2008-04-04,19,33.97
2008-04-11,19,33.21
2008-04-18,30,34.74
2008-04-25,25,35.24
2008-05-02,24,36.83
2008-05-09,26,37.90
2008-05-16,31,40.26
2008-05-23,45,38.91
2008-05-30,18,40.04
2008-06-06,27,39.91
2008-06-13,26,39.82
2008-06-20,21,39.88
2008-06-27,18,38.24
2008-07-04,17,
2008-07-11,21,35.40
2008-07-18,22,34.16
2008-07-25,25,33.13
2008-08-01,31,32.02
2008-08-08,36,30.95
2008-08-15,24,32.45
2008-08-22,22,32.16
2008-08-29,22,31.97
2008-09-05,20,28.67
2008-09-12,18,27.07
2008-09-19,31,28.14
2008-09-26,23,26.44
2008-10-03,15,23.06
2008-10-10,22,22.17
2008-10-17,23,23.13
2008-10-24,22,19.66
2008-10-31,15,21.20
2008-11-07,21,21.25
2008-11-14,19,18.64
2008-11-21,19,17.57
2008-11-28,15,21.59
2008-12-05,15,20.34
2008-12-12,17,21.29
2008-12-19,22,20.96
2008-12-26,20,19.27
2009-01-02,20,20.62
2009-01-09,19,18.70
2009-01-16,19,18.61
2009-01-23,13,18.46
2009-01-30,13,19.31
2009-02-06,31,20.09
2009-02-13,14,19.89
2009-02-20,14,19.30
2009-02-27,13,19.33
2009-03-06,13,20.06
2009-03-13,18,20.17
2009-03-20,19,19.78
2009-03-27,14,19.23
2009-04-03,14,20.16
2009-04-10,14,
2009-04-17,15,19.83
2009-04-24,16,19.36
2009-05-01,16,21.29
2009-05-08,17,24.26
2009-05-15,15,22.98
2009-05-22,15,22.72
2009-05-29,15,23.41
2009-06-05,15,23.19
2009-06-12,15,19.24
2009-06-19,13,18.59
2009-06-26,13,19.14
2009-07-03,12,
2009-07-10,12,18.06
2009-07-17,22,19.86
2009-07-24,24,20.24
2009-07-31,25,20.44
2009-08-07,26,18.66
2009-08-14,19,20.99
2009-08-21,12,20.94
2009-08-28,13,21.46
2009-09-04,15,20.95
2009-09-11,16,22.66
2009-09-18,18,23.26
2009-09-25,14,22.80
2009-10-02,14,23.00
2009-10-09,14,23.70
2009-10-16,14,23.30
2009-10-23,14,23.79
2009-10-30,11,22.81
2009-11-06,11,23.24
2009-11-13,0,22.74
2009-11-20,0,21.56
2009-11-27,0,22.30
2009-12-04,0,22.37
2009-12-11,0,22.19
2009-12-18,0,23.85
2009-12-25,0,
2010-01-01,0,
2010-01-08,10,24.58
2010-01-15,13,23.98
2010-01-22,11,23.34
2010-01-29,11,22.91
2010-02-05,11,23.24
2010-02-12,9,23.29
2010-02-19,9,24.12
2010-02-26,9,24.92
2010-03-05,9,26.50
2010-03-12,17,26.64
2010-03-19,14,26.80
2010-03-26,12,25.94
2010-04-02,12,
2010-04-09,12,26.84
2010-04-16,12,26.60
2010-04-23,12,27.43
2010-04-30,12,27.28
2010-05-07,20,24.95
2010-05-14,22,26.71
2010-05-21,25,27.35
2010-05-28,0,27.91
2010-06-04,0,28.29
2010-06-11,0,28.74
2010-06-18,0,29.39
2010-06-25,0,27.73
2010-07-02,0,26.10
2010-07-09,0,27.25
2010-07-16,11,27.90
2010-07-23,13,28.80
2010-07-30,15,28.15
2010-08-06,17,29.50
2010-08-13,12,28.53
2010-08-20,10,29.37
2010-08-27,11,29.54
2010-09-03,9,30.10
2010-09-10,9,30.87
2010-09-17,10,31.45
2010-09-24,10,31.63
2010-10-01,10,31.71
2010-10-08,14,31.99
2010-10-15,12,32.16
2010-10-22,12,32.86
2010-10-29,12,34.75
2010-11-05,9,35.15
2010-11-12,9,34.21
2010-11-19,8,34.85
2010-11-26,8,35.29
2010-12-03,8,34.94
2010-12-10,8,35.70
2010-12-17,9,34.28
2010-12-24,9,
2010-12-31,10,32.67
2011-01-07,9,33.34
2011-01-14,7,33.15
2011-01-21,8,32.21
2011-01-28,9,33.75
2011-02-04,13,35.28
2011-02-11,11,36.71
2011-02-18,11,36.74
2011-02-25,8,35.98
2011-03-04,0,36.13
2011-03-11,0,36.00
2011-03-18,0,35.00
2011-03-25,0,36.20
2011-04-01,0,36.48
2011-04-08,0,36.43
2011-04-15,0,36.74
2011-04-22,0,
2011-04-29,0,36.98
2011-05-06,0,35.57
2011-05-13,0,36.53
2011-05-20,0,37.27
2011-05-27,0,35.37
2011-06-03,9,34.91
2011-06-10,0,33.70
2011-06-17,0,32.72
2011-06-24,0,32.74
2011-07-01,0,33.88
2011-07-08,0,34.42
2011-07-15,0,33.66
2011-07-22,8,33.77
2011-07-29,10,31.21
2011-08-05,12,28.93
2011-08-12,10,31.03
2011-08-19,8,28.73
2011-08-26,9,30.42
2011-09-02,11,30.01
2011-09-09,13,29.03
2011-09-16,8,29.00
2011-09-23,10,28.34
2011-09-30,9,28.61
2011-10-07,6,29.69
2011-10-14,7,30.48
2011-10-21,8,30.88
2011-10-28,9,32.85
2011-11-04,8,32.99
2011-11-11,8,33.23
2011-11-18,8,32.31
2011-11-25,8,31.48
2011-12-02,8,33.42
2011-12-09,8,33.94
2011-12-16,8,34.72
2011-12-23,9,35.85
2011-12-30,9,35.72
2012-01-06,9,35.40
2012-01-13,9,35.54
2012-01-20,7,36.01
2012-01-27,7,36.32
2012-02-03,9,37.04
2012-02-10,9,36.61
2012-02-17,9,37.18
2012-02-24,9,37.64
2012-03-02,9,37.00
2012-03-09,7,36.95
2012-03-16,10,38.47
2012-03-23,10,38.14
2012-03-30,9,38.35
2012-04-06,10,
2012-04-13,11,40.67
2012-04-20,10,41.97
2012-04-27,8,41.70
2012-05-04,10,40.72
2012-05-11,5,40.31
2012-05-18,5,38.62
2012-05-25,8,39.80
2012-06-01,7,37.73
2012-06-08,6,39.81
2012-06-15,6,42.33
2012-06-22,10,43.21
2012-06-29,7,43.57
2012-07-06,7,43.81
2012-07-13,7,43.17
2012-07-20,8,43.19
2012-07-27,12,45.42
2012-08-03,12,45.65
2012-08-10,9,46.76
2012-08-17,6,48.16
2012-08-24,7,47.50
2012-08-31,8,47.68
2012-09-07,9,48.93
2012-09-14,9,47.78
2012-09-21,9,47.60
2012-09-28,7,48.69
2012-10-05,7,49.21
2012-10-12,7,48.03
2012-10-19,7,47.37
2012-10-26,10,39.39
2012-11-02,13,39.67
2012-11-09,12,41.48
2012-11-16,7,40.92
2012-11-23,7,40.87
2012-11-30,15,34.15
2012-12-07,13,36.28
2012-12-14,10,35.90
2012-12-21,10,38.04
2012-12-28,6,38.00
2013-01-04,9,40.04
2013-01-11,10,38.00
2013-01-18,7,39.55
2013-01-25,11,42.96
2013-02-01,6,44.34
2013-02-08,6,45.39
2013-02-15,8,46.14
2013-02-22,8,45.80
2013-03-01,6,46.17
2013-03-08,8,46.78
2013-03-15,5,45.65
2013-03-22,6,46.36
2013-03-29,7,
2013-04-05,5,45.95
2013-04-12,4,46.73
2013-04-19,8,44.71
2013-04-26,13,44.77
2013-05-03,7,47.35
2013-05-10,7,48.96
2013-05-17,6,48.70
2013-05-24,6,47.40
2013-05-31,7,47.04
2013-06-07,7,46.20
2013-06-14,7,45.03
2013-06-21,7,44.19
2013-06-28,8,44.66
2013-07-05,7,45.47
2013-07-12,9,46.04
2013-07-19,8,45.74
2013-07-26,8,47.32
2013-08-02,8,48.42
2013-08-09,10,48.76
2013-08-16,10,48.72
2013-08-23,8,49.50
2013-08-30,7,47.99
2013-09-06,8,49.31
2013-09-13,9,49.85
2013-09-20,10,51.70
2013-09-27,11,51.18
2013-10-04,5,51.61
2013-10-11,9,51.31
2013-10-18,9,53.08
2013-10-25,6,53.76
2013-11-01,6,54.19
2013-11-08,8,54.15
2013-11-15,8,55.65
2013-11-22,8,56.72
2013-11-29,7,56.86
2013-12-06,7,57.20
2013-12-13,7,57.05
2013-12-20,9,59.27
2013-12-27,6,59.45
2014-01-03,6,59.84
2014-01-10,8,61.46
2014-01-17,7,61.89
2014-01-24,6,60.37
2014-01-31,9,58.75
2014-02-07,13,52.68
2014-02-14,11,54.52
2014-02-21,9,54.99
2014-02-28,15,55.11
2014-03-07,11,55.88
2014-03-14,11,54.85
2014-03-21,16,52.78
2014-03-28,9,53.49
2014-04-04,7,50.73
2014-04-11,6,49.03
2014-04-18,7,
2014-04-25,9,47.15
2014-05-02,10,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
