Date,EMR,Price
2004-01-09,51,
2004-01-16,51,
2004-01-23,85,
2004-01-30,67,
2004-02-06,96,64.68
2004-02-13,60,63.73
2004-02-20,81,63.27
2004-02-27,71,62.48
2004-03-05,68,63.05
2004-03-12,71,61.07
2004-03-19,58,60.39
2004-03-26,89,59.56
2004-04-02,51,60.79
2004-04-09,60,
2004-04-16,74,62.45
2004-04-23,72,62.07
2004-04-30,67,60.22
2004-05-07,88,58.28
2004-05-14,64,57.33
2004-05-21,78,57.67
2004-05-28,71,59.70
2004-06-04,70,60.43
2004-06-11,65,
2004-06-18,77,58.77
2004-06-25,73,61.40
2004-07-02,77,62.53
2004-07-09,73,61.56
2004-07-16,75,61.30
2004-07-23,83,59.48
2004-07-30,48,60.70
2004-08-06,81,60.51
2004-08-13,57,60.27
2004-08-20,71,61.60
2004-08-27,73,62.17
2004-09-03,68,62.33
2004-09-10,67,63.68
2004-09-17,65,62.73
2004-09-24,100,61.99
2004-10-01,73,63.90
2004-10-08,78,62.94
2004-10-15,75,62.94
2004-10-22,80,62.12
2004-10-29,83,64.05
2004-11-05,75,67.43
2004-11-12,67,68.62
2004-11-19,71,67.33
2004-11-26,55,67.38
2004-12-03,73,68.06
2004-12-10,69,68.32
2004-12-17,58,70.10
2004-12-24,63,
2004-12-31,47,70.10
2005-01-07,73,67.13
2005-01-14,52,67.81
2005-01-21,68,65.19
2005-01-28,68,65.40
2005-02-04,88,68.73
2005-02-11,88,68.24
2005-02-18,72,66.91
2005-02-25,79,66.72
2005-03-04,77,66.86
2005-03-11,68,67.17
2005-03-18,73,66.02
2005-03-25,66,
2005-04-01,56,63.96
2005-04-08,54,65.25
2005-04-15,82,62.48
2005-04-22,85,64.18
2005-04-29,81,62.67
2005-05-06,68,66.86
2005-05-13,65,65.40
2005-05-20,67,67.41
2005-05-27,79,67.13
2005-06-03,70,66.23
2005-06-10,59,64.98
2005-06-17,81,66.00
2005-06-24,80,63.32
2005-07-01,71,62.73
2005-07-08,55,63.84
2005-07-15,74,64.26
2005-07-22,76,65.61
2005-07-29,90,65.80
2005-08-05,78,67.69
