Date,KLAC,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,57.50
2004-02-13,0,54.34
2004-02-20,0,55.19
2004-02-27,0,52.71
2004-03-05,0,53.25
2004-03-12,0,53.09
2004-03-19,0,49.65
2004-03-26,0,51.10
2004-04-02,0,53.67
2004-04-09,0,
2004-04-16,0,48.94
2004-04-23,0,46.59
2004-04-30,54,41.70
2004-05-07,58,43.02
2004-05-14,82,43.71
2004-05-21,53,44.63
2004-05-28,50,48.18
2004-06-04,50,46.31
2004-06-11,49,
2004-06-18,61,44.84
2004-06-25,0,47.97
2004-07-02,0,46.30
2004-07-09,0,46.04
2004-07-16,0,39.36
2004-07-23,0,38.76
2004-07-30,0,41.23
2004-08-06,0,38.38
2004-08-13,0,35.78
2004-08-20,0,37.50
2004-08-27,0,38.20
2004-09-03,0,36.77
2004-09-10,0,39.82
2004-09-17,0,39.89
2004-09-24,0,40.08
2004-10-01,0,43.37
2004-10-08,0,41.20
2004-10-15,0,40.23
2004-10-22,0,43.51
2004-10-29,0,45.53
2004-11-05,0,45.49
2004-11-12,0,44.42
2004-11-19,0,45.88
2004-11-26,0,45.60
2004-12-03,0,48.94
2004-12-10,38,46.17
2004-12-17,36,46.13
2004-12-24,36,
2004-12-31,36,46.58
2005-01-07,36,42.97
2005-01-14,36,44.91
2005-01-21,31,44.41
2005-01-28,31,45.87
2005-02-04,31,48.75
2005-02-11,64,49.91
2005-02-18,42,48.67
2005-02-25,42,50.81
2005-03-04,0,47.90
2005-03-11,0,46.75
2005-03-18,0,45.08
2005-03-25,0,
2005-04-01,0,45.25
2005-04-08,0,44.93
2005-04-15,0,40.36
2005-04-22,0,41.03
2005-04-29,0,38.95
2005-05-06,0,39.39
2005-05-13,0,41.49
2005-05-20,0,43.64
2005-05-27,0,45.57
2005-06-03,0,45.43
2005-06-10,0,45.43
2005-06-17,0,46.53
2005-06-24,0,45.14
2005-07-01,0,43.60
2005-07-08,0,46.30
2005-07-15,0,48.47
2005-07-22,0,50.25
2005-07-29,0,51.70
2005-08-05,0,50.36
2005-08-12,0,48.30
2005-08-19,0,49.31
2005-08-26,0,48.90
2005-09-02,0,49.17
2005-09-09,0,50.68
2005-09-16,0,50.32
2005-09-23,0,47.36
2005-09-30,0,48.76
2005-10-07,0,47.34
2005-10-14,0,47.92
2005-10-21,35,47.98
2005-10-28,37,45.52
2005-11-04,39,49.99
2005-11-11,41,50.00
2005-11-18,43,51.56
2005-11-25,0,52.40
2005-12-02,0,54.09
2005-12-09,0,52.26
2005-12-16,0,50.67
2005-12-23,0,50.54
2005-12-30,0,49.33
2006-01-06,0,52.00
2006-01-13,0,52.02
2006-01-20,0,51.62
2006-01-27,25,54.18
2006-02-03,26,51.85
2006-02-10,23,52.96
2006-02-17,23,52.53
2006-02-24,22,51.80
2006-03-03,0,52.71
2006-03-10,0,49.78
2006-03-17,0,49.10
2006-03-24,0,49.46
2006-03-31,0,48.36
2006-04-07,21,47.61
2006-04-14,26,
2006-04-21,31,48.91
2006-04-28,24,48.16
2006-05-05,41,50.39
2006-05-12,28,46.62
2006-05-19,29,45.24
2006-05-26,35,40.62
2006-06-02,32,41.99
2006-06-09,23,40.55
2006-06-16,23,41.66
2006-06-23,24,40.29
2006-06-30,25,41.57
2006-07-07,27,40.24
2006-07-14,28,40.38
2006-07-21,32,39.05
2006-07-28,23,42.36
2006-08-04,24,42.02
2006-08-11,27,40.62
2006-08-18,28,45.31
2006-08-25,28,42.80
2006-09-01,19,43.31
2006-09-08,18,44.22
2006-09-15,18,45.44
2006-09-22,19,43.65
2006-09-29,21,44.47
2006-10-06,29,46.49
2006-10-13,38,48.81
2006-10-20,25,46.09
2006-10-27,23,48.19
2006-11-03,43,47.67
2006-11-10,33,48.55
2006-11-17,34,51.69
2006-11-24,22,51.72
2006-12-01,49,50.65
2006-12-08,44,51.06
2006-12-15,30,50.36
2006-12-22,23,49.26
2006-12-29,35,49.75
2007-01-05,32,50.15
2007-01-12,43,52.17
2007-01-19,22,48.01
2007-01-26,32,48.92
2007-02-02,23,50.00
2007-02-09,34,49.66
2007-02-16,31,50.90
2007-02-23,37,54.16
2007-03-02,43,49.91
2007-03-09,39,52.85
2007-03-16,29,52.03
2007-03-23,39,54.34
2007-03-30,34,53.32
2007-04-06,25,
2007-04-13,31,54.72
2007-04-20,30,54.21
2007-04-27,43,55.14
2007-05-04,36,56.87
2007-05-11,34,55.49
2007-05-18,34,53.65
2007-05-25,24,53.67
2007-06-01,93,55.37
2007-06-08,48,54.06
2007-06-15,42,56.12
2007-06-22,47,56.24
2007-06-29,59,54.95
2007-07-06,29,56.42
2007-07-13,43,56.15
2007-07-20,54,61.91
2007-07-27,45,57.48
2007-08-03,40,55.10
2007-08-10,38,60.20
2007-08-17,35,59.49
2007-08-24,38,59.00
2007-08-31,34,57.47
2007-09-07,36,56.85
2007-09-14,40,56.18
2007-09-21,39,57.16
2007-09-28,44,55.78
2007-10-05,65,55.72
2007-10-12,55,53.02
2007-10-19,67,53.12
2007-10-26,49,52.08
2007-11-02,52,50.91
2007-11-09,43,49.92
2007-11-16,47,48.49
2007-11-23,37,48.06
2007-11-30,52,48.08
2007-12-07,45,50.37
2007-12-14,53,47.90
2007-12-21,45,49.63
2007-12-28,41,48.73
2008-01-04,50,43.52
2008-01-11,72,41.81
2008-01-18,70,43.73
2008-01-25,65,42.17
2008-02-01,63,44.12
2008-02-08,86,41.94
2008-02-15,61,40.89
2008-02-22,51,42.54
2008-02-29,73,42.01
2008-03-07,59,41.78
2008-03-14,62,36.18
2008-03-21,64,
2008-03-28,70,36.91
2008-04-04,51,40.17
2008-04-11,45,41.51
2008-04-18,49,42.83
2008-04-25,53,45.46
2008-05-02,63,45.30
2008-05-09,71,43.90
2008-05-16,74,45.91
2008-05-23,69,43.90
2008-05-30,68,46.12
2008-06-06,62,42.83
2008-06-13,81,41.88
2008-06-20,69,40.07
2008-06-27,54,39.71
2008-07-04,38,
2008-07-11,55,37.79
2008-07-18,41,39.95
2008-07-25,40,37.24
2008-08-01,48,36.10
2008-08-08,41,38.45
2008-08-15,36,39.81
2008-08-22,40,39.69
2008-08-29,35,37.06
2008-09-05,41,33.78
2008-09-12,52,32.93
2008-09-19,45,34.33
2008-09-26,48,33.15
2008-10-03,66,29.49
2008-10-10,53,23.69
2008-10-17,46,21.45
2008-10-24,44,18.71
2008-10-31,54,23.25
2008-11-07,42,20.33
2008-11-14,52,18.16
2008-11-21,53,16.57
2008-11-28,33,18.81
2008-12-05,45,19.22
2008-12-12,52,21.20
2008-12-19,39,21.49
2008-12-26,31,20.41
2009-01-02,27,22.48
2009-01-09,42,22.05
2009-01-16,48,21.33
2009-01-23,100,19.28
2009-01-30,49,20.04
2009-02-06,60,20.51
2009-02-13,35,19.70
2009-02-20,36,17.35
2009-02-27,35,17.25
2009-03-06,30,15.63
2009-03-13,28,18.52
2009-03-20,36,19.51
2009-03-27,36,21.48
2009-04-03,37,23.10
2009-04-10,36,
2009-04-17,30,24.86
2009-04-24,33,25.83
2009-05-01,37,27.30
2009-05-08,63,26.18
2009-05-15,42,25.24
2009-05-22,48,25.52
2009-05-29,49,27.00
2009-06-05,57,26.49
2009-06-12,68,25.88
2009-06-19,59,25.32
2009-06-26,25,24.82
2009-07-03,42,
2009-07-10,41,26.06
2009-07-17,49,29.67
2009-07-24,36,31.55
2009-07-31,47,31.88
2009-08-07,28,31.21
2009-08-14,36,30.65
2009-08-21,32,31.40
2009-08-28,36,31.85
2009-09-04,29,31.65
2009-09-11,33,34.25
2009-09-18,42,35.54
2009-09-25,34,34.96
2009-10-02,36,33.43
2009-10-09,30,36.92
2009-10-16,40,35.58
2009-10-23,30,35.07
2009-10-30,29,32.51
2009-11-06,27,32.86
2009-11-13,32,33.21
2009-11-20,25,31.89
2009-11-27,18,31.92
2009-12-04,33,35.69
2009-12-11,24,35.75
2009-12-18,25,36.19
2009-12-25,14,
2010-01-01,25,
2010-01-08,22,37.12
2010-01-15,32,33.34
2010-01-22,26,30.86
2010-01-29,24,28.20
2010-02-05,31,28.79
2010-02-12,21,29.67
2010-02-19,24,30.58
2010-02-26,23,29.13
2010-03-05,25,30.29
2010-03-12,26,29.45
2010-03-19,25,28.79
2010-03-26,24,30.41
2010-04-02,27,
2010-04-09,23,31.52
2010-04-16,27,33.38
2010-04-23,34,34.48
2010-04-30,30,34.06
2010-05-07,26,31.14
2010-05-14,27,30.98
2010-05-21,31,30.23
2010-05-28,23,30.77
2010-06-04,32,29.92
2010-06-11,33,29.16
2010-06-18,37,30.80
2010-06-25,28,29.88
2010-07-02,22,27.21
2010-07-09,28,29.80
2010-07-16,28,29.23
2010-07-23,23,31.19
2010-07-30,30,31.67
2010-08-06,27,32.30
2010-08-13,21,29.10
2010-08-20,23,29.72
2010-08-27,25,29.13
2010-09-03,25,30.35
2010-09-10,20,28.43
2010-09-17,29,31.05
2010-09-24,26,33.45
2010-10-01,34,35.01
2010-10-08,30,34.45
2010-10-15,26,35.67
2010-10-22,24,35.99
2010-10-29,28,35.72
2010-11-05,24,37.57
2010-11-12,24,36.68
2010-11-19,22,36.74
2010-11-26,24,37.19
2010-12-03,26,40.16
2010-12-10,20,39.48
2010-12-17,23,39.83
2010-12-24,17,
2010-12-31,22,38.64
2011-01-07,22,37.69
2011-01-14,27,42.11
2011-01-21,22,41.83
2011-01-28,28,43.69
2011-02-04,20,45.63
2011-02-11,28,46.93
2011-02-18,25,49.89
2011-02-25,24,48.96
2011-03-04,22,51.21
2011-03-11,22,46.13
2011-03-18,21,44.78
2011-03-25,16,46.86
2011-04-01,19,46.80
2011-04-08,21,43.70
2011-04-15,17,42.80
2011-04-22,24,
2011-04-29,22,43.90
2011-05-06,19,44.96
2011-05-13,21,44.43
2011-05-20,20,41.20
2011-05-27,19,41.62
2011-06-03,22,40.72
2011-06-10,19,39.95
2011-06-17,23,38.10
2011-06-24,22,39.03
2011-07-01,20,41.45
2011-07-08,20,42.25
2011-07-15,19,40.95
2011-07-22,19,44.11
2011-07-29,25,39.82
2011-08-05,19,36.20
2011-08-12,21,35.93
2011-08-19,26,33.67
2011-08-26,22,35.47
2011-09-02,14,34.82
2011-09-09,19,35.46
2011-09-16,21,39.35
2011-09-23,27,37.73
2011-09-30,26,38.28
2011-10-07,29,41.54
2011-10-14,21,43.85
2011-10-21,19,43.30
2011-10-28,22,47.35
2011-11-04,20,47.48
2011-11-11,28,48.45
2011-11-18,23,44.39
2011-11-25,18,42.08
2011-12-02,22,46.95
2011-12-09,22,49.00
2011-12-16,25,46.04
2011-12-23,19,48.51
2011-12-30,13,48.25
2012-01-06,22,47.73
2012-01-13,20,47.90
2012-01-20,21,51.50
2012-01-27,21,52.33
2012-02-03,26,51.98
2012-02-10,20,49.41
2012-02-17,24,50.17
2012-02-24,16,47.75
2012-03-02,18,47.75
2012-03-09,17,49.46
2012-03-16,23,51.99
2012-03-23,22,52.88
2012-03-30,19,54.42
2012-04-06,19,
2012-04-13,18,52.72
2012-04-20,20,52.63
2012-04-27,18,52.29
2012-05-04,20,49.86
2012-05-11,15,50.03
2012-05-18,13,45.56
2012-05-25,14,46.15
2012-06-01,15,44.56
2012-06-08,13,47.33
2012-06-15,16,48.31
2012-06-22,18,48.49
2012-06-29,12,49.25
2012-07-06,14,46.06
2012-07-13,12,45.71
2012-07-20,10,49.22
2012-07-27,15,50.91
2012-08-03,16,52.10
2012-08-10,18,53.12
2012-08-17,16,53.34
2012-08-24,16,53.36
2012-08-31,21,51.31
2012-09-07,17,51.85
2012-09-14,17,52.48
2012-09-21,19,47.66
2012-09-28,18,47.71
2012-10-05,18,47.12
2012-10-12,16,45.15
2012-10-19,11,45.58
2012-10-26,18,46.63
2012-11-02,19,47.90
2012-11-09,17,46.24
2012-11-16,19,44.33
2012-11-23,12,45.17
2012-11-30,14,45.47
2012-12-07,14,47.19
2012-12-14,12,47.18
2012-12-21,12,48.37
2012-12-28,10,47.02
2013-01-04,11,48.98
2013-01-11,11,49.19
2013-01-18,14,51.84
2013-01-25,15,56.34
2013-02-01,13,55.76
2013-02-08,13,56.57
2013-02-15,12,55.76
2013-02-22,11,54.78
2013-03-01,11,54.50
2013-03-08,10,55.16
2013-03-15,16,52.65
2013-03-22,12,51.62
2013-03-29,10,
2013-04-05,15,51.73
2013-04-12,12,53.77
2013-04-19,13,53.05
2013-04-26,11,52.11
2013-05-03,10,54.30
2013-05-10,10,54.47
2013-05-17,7,55.87
2013-05-24,10,54.67
2013-05-31,11,56.29
2013-06-07,8,56.77
2013-06-14,12,55.71
2013-06-21,12,54.77
2013-06-28,11,55.73
2013-07-05,12,56.47
2013-07-12,15,60.39
2013-07-19,12,60.63
2013-07-26,16,58.78
2013-08-02,12,59.50
2013-08-09,12,57.71
2013-08-16,15,56.54
2013-08-23,15,56.67
2013-08-30,12,55.15
2013-09-06,11,58.76
2013-09-13,16,60.28
2013-09-20,14,61.25
2013-09-27,11,60.91
2013-10-04,21,60.80
2013-10-11,24,61.68
2013-10-18,30,64.46
2013-10-25,12,63.88
2013-11-01,10,64.89
2013-11-08,9,64.80
2013-11-15,13,63.53
2013-11-22,10,63.49
2013-11-29,8,63.87
2013-12-06,10,62.65
2013-12-13,7,61.18
2013-12-20,8,63.12
2013-12-27,6,64.06
2014-01-03,10,63.47
2014-01-10,10,63.62
2014-01-17,11,62.74
2014-01-24,10,62.07
2014-01-31,8,61.47
2014-02-07,9,62.24
2014-02-14,8,65.28
2014-02-21,10,64.97
2014-02-28,12,65.15
2014-03-07,9,66.85
2014-03-14,9,66.88
2014-03-21,9,70.02
2014-03-28,10,68.75
2014-04-04,14,69.40
2014-04-11,13,65.50
2014-04-18,10,
2014-04-25,11,62.91
2014-05-02,12,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
