Date,DHR,Price
2004-01-09,74,
2004-01-16,51,
2004-01-23,55,
2004-01-30,69,
2004-02-06,50,94.64
2004-02-13,68,92.44
2004-02-20,64,92.55
2004-02-27,58,89.63
2004-03-05,55,92.14
2004-03-12,44,90.85
2004-03-19,44,91.55
2004-03-26,32,90.17
2004-04-02,32,94.48
2004-04-09,75,
2004-04-16,61,96.05
2004-04-23,59,93.99
2004-04-30,45,92.52
2004-05-07,68,91.00
2004-05-14,99,89.98
2004-05-21,44,45.02
2004-05-28,61,47.03
2004-06-04,52,47.07
2004-06-11,78,
2004-06-18,55,48.74
2004-06-25,59,50.40
2004-07-02,57,50.27
2004-07-09,64,50.00
2004-07-16,60,51.11
2004-07-23,62,50.28
2004-07-30,66,50.65
2004-08-06,52,48.67
2004-08-13,61,47.85
2004-08-20,83,49.73
2004-08-27,67,50.69
2004-09-03,58,50.93
2004-09-10,57,51.41
2004-09-17,56,52.60
2004-09-24,69,50.58
2004-10-01,65,51.61
2004-10-08,41,53.03
2004-10-15,58,52.65
2004-10-22,58,53.68
2004-10-29,70,55.13
2004-11-05,58,57.55
2004-11-12,37,57.91
2004-11-19,73,57.67
2004-11-26,54,57.90
2004-12-03,63,57.88
2004-12-10,79,57.35
2004-12-17,87,56.74
2004-12-24,66,
2004-12-31,62,57.41
2005-01-07,46,55.50
2005-01-14,78,54.95
2005-01-21,73,53.02
2005-01-28,69,54.83
2005-02-04,61,55.59
2005-02-11,63,55.51
2005-02-18,61,54.55
2005-02-25,75,54.05
2005-03-04,49,55.93
2005-03-11,56,54.50
2005-03-18,54,54.31
2005-03-25,84,
2005-04-01,59,52.60
2005-04-08,64,51.85
2005-04-15,64,48.59
2005-04-22,71,50.92
2005-04-29,91,50.63
2005-05-06,80,51.92
2005-05-13,78,52.55
2005-05-20,64,53.40
2005-05-27,81,54.60
2005-06-03,64,55.16
2005-06-10,76,54.43
2005-06-17,52,54.90
2005-06-24,69,51.81
2005-07-01,61,52.83
2005-07-08,67,52.89
2005-07-15,71,52.28
2005-07-22,71,54.77
2005-07-29,69,55.45
2005-08-05,88,56.02
2005-08-12,95,55.92
2005-08-19,68,54.41
2005-08-26,77,52.97
2005-09-02,63,53.81
2005-09-09,73,54.99
2005-09-16,76,52.20
2005-09-23,74,52.99
2005-09-30,72,53.83
2005-10-07,64,53.19
2005-10-14,79,51.94
2005-10-21,64,49.85
2005-10-28,69,51.10
2005-11-04,84,53.21
2005-11-11,70,54.45
2005-11-18,50,55.19
2005-11-25,59,55.69
2005-12-02,66,56.79
2005-12-09,57,57.93
2005-12-16,64,55.79
2005-12-23,72,55.71
2005-12-30,76,55.78
2006-01-06,71,56.90
2006-01-13,77,55.29
2006-01-20,83,54.35
2006-01-27,60,55.55
2006-02-03,66,55.49
2006-02-10,83,56.51
2006-02-17,76,59.98
2006-02-24,79,61.23
2006-03-03,94,60.97
2006-03-10,68,61.30
2006-03-17,91,64.51
2006-03-24,67,64.53
2006-03-31,64,63.55
2006-04-07,75,65.43
2006-04-14,67,
2006-04-21,65,65.25
2006-04-28,80,64.11
2006-05-05,65,66.86
2006-05-12,75,66.59
2006-05-19,82,62.73
2006-05-26,65,64.15
2006-06-02,69,64.32
2006-06-09,86,63.19
2006-06-16,67,63.90
2006-06-23,69,63.66
2006-06-30,77,64.32
2006-07-07,58,62.64
2006-07-14,84,61.33
2006-07-21,83,62.67
2006-07-28,73,65.59
2006-08-04,90,65.62
2006-08-11,77,63.38
2006-08-18,84,65.42
2006-08-25,70,65.41
2006-09-01,79,66.60
2006-09-08,71,65.04
2006-09-15,73,66.70
2006-09-22,77,66.91
2006-09-29,82,68.67
2006-10-06,58,68.53
2006-10-13,71,70.00
2006-10-20,72,70.27
2006-10-27,67,70.28
2006-11-03,78,70.32
2006-11-10,73,71.84
2006-11-17,54,73.33
2006-11-24,51,74.50
2006-12-01,83,72.19
2006-12-08,67,72.13
2006-12-15,73,73.49
2006-12-22,79,72.40
2006-12-29,57,72.44
2007-01-05,78,71.05
2007-01-12,76,73.51
2007-01-19,73,75.78
2007-01-26,74,72.54
2007-02-02,70,74.10
2007-02-09,79,72.77
2007-02-16,77,73.55
2007-02-23,73,74.07
2007-03-02,74,69.88
2007-03-09,80,70.80
2007-03-16,76,70.99
2007-03-23,64,72.27
2007-03-30,79,71.45
2007-04-06,82,
2007-04-13,74,71.01
2007-04-20,84,71.28
2007-04-27,77,71.04
2007-05-04,73,74.11
2007-05-11,84,71.11
2007-05-18,84,71.17
2007-05-25,71,72.42
2007-06-01,67,73.46
2007-06-08,78,71.95
2007-06-15,85,74.21
2007-06-22,74,74.11
2007-06-29,90,75.50
2007-07-06,80,77.40
2007-07-13,83,78.15
2007-07-20,70,77.98
2007-07-27,74,73.66
2007-08-03,69,75.81
2007-08-10,77,79.70
2007-08-17,77,76.54
2007-08-24,75,76.57
2007-08-31,64,77.66
2007-09-07,66,76.46
2007-09-14,89,79.13
2007-09-21,87,82.75
2007-09-28,79,82.71
2007-10-05,86,82.78
2007-10-12,75,82.47
2007-10-19,75,81.24
2007-10-26,77,82.49
2007-11-02,83,81.65
2007-11-09,67,80.47
2007-11-16,79,82.50
2007-11-23,77,81.15
2007-11-30,97,86.82
2007-12-07,94,87.08
2007-12-14,78,86.03
2007-12-21,77,87.77
2007-12-28,61,88.25
2008-01-04,78,84.74
2008-01-11,91,79.71
2008-01-18,96,76.97
2008-01-25,84,74.97
2008-02-01,79,75.92
2008-02-08,80,73.27
2008-02-15,99,75.10
2008-02-22,74,74.64
2008-02-29,76,74.15
2008-03-07,89,72.07
2008-03-14,77,72.44
2008-03-21,87,
2008-03-28,75,75.12
2008-04-04,89,78.84
2008-04-11,79,75.36
2008-04-18,86,75.17
2008-04-25,80,77.56
2008-05-02,80,78.00
2008-05-09,83,77.07
2008-05-16,88,80.07
2008-05-23,88,75.84
2008-05-30,85,78.18
2008-06-06,95,79.19
2008-06-13,86,81.79
2008-06-20,90,80.08
2008-06-27,74,76.87
2008-07-04,80,
2008-07-11,92,75.07
2008-07-18,83,82.37
2008-07-25,85,81.14
2008-08-01,97,80.63
2008-08-08,90,83.46
2008-08-15,94,83.91
2008-08-22,89,82.35
2008-08-29,80,81.57
2008-09-05,89,77.75
2008-09-12,97,76.91
2008-09-19,84,77.86
2008-09-26,77,70.98
2008-10-03,100,62.63
2008-10-10,85,55.85
2008-10-17,88,56.40
2008-10-24,92,54.26
2008-10-31,79,59.24
2008-11-07,83,57.12
2008-11-14,82,53.92
2008-11-21,80,52.94
2008-11-28,59,55.64
2008-12-05,81,50.33
2008-12-12,82,50.75
2008-12-19,87,55.06
2008-12-26,48,54.75
2009-01-02,65,57.80
2009-01-09,83,54.62
2009-01-16,79,53.93
2009-01-23,85,51.35
2009-01-30,80,55.93
2009-02-06,94,58.54
2009-02-13,85,56.38
2009-02-20,73,52.44
2009-02-27,75,50.76
2009-03-06,78,49.31
2009-03-13,85,54.11
2009-03-20,81,53.60
2009-03-27,86,55.44
2009-04-03,83,53.84
2009-04-10,84,
2009-04-17,72,55.16
2009-04-24,79,60.43
2009-05-01,76,59.19
2009-05-08,88,61.38
2009-05-15,88,57.84
2009-05-22,75,59.22
2009-05-29,79,60.35
2009-06-05,83,63.66
2009-06-12,76,62.77
2009-06-19,80,61.20
2009-06-26,72,62.76
2009-07-03,61,
2009-07-10,84,58.41
2009-07-17,75,61.31
2009-07-24,65,62.59
2009-07-31,70,61.24
2009-08-07,69,61.70
2009-08-14,78,60.10
2009-08-21,71,61.90
2009-08-28,71,61.59
2009-09-04,70,65.76
2009-09-11,72,67.44
2009-09-18,74,68.15
2009-09-25,75,66.11
2009-10-02,85,64.74
2009-10-09,80,67.84
2009-10-16,79,69.25
2009-10-23,70,70.00
2009-10-30,60,68.23
2009-11-06,72,71.96
2009-11-13,62,72.59
2009-11-20,66,71.68
2009-11-27,50,71.17
2009-12-04,70,72.43
2009-12-11,71,72.08
2009-12-18,70,75.16
2009-12-25,50,
2010-01-01,56,
2010-01-08,76,76.88
2010-01-15,78,76.21
2010-01-22,69,73.45
2010-01-29,72,71.35
2010-02-05,70,71.01
2010-02-12,67,71.93
2010-02-19,76,75.95
2010-02-26,71,73.97
2010-03-05,76,76.95
2010-03-12,71,78.12
2010-03-19,71,76.98
2010-03-26,65,76.62
2010-04-02,72,
2010-04-09,84,80.32
2010-04-16,73,79.83
2010-04-23,68,85.41
2010-04-30,72,84.28
2010-05-07,75,79.81
2010-05-14,67,85.03
2010-05-21,74,79.90
2010-05-28,68,79.38
2010-06-04,70,77.78
2010-06-11,82,78.67
2010-06-18,64,40.71
2010-06-25,67,39.10
2010-07-02,68,36.25
2010-07-09,71,37.73
2010-07-16,76,37.41
2010-07-23,69,38.06
2010-07-30,70,38.41
2010-08-06,81,39.02
2010-08-13,74,37.02
2010-08-20,76,36.33
2010-08-27,75,36.74
2010-09-03,70,39.23
2010-09-10,76,39.59
2010-09-17,77,40.78
2010-09-24,80,41.23
2010-10-01,74,40.40
2010-10-08,81,41.39
2010-10-15,74,41.92
2010-10-22,74,43.18
2010-10-29,69,43.36
2010-11-05,68,45.00
2010-11-12,69,43.55
2010-11-19,68,43.69
2010-11-26,56,43.97
2010-12-03,70,44.58
2010-12-10,61,45.87
2010-12-17,63,46.80
2010-12-24,49,
2010-12-31,58,47.17
2011-01-07,78,46.87
2011-01-14,75,47.15
2011-01-21,74,46.30
2011-01-28,72,46.05
2011-02-04,80,47.98
2011-02-11,84,51.61
2011-02-18,76,51.79
2011-02-25,73,50.51
2011-03-04,83,50.76
2011-03-11,82,51.40
2011-03-18,69,50.41
2011-03-25,84,51.91
2011-04-01,76,52.57
2011-04-08,84,51.55
2011-04-15,72,52.71
2011-04-22,76,
2011-04-29,76,55.24
2011-05-06,81,54.22
2011-05-13,91,53.86
2011-05-20,99,54.66
2011-05-27,85,54.44
2011-06-03,79,51.89
2011-06-10,88,51.47
2011-06-17,83,51.84
2011-06-24,81,51.31
2011-07-01,79,54.52
2011-07-08,77,54.54
2011-07-15,84,52.62
2011-07-22,81,51.69
2011-07-29,74,49.11
2011-08-05,80,44.50
2011-08-12,84,44.16
2011-08-19,77,40.72
2011-08-26,77,42.89
2011-09-02,77,43.05
2011-09-09,79,42.59
2011-09-16,75,45.94
2011-09-23,82,42.71
2011-09-30,74,41.94
2011-10-07,89,42.28
2011-10-14,71,45.38
2011-10-21,78,46.91
2011-10-28,78,50.86
2011-11-04,77,48.75
2011-11-11,77,49.71
2011-11-18,79,47.32
2011-11-25,64,44.56
2011-12-02,82,47.50
2011-12-09,87,46.92
2011-12-16,79,46.37
2011-12-23,70,47.78
2011-12-30,57,47.04
2012-01-06,82,48.33
2012-01-13,85,50.49
2012-01-20,74,51.34
2012-01-27,77,52.26
2012-02-03,75,52.87
2012-02-10,79,51.53
2012-02-17,75,52.43
2012-02-24,72,53.32
2012-03-02,71,53.35
2012-03-09,84,53.35
2012-03-16,77,55.00
2012-03-23,71,54.37
2012-03-30,73,56.00
2012-04-06,79,
2012-04-13,81,53.88
2012-04-20,82,53.14
2012-04-27,81,54.69
2012-05-04,80,53.60
2012-05-11,72,53.66
2012-05-18,76,51.57
2012-05-25,80,52.76
2012-06-01,75,49.82
2012-06-08,80,51.51
2012-06-15,80,51.69
2012-06-22,73,51.52
2012-06-29,71,52.08
2012-07-06,74,51.37
2012-07-13,75,50.69
2012-07-20,75,51.14
2012-07-27,73,52.84
2012-08-03,81,53.36
2012-08-10,74,53.48
2012-08-17,75,53.79
2012-08-24,76,53.30
2012-08-31,73,53.57
2012-09-07,80,55.06
2012-09-14,80,54.76
2012-09-21,72,54.90
2012-09-28,72,55.15
2012-10-05,80,56.46
2012-10-12,75,55.93
2012-10-19,78,53.34
2012-10-26,73,51.77
2012-11-02,68,51.95
2012-11-09,77,52.02
2012-11-16,71,51.99
2012-11-23,67,53.49
2012-11-30,69,53.97
2012-12-07,73,53.50
2012-12-14,64,54.52
2012-12-21,67,56.06
2012-12-28,59,55.02
2013-01-04,65,58.09
2013-01-11,75,59.78
2013-01-18,70,60.51
2013-01-25,68,60.54
2013-02-01,74,60.47
2013-02-08,71,60.81
2013-02-15,63,61.68
2013-02-22,63,61.46
2013-03-01,61,61.57
2013-03-08,66,61.94
2013-03-15,66,62.65
2013-03-22,60,61.67
2013-03-29,59,
2013-04-05,61,60.55
2013-04-12,61,61.56
2013-04-19,63,59.10
2013-04-26,62,59.94
2013-05-03,68,60.80
2013-05-10,63,61.90
2013-05-17,66,63.25
2013-05-24,61,62.10
2013-05-31,63,61.82
2013-06-07,67,62.10
2013-06-14,68,62.52
2013-06-21,58,62.11
2013-06-28,65,63.30
2013-07-05,60,64.60
2013-07-12,63,68.19
2013-07-19,59,68.69
2013-07-26,60,66.72
2013-08-02,62,67.23
2013-08-09,61,66.99
2013-08-16,59,66.73
2013-08-23,69,67.34
2013-08-30,65,65.52
2013-09-06,64,66.83
2013-09-13,70,69.76
2013-09-20,65,69.57
2013-09-27,68,69.87
2013-10-04,67,68.52
2013-10-11,64,69.44
2013-10-18,65,72.00
2013-10-25,60,72.11
2013-11-01,60,72.63
2013-11-08,65,74.60
2013-11-15,65,74.49
2013-11-22,62,74.65
2013-11-29,49,74.80
2013-12-06,63,75.12
2013-12-13,58,74.01
2013-12-20,59,76.54
2013-12-27,41,77.05
2014-01-03,48,76.56
2014-01-10,65,77.68
2014-01-17,68,77.87
2014-01-24,67,74.13
2014-01-31,70,74.39
2014-02-07,57,75.12
2014-02-14,64,76.43
2014-02-21,61,76.15
2014-02-28,60,76.49
2014-03-07,65,77.43
2014-03-14,63,73.79
2014-03-21,66,75.30
2014-03-28,59,73.87
2014-04-04,63,75.40
2014-04-11,65,72.80
2014-04-18,62,
2014-04-25,58,73.05
2014-05-02,63,
