Date,STX,Price
2004-01-09,45,
2004-01-16,53,
2004-01-23,43,
2004-01-30,54,
2004-02-06,49,17.32
2004-02-13,63,17.55
2004-02-20,54,17.50
2004-02-27,66,17.30
2004-03-05,95,16.40
2004-03-12,58,15.80
2004-03-19,63,15.94
2004-03-26,75,16.00
2004-04-02,66,16.11
2004-04-09,69,
2004-04-16,57,14.93
2004-04-23,70,12.73
2004-04-30,74,12.51
2004-05-07,60,12.04
2004-05-14,72,12.00
2004-05-21,67,12.20
2004-05-28,71,12.30
2004-06-04,68,12.81
2004-06-11,76,
2004-06-18,75,14.02
2004-06-25,64,13.98
2004-07-02,50,14.21
2004-07-09,63,13.54
2004-07-16,54,12.70
2004-07-23,66,11.92
2004-07-30,69,11.47
2004-08-06,65,10.80
2004-08-13,65,10.28
2004-08-20,53,11.67
2004-08-27,49,11.05
2004-09-03,55,11.87
2004-09-10,58,13.28
2004-09-17,40,13.79
2004-09-24,51,13.02
2004-10-01,56,13.88
2004-10-08,49,13.95
2004-10-15,39,13.23
2004-10-22,46,12.90
2004-10-29,52,12.64
2004-11-05,46,13.30
2004-11-12,48,14.19
2004-11-19,39,13.89
2004-11-26,41,14.78
2004-12-03,54,16.55
2004-12-10,37,16.70
2004-12-17,47,16.73
2004-12-24,47,
2004-12-31,50,17.27
2005-01-07,43,16.66
2005-01-14,48,17.82
2005-01-21,55,17.35
2005-01-28,42,17.00
2005-02-04,48,17.68
2005-02-11,46,17.28
2005-02-18,57,17.55
2005-02-25,62,17.70
2005-03-04,69,18.96
2005-03-11,66,18.47
2005-03-18,62,19.73
2005-03-25,60,
2005-04-01,55,19.40
2005-04-08,72,19.15
2005-04-15,58,16.57
2005-04-22,62,18.25
2005-04-29,78,17.58
2005-05-06,66,18.06
2005-05-13,64,18.49
2005-05-20,63,20.16
2005-05-27,56,20.95
2005-06-03,64,20.62
2005-06-10,69,20.42
2005-06-17,62,19.00
2005-06-24,68,18.36
2005-07-01,58,17.35
