Date,TJX,Price
2004-01-09,0,
2004-01-16,21,
2004-01-23,21,
2004-01-30,26,
2004-02-06,27,23.32
2004-02-13,22,23.08
2004-02-20,22,23.65
2004-02-27,30,23.55
2004-03-05,31,24.55
2004-03-12,32,23.76
2004-03-19,33,23.96
2004-03-26,24,24.37
2004-04-02,24,24.91
2004-04-09,20,
2004-04-16,20,25.31
2004-04-23,20,25.70
2004-04-30,25,24.57
2004-05-07,18,23.53
2004-05-14,18,23.83
2004-05-21,18,24.41
2004-05-28,18,24.91
2004-06-04,17,25.48
2004-06-11,20,
2004-06-18,20,25.26
2004-06-25,21,25.93
2004-07-02,21,24.02
2004-07-09,21,22.57
2004-07-16,22,21.88
2004-07-23,17,22.28
2004-07-30,20,23.47
2004-08-06,17,21.24
2004-08-13,18,21.61
2004-08-20,20,21.30
2004-08-27,21,21.12
2004-09-03,23,22.03
2004-09-10,24,21.88
2004-09-17,24,22.13
2004-09-24,15,21.90
2004-10-01,17,22.43
2004-10-08,17,22.39
2004-10-15,17,22.14
2004-10-22,17,23.24
2004-10-29,18,23.98
2004-11-05,18,25.21
2004-11-12,17,24.96
2004-11-19,17,23.67
2004-11-26,17,24.60
2004-12-03,17,24.29
2004-12-10,18,25.01
2004-12-17,20,24.43
2004-12-24,17,
2004-12-31,14,25.13
2005-01-07,14,24.55
2005-01-14,22,24.97
2005-01-21,13,24.97
2005-01-28,13,24.84
2005-02-04,15,25.85
2005-02-11,12,25.35
2005-02-18,13,25.30
2005-02-25,15,24.20
2005-03-04,20,24.75
2005-03-11,17,24.82
2005-03-18,13,24.52
2005-03-25,21,
2005-04-01,18,24.22
2005-04-08,18,24.18
2005-04-15,18,23.27
2005-04-22,16,22.69
2005-04-29,15,22.65
2005-05-06,22,22.78
2005-05-13,12,22.67
2005-05-20,14,23.51
2005-05-27,13,23.33
2005-06-03,14,22.70
2005-06-10,18,23.32
2005-06-17,15,24.54
2005-06-24,17,23.82
2005-07-01,21,24.47
2005-07-08,24,23.95
2005-07-15,16,23.54
2005-07-22,22,24.20
2005-07-29,27,23.51
2005-08-05,15,22.62
2005-08-12,14,22.74
2005-08-19,15,21.51
2005-08-26,12,21.15
2005-09-02,17,20.36
2005-09-09,11,21.40
2005-09-16,24,21.10
2005-09-23,18,20.56
2005-09-30,15,20.48
2005-10-07,15,21.21
2005-10-14,32,21.00
2005-10-21,21,20.70
2005-10-28,12,20.93
2005-11-04,19,22.23
2005-11-11,14,22.20
2005-11-18,16,22.47
2005-11-25,17,22.90
2005-12-02,16,22.42
2005-12-09,16,22.91
2005-12-16,16,23.09
2005-12-23,17,22.84
2005-12-30,11,23.23
2006-01-06,13,24.52
2006-01-13,13,24.90
2006-01-20,14,24.18
2006-01-27,15,24.89
2006-02-03,13,24.73
2006-02-10,12,24.44
2006-02-17,16,24.45
2006-02-24,15,24.14
2006-03-03,14,24.21
2006-03-10,17,25.06
2006-03-17,13,25.53
2006-03-24,14,25.29
2006-03-31,16,24.82
2006-04-07,18,24.47
2006-04-14,14,
2006-04-21,9,24.51
2006-04-28,15,24.13
2006-05-05,15,24.37
2006-05-12,16,23.43
2006-05-19,9,23.92
2006-05-26,11,23.57
2006-06-02,14,23.70
2006-06-09,13,23.01
2006-06-16,10,22.79
2006-06-23,7,22.80
2006-06-30,11,22.86
2006-07-07,10,23.66
2006-07-14,16,23.39
2006-07-21,12,23.67
2006-07-28,14,24.49
2006-08-04,13,25.79
2006-08-11,16,26.72
2006-08-18,21,26.80
2006-08-25,12,26.20
2006-09-01,13,26.82
2006-09-08,13,26.94
2006-09-15,16,28.06
2006-09-22,13,27.91
2006-09-29,14,28.03
2006-10-06,14,29.07
2006-10-13,16,29.04
2006-10-20,14,29.25
2006-10-27,15,28.82
2006-11-03,12,28.48
2006-11-10,15,28.63
2006-11-17,14,29.24
2006-11-24,13,28.20
2006-12-01,14,26.94
2006-12-08,9,27.99
2006-12-15,12,29.05
2006-12-22,11,28.76
