Date,EIX,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,21.70
2004-02-13,0,21.83
2004-02-20,0,22.13
2004-02-27,76,23.09
2004-03-05,79,23.72
2004-03-12,83,23.18
2004-03-19,86,23.63
2004-03-26,89,23.66
2004-04-02,92,24.18
2004-04-09,70,
2004-04-16,70,23.37
2004-04-23,70,23.35
2004-04-30,63,23.40
2004-05-07,63,22.50
2004-05-14,63,22.45
2004-05-21,63,22.77
2004-05-28,63,24.14
2004-06-04,63,24.42
2004-06-11,63,
2004-06-18,63,24.85
2004-06-25,0,25.57
2004-07-02,0,25.77
2004-07-09,0,25.68
2004-07-16,0,26.33
2004-07-23,0,25.62
2004-07-30,0,26.80
2004-08-06,0,26.76
2004-08-13,0,26.74
2004-08-20,0,27.15
2004-08-27,85,26.81
2004-09-03,66,27.08
2004-09-10,66,27.06
2004-09-17,67,26.71
2004-09-24,71,26.60
2004-10-01,60,26.75
2004-10-08,70,26.78
2004-10-15,79,28.88
2004-10-22,89,29.38
2004-10-29,99,30.50
2004-11-05,89,30.82
2004-11-12,89,32.09
2004-11-19,89,31.77
2004-11-26,53,32.27
2004-12-03,60,31.28
2004-12-10,60,30.62
2004-12-17,60,31.81
2004-12-24,60,
2004-12-31,60,32.03
2005-01-07,60,30.95
2005-01-14,63,31.20
2005-01-21,65,31.60
2005-01-28,63,31.99
2005-02-04,64,32.90
2005-02-11,65,32.68
2005-02-18,49,32.50
2005-02-25,52,32.69
2005-03-04,58,32.99
2005-03-11,64,33.57
2005-03-18,51,34.23
2005-03-25,61,
2005-04-01,53,35.05
2005-04-08,64,35.65
2005-04-15,88,35.35
2005-04-22,51,36.13
2005-04-29,41,36.30
2005-05-06,59,36.49
2005-05-13,77,36.03
2005-05-20,87,37.25
2005-05-27,97,37.34
2005-06-03,58,37.54
2005-06-10,49,37.89
2005-06-17,61,38.46
2005-06-24,59,39.88
2005-07-01,76,40.86
2005-07-08,68,40.53
2005-07-15,55,40.20
2005-07-22,58,39.81
2005-07-29,83,40.88
2005-08-05,42,40.75
2005-08-12,61,41.38
2005-08-19,82,41.97
2005-08-26,55,43.45
2005-09-02,81,45.19
2005-09-09,57,47.15
2005-09-16,57,46.75
2005-09-23,92,45.36
2005-09-30,52,47.28
2005-10-07,49,45.67
2005-10-14,60,43.50
2005-10-21,61,41.14
2005-10-28,48,43.09
2005-11-04,65,43.08
2005-11-11,94,41.90
2005-11-18,69,43.87
2005-11-25,44,44.95
2005-12-02,63,45.63
2005-12-09,48,46.25
2005-12-16,45,47.08
2005-12-23,57,43.72
2005-12-30,60,43.61
2006-01-06,55,45.01
2006-01-13,55,45.77
2006-01-20,85,45.95
2006-01-27,76,44.66
2006-02-03,70,43.03
2006-02-10,43,43.22
2006-02-17,84,44.10
2006-02-24,37,45.01
2006-03-03,64,44.23
2006-03-10,60,42.55
2006-03-17,57,43.35
2006-03-24,51,43.26
2006-03-31,59,41.18
2006-04-07,71,40.30
2006-04-14,64,
2006-04-21,62,40.64
2006-04-28,62,40.41
2006-05-05,64,41.09
2006-05-12,62,40.46
2006-05-19,63,39.28
2006-05-26,93,38.70
2006-06-02,65,40.31
2006-06-09,70,39.79
2006-06-16,57,40.56
2006-06-23,32,39.17
2006-06-30,38,39.00
2006-07-07,73,39.41
2006-07-14,49,38.88
2006-07-21,71,40.52
2006-07-28,84,41.61
2006-08-04,69,42.59
2006-08-11,52,42.18
2006-08-18,69,42.07
2006-08-25,68,42.88
2006-09-01,66,43.64
2006-09-08,54,42.15
2006-09-15,69,41.04
2006-09-22,56,41.20
2006-09-29,60,41.64
2006-10-06,55,42.14
2006-10-13,73,42.22
2006-10-20,38,43.90
2006-10-27,69,44.12
2006-11-03,71,44.32
2006-11-10,66,45.34
2006-11-17,58,46.70
2006-11-24,71,46.05
2006-12-01,66,46.20
2006-12-08,62,46.87
2006-12-15,56,44.98
2006-12-22,43,45.54
2006-12-29,98,45.48
2007-01-05,57,43.98
2007-01-12,56,42.95
2007-01-19,49,43.55
2007-01-26,44,44.56
2007-02-02,57,45.43
2007-02-09,57,46.16
2007-02-16,49,46.48
2007-02-23,48,46.97
2007-03-02,68,47.31
2007-03-09,42,48.94
2007-03-16,73,48.38
2007-03-23,70,50.24
2007-03-30,59,49.13
2007-04-06,81,
2007-04-13,69,51.03
2007-04-20,76,52.15
2007-04-27,46,52.84
2007-05-04,83,53.94
2007-05-11,49,56.70
2007-05-18,72,58.86
2007-05-25,60,56.76
2007-06-01,64,58.24
2007-06-08,56,54.76
2007-06-15,53,56.23
2007-06-22,48,53.62
2007-06-29,84,56.12
2007-07-06,67,56.50
2007-07-13,100,58.21
2007-07-20,57,57.87
2007-07-27,75,52.70
2007-08-03,66,53.45
2007-08-10,69,53.14
2007-08-17,44,53.33
2007-08-24,40,54.80
2007-08-31,65,52.71
2007-09-07,52,52.91
2007-09-14,33,55.33
2007-09-21,55,57.24
2007-09-28,56,55.45
2007-10-05,53,56.63
2007-10-12,43,56.52
2007-10-19,53,54.16
2007-10-26,58,56.64
2007-11-02,80,57.42
2007-11-09,57,56.65
2007-11-16,34,54.60
2007-11-23,61,54.53
2007-11-30,54,55.98
2007-12-07,71,57.40
2007-12-14,35,55.14
2007-12-21,57,55.62
2007-12-28,74,54.07
2008-01-04,38,53.38
2008-01-11,57,54.61
2008-01-18,51,50.67
2008-01-25,53,49.99
2008-02-01,48,53.47
2008-02-08,54,51.14
2008-02-15,68,51.84
2008-02-22,53,51.37
2008-02-29,58,49.40
2008-03-07,53,49.65
2008-03-14,66,48.91
2008-03-21,60,
2008-03-28,52,48.99
2008-04-04,43,51.18
2008-04-11,57,50.93
2008-04-18,63,53.31
2008-04-25,49,52.90
2008-05-02,74,53.00
2008-05-09,60,51.70
2008-05-16,58,52.98
2008-05-23,54,52.03
2008-05-30,44,53.23
2008-06-06,59,51.27
2008-06-13,59,52.84
2008-06-20,50,51.40
2008-06-27,48,49.92
2008-07-04,56,
2008-07-11,45,51.74
2008-07-18,77,49.80
2008-07-25,53,47.67
2008-08-01,51,46.80
2008-08-08,40,46.68
2008-08-15,45,44.73
2008-08-22,55,46.32
2008-08-29,52,45.92
2008-09-05,59,42.76
2008-09-12,50,42.51
2008-09-19,64,40.04
2008-09-26,54,40.09
2008-10-03,50,39.49
2008-10-10,71,30.24
2008-10-17,57,32.76
2008-10-24,52,32.39
2008-10-31,44,35.59
2008-11-07,39,35.23
2008-11-14,46,33.47
2008-11-21,46,31.57
2008-11-28,59,33.40
2008-12-05,53,31.41
2008-12-12,43,32.43
2008-12-19,31,31.19
2008-12-26,55,31.10
2009-01-02,53,33.03
2009-01-09,41,31.81
2009-01-16,54,33.23
2009-01-23,42,32.21
2009-01-30,49,32.57
2009-02-06,49,33.28
2009-02-13,46,31.20
2009-02-20,41,27.77
2009-02-27,45,27.22
2009-03-06,70,23.73
2009-03-13,55,27.59
2009-03-20,60,28.53
2009-03-27,51,28.94
2009-04-03,60,29.52
2009-04-10,78,
2009-04-17,56,28.07
2009-04-24,52,28.16
2009-05-01,50,29.30
2009-05-08,55,30.27
2009-05-15,55,28.36
2009-05-22,46,28.80
2009-05-29,44,29.24
2009-06-05,57,29.79
2009-06-12,54,32.49
2009-06-19,43,31.65
2009-06-26,43,31.29
2009-07-03,64,
2009-07-10,62,30.09
2009-07-17,57,31.03
2009-07-24,58,32.93
2009-07-31,37,32.32
2009-08-07,40,31.80
2009-08-14,46,32.24
2009-08-21,36,34.00
2009-08-28,45,33.70
2009-09-04,43,33.12
2009-09-11,44,33.55
2009-09-18,41,34.99
2009-09-25,41,34.14
2009-10-02,51,32.52
2009-10-09,52,33.10
2009-10-16,57,33.50
2009-10-23,40,32.64
2009-10-30,41,31.82
2009-11-06,39,33.19
2009-11-13,47,33.32
2009-11-20,63,33.04
2009-11-27,54,33.81
2009-12-04,43,34.84
2009-12-11,45,36.24
2009-12-18,41,35.36
2009-12-25,50,
2010-01-01,67,
2010-01-08,58,34.50
2010-01-15,45,35.24
2010-01-22,49,33.87
2010-01-29,49,33.32
2010-02-05,45,32.46
2010-02-12,44,32.59
2010-02-19,49,34.24
2010-02-26,54,32.63
2010-03-05,54,33.78
2010-03-12,59,33.79
2010-03-19,43,34.41
2010-03-26,44,34.02
2010-04-02,53,
2010-04-09,48,34.22
2010-04-16,49,33.93
2010-04-23,54,34.37
2010-04-30,44,34.37
2010-05-07,53,33.03
2010-05-14,48,33.66
2010-05-21,41,31.71
2010-05-28,42,32.36
2010-06-04,41,31.88
2010-06-11,50,32.77
2010-06-18,38,34.35
2010-06-25,39,32.68
2010-07-02,55,31.13
2010-07-09,51,33.06
2010-07-16,41,32.55
2010-07-23,51,32.91
2010-07-30,43,33.15
2010-08-06,48,34.00
2010-08-13,40,33.94
2010-08-20,42,33.86
2010-08-27,50,33.98
2010-09-03,51,34.88
2010-09-10,53,34.39
2010-09-17,48,33.85
2010-09-24,53,34.69
2010-10-01,45,34.63
2010-10-08,55,35.20
2010-10-15,44,35.62
2010-10-22,41,35.99
2010-10-29,43,36.90
2010-11-05,47,38.22
2010-11-12,47,37.57
2010-11-19,48,37.85
2010-11-26,44,37.06
2010-12-03,46,38.07
2010-12-10,53,38.18
2010-12-17,51,38.68
2010-12-24,39,
2010-12-31,52,38.60
2011-01-07,52,38.74
2011-01-14,46,37.78
2011-01-21,39,37.39
2011-01-28,53,36.31
2011-02-04,48,36.75
2011-02-11,51,37.02
2011-02-18,47,36.68
2011-02-25,51,36.01
2011-03-04,48,37.45
2011-03-11,49,37.76
2011-03-18,49,35.71
2011-03-25,44,36.62
2011-04-01,48,37.05
2011-04-08,43,37.27
2011-04-15,40,38.72
2011-04-22,55,
2011-04-29,56,39.27
2011-05-06,48,39.49
2011-05-13,47,39.55
2011-05-20,44,39.72
2011-05-27,49,39.32
2011-06-03,49,38.91
2011-06-10,51,39.00
2011-06-17,45,39.24
2011-06-24,46,38.70
2011-07-01,39,38.87
2011-07-08,41,39.05
2011-07-15,35,38.57
2011-07-22,51,39.23
2011-07-29,43,38.07
2011-08-05,50,35.05
2011-08-12,46,34.78
2011-08-19,36,35.86
2011-08-26,39,35.98
2011-09-02,41,36.19
2011-09-09,45,35.36
2011-09-16,38,37.76
2011-09-23,42,37.11
2011-09-30,39,38.25
2011-10-07,40,37.74
2011-10-14,35,38.25
2011-10-21,42,39.56
2011-10-28,41,40.72
2011-11-04,55,40.76
2011-11-11,41,40.77
2011-11-18,51,39.61
2011-11-25,36,37.85
2011-12-02,53,38.46
2011-12-09,58,39.05
2011-12-16,40,39.30
2011-12-23,42,41.19
2011-12-30,45,41.40
2012-01-06,44,40.39
2012-01-13,43,40.57
2012-01-20,47,40.49
2012-01-27,37,41.06
2012-02-03,42,41.08
2012-02-10,47,41.09
2012-02-17,39,41.16
2012-02-24,46,42.23
2012-03-02,39,42.81
2012-03-09,43,42.82
2012-03-16,45,42.64
2012-03-23,46,42.67
2012-03-30,40,42.51
2012-04-06,50,
2012-04-13,41,41.57
2012-04-20,40,42.89
2012-04-27,37,43.81
2012-05-04,49,43.76
2012-05-11,39,44.39
2012-05-18,43,43.82
2012-05-25,33,45.00
2012-06-01,40,44.37
2012-06-08,39,46.04
2012-06-15,35,46.14
2012-06-22,38,44.59
2012-06-29,40,46.20
2012-07-06,44,45.65
2012-07-13,35,46.41
2012-07-20,41,46.01
2012-07-27,36,46.36
2012-08-03,35,45.69
2012-08-10,36,44.98
2012-08-17,37,44.76
2012-08-24,35,43.87
2012-08-31,40,43.79
2012-09-07,34,44.31
2012-09-14,43,45.17
2012-09-21,42,45.39
2012-09-28,37,45.69
2012-10-05,41,47.25
2012-10-12,45,46.59
2012-10-19,39,47.40
2012-10-26,45,46.57
2012-11-02,44,46.69
2012-11-09,44,44.17
2012-11-16,48,44.46
2012-11-23,43,43.49
2012-11-30,40,45.48
2012-12-07,44,44.98
2012-12-14,35,44.81
2012-12-21,43,45.82
2012-12-28,38,44.77
2013-01-04,74,47.00
2013-01-11,42,45.80
2013-01-18,39,46.55
2013-01-25,38,47.03
2013-02-01,37,48.19
2013-02-08,42,47.84
2013-02-15,36,46.68
2013-02-22,36,46.86
2013-03-01,39,48.48
2013-03-08,38,50.72
2013-03-15,38,50.94
2013-03-22,40,50.41
2013-03-29,44,
2013-04-05,33,50.88
2013-04-12,37,51.95
2013-04-19,39,52.47
2013-04-26,44,53.35
2013-05-03,41,52.24
2013-05-10,38,50.01
2013-05-17,38,48.80
2013-05-24,45,47.71
2013-05-31,40,45.94
2013-06-07,43,47.61
2013-06-14,39,47.15
2013-06-21,29,46.06
2013-06-28,36,48.16
2013-07-05,35,46.06
2013-07-12,43,48.47
2013-07-19,42,49.71
2013-07-26,38,49.09
2013-08-02,33,49.37
2013-08-09,35,49.08
2013-08-16,39,46.98
2013-08-23,34,46.48
2013-08-30,33,45.89
2013-09-06,34,45.04
2013-09-13,32,44.94
2013-09-20,35,46.02
2013-09-27,41,45.81
2013-10-04,33,46.35
2013-10-11,36,47.68
2013-10-18,38,48.38
2013-10-25,50,49.41
2013-11-01,36,49.47
2013-11-08,28,49.05
2013-11-15,31,49.17
2013-11-22,37,46.00
2013-11-29,35,46.21
2013-12-06,27,45.89
2013-12-13,30,45.68
2013-12-20,33,46.58
2013-12-27,43,45.97
2014-01-03,37,45.44
2014-01-10,39,45.51
2014-01-17,37,46.90
2014-01-24,37,46.92
2014-01-31,38,48.16
2014-02-07,37,48.71
2014-02-14,38,50.54
2014-02-21,34,51.36
2014-02-28,29,52.37
2014-03-07,39,51.42
2014-03-14,40,52.06
2014-03-21,40,53.87
2014-03-28,43,55.29
2014-04-04,53,55.93
2014-04-11,43,56.32
2014-04-18,45,
2014-04-25,45,56.93
2014-05-02,38,
