Date,Juniper Networks,Price
2004-01-09,0,
2004-01-16,60,
2004-01-23,28,
2004-01-30,27,
2004-02-06,29,29.47
2004-02-13,100,26.65
2004-02-20,38,25.53
2004-02-27,41,25.87
2004-03-05,37,25.22
2004-03-12,37,25.81
2004-03-19,37,24.86
2004-03-26,39,25.37
2004-04-02,41,27.10
2004-04-09,42,
2004-04-16,44,25.17
2004-04-23,51,26.13
2004-04-30,38,21.88
2004-05-07,31,23.09
2004-05-14,26,20.92
2004-05-21,41,20.45
2004-05-28,46,20.95
2004-06-04,43,19.91
2004-06-11,44,
2004-06-18,32,20.74
2004-06-25,44,23.89
2004-07-02,31,23.70
2004-07-09,30,23.16
2004-07-16,61,24.08
2004-07-23,36,22.76
2004-07-30,36,22.96
2004-08-06,50,21.06
2004-08-13,22,20.29
2004-08-20,37,21.98
2004-08-27,59,22.96
2004-09-03,41,23.15
2004-09-10,44,24.92
2004-09-17,46,24.14
2004-09-24,39,24.65
2004-10-01,36,23.92
2004-10-08,27,24.35
2004-10-15,41,23.76
2004-10-22,40,24.01
2004-10-29,40,26.61
2004-11-05,25,27.84
2004-11-12,37,28.50
2004-11-19,53,27.93
2004-11-26,53,28.34
2004-12-03,52,28.54
2004-12-10,36,28.14
2004-12-17,35,26.56
2004-12-24,44,
2004-12-31,38,27.19
2005-01-07,38,25.46
2005-01-14,31,26.60
2005-01-21,34,25.00
2005-01-28,39,24.55
2005-02-04,53,22.97
2005-02-11,22,23.64
2005-02-18,60,21.95
2005-02-25,31,21.63
2005-03-04,37,21.26
2005-03-11,40,22.35
2005-03-18,37,21.38
2005-03-25,45,
2005-04-01,51,21.53
2005-04-08,26,21.71
2005-04-15,30,19.75
2005-04-22,38,22.62
2005-04-29,43,22.58
2005-05-06,55,22.95
2005-05-13,40,24.28
2005-05-20,35,25.73
2005-05-27,41,25.79
2005-06-03,42,25.22
2005-06-10,53,25.13
2005-06-17,37,26.27
2005-06-24,36,25.60
2005-07-01,35,24.89
2005-07-08,34,25.40
2005-07-15,48,26.08
2005-07-22,54,23.84
2005-07-29,42,23.99
2005-08-05,49,23.63
2005-08-12,42,23.58
2005-08-19,35,23.32
2005-08-26,35,22.97
2005-09-02,44,23.16
2005-09-09,40,24.02
2005-09-16,37,23.53
2005-09-23,37,22.33
2005-09-30,49,23.80
2005-10-07,43,22.43
2005-10-14,29,21.59
2005-10-21,41,23.27
2005-10-28,36,22.67
2005-11-04,37,23.97
2005-11-11,27,23.99
2005-11-18,43,23.36
2005-11-25,31,23.93
2005-12-02,26,22.84
2005-12-09,44,22.55
2005-12-16,30,21.84
2005-12-23,36,22.30
2005-12-30,14,22.30
2006-01-06,25,22.06
2006-01-13,50,21.92
2006-01-20,39,21.61
2006-01-27,44,17.48
2006-02-03,32,18.37
2006-02-10,39,19.21
2006-02-17,29,17.97
2006-02-24,44,17.67
2006-03-03,42,19.60
2006-03-10,32,18.90
2006-03-17,41,19.45
2006-03-24,34,19.25
2006-03-31,30,19.12
2006-04-07,43,19.05
2006-04-14,29,
2006-04-21,42,17.87
2006-04-28,32,18.48
2006-05-05,33,17.87
2006-05-12,30,16.87
2006-05-19,37,15.06
2006-05-26,38,15.69
2006-06-02,29,16.95
2006-06-09,40,16.73
2006-06-16,31,16.75
2006-06-23,41,15.82
2006-06-30,30,15.99
2006-07-07,28,15.72
2006-07-14,34,14.09
2006-07-21,35,13.63
2006-07-28,37,13.67
2006-08-04,42,13.13
2006-08-11,37,12.20
2006-08-18,28,13.99
