Date,PHM,Price
2004-01-09,73,
2004-01-16,45,
2004-01-23,45,
2004-01-30,36,
2004-02-06,41,44.95
2004-02-13,46,46.00
2004-02-20,42,45.87
2004-02-27,84,52.76
2004-03-05,48,57.72
2004-03-12,48,56.24
2004-03-19,48,54.77
2004-03-26,47,54.43
2004-04-02,47,52.87
2004-04-09,47,
2004-04-16,46,48.55
2004-04-23,46,48.31
2004-04-30,36,49.17
2004-05-07,46,46.84
2004-05-14,47,48.24
2004-05-21,55,47.75
2004-05-28,43,52.75
2004-06-04,43,51.63
2004-06-11,32,
2004-06-18,61,51.27
2004-06-25,49,52.90
2004-07-02,46,52.86
2004-07-09,50,50.06
2004-07-16,47,52.91
2004-07-23,72,50.64
2004-07-30,66,54.63
2004-08-06,51,56.64
2004-08-13,51,56.57
2004-08-20,51,58.76
2004-08-27,40,59.30
2004-09-03,45,59.86
2004-09-10,48,61.78
2004-09-17,43,62.71
2004-09-24,39,62.00
2004-10-01,44,61.63
2004-10-08,42,50.68
2004-10-15,47,48.79
2004-10-22,59,47.46
2004-10-29,50,54.88
2004-11-05,57,55.10
2004-11-12,43,58.05
2004-11-19,57,56.37
2004-11-26,67,57.59
2004-12-03,66,55.85
2004-12-10,53,59.65
2004-12-17,52,63.67
2004-12-24,42,
2004-12-31,47,63.80
2005-01-07,76,61.40
2005-01-14,79,65.99
2005-01-21,57,64.40
2005-01-28,76,64.99
2005-02-04,53,70.72
2005-02-11,57,69.90
2005-02-18,52,69.53
2005-02-25,65,78.62
2005-03-04,46,79.64
2005-03-11,54,73.75
2005-03-18,24,72.09
2005-03-25,57,
2005-04-01,60,74.25
2005-04-08,51,72.93
2005-04-15,55,67.90
2005-04-22,69,69.01
2005-04-29,51,71.45
2005-05-06,55,73.32
2005-05-13,47,69.05
2005-05-20,44,73.55
2005-05-27,58,76.02
2005-06-03,46,76.09
2005-06-10,47,77.22
2005-06-17,60,86.00
2005-06-24,41,81.35
2005-07-01,56,84.50
2005-07-08,39,89.54
2005-07-15,73,93.15
2005-07-22,64,93.49
2005-07-29,69,93.62
2005-08-05,73,89.95
2005-08-12,73,88.05
2005-08-19,75,84.47
2005-08-26,42,83.02
2005-09-02,55,42.75
2005-09-09,58,45.71
2005-09-16,58,43.94
2005-09-23,56,43.36
2005-09-30,58,42.92
2005-10-07,50,37.77
2005-10-14,48,36.91
2005-10-21,40,36.55
2005-10-28,62,36.28
2005-11-04,47,40.29
2005-11-11,61,38.50
2005-11-18,100,40.75
2005-11-25,60,43.20
2005-12-02,61,42.51
2005-12-09,79,40.71
2005-12-16,79,42.42
2005-12-23,82,40.75
2005-12-30,84,39.36
2006-01-06,75,41.62
2006-01-13,62,42.48
2006-01-20,88,40.29
2006-01-27,75,39.74
2006-02-03,80,38.36
2006-02-10,81,37.61
2006-02-17,82,37.84
2006-02-24,88,40.02
2006-03-03,81,38.50
2006-03-10,74,36.61
2006-03-17,71,39.69
2006-03-24,87,40.16
2006-03-31,61,38.42
2006-04-07,65,40.81
2006-04-14,84,
2006-04-21,72,39.81
2006-04-28,57,37.35
2006-05-05,67,37.05
2006-05-12,76,34.42
2006-05-19,70,32.86
2006-05-26,73,33.63
2006-06-02,63,31.33
2006-06-09,67,28.27
2006-06-16,66,27.96
2006-06-23,44,28.66
2006-06-30,43,28.79
2006-07-07,74,28.98
2006-07-14,56,27.05
2006-07-21,43,27.00
2006-07-28,70,29.33
2006-08-04,53,30.39
2006-08-11,71,27.95
2006-08-18,54,29.89
2006-08-25,55,28.84
2006-09-01,58,29.73
2006-09-08,74,29.07
2006-09-15,65,31.97
2006-09-22,60,31.31
2006-09-29,46,31.86
2006-10-06,67,32.16
2006-10-13,43,32.84
2006-10-20,49,31.34
2006-10-27,64,31.62
2006-11-03,54,30.10
2006-11-10,53,29.15
2006-11-17,52,31.11
2006-11-24,41,31.70
2006-12-01,42,33.80
2006-12-08,42,33.33
2006-12-15,62,33.24
2006-12-22,41,32.28
2006-12-29,42,33.12
2007-01-05,62,31.94
2007-01-12,51,32.06
2007-01-19,50,33.96
2007-01-26,55,32.54
2007-02-02,59,35.10
2007-02-09,63,32.20
2007-02-16,68,32.34
2007-02-23,65,31.18
2007-03-02,63,29.50
2007-03-09,61,28.76
2007-03-16,66,26.31
2007-03-23,64,27.56
2007-03-30,71,26.46
2007-04-06,48,
2007-04-13,48,25.76
2007-04-20,59,28.40
2007-04-27,40,27.96
2007-05-04,53,26.37
2007-05-11,59,25.89
2007-05-18,47,26.04
2007-05-25,43,27.48
2007-06-01,58,27.05
2007-06-08,64,25.85
2007-06-15,50,24.89
2007-06-22,52,23.80
2007-06-29,48,22.45
2007-07-06,57,22.72
2007-07-13,56,23.31
2007-07-20,59,22.04
2007-07-27,66,19.60
2007-08-03,54,18.59
2007-08-10,45,20.31
2007-08-17,56,17.46
2007-08-24,54,17.53
2007-08-31,46,16.64
2007-09-07,49,15.50
2007-09-14,59,16.04
2007-09-21,38,16.16
2007-09-28,45,13.61
2007-10-05,53,15.43
2007-10-12,57,15.16
2007-10-19,54,13.67
2007-10-26,54,15.30
2007-11-02,52,13.59
2007-11-09,59,12.92
2007-11-16,55,12.84
2007-11-23,61,9.63
2007-11-30,53,10.22
2007-12-07,47,11.52
2007-12-14,55,10.37
2007-12-21,57,10.26
2007-12-28,59,10.32
2008-01-04,65,9.14
2008-01-11,63,9.14
2008-01-18,63,10.00
2008-01-25,51,13.10
2008-02-01,64,15.84
2008-02-08,76,14.49
2008-02-15,64,13.58
2008-02-22,49,14.71
2008-02-29,56,13.54
2008-03-07,69,11.85
2008-03-14,53,12.24
2008-03-21,56,
2008-03-28,68,14.04
2008-04-04,57,15.81
2008-04-11,48,14.00
2008-04-18,48,14.82
2008-04-25,52,13.69
2008-05-02,57,14.18
2008-05-09,47,13.02
2008-05-16,55,14.72
2008-05-23,54,12.32
2008-05-30,70,12.23
2008-06-06,64,10.87
2008-06-13,46,10.78
2008-06-20,53,11.18
2008-06-27,53,10.07
2008-07-04,58,
2008-07-11,66,8.86
2008-07-18,62,11.38
2008-07-25,54,11.31
2008-08-01,65,12.01
2008-08-08,58,12.96
2008-08-15,52,13.13
2008-08-22,51,13.66
2008-08-29,50,14.51
2008-09-05,53,14.58
2008-09-12,52,16.45
2008-09-19,51,17.23
2008-09-26,58,16.22
2008-10-03,49,13.11
2008-10-10,51,11.26
2008-10-17,50,10.38
2008-10-24,62,8.50
2008-10-31,48,11.14
2008-11-07,55,10.25
2008-11-14,56,9.08
2008-11-21,57,7.12
2008-11-28,58,10.65
2008-12-05,64,11.86
2008-12-12,52,10.77
2008-12-19,63,10.92
2008-12-26,61,10.28
2009-01-02,61,11.17
2009-01-09,59,11.75
2009-01-16,62,11.15
2009-01-23,69,10.74
2009-01-30,61,10.15
2009-02-06,77,12.34
2009-02-13,65,10.77
2009-02-20,71,8.71
2009-02-27,81,9.18
2009-03-06,73,7.90
2009-03-13,66,10.00
2009-03-20,65,9.80
2009-03-27,70,11.40
2009-04-03,74,11.54
2009-04-10,73,
2009-04-17,61,11.64
2009-04-24,74,11.99
2009-05-01,72,11.14
2009-05-08,70,11.47
2009-05-15,77,9.63
2009-05-22,71,9.36
2009-05-29,74,8.80
2009-06-05,69,8.80
2009-06-12,68,8.82
2009-06-19,69,8.78
2009-06-26,63,8.76
2009-07-03,61,
2009-07-10,67,8.14
2009-07-17,71,9.14
2009-07-24,75,9.75
2009-07-31,67,11.37
2009-08-07,66,12.64
2009-08-14,65,12.49
2009-08-21,73,12.67
2009-08-28,65,13.16
2009-09-04,64,12.34
2009-09-11,62,12.30
2009-09-18,57,12.71
2009-09-25,66,11.18
2009-10-02,65,10.39
2009-10-09,58,10.54
2009-10-16,64,10.70
2009-10-23,62,10.08
2009-10-30,77,9.01
2009-11-06,68,9.65
2009-11-13,72,9.69
2009-11-20,78,9.46
2009-11-27,73,9.11
2009-12-04,73,9.07
2009-12-11,79,8.83
2009-12-18,83,9.28
2009-12-25,71,
2010-01-01,78,
2010-01-08,91,11.03
2010-01-15,84,11.00
2010-01-22,77,10.22
2010-01-29,71,10.52
2010-02-05,84,10.88
2010-02-12,73,11.74
2010-02-19,65,11.43
2010-02-26,72,10.83
2010-03-05,73,11.23
2010-03-12,78,11.23
2010-03-19,87,11.20
2010-03-26,83,11.72
2010-04-02,78,
2010-04-09,78,11.17
2010-04-16,70,11.10
2010-04-23,83,13.19
2010-04-30,86,13.09
2010-05-07,82,11.18
2010-05-14,81,11.59
2010-05-21,78,10.84
2010-05-28,74,11.14
2010-06-04,67,9.82
2010-06-11,74,9.55
2010-06-18,73,9.36
2010-06-25,71,8.92
2010-07-02,78,8.16
2010-07-09,67,8.60
2010-07-16,77,8.05
2010-07-23,80,8.66
2010-07-30,77,8.78
2010-08-06,78,8.67
2010-08-13,85,8.10
2010-08-20,70,8.04
2010-08-27,74,8.17
2010-09-03,62,8.79
2010-09-10,61,8.75
2010-09-17,70,8.25
2010-09-24,61,8.42
2010-10-01,67,8.73
2010-10-08,67,8.23
2010-10-15,65,7.97
2010-10-22,66,8.24
2010-10-29,64,7.85
2010-11-05,65,7.86
2010-11-12,68,7.49
2010-11-19,71,6.50
2010-11-26,69,6.20
2010-12-03,62,6.71
2010-12-10,72,7.02
2010-12-17,61,7.06
2010-12-24,67,
2010-12-31,72,7.52
2011-01-07,77,8.61
2011-01-14,73,8.69
2011-01-21,70,8.25
2011-01-28,74,8.08
2011-02-04,70,7.54
2011-02-11,71,7.65
2011-02-18,60,7.78
2011-02-25,72,6.99
2011-03-04,89,6.64
2011-03-11,74,7.01
2011-03-18,74,7.12
2011-03-25,70,7.57
2011-04-01,71,7.48
2011-04-08,67,7.82
2011-04-15,68,7.82
2011-04-22,72,
2011-04-29,65,8.13
2011-05-06,64,7.96
2011-05-13,66,7.60
2011-05-20,72,7.73
2011-05-27,69,8.20
2011-06-03,62,7.82
2011-06-10,60,6.93
2011-06-17,63,7.19
2011-06-24,59,7.52
2011-07-01,60,7.82
2011-07-08,63,7.77
2011-07-15,63,7.09
2011-07-22,70,7.34
2011-07-29,70,6.87
2011-08-05,64,5.28
2011-08-12,64,4.52
2011-08-19,77,3.91
2011-08-26,67,4.48
2011-09-02,66,4.38
2011-09-09,62,4.30
2011-09-16,71,4.46
2011-09-23,70,4.05
2011-09-30,70,3.95
2011-10-07,73,4.01
2011-10-14,70,4.43
2011-10-21,66,4.90
2011-10-28,70,5.50
2011-11-04,65,5.48
2011-11-11,79,5.76
2011-11-18,69,5.47
2011-11-25,64,5.22
2011-12-02,75,6.16
2011-12-09,70,6.32
2011-12-16,76,5.76
2011-12-23,69,6.08
2011-12-30,69,6.31
2012-01-06,72,7.10
2012-01-13,85,7.62
2012-01-20,72,7.76
2012-01-27,76,7.79
2012-02-03,83,8.30
2012-02-10,83,8.79
2012-02-17,82,8.91
2012-02-24,79,8.49
2012-03-02,83,8.46
2012-03-09,85,9.02
2012-03-16,78,9.29
2012-03-23,79,8.88
2012-03-30,66,8.85
2012-04-06,65,
2012-04-13,63,8.54
