Date,CAT,Price
2004-01-09,76,
2004-01-16,70,
2004-01-23,74,
2004-01-30,72,
2004-02-06,68,78.50
2004-02-13,69,77.42
2004-02-20,73,76.82
2004-02-27,72,75.75
2004-03-05,70,76.37
2004-03-12,82,74.93
2004-03-19,70,76.30
2004-03-26,74,77.44
2004-04-02,70,81.20
2004-04-09,74,
2004-04-16,69,81.97
2004-04-23,71,81.96
2004-04-30,69,77.73
2004-05-07,67,77.12
2004-05-14,66,75.69
2004-05-21,67,73.03
2004-05-28,67,75.35
2004-06-04,65,75.50
2004-06-11,69,
2004-06-18,65,74.42
2004-06-25,66,78.15
2004-07-02,69,76.72
2004-07-09,69,77.08
2004-07-16,72,77.81
2004-07-23,72,73.22
2004-07-30,74,73.49
2004-08-06,73,70.25
2004-08-13,70,71.75
2004-08-20,73,72.24
2004-08-27,71,73.70
2004-09-03,68,73.56
2004-09-10,67,75.10
2004-09-17,68,76.12
2004-09-24,91,74.76
2004-10-01,73,80.60
2004-10-08,71,79.50
2004-10-15,71,81.09
2004-10-22,70,77.34
2004-10-29,70,80.54
2004-11-05,65,87.17
2004-11-12,70,89.97
2004-11-19,67,90.18
2004-11-26,66,92.80
2004-12-03,65,90.92
2004-12-10,68,91.62
2004-12-17,68,94.24
2004-12-24,79,
2004-12-31,68,97.51
2005-01-07,67,93.38
2005-01-14,67,93.69
2005-01-21,67,89.23
2005-01-28,67,87.46
2005-02-04,68,91.90
2005-02-11,69,92.78
2005-02-18,66,90.84
2005-02-25,64,94.82
2005-03-04,66,99.96
2005-03-11,67,99.00
2005-03-18,64,96.40
2005-03-25,66,
2005-04-01,63,90.15
2005-04-08,64,90.69
2005-04-15,64,83.46
2005-04-22,63,89.81
2005-04-29,66,88.05
2005-05-06,67,90.16
2005-05-13,66,89.00
2005-05-20,64,93.63
2005-05-27,67,94.31
2005-06-03,64,93.97
2005-06-10,63,97.02
2005-06-17,65,100.20
2005-06-24,65,96.86
2005-07-01,64,95.93
2005-07-08,64,98.70
2005-07-15,67,50.67
2005-07-22,68,52.41
2005-07-29,69,53.91
2005-08-05,68,53.61
2005-08-12,69,54.80
2005-08-19,69,54.82
2005-08-26,70,53.49
2005-09-02,67,58.25
2005-09-09,65,58.86
2005-09-16,67,57.72
2005-09-23,70,58.92
2005-09-30,67,58.75
2005-10-07,73,56.62
2005-10-14,72,54.74
2005-10-21,71,48.92
2005-10-28,73,51.07
2005-11-04,73,53.55
2005-11-11,73,54.87
2005-11-18,72,57.28
2005-11-25,71,57.95
2005-12-02,73,58.81
2005-12-09,73,58.09
2005-12-16,72,59.64
2005-12-23,74,58.51
2005-12-30,69,57.77
2006-01-06,77,60.45
