Date,Electronic Arts,Price
2004-01-09,100,
2004-01-16,90,
2004-01-23,79,
2004-01-30,74,
2004-02-06,77,44.63
2004-02-13,75,44.43
2004-02-20,63,45.68
2004-02-27,78,47.16
2004-03-05,83,47.53
2004-03-12,78,46.92
2004-03-19,68,48.80
2004-03-26,73,51.78
2004-04-02,80,54.18
2004-04-09,82,
2004-04-16,72,52.38
2004-04-23,66,52.86
2004-04-30,67,50.62
2004-05-07,64,51.88
2004-05-14,60,51.04
2004-05-21,72,48.72
2004-05-28,58,50.83
2004-06-04,79,51.51
2004-06-11,66,
2004-06-18,67,51.69
2004-06-25,73,53.25
2004-07-02,73,53.21
2004-07-09,67,53.77
2004-07-16,75,52.05
2004-07-23,76,49.83
2004-07-30,78,50.13
2004-08-06,77,47.08
2004-08-13,67,48.32
2004-08-20,64,50.01
2004-08-27,73,51.29
2004-09-03,63,48.25
2004-09-10,73,48.88
2004-09-17,88,48.25
2004-09-24,83,46.21
2004-10-01,81,46.44
2004-10-08,73,44.58
2004-10-15,65,45.43
2004-10-22,68,44.28
2004-10-29,76,44.92
2004-11-05,67,47.88
2004-11-12,81,47.59
2004-11-19,84,49.15
2004-11-26,67,47.76
2004-12-03,79,52.80
2004-12-10,73,54.19
2004-12-17,81,59.64
2004-12-24,82,
2004-12-31,86,61.68
2005-01-07,63,58.94
2005-01-14,68,59.84
2005-01-21,62,58.26
2005-01-28,65,61.91
2005-02-04,65,68.12
2005-02-11,63,63.22
2005-02-18,61,64.04
2005-02-25,54,64.98
2005-03-04,46,67.75
2005-03-11,63,67.68
2005-03-18,54,66.73
2005-03-25,64,
2005-04-01,59,51.92
2005-04-08,45,51.06
2005-04-15,50,50.25
2005-04-22,50,50.61
2005-04-29,52,53.39
2005-05-06,57,50.97
2005-05-13,42,52.34
2005-05-20,47,54.34
2005-05-27,42,52.05
2005-06-03,43,52.97
2005-06-10,52,53.50
2005-06-17,37,57.58
2005-06-24,52,57.93
2005-07-01,46,56.21
2005-07-08,44,57.92
2005-07-15,49,57.46
2005-07-22,53,60.86
2005-07-29,48,57.60
2005-08-05,51,59.00
2005-08-12,52,59.88
2005-08-19,57,59.56
2005-08-26,47,58.07
2005-09-02,47,57.42
2005-09-09,45,56.12
2005-09-16,52,60.59
2005-09-23,51,58.20
2005-09-30,66,56.89
2005-10-07,66,52.77
2005-10-14,66,54.06
2005-10-21,59,54.77
2005-10-28,47,56.72
2005-11-04,64,59.93
2005-11-11,62,59.41
2005-11-18,58,58.38
2005-11-25,68,59.13
2005-12-02,69,56.83
2005-12-09,68,55.14
2005-12-16,49,53.42
2005-12-23,53,53.37
2005-12-30,54,52.31
2006-01-06,46,56.56
2006-01-13,53,57.19
2006-01-20,42,54.92
2006-01-27,39,56.81
2006-02-03,50,53.14
2006-02-10,51,53.88
2006-02-17,48,52.01
2006-02-24,58,51.79
2006-03-03,51,52.21
2006-03-10,52,50.64
2006-03-17,43,52.58
2006-03-24,53,52.58
2006-03-31,49,54.72
2006-04-07,46,55.65
2006-04-14,47,
2006-04-21,38,55.75
2006-04-28,43,56.80
2006-05-05,41,47.85
2006-05-12,42,44.96
2006-05-19,41,42.52
2006-05-26,37,44.25
2006-06-02,45,42.41
2006-06-09,44,42.75
2006-06-16,37,42.30
2006-06-23,36,41.20
2006-06-30,37,43.04
2006-07-07,39,42.04
2006-07-14,35,45.31
2006-07-21,39,44.94
2006-07-28,39,46.82
2006-08-04,44,48.57
2006-08-11,37,49.88
2006-08-18,45,51.29
2006-08-25,44,49.30
2006-09-01,51,51.24
2006-09-08,43,52.51
2006-09-15,35,54.22
2006-09-22,40,56.92
2006-09-29,43,55.84
2006-10-06,48,54.56
2006-10-13,49,57.00
2006-10-20,42,56.03
2006-10-27,40,54.51
2006-11-03,58,59.24
2006-11-10,40,58.48
2006-11-17,43,58.65
2006-11-24,47,58.42
2006-12-01,50,55.23
2006-12-08,41,53.00
2006-12-15,45,53.85
2006-12-22,37,51.06
2006-12-29,46,50.36
2007-01-05,40,53.07
2007-01-12,38,51.76
2007-01-19,36,50.34
2007-01-26,36,48.22
2007-02-02,40,51.13
2007-02-09,34,49.48
2007-02-16,35,50.01
2007-02-23,31,53.19
2007-03-02,40,49.10
2007-03-09,42,50.83
2007-03-16,31,48.92
2007-03-23,33,50.13
2007-03-30,46,50.36
2007-04-06,47,
2007-04-13,38,53.44
2007-04-20,36,51.81
2007-04-27,34,51.99
2007-05-04,34,51.65
2007-05-11,33,50.07
2007-05-18,31,48.58
2007-05-25,33,47.87
2007-06-01,34,48.44
2007-06-08,34,49.13
2007-06-15,34,50.49
2007-06-22,32,48.57
2007-06-29,29,47.32
2007-07-06,34,50.90
2007-07-13,36,48.25
2007-07-20,33,51.87
2007-07-27,34,49.83
2007-08-03,33,50.04
2007-08-10,34,53.28
2007-08-17,34,52.47
2007-08-24,38,52.55
2007-08-31,35,52.94
2007-09-07,42,51.36
2007-09-14,32,54.76
2007-09-21,41,55.94
2007-09-28,40,55.99
2007-10-05,43,58.96
2007-10-12,46,61.40
2007-10-19,40,57.62
2007-10-26,37,58.08
2007-11-02,44,60.46
2007-11-09,39,55.73
2007-11-16,38,56.57
2007-11-23,44,54.29
2007-11-30,44,56.19
2007-12-07,40,54.05
2007-12-14,36,58.08
2007-12-21,35,58.93
2007-12-28,36,58.56
2008-01-04,37,54.51
2008-01-11,31,52.86
2008-01-18,30,49.42
2008-01-25,38,47.22
2008-02-01,36,48.62
2008-02-08,33,44.57
2008-02-15,34,48.72
2008-02-22,27,49.74
2008-02-29,38,47.29
2008-03-07,27,46.31
2008-03-14,32,46.91
2008-03-21,30,
