Date,buy D,Price
2004-01-09,0,
2004-01-16,45,
2004-01-23,46,
2004-01-30,43,
2004-02-06,43,63.30
2004-02-13,43,63.02
2004-02-20,43,62.80
2004-02-27,43,62.83
2004-03-05,38,65.08
2004-03-12,38,64.02
2004-03-19,38,63.87
2004-03-26,47,62.50
2004-04-02,57,64.31
2004-04-09,36,
2004-04-16,38,63.90
2004-04-23,40,63.57
2004-04-30,50,63.81
2004-05-07,53,62.98
2004-05-14,38,62.46
2004-05-21,37,61.60
2004-05-28,37,62.97
2004-06-04,37,61.49
2004-06-11,36,
2004-06-18,35,63.18
2004-06-25,43,63.91
2004-07-02,43,63.25
2004-07-09,54,62.36
2004-07-16,43,63.79
2004-07-23,43,62.68
2004-07-30,37,63.46
2004-08-06,57,63.31
2004-08-13,52,63.54
2004-08-20,45,64.70
2004-08-27,56,64.69
2004-09-03,46,64.76
2004-09-10,37,65.69
2004-09-17,37,64.96
2004-09-24,48,64.60
2004-10-01,48,65.70
2004-10-08,48,65.97
2004-10-15,48,65.19
2004-10-22,38,63.71
2004-10-29,38,64.32
2004-11-05,41,65.12
2004-11-12,42,67.54
2004-11-19,43,66.10
2004-11-26,30,66.67
2004-12-03,43,64.53
2004-12-10,49,67.50
2004-12-17,29,68.24
2004-12-24,38,
2004-12-31,47,67.74
2005-01-07,46,66.91
2005-01-14,38,69.10
2005-01-21,46,68.26
2005-01-28,33,68.53
2005-02-04,30,69.89
2005-02-11,25,70.63
2005-02-18,25,71.60
2005-02-25,36,72.74
2005-03-04,29,74.25
2005-03-11,29,73.76
2005-03-18,29,75.81
2005-03-25,31,
2005-04-01,36,75.27
2005-04-08,36,75.27
2005-04-15,39,73.58
2005-04-22,28,74.25
2005-04-29,34,75.40
2005-05-06,38,70.88
2005-05-13,31,69.22
2005-05-20,40,71.40
2005-05-27,37,70.12
2005-06-03,28,71.10
2005-06-10,39,73.05
2005-06-17,36,72.60
2005-06-24,48,73.00
2005-07-01,41,74.10
2005-07-08,39,74.80
2005-07-15,37,74.73
2005-07-22,36,73.88
2005-07-29,47,73.86
2005-08-05,38,75.73
2005-08-12,42,74.53
2005-08-19,49,75.07
2005-08-26,50,75.86
