Date,buy MAT,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,18.95
2004-02-13,0,18.77
2004-02-20,0,19.11
2004-02-27,0,19.00
2004-03-05,0,18.86
2004-03-12,0,18.12
2004-03-19,0,18.44
2004-03-26,0,18.29
2004-04-02,0,18.47
2004-04-09,0,
2004-04-16,0,18.75
2004-04-23,0,17.71
2004-04-30,0,16.96
2004-05-07,0,17.25
2004-05-14,0,17.18
2004-05-21,0,17.25
2004-05-28,0,17.48
2004-06-04,0,17.38
2004-06-11,0,
2004-06-18,0,17.97
2004-06-25,0,18.23
2004-07-02,0,18.08
2004-07-09,0,17.01
2004-07-16,0,16.76
2004-07-23,0,17.31
2004-07-30,0,17.52
2004-08-06,72,16.89
2004-08-13,0,17.19
2004-08-20,0,16.30
2004-08-27,0,16.03
2004-09-03,0,16.92
2004-09-10,0,17.95
2004-09-17,0,18.15
2004-09-24,0,17.94
2004-10-01,0,18.34
2004-10-08,0,17.92
2004-10-15,0,17.97
2004-10-22,0,17.12
2004-10-29,0,17.51
2004-11-05,0,17.95
2004-11-12,0,18.64
2004-11-19,0,18.52
2004-11-26,0,18.86
2004-12-03,0,18.65
2004-12-10,0,18.55
2004-12-17,0,18.75
2004-12-24,0,
2004-12-31,0,19.49
2005-01-07,0,18.77
2005-01-14,0,19.14
2005-01-21,0,18.85
2005-01-28,0,18.35
2005-02-04,0,20.39
2005-02-11,0,20.55
2005-02-18,0,21.09
2005-02-25,0,21.12
2005-03-04,0,20.79
2005-03-11,0,20.59
2005-03-18,0,20.25
2005-03-25,0,
2005-04-01,0,20.98
2005-04-08,0,20.85
2005-04-15,0,18.67
2005-04-22,0,18.67
2005-04-29,0,18.05
2005-05-06,47,18.00
2005-05-13,0,17.93
2005-05-20,0,18.70
2005-05-27,0,18.28
2005-06-03,0,18.12
2005-06-10,0,18.16
2005-06-17,0,18.26
2005-06-24,0,17.69
2005-07-01,0,18.28
2005-07-08,0,18.66
2005-07-15,0,19.45
2005-07-22,0,18.38
2005-07-29,0,18.65
2005-08-05,0,18.18
2005-08-12,0,17.81
2005-08-19,0,17.86
2005-08-26,0,17.62
2005-09-02,0,17.90
2005-09-09,0,18.66
2005-09-16,0,18.12
2005-09-23,0,16.57
2005-09-30,0,16.68
2005-10-07,0,16.38
2005-10-14,0,15.95
2005-10-21,0,15.05
2005-10-28,0,14.72
2005-11-04,0,15.48
2005-11-11,0,15.35
2005-11-18,0,15.17
2005-11-25,0,16.51
2005-12-02,0,16.42
2005-12-09,0,16.50
2005-12-16,54,16.50
2005-12-23,43,16.00
2005-12-30,0,15.82
2006-01-06,0,15.50
2006-01-13,0,15.24
2006-01-20,0,14.81
2006-01-27,0,14.78
2006-02-03,0,16.10
2006-02-10,0,16.63
2006-02-17,0,17.30
2006-02-24,0,17.05
2006-03-03,0,16.87
2006-03-10,0,17.10
2006-03-17,0,17.52
2006-03-24,0,18.00
2006-03-31,0,18.13
2006-04-07,0,17.40
2006-04-14,0,
2006-04-21,0,17.57
2006-04-28,0,16.18
2006-05-05,0,16.47
2006-05-12,0,16.26
2006-05-19,0,16.19
2006-05-26,0,16.65
2006-06-02,0,16.88
2006-06-09,0,16.48
2006-06-16,0,16.80
2006-06-23,0,16.35
2006-06-30,0,16.51
2006-07-07,0,16.56
2006-07-14,29,15.88
2006-07-21,31,17.69
2006-07-28,32,17.87
2006-08-04,33,17.99
2006-08-11,34,18.10
2006-08-18,34,18.19
2006-08-25,35,17.91
2006-09-01,35,19.03
2006-09-08,30,19.01
2006-09-15,30,19.31
2006-09-22,30,19.44
2006-09-29,30,19.70
2006-10-06,30,20.20
2006-10-13,40,20.70
2006-10-20,24,21.70
2006-10-27,27,22.50
2006-11-03,26,22.65
2006-11-10,26,23.43
2006-11-17,29,23.66
2006-11-24,29,22.90
2006-12-01,29,21.75
2006-12-08,38,21.99
2006-12-15,41,22.84
2006-12-22,54,22.82
2006-12-29,35,22.66
2007-01-05,21,22.93
2007-01-12,21,23.36
2007-01-19,26,23.51
2007-01-26,32,23.96
2007-02-02,37,24.99
2007-02-09,0,26.03
2007-02-16,0,26.36
2007-02-23,0,26.93
2007-03-02,0,26.40
2007-03-09,0,27.70
2007-03-16,22,27.71
2007-03-23,19,28.73
2007-03-30,0,27.57
2007-04-06,0,
2007-04-13,0,28.34
2007-04-20,0,28.39
2007-04-27,0,28.41
2007-05-04,25,29.13
2007-05-11,19,29.23
2007-05-18,20,28.83
2007-05-25,25,28.48
2007-06-01,20,28.35
2007-06-08,21,26.22
2007-06-15,23,25.85
2007-06-22,21,25.33
2007-06-29,21,25.29
2007-07-06,22,25.89
2007-07-13,23,26.53
2007-07-20,20,24.68
2007-07-27,30,23.48
2007-08-03,30,22.72
2007-08-10,30,23.04
2007-08-17,30,22.25
2007-08-24,17,22.23
2007-08-31,20,21.63
2007-09-07,33,21.30
2007-09-14,32,22.46
2007-09-21,32,23.94
2007-09-28,16,23.46
2007-10-05,19,23.31
2007-10-12,22,22.45
2007-10-19,22,20.55
2007-10-26,22,21.09
2007-11-02,24,20.50
2007-11-09,20,19.96
2007-11-16,17,19.86
2007-11-23,33,20.47
2007-11-30,27,19.98
2007-12-07,46,20.37
2007-12-14,44,19.77
2007-12-21,30,20.19
2007-12-28,29,18.97
2008-01-04,31,17.71
2008-01-11,31,17.00
2008-01-18,30,17.71
2008-01-25,34,19.02
2008-02-01,17,21.32
2008-02-08,22,20.64
2008-02-15,29,20.80
2008-02-22,22,20.65
2008-02-29,21,19.32
2008-03-07,28,19.38
2008-03-14,28,19.81
2008-03-21,22,
2008-03-28,26,20.28
2008-04-04,28,21.64
2008-04-11,25,21.01
2008-04-18,19,21.78
2008-04-25,22,19.26
2008-05-02,25,19.13
2008-05-09,19,19.05
2008-05-16,19,19.94
2008-05-23,24,19.86
2008-05-30,26,20.14
2008-06-06,22,19.85
2008-06-13,23,20.36
2008-06-20,17,18.80
2008-06-27,27,17.72
2008-07-04,29,
2008-07-11,21,17.25
2008-07-18,37,20.66
2008-07-25,24,20.81
2008-08-01,28,20.48
2008-08-08,27,21.50
2008-08-15,29,21.79
2008-08-22,36,21.07
2008-08-29,16,19.33
2008-09-05,30,19.03
2008-09-12,19,19.39
2008-09-19,39,18.32
2008-09-26,24,18.76
2008-10-03,17,17.53
2008-10-10,22,13.98
2008-10-17,32,14.45
2008-10-24,34,13.07
2008-10-31,28,15.01
2008-11-07,31,14.89
2008-11-14,15,13.91
2008-11-21,32,11.75
2008-11-28,22,13.67
2008-12-05,28,14.61
2008-12-12,31,14.60
2008-12-19,29,14.97
2008-12-26,38,15.46
2009-01-02,35,16.65
2009-01-09,26,15.35
2009-01-16,23,15.63
2009-01-23,25,15.19
2009-01-30,27,14.19
2009-02-06,22,12.91
2009-02-13,28,12.21
2009-02-20,19,12.05
2009-02-27,32,11.84
2009-03-06,26,10.82
2009-03-13,29,11.54
2009-03-20,30,11.01
2009-03-27,27,12.09
2009-04-03,18,12.95
2009-04-10,27,
2009-04-17,23,15.01
2009-04-24,24,15.09
2009-05-01,22,15.02
2009-05-08,30,15.52
2009-05-15,25,13.94
2009-05-22,27,13.96
2009-05-29,27,15.61
2009-06-05,23,16.35
2009-06-12,23,16.28
2009-06-19,29,16.40
2009-06-26,20,15.94
2009-07-03,26,
2009-07-10,31,15.19
2009-07-17,24,17.42
2009-07-24,30,17.69
2009-07-31,37,17.58
2009-08-07,32,17.88
2009-08-14,32,18.00
2009-08-21,32,18.18
2009-08-28,30,18.32
2009-09-04,32,18.43
2009-09-11,38,18.20
2009-09-18,29,18.53
2009-09-25,39,17.96
2009-10-02,35,17.95
2009-10-09,91,18.64
2009-10-16,63,20.46
2009-10-23,47,19.52
2009-10-30,53,18.93
2009-11-06,35,19.74
2009-11-13,29,20.47
2009-11-20,53,20.01
2009-11-27,100,19.57
2009-12-04,88,19.89
2009-12-11,80,19.88
2009-12-18,82,19.92
2009-12-25,62,
2010-01-01,36,
2010-01-08,52,19.77
2010-01-15,29,20.28
2010-01-22,39,19.95
2010-01-29,39,19.72
2010-02-05,29,20.10
2010-02-12,29,20.99
2010-02-19,28,21.78
2010-02-26,28,21.99
2010-03-05,26,22.50
2010-03-12,33,22.76
2010-03-19,25,23.19
2010-03-26,31,22.83
2010-04-02,25,
2010-04-09,30,23.18
2010-04-16,25,23.84
2010-04-23,22,23.54
2010-04-30,27,23.02
2010-05-07,32,21.45
2010-05-14,23,21.97
2010-05-21,33,21.45
2010-05-28,44,21.66
2010-06-04,30,20.85
2010-06-11,36,21.55
2010-06-18,34,22.50
2010-06-25,35,21.99
2010-07-02,36,20.95
2010-07-09,38,22.57
2010-07-16,37,20.81
2010-07-23,29,21.24
2010-07-30,37,21.16
2010-08-06,29,22.05
2010-08-13,25,21.74
2010-08-20,33,21.73
2010-08-27,32,21.27
2010-09-03,33,21.94
2010-09-10,31,22.04
2010-09-17,37,22.59
2010-09-24,32,23.76
2010-10-01,23,23.61
2010-10-08,29,23.95
2010-10-15,37,22.45
2010-10-22,41,23.25
2010-10-29,35,23.33
2010-11-05,35,23.94
2010-11-12,38,23.69
2010-11-19,33,25.10
2010-11-26,45,25.73
2010-12-03,54,26.02
2010-12-10,50,25.48
2010-12-17,60,25.66
2010-12-24,55,
2010-12-31,41,25.43
2011-01-07,29,24.18
2011-01-14,42,23.95
2011-01-21,33,23.51
2011-01-28,32,23.51
2011-02-04,38,25.25
2011-02-11,30,25.56
2011-02-18,31,25.54
2011-02-25,35,24.92
2011-03-04,44,25.52
2011-03-11,40,25.07
2011-03-18,31,24.64
2011-03-25,35,25.20
2011-04-01,38,25.26
2011-04-08,28,25.37
2011-04-15,30,26.80
2011-04-22,33,
2011-04-29,27,26.72
2011-05-06,35,26.65
2011-05-13,30,26.55
2011-05-20,28,26.69
2011-05-27,42,26.11
2011-06-03,26,25.69
2011-06-10,32,25.37
2011-06-17,35,26.12
2011-06-24,31,26.75
2011-07-01,33,27.99
2011-07-08,32,27.65
2011-07-15,27,27.29
2011-07-22,29,27.01
2011-07-29,39,26.66
2011-08-05,37,24.50
2011-08-12,32,24.42
2011-08-19,36,23.68
2011-08-26,31,25.52
2011-09-02,33,26.23
2011-09-09,36,26.13
2011-09-16,32,27.06
2011-09-23,31,25.59
2011-09-30,32,25.89
2011-10-07,27,26.75
2011-10-14,30,27.51
2011-10-21,32,27.69
2011-10-28,27,28.79
2011-11-04,33,28.80
2011-11-11,29,29.06
2011-11-18,42,28.39
2011-11-25,38,27.55
2011-12-02,50,28.45
2011-12-09,41,28.73
2011-12-16,37,27.95
2011-12-23,44,28.14
2011-12-30,38,27.76
2012-01-06,35,28.16
2012-01-13,37,28.14
2012-01-20,31,28.53
2012-01-27,30,29.35
2012-02-03,34,31.53
2012-02-10,28,32.17
2012-02-17,31,32.44
2012-02-24,27,32.16
2012-03-02,37,32.68
2012-03-09,38,33.39
2012-03-16,37,33.06
2012-03-23,32,33.76
2012-03-30,33,33.66
2012-04-06,31,
2012-04-13,29,34.13
2012-04-20,40,32.06
2012-04-27,28,33.52
2012-05-04,40,32.98
2012-05-11,29,32.47
2012-05-18,36,31.13
2012-05-25,29,31.26
2012-06-01,33,30.56
2012-06-08,28,31.69
2012-06-15,36,32.40
2012-06-22,39,32.21
2012-06-29,34,32.44
2012-07-06,33,32.41
2012-07-13,38,31.23
2012-07-20,33,34.39
2012-07-27,32,35.28
2012-08-03,37,35.22
2012-08-10,41,35.65
2012-08-17,46,35.76
2012-08-24,41,35.65
2012-08-31,43,35.14
2012-09-07,39,35.50
2012-09-14,34,36.17
2012-09-21,41,35.84
2012-09-28,32,35.47
2012-10-05,39,35.94
2012-10-12,31,36.01
2012-10-19,34,37.50
2012-10-26,34,36.85
2012-11-02,35,36.46
2012-11-09,41,35.99
2012-11-16,41,35.31
2012-11-23,47,36.87
2012-11-30,52,37.51
2012-12-07,41,37.07
2012-12-14,48,36.94
2012-12-21,45,36.89
2012-12-28,39,35.84
2013-01-04,34,36.45
2013-01-11,41,37.13
2013-01-18,43,38.03
2013-01-25,35,37.15
2013-02-01,34,38.26
2013-02-08,34,40.32
2013-02-15,36,40.85
2013-02-22,34,40.52
2013-03-01,38,40.50
2013-03-08,38,41.43
2013-03-15,41,42.14
2013-03-22,36,43.24
2013-03-29,31,
2013-04-05,32,42.64
2013-04-12,38,44.02
2013-04-19,37,44.01
2013-04-26,43,44.65
2013-05-03,33,45.35
2013-05-10,36,45.98
2013-05-17,40,46.79
2013-05-24,36,45.63
2013-05-31,45,44.75
2013-06-07,34,45.18
2013-06-14,35,44.71
2013-06-21,37,44.12
2013-06-28,41,45.31
2013-07-05,40,45.69
2013-07-12,35,47.08
2013-07-19,45,42.38
2013-07-26,41,42.77
2013-08-02,42,42.84
2013-08-09,39,42.88
2013-08-16,44,41.65
2013-08-23,46,41.73
2013-08-30,37,40.50
2013-09-06,42,41.23
2013-09-13,39,42.03
2013-09-20,40,43.04
2013-09-27,37,42.09
2013-10-04,35,42.55
2013-10-11,35,41.75
2013-10-18,34,42.69
2013-10-25,35,44.05
2013-11-01,36,44.81
2013-11-08,29,44.17
2013-11-15,47,46.18
2013-11-22,34,45.71
2013-11-29,50,46.27
2013-12-06,40,46.26
2013-12-13,40,45.37
2013-12-20,50,45.52
2013-12-27,47,46.99
2014-01-03,41,46.87
2014-01-10,38,45.26
2014-01-17,45,44.00
2014-01-24,41,43.00
2014-01-31,41,37.84
2014-02-07,35,36.94
2014-02-14,34,36.65
2014-02-21,44,35.55
2014-02-28,43,37.31
2014-03-07,31,37.78
2014-03-14,35,37.28
2014-03-21,39,38.69
2014-03-28,46,39.95
2014-04-04,38,39.41
2014-04-11,42,37.82
2014-04-18,42,
2014-04-25,41,37.99
2014-05-02,36,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
