Date,Procter & Gamble,Price
2004-01-09,82,
2004-01-16,76,
2004-01-23,68,
2004-01-30,65,
2004-02-06,72,102.36
2004-02-13,66,102.05
2004-02-20,68,102.50
2004-02-27,65,102.51
2004-03-05,69,101.76
2004-03-12,73,104.12
2004-03-19,67,104.03
2004-03-26,56,103.95
2004-04-02,60,106.11
2004-04-09,62,
2004-04-16,69,105.97
2004-04-23,66,104.99
2004-04-30,70,105.79
2004-05-07,71,106.72
2004-05-14,61,106.41
2004-05-21,60,106.91
2004-05-28,64,107.82
2004-06-04,64,107.87
2004-06-11,64,
2004-06-18,53,110.19
2004-06-25,60,54.75
2004-07-02,55,54.33
2004-07-09,58,54.72
2004-07-16,65,55.10
2004-07-23,58,52.49
2004-07-30,62,52.15
2004-08-06,64,52.99
2004-08-13,67,54.46
2004-08-20,62,54.85
2004-08-27,61,55.98
2004-09-03,59,56.55
2004-09-10,63,56.18
2004-09-17,66,56.26
2004-09-24,76,54.08
2004-10-01,66,54.66
2004-10-08,70,53.45
2004-10-15,79,53.69
2004-10-22,67,53.05
2004-10-29,63,51.18
2004-11-05,61,53.52
2004-11-12,68,54.60
2004-11-19,65,54.32
2004-11-26,61,53.64
2004-12-03,62,55.39
2004-12-10,58,56.44
2004-12-17,63,55.44
2004-12-24,43,
2004-12-31,52,55.08
2005-01-07,56,55.92
2005-01-14,66,55.88
2005-01-21,61,55.65
2005-01-28,100,54.15
2005-02-04,93,52.62
2005-02-11,74,52.15
2005-02-18,73,53.50
2005-02-25,68,54.19
2005-03-04,64,53.85
2005-03-11,72,52.51
2005-03-18,68,53.40
2005-03-25,66,
2005-04-01,61,52.61
2005-04-08,59,54.50
2005-04-15,66,54.80
2005-04-22,70,53.89
2005-04-29,60,54.15
2005-05-06,58,54.75
2005-05-13,61,54.75
2005-05-20,58,56.48
2005-05-27,61,55.76
2005-06-03,51,55.27
2005-06-10,50,54.75
2005-06-17,53,54.42
2005-06-24,56,52.82
2005-07-01,51,52.90
2005-07-08,52,52.96
2005-07-15,56,54.50
2005-07-22,55,54.99
2005-07-29,53,55.63
2005-08-05,60,54.10
2005-08-12,52,53.55
2005-08-19,47,54.54
2005-08-26,47,54.96
2005-09-02,56,55.99
2005-09-09,54,56.90
2005-09-16,55,55.95
2005-09-23,70,56.74
2005-09-30,64,59.46
2005-10-07,64,56.04
2005-10-14,55,56.11
2005-10-21,59,54.81
2005-10-28,59,55.92
2005-11-04,58,55.92
2005-11-11,57,56.37
2005-11-18,57,57.45
2005-11-25,57,57.28
2005-12-02,56,57.36
2005-12-09,55,57.33
2005-12-16,49,58.11
2005-12-23,42,58.88
2005-12-30,30,57.88
2006-01-06,53,58.64
2006-01-13,52,58.90
2006-01-20,52,57.84
2006-01-27,52,59.74
2006-02-03,57,59.68
2006-02-10,59,59.70
2006-02-17,53,61.00
2006-02-24,57,61.50
2006-03-03,53,59.67
2006-03-10,57,62.25
2006-03-17,55,59.10
2006-03-24,55,58.74
2006-03-31,50,57.63
2006-04-07,50,57.28
2006-04-14,51,
2006-04-21,50,56.34
2006-04-28,53,58.21
2006-05-05,55,55.73
2006-05-12,50,55.01
2006-05-19,48,54.15
2006-05-26,53,55.13
2006-06-02,50,53.95
2006-06-09,47,54.45
2006-06-16,47,55.02
2006-06-23,45,55.73
2006-06-30,42,55.60
2006-07-07,39,56.50
2006-07-14,48,55.66
2006-07-21,49,56.07
2006-07-28,48,56.81
2006-08-04,49,59.45
2006-08-11,46,60.26
2006-08-18,42,60.39
2006-08-25,46,60.87
2006-09-01,45,61.91
2006-09-08,49,61.14
2006-09-15,47,60.90
2006-09-22,53,61.81
2006-09-29,51,61.98
2006-10-06,51,63.09
2006-10-13,52,62.13
2006-10-20,50,62.68
2006-10-27,52,63.56
2006-11-03,52,63.40
2006-11-10,51,63.70
2006-11-17,51,63.86
2006-11-24,47,63.53
2006-12-01,48,62.69
2006-12-08,44,63.89
2006-12-15,46,64.11
2006-12-22,40,63.80
2006-12-29,31,64.27
2007-01-05,40,63.50
2007-01-12,50,65.00
2007-01-19,44,66.09
2007-01-26,50,64.86
2007-02-02,48,65.34
2007-02-09,47,64.43
2007-02-16,46,65.07
2007-02-23,47,64.82
2007-03-02,44,63.16
2007-03-09,52,62.16
2007-03-16,52,61.61
2007-03-23,58,63.80
2007-03-30,46,63.16
2007-04-06,39,
2007-04-13,45,63.38
2007-04-20,47,63.80
2007-04-27,44,62.98
2007-05-04,43,62.41
2007-05-11,45,61.65
2007-05-18,44,63.48
2007-05-25,43,62.96
2007-06-01,43,63.48
2007-06-08,40,63.07
2007-06-15,41,62.57
2007-06-22,38,61.03
2007-06-29,41,61.19
2007-07-06,39,61.48
2007-07-13,42,62.66
2007-07-20,43,62.15
2007-07-27,43,62.82
2007-08-03,43,62.88
2007-08-10,45,65.39
2007-08-17,43,65.35
2007-08-24,41,65.93
2007-08-31,42,65.31
2007-09-07,44,65.47
2007-09-14,44,67.81
2007-09-21,49,69.39
2007-09-28,49,70.34
2007-10-05,49,70.83
2007-10-12,50,71.70
2007-10-19,49,70.80
2007-10-26,42,71.75
2007-11-02,48,69.55
2007-11-09,46,70.42
2007-11-16,44,73.19
2007-11-23,46,72.86
2007-11-30,44,74.00
2007-12-07,46,74.12
2007-12-14,39,73.90
2007-12-21,37,74.08
2007-12-28,27,74.25
2008-01-04,35,72.02
2008-01-11,44,70.18
2008-01-18,43,67.15
2008-01-25,43,65.31
2008-02-01,44,66.05
2008-02-08,41,65.02
2008-02-15,41,66.30
2008-02-22,40,66.21
2008-02-29,44,66.18
2008-03-07,42,65.80
2008-03-14,39,66.74
2008-03-21,38,
2008-03-28,40,69.44
2008-04-04,40,70.60
2008-04-11,42,70.00
2008-04-18,38,67.17
2008-04-25,39,66.55
2008-05-02,37,66.80
2008-05-09,38,65.21
2008-05-16,40,66.75
2008-05-23,35,65.27
2008-05-30,37,66.05
2008-06-06,34,65.37
2008-06-13,34,66.45
2008-06-20,35,63.16
2008-06-27,36,60.49
2008-07-04,33,
2008-07-11,37,63.45
2008-07-18,35,63.67
2008-07-25,37,64.46
2008-08-01,34,64.95
2008-08-08,37,69.63
2008-08-15,34,71.60
2008-08-22,34,71.61
2008-08-29,36,69.77
2008-09-05,37,70.78
2008-09-12,36,73.15
2008-09-19,37,70.36
2008-09-26,41,68.84
2008-10-03,40,71.02
2008-10-10,38,59.56
2008-10-17,43,61.74
2008-10-24,44,58.87
2008-10-31,44,64.54
2008-11-07,40,64.49
2008-11-14,39,63.11
2008-11-21,41,63.09
2008-11-28,38,64.35
2008-12-05,34,62.63
2008-12-12,35,58.94
2008-12-19,31,60.18
2008-12-26,22,60.53
2009-01-02,27,62.80
2009-01-09,34,59.86
2009-01-16,37,57.73
2009-01-23,38,56.00
2009-01-30,37,54.50
2009-02-06,41,54.00
2009-02-13,38,51.09
2009-02-20,36,50.25
2009-02-27,39,48.17
2009-03-06,38,45.71
2009-03-13,39,46.95
2009-03-20,37,45.59
2009-03-27,39,48.57
2009-04-03,35,49.63
2009-04-10,33,
2009-04-17,37,51.66
2009-04-24,35,49.51
2009-05-01,33,49.50
2009-05-08,34,51.57
2009-05-15,35,50.67
2009-05-22,33,53.03
2009-05-29,33,51.94
2009-06-05,31,53.18
2009-06-12,32,52.55
2009-06-19,32,50.64
2009-06-26,30,51.75
2009-07-03,28,
2009-07-10,32,52.22
2009-07-17,32,55.92
2009-07-24,33,55.84
2009-07-31,31,55.51
2009-08-07,33,52.03
2009-08-14,31,52.37
2009-08-21,31,53.58
2009-08-28,33,53.19
2009-09-04,34,52.86
2009-09-11,33,55.64
2009-09-18,33,57.32
2009-09-25,40,58.01
2009-10-02,35,56.75
2009-10-09,36,57.56
2009-10-16,38,57.44
2009-10-23,38,57.64
2009-10-30,39,58.00
2009-11-06,34,61.04
2009-11-13,36,61.61
2009-11-20,36,61.80
2009-11-27,32,62.48
2009-12-04,31,62.60
2009-12-11,31,62.34
2009-12-18,28,61.55
2009-12-25,21,
2010-01-01,23,
2010-01-08,29,60.44
2010-01-15,35,60.82
2010-01-22,33,60.31
2010-01-29,33,61.55
2010-02-05,33,61.30
2010-02-12,34,61.76
2010-02-19,32,63.45
2010-02-26,32,63.28
2010-03-05,33,63.69
2010-03-12,32,63.32
2010-03-19,33,63.84
2010-03-26,33,63.69
2010-04-02,32,
2010-04-09,31,62.73
2010-04-16,30,62.85
2010-04-23,33,63.54
2010-04-30,34,62.16
2010-05-07,41,60.31
2010-05-14,32,62.54
2010-05-21,32,61.85
2010-05-28,31,61.09
2010-06-04,29,60.80
2010-06-11,30,61.01
2010-06-18,27,61.30
2010-06-25,26,59.79
2010-07-02,28,59.38
2010-07-09,26,61.75
2010-07-16,27,61.99
2010-07-23,28,61.91
2010-07-30,34,61.16
2010-08-06,31,60.02
2010-08-13,28,59.82
2010-08-20,27,59.98
2010-08-27,29,59.80
2010-09-03,29,60.29
2010-09-10,31,60.40
2010-09-17,30,60.97
2010-09-24,32,61.64
2010-10-01,35,60.16
2010-10-08,34,61.86
2010-10-15,36,62.76
2010-10-22,34,63.40
2010-10-29,33,63.57
2010-11-05,32,65.00
2010-11-12,33,64.33
2010-11-19,35,64.05
2010-11-26,33,62.13
2010-12-03,28,62.33
2010-12-10,33,63.20
2010-12-17,30,64.81
2010-12-24,22,
2010-12-31,23,64.33
2011-01-07,31,64.50
2011-01-14,36,65.53
2011-01-21,36,65.91
2011-01-28,32,64.20
2011-02-04,29,63.61
2011-02-11,30,64.73
2011-02-18,30,64.30
2011-02-25,31,62.84
2011-03-04,30,62.03
2011-03-11,32,61.49
2011-03-18,30,60.60
2011-03-25,29,60.88
2011-04-01,31,62.08
2011-04-08,32,61.90
2011-04-15,31,64.18
2011-04-22,27,
2011-04-29,27,64.90
