Date,Edwards Lifesciences,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,33.28
2004-02-13,0,33.28
2004-02-20,0,32.38
2004-02-27,0,32.20
2004-03-05,0,32.29
2004-03-12,0,30.58
2004-03-19,0,30.76
2004-03-26,0,30.85
2004-04-02,0,32.15
2004-04-09,0,
2004-04-16,0,33.63
2004-04-23,0,35.19
2004-04-30,0,34.46
2004-05-07,0,34.80
2004-05-14,0,35.02
2004-05-21,0,35.52
2004-05-28,0,36.25
2004-06-04,0,35.99
2004-06-11,0,
2004-06-18,0,35.69
2004-06-25,0,35.06
2004-07-02,0,33.84
2004-07-09,0,33.11
2004-07-16,0,33.27
2004-07-23,0,33.43
2004-07-30,0,35.17
2004-08-06,0,33.36
2004-08-13,0,33.63
2004-08-20,0,34.56
2004-08-27,0,35.30
2004-09-03,0,36.39
2004-09-10,0,35.51
2004-09-17,0,36.25
2004-09-24,0,35.88
2004-10-01,100,33.57
2004-10-08,0,33.39
2004-10-15,0,32.81
2004-10-22,0,33.88
2004-10-29,0,34.18
2004-11-05,0,35.36
2004-11-12,0,35.99
2004-11-19,0,35.52
2004-11-26,0,37.13
2004-12-03,0,39.47
2004-12-10,0,41.75
2004-12-17,0,41.57
2004-12-24,0,
2004-12-31,0,41.26
2005-01-07,0,40.05
2005-01-14,0,41.18
2005-01-21,0,41.03
2005-01-28,0,40.17
2005-02-04,0,40.60
2005-02-11,0,42.57
2005-02-18,0,41.86
2005-02-25,0,42.75
2005-03-04,0,43.93
2005-03-11,0,43.42
2005-03-18,0,43.38
2005-03-25,0,
2005-04-01,0,43.23
2005-04-08,0,42.49
2005-04-15,0,41.85
2005-04-22,0,42.62
2005-04-29,0,44.04
2005-05-06,0,45.73
2005-05-13,0,45.06
2005-05-20,0,45.97
2005-05-27,0,46.29
2005-06-03,0,46.76
2005-06-10,0,44.96
2005-06-17,0,43.28
2005-06-24,0,42.31
2005-07-01,0,43.00
2005-07-08,0,42.19
2005-07-15,0,40.90
2005-07-22,0,44.46
2005-07-29,0,45.87
2005-08-05,77,44.54
2005-08-12,65,44.02
2005-08-19,65,43.01
2005-08-26,65,43.12
2005-09-02,65,43.80
2005-09-09,0,43.95
2005-09-16,0,43.98
2005-09-23,0,43.32
2005-09-30,0,44.41
2005-10-07,0,43.05
2005-10-14,0,41.92
2005-10-21,0,42.54
2005-10-28,0,41.34
2005-11-04,63,41.90
2005-11-11,68,42.13
2005-11-18,74,41.69
2005-11-25,79,41.30
2005-12-02,84,41.90
2005-12-09,0,41.50
2005-12-16,0,42.03
2005-12-23,0,42.03
2005-12-30,0,41.61
2006-01-06,0,42.46
2006-01-13,0,42.98
2006-01-20,59,42.20
2006-01-27,58,42.55
2006-02-03,58,46.20
2006-02-10,0,43.62
2006-02-17,0,42.39
2006-02-24,0,42.03
2006-03-03,0,42.50
2006-03-10,0,41.79
2006-03-17,0,42.60
2006-03-24,0,44.82
2006-03-31,45,43.50
2006-04-07,45,43.26
2006-04-14,45,
2006-04-21,45,45.50
2006-04-28,45,44.44
2006-05-05,46,44.32
2006-05-12,47,43.98
2006-05-19,48,44.24
2006-05-26,0,44.00
2006-06-02,0,45.07
2006-06-09,0,45.08
2006-06-16,0,45.41
2006-06-23,0,44.31
2006-06-30,54,45.43
2006-07-07,53,44.91
2006-07-14,53,44.21
2006-07-21,53,45.15
2006-07-28,53,43.98
2006-08-04,53,44.70
2006-08-11,44,45.20
2006-08-18,44,46.13
2006-08-25,0,46.50
2006-09-01,0,46.68
2006-09-08,0,46.69
2006-09-15,0,46.95
2006-09-22,0,46.26
2006-09-29,46,46.59
2006-10-06,38,47.45
2006-10-13,39,46.97
2006-10-20,41,44.40
2006-10-27,37,44.04
2006-11-03,37,43.35
2006-11-10,46,43.19
2006-11-17,41,44.06
2006-11-24,41,44.93
2006-12-01,41,45.97
2006-12-08,41,46.60
2006-12-15,0,48.02
2006-12-22,0,47.28
2006-12-29,0,47.04
2007-01-05,0,47.90
2007-01-12,0,49.28
2007-01-19,54,49.26
2007-01-26,42,51.02
2007-02-02,40,51.83
2007-02-09,40,50.59
2007-02-16,44,52.41
2007-02-23,32,51.70
2007-03-02,39,50.31
2007-03-09,39,49.69
2007-03-16,39,48.77
2007-03-23,42,49.76
2007-03-30,42,50.70
2007-04-06,54,
2007-04-13,53,52.27
2007-04-20,53,51.95
2007-04-27,35,48.86
2007-05-04,33,48.81
2007-05-11,33,49.09
2007-05-18,33,49.82
2007-05-25,33,50.38
2007-06-01,27,50.38
2007-06-08,38,49.68
2007-06-15,37,49.30
2007-06-22,33,49.14
2007-06-29,33,49.34
2007-07-06,33,50.25
2007-07-13,35,49.90
2007-07-20,36,50.01
2007-07-27,46,46.44
2007-08-03,41,46.35
2007-08-10,30,46.26
2007-08-17,41,47.00
2007-08-24,31,48.04
2007-08-31,35,48.30
2007-09-07,40,48.30
2007-09-14,34,47.87
2007-09-21,29,48.75
2007-09-28,29,49.31
2007-10-05,31,51.52
2007-10-12,29,49.77
2007-10-19,39,49.63
2007-10-26,40,49.49
2007-11-02,40,50.19
2007-11-09,24,49.90
2007-11-16,30,50.44
2007-11-23,40,49.69
2007-11-30,51,49.45
2007-12-07,48,48.49
2007-12-14,28,48.98
2007-12-21,28,47.62
2007-12-28,28,46.18
2008-01-04,28,45.31
2008-01-11,28,45.87
2008-01-18,33,46.51
2008-01-25,23,45.69
2008-02-01,20,46.45
2008-02-08,27,44.24
2008-02-15,33,42.79
2008-02-22,20,43.02
2008-02-29,26,43.61
2008-03-07,30,43.45
2008-03-14,55,44.01
2008-03-21,34,
2008-03-28,32,44.86
2008-04-04,27,45.79
2008-04-11,35,46.43
2008-04-18,31,48.21
2008-04-25,41,56.01
2008-05-02,34,55.55
2008-05-09,39,55.81
2008-05-16,27,56.62
2008-05-23,30,55.61
2008-05-30,36,57.71
2008-06-06,21,59.67
2008-06-13,21,60.24
2008-06-20,37,60.40
2008-06-27,32,62.26
2008-07-04,32,
2008-07-11,41,64.58
2008-07-18,40,66.17
2008-07-25,38,62.18
2008-08-01,35,62.25
2008-08-08,22,59.05
2008-08-15,22,58.85
2008-08-22,21,60.56
2008-08-29,26,59.21
2008-09-05,27,56.39
2008-09-12,30,57.00
2008-09-19,34,60.21
2008-09-26,33,58.46
2008-10-03,26,57.09
2008-10-10,39,49.50
2008-10-17,44,50.33
2008-10-24,28,50.94
2008-10-31,39,52.84
2008-11-07,34,53.25
2008-11-14,31,53.31
2008-11-21,24,48.59
2008-11-28,36,49.77
2008-12-05,32,48.47
2008-12-12,36,48.57
2008-12-19,28,53.13
2008-12-26,31,54.01
2009-01-02,35,55.99
2009-01-09,38,55.66
2009-01-16,42,57.32
2009-01-23,23,56.86
2009-01-30,21,57.49
2009-02-06,42,61.10
2009-02-13,43,62.93
2009-02-20,39,61.10
2009-02-27,39,55.61
2009-03-06,29,54.89
2009-03-13,33,61.40
2009-03-20,45,60.88
2009-03-27,42,62.47
2009-04-03,45,58.12
2009-04-10,39,
2009-04-17,26,59.74
2009-04-24,41,57.08
2009-05-01,37,64.11
2009-05-08,35,63.27
2009-05-15,47,62.77
2009-05-22,38,62.86
2009-05-29,35,63.84
2009-06-05,41,64.62
2009-06-12,26,66.14
2009-06-19,28,67.36
2009-06-26,25,67.25
2009-07-03,34,
2009-07-10,36,65.93
2009-07-17,32,68.00
2009-07-24,32,67.25
2009-07-31,23,65.41
2009-08-07,28,63.84
2009-08-14,26,64.23
2009-08-21,40,64.05
2009-08-28,29,62.12
2009-09-04,20,63.63
2009-09-11,25,66.01
2009-09-18,38,67.26
2009-09-25,41,69.08
2009-10-02,37,68.40
2009-10-09,41,71.38
2009-10-16,33,71.58
2009-10-23,51,76.00
2009-10-30,36,76.94
2009-11-06,42,79.97
2009-11-13,35,80.64
2009-11-20,34,81.25
2009-11-27,31,82.52
2009-12-04,36,83.33
2009-12-11,15,85.94
2009-12-18,30,85.29
2009-12-25,21,
2010-01-01,24,
2010-01-08,20,89.48
2010-01-15,31,91.59
2010-01-22,37,90.92
2010-01-29,25,89.62
2010-02-05,34,89.72
2010-02-12,20,87.33
2010-02-19,37,90.50
2010-02-26,36,91.83
2010-03-05,28,96.93
2010-03-12,36,97.85
2010-03-19,23,99.90
2010-03-26,35,98.21
2010-04-02,30,
2010-04-09,34,104.02
2010-04-16,41,104.35
2010-04-23,37,102.74
2010-04-30,45,103.08
2010-05-07,37,97.47
2010-05-14,46,100.61
2010-05-21,40,98.40
2010-05-28,36,50.53
2010-06-04,36,52.46
2010-06-11,31,53.80
2010-06-18,36,55.05
2010-06-25,30,53.32
2010-07-02,29,55.41
2010-07-09,31,56.14
2010-07-16,42,54.75
2010-07-23,40,58.23
2010-07-30,38,57.80
2010-08-06,46,58.30
2010-08-13,35,57.31
2010-08-20,38,58.18
2010-08-27,20,58.10
2010-09-03,30,60.97
2010-09-10,39,59.03
2010-09-17,33,55.81
2010-09-24,61,67.91
2010-10-01,41,67.11
2010-10-08,32,68.02
2010-10-15,30,67.48
2010-10-22,33,66.24
2010-10-29,36,63.91
2010-11-05,43,65.63
2010-11-12,41,64.91
2010-11-19,23,66.89
2010-11-26,30,65.94
2010-12-03,35,68.17
2010-12-10,40,71.29
2010-12-17,53,84.75
2010-12-24,31,
2010-12-31,25,80.84
2011-01-07,22,79.05
2011-01-14,25,81.70
2011-01-21,37,82.69
2011-01-28,47,83.18
2011-02-04,39,85.94
2011-02-11,39,88.87
2011-02-18,42,89.50
2011-02-25,40,86.40
2011-03-04,30,89.51
2011-03-11,25,89.27
2011-03-18,46,86.21
2011-03-25,48,88.50
2011-04-01,43,86.07
2011-04-08,64,83.06
2011-04-15,34,83.95
2011-04-22,25,
2011-04-29,33,86.35
2011-05-06,39,88.20
2011-05-13,40,88.25
2011-05-20,39,88.43
2011-05-27,46,88.08
2011-06-03,39,86.44
2011-06-10,35,84.20
2011-06-17,21,84.01
2011-06-24,24,84.76
2011-07-01,36,88.07
2011-07-08,41,90.91
2011-07-15,43,88.94
2011-07-22,50,77.91
2011-07-29,46,71.35
2011-08-05,41,68.39
2011-08-12,37,69.15
2011-08-19,51,67.73
2011-08-26,36,73.58
2011-09-02,32,72.70
2011-09-09,36,70.44
2011-09-16,47,77.16
2011-09-23,51,74.54
2011-09-30,31,71.28
2011-10-07,31,72.03
2011-10-14,37,72.00
2011-10-21,37,73.38
2011-10-28,31,76.06
2011-11-04,51,76.44
2011-11-11,53,70.57
2011-11-18,34,63.02
2011-11-25,25,62.50
2011-12-02,36,64.99
2011-12-09,46,64.53
2011-12-16,37,67.39
2011-12-23,28,70.98
2011-12-30,26,70.70
2012-01-06,33,72.88
2012-01-13,36,73.21
2012-01-20,31,77.12
2012-01-27,38,79.18
2012-02-03,44,71.54
2012-02-10,43,73.87
2012-02-17,32,75.61
2012-02-24,38,74.26
2012-03-02,32,71.22
2012-03-09,38,68.92
2012-03-16,38,71.42
2012-03-23,33,71.28
2012-03-30,33,72.73
2012-04-06,28,
2012-04-13,43,68.55
2012-04-20,37,73.37
2012-04-27,33,82.69
2012-05-04,37,84.99
2012-05-11,37,84.68
2012-05-18,39,81.89
2012-05-25,34,87.40
2012-06-01,35,84.57
2012-06-08,39,88.23
2012-06-15,40,97.52
2012-06-22,32,101.56
2012-06-29,30,103.30
2012-07-06,26,101.92
2012-07-13,33,101.44
2012-07-20,20,101.09
2012-07-27,29,105.19
2012-08-03,36,101.32
2012-08-10,35,98.17
2012-08-17,37,100.43
2012-08-24,28,99.18
2012-08-31,30,102.11
2012-09-07,36,108.82
2012-09-14,29,105.10
2012-09-21,32,105.85
2012-09-28,32,107.37
2012-10-05,34,108.45
2012-10-12,46,87.10
2012-10-19,45,86.14
2012-10-26,39,87.15
2012-11-02,27,87.83
2012-11-09,28,87.70
2012-11-16,34,85.74
2012-11-23,26,85.60
2012-11-30,32,86.77
2012-12-07,30,91.36
2012-12-14,27,91.02
2012-12-21,29,92.11
2012-12-28,16,89.27
2013-01-04,27,92.65
2013-01-11,33,91.79
2013-01-18,30,94.56
2013-01-25,33,92.09
2013-02-01,30,93.41
2013-02-08,36,87.22
2013-02-15,33,86.36
2013-02-22,33,86.37
2013-03-01,33,86.10
2013-03-08,33,90.30
2013-03-15,36,82.19
2013-03-22,35,82.19
2013-03-29,35,
2013-04-05,26,81.40
2013-04-12,32,84.80
2013-04-19,23,83.12
2013-04-26,38,64.17
2013-05-03,33,63.21
2013-05-10,31,67.87
2013-05-17,35,67.06
2013-05-24,36,65.53
2013-05-31,34,66.46
2013-06-07,31,67.20
2013-06-14,33,70.00
2013-06-21,33,66.45
2013-06-28,33,67.20
2013-07-05,30,66.60
2013-07-12,33,67.85
2013-07-19,38,68.25
2013-07-26,41,71.80
2013-08-02,34,72.61
2013-08-09,31,72.67
2013-08-16,30,70.01
2013-08-23,24,72.94
2013-08-30,29,70.38
2013-09-06,32,71.47
2013-09-13,30,71.61
2013-09-20,32,70.03
2013-09-27,35,68.79
2013-10-04,29,72.81
2013-10-11,32,73.98
2013-10-18,28,77.20
2013-10-25,31,77.06
2013-11-01,31,64.27
2013-11-08,32,64.26
2013-11-15,38,64.99
2013-11-22,27,64.86
2013-11-29,19,65.53
2013-12-06,32,66.29
2013-12-13,38,61.44
2013-12-20,30,65.19
2013-12-27,9,66.01
2014-01-03,20,67.26
2014-01-10,31,68.48
2014-01-17,32,68.54
2014-01-24,25,68.81
2014-01-31,38,65.12
2014-02-07,28,66.94
2014-02-14,28,67.53
2014-02-21,32,68.24
2014-02-28,37,69.76
2014-03-07,29,72.07
2014-03-14,23,72.14
2014-03-21,30,72.13
2014-03-28,26,71.16
2014-04-04,34,74.25
2014-04-11,29,72.97
2014-04-18,32,
2014-04-25,27,80.50
2014-05-02,30,
