Date,sell DE,Price
2004-01-09,0,
2004-01-16,96,
2004-01-23,93,
2004-01-30,93,
2004-02-06,93,62.01
2004-02-13,85,64.01
2004-02-20,85,65.32
2004-02-27,85,64.23
2004-03-05,0,65.82
2004-03-12,0,64.61
2004-03-19,0,66.19
2004-03-26,0,68.23
2004-04-02,0,70.18
2004-04-09,0,
2004-04-16,0,73.31
2004-04-23,0,71.20
2004-04-30,0,68.04
2004-05-07,0,66.87
2004-05-14,0,66.86
2004-05-21,0,62.90
2004-05-28,71,65.70
2004-06-04,67,67.16
2004-06-11,72,
2004-06-18,77,69.17
2004-06-25,81,69.76
2004-07-02,86,66.70
2004-07-09,0,65.10
2004-07-16,0,65.90
2004-07-23,0,61.87
2004-07-30,0,62.81
2004-08-06,0,57.60
2004-08-13,0,59.38
2004-08-20,0,61.54
2004-08-27,0,62.67
2004-09-03,73,63.30
2004-09-10,68,63.45
2004-09-17,68,65.01
2004-09-24,60,62.70
2004-10-01,60,64.89
2004-10-08,60,63.01
2004-10-15,60,60.08
2004-10-22,60,58.80
2004-10-29,82,59.78
2004-11-05,60,65.08
2004-11-12,87,68.92
2004-11-19,61,69.26
2004-11-26,61,73.14
2004-12-03,61,70.98
2004-12-10,70,70.56
2004-12-17,78,73.02
2004-12-24,61,
2004-12-31,61,74.40
2005-01-07,61,70.50
2005-01-14,63,70.84
2005-01-21,100,68.00
2005-01-28,74,67.97
2005-02-04,64,69.35
2005-02-11,66,69.33
2005-02-18,78,66.57
2005-02-25,92,70.59
2005-03-04,51,72.35
2005-03-11,57,69.39
2005-03-18,61,68.37
2005-03-25,76,
2005-04-01,46,66.24
2005-04-08,51,67.01
2005-04-15,56,62.47
2005-04-22,52,64.57
2005-04-29,59,62.54
2005-05-06,62,62.69
2005-05-13,58,59.69
2005-05-20,50,64.44
2005-05-27,86,66.32
2005-06-03,72,64.57
2005-06-10,50,66.81
2005-06-17,53,67.93
2005-06-24,55,65.94
2005-07-01,58,66.10
2005-07-08,61,68.76
2005-07-15,82,69.75
2005-07-22,60,71.35
2005-07-29,68,73.53
