Date,GHC,Price
2004-01-09,45,
2004-01-16,47,
2004-01-23,48,
2004-01-30,71,
2004-02-06,46,856.24
2004-02-13,42,909.50
2004-02-20,39,909.68
2004-02-27,42,895.70
2004-03-05,45,903.25
2004-03-12,48,900.90
2004-03-19,51,896.75
2004-03-26,57,863.00
2004-04-02,63,940.01
2004-04-09,50,
2004-04-16,60,931.90
2004-04-23,71,931.50
2004-04-30,61,920.00
2004-05-07,36,936.07
2004-05-14,41,916.00
2004-05-21,51,913.75
2004-05-28,44,950.75
2004-06-04,59,965.82
2004-06-11,32,
2004-06-18,44,937.00
2004-06-25,42,896.10
2004-07-02,42,926.01
2004-07-09,56,910.00
2004-07-16,69,874.40
2004-07-23,59,853.00
2004-07-30,59,867.90
2004-08-06,56,857.25
2004-08-13,41,863.01
2004-08-20,38,899.50
2004-08-27,30,878.00
2004-09-03,54,891.00
2004-09-10,45,904.60
2004-09-17,28,891.90
2004-09-24,58,917.00
2004-10-01,55,942.75
2004-10-08,72,914.90
2004-10-15,92,886.00
2004-10-22,72,879.35
2004-10-29,59,915.00
2004-11-05,64,932.50
2004-11-12,39,955.10
2004-11-19,45,948.00
2004-11-26,48,950.75
2004-12-03,45,951.72
2004-12-10,50,942.50
2004-12-17,49,940.00
2004-12-24,48,
2004-12-31,39,983.02
2005-01-07,65,924.20
2005-01-14,59,910.53
2005-01-21,47,911.00
2005-01-28,64,900.00
2005-02-04,50,924.00
2005-02-11,51,927.99
2005-02-18,54,921.00
2005-02-25,47,908.98
2005-03-04,55,899.00
2005-03-11,39,898.01
2005-03-18,58,897.50
2005-03-25,59,
2005-04-01,49,891.25
2005-04-08,45,900.00
2005-04-15,42,880.00
2005-04-22,55,844.00
2005-04-29,50,864.25
2005-05-06,46,850.00
2005-05-13,63,814.00
2005-05-20,78,834.70
2005-05-27,51,836.00
2005-06-03,46,828.00
2005-06-10,51,829.60
2005-06-17,68,844.00
2005-06-24,68,827.00
2005-07-01,68,849.25
2005-07-08,53,866.75
2005-07-15,55,855.00
2005-07-22,57,874.50
2005-07-29,39,888.80
2005-08-05,36,835.59
2005-08-12,49,801.50
2005-08-19,54,815.49
2005-08-26,58,815.45
2005-09-02,51,816.50
2005-09-09,46,816.50
2005-09-16,63,820.00
2005-09-23,59,800.00
2005-09-30,63,802.50
2005-10-07,80,775.50
2005-10-14,57,774.00
2005-10-21,68,761.90
2005-10-28,65,743.99
2005-11-04,69,759.36
2005-11-11,45,744.75
2005-11-18,48,735.00
2005-11-25,58,731.50
2005-12-02,56,732.50
2005-12-09,47,758.00
2005-12-16,63,765.25
2005-12-23,48,770.50
2005-12-30,39,765.00
2006-01-06,51,788.50
2006-01-13,66,770.61
2006-01-20,62,778.00
2006-01-27,55,768.45
2006-02-03,69,758.00
2006-02-10,67,749.81
2006-02-17,58,749.98
2006-02-24,43,760.00
2006-03-03,61,760.00
2006-03-10,41,753.84
2006-03-17,60,743.95
2006-03-24,70,747.50
2006-03-31,65,776.75
2006-04-07,58,748.99
2006-04-14,55,
2006-04-21,43,743.00
2006-04-28,70,766.00
2006-05-05,76,795.00
2006-05-12,58,799.80
2006-05-19,50,786.00
2006-05-26,51,792.41
2006-06-02,41,806.75
2006-06-09,54,782.00
2006-06-16,57,777.98
2006-06-23,57,753.15
2006-06-30,51,780.01
2006-07-07,43,768.86
2006-07-14,52,748.69
2006-07-21,75,762.00
2006-07-28,62,760.35
2006-08-04,59,754.41
2006-08-11,61,737.75
2006-08-18,69,750.08
2006-08-25,53,749.19
2006-09-01,74,770.00
2006-09-08,65,754.01
2006-09-15,80,746.00
2006-09-22,72,710.65
2006-09-29,62,737.00
2006-10-06,69,751.50
2006-10-13,79,752.23
2006-10-20,69,739.30
2006-10-27,80,751.75
2006-11-03,55,736.38
2006-11-10,68,735.55
2006-11-17,52,733.79
2006-11-24,55,735.00
2006-12-01,61,736.45
2006-12-08,69,735.38
2006-12-15,68,761.00
2006-12-22,52,748.52
2006-12-29,64,745.60
2007-01-05,53,759.00
2007-01-12,59,766.47
2007-01-19,50,755.63
2007-01-26,62,760.75
2007-02-02,64,750.40
2007-02-09,50,771.30
2007-02-16,56,791.92
2007-02-23,58,788.65
2007-03-02,58,765.60
2007-03-09,64,746.12
2007-03-16,61,759.88
2007-03-23,51,767.00
2007-03-30,61,763.50
2007-04-06,57,
2007-04-13,60,748.33
2007-04-20,53,754.40
2007-04-27,51,744.19
2007-05-04,56,766.55
2007-05-11,54,760.73
2007-05-18,68,767.49
2007-05-25,48,764.28
2007-06-01,55,771.74
2007-06-08,58,765.00
2007-06-15,74,772.30
2007-06-22,61,771.50
2007-06-29,55,776.09
2007-07-06,43,780.00
2007-07-13,62,800.00
2007-07-20,63,789.00
2007-07-27,57,790.00
2007-08-03,67,825.50
2007-08-10,55,792.75
2007-08-17,61,795.00
2007-08-24,60,792.67
2007-08-31,57,765.65
2007-09-07,61,795.00
2007-09-14,64,771.51
2007-09-21,65,798.40
2007-09-28,57,802.80
2007-10-05,60,811.90
2007-10-12,62,802.03
2007-10-19,74,790.07
2007-10-26,57,801.51
2007-11-02,53,800.15
2007-11-09,59,823.50
2007-11-16,61,809.22
2007-11-23,75,789.58
2007-11-30,67,806.50
2007-12-07,68,800.00
2007-12-14,72,776.30
2007-12-21,74,800.00
2007-12-28,77,801.50
2008-01-04,74,792.00
2008-01-11,80,794.02
2008-01-18,76,773.70
2008-01-25,69,727.90
2008-02-01,63,758.58
2008-02-08,54,732.00
2008-02-15,60,738.90
2008-02-22,81,727.01
2008-02-29,59,724.00
2008-03-07,63,692.79
2008-03-14,58,660.95
2008-03-21,60,
2008-03-28,61,641.00
2008-04-04,61,680.02
2008-04-11,62,678.50
2008-04-18,59,689.10
2008-04-25,63,688.00
2008-05-02,61,652.83
2008-05-09,57,650.48
2008-05-16,58,668.50
2008-05-23,52,623.00
2008-05-30,53,628.42
2008-06-06,57,596.50
2008-06-13,48,589.95
2008-06-20,58,559.00
2008-06-27,50,584.46
2008-07-04,66,
2008-07-11,58,581.30
2008-07-18,53,597.00
2008-07-25,58,602.01
2008-08-01,69,598.75
2008-08-08,57,655.05
2008-08-15,52,631.80
2008-08-22,57,610.01
2008-08-29,49,596.50
2008-09-05,61,578.80
2008-09-12,69,608.87
2008-09-19,56,599.00
2008-09-26,67,563.58
2008-10-03,59,509.94
2008-10-10,55,400.00
2008-10-17,66,349.00
2008-10-24,61,350.50
2008-10-31,66,426.80
2008-11-07,51,439.00
2008-11-14,60,393.00
2008-11-21,67,339.50
2008-11-28,55,395.90
2008-12-05,72,402.32
2008-12-12,63,386.40
2008-12-19,56,394.00
2008-12-26,56,382.23
2009-01-02,46,413.20
2009-01-09,54,418.65
2009-01-16,59,408.24
2009-01-23,73,407.71
2009-01-30,64,390.56
2009-02-06,62,421.98
2009-02-13,54,414.75
2009-02-20,73,390.30
2009-02-27,55,360.49
2009-03-06,70,322.50
2009-03-13,59,344.34
2009-03-20,68,339.25
2009-03-27,63,368.94
2009-04-03,68,386.00
2009-04-10,65,
2009-04-17,53,427.79
2009-04-24,61,422.00
2009-05-01,53,365.88
2009-05-08,60,368.74
2009-05-15,67,358.71
2009-05-22,57,361.82
2009-05-29,63,360.00
2009-06-05,69,357.90
2009-06-12,72,349.22
2009-06-19,63,342.33
2009-06-26,52,349.39
2009-07-03,52,
2009-07-10,62,347.80
2009-07-17,56,375.00
2009-07-24,51,407.88
2009-07-31,58,451.50
2009-08-07,64,475.28
2009-08-14,60,471.30
2009-08-21,82,456.89
2009-08-28,100,454.07
2009-09-04,85,437.27
2009-09-11,89,458.81
2009-09-18,87,462.50
2009-09-25,88,449.09
2009-10-02,74,444.96
2009-10-09,84,479.95
2009-10-16,81,474.81
2009-10-23,79,467.10
2009-10-30,64,432.00
2009-11-06,77,429.33
2009-11-13,68,424.51
2009-11-20,77,414.30
2009-11-27,68,410.42
2009-12-04,79,411.75
2009-12-11,65,419.76
2009-12-18,57,438.47
2009-12-25,51,
2010-01-01,49,
2010-01-08,61,454.04
2010-01-15,61,446.86
2010-01-22,65,446.82
2010-01-29,63,434.62
2010-02-05,62,421.50
2010-02-12,66,408.56
2010-02-19,70,415.32
2010-02-26,76,420.31
2010-03-05,68,448.43
2010-03-12,63,446.15
2010-03-19,78,448.00
2010-03-26,74,440.22
2010-04-02,67,
2010-04-09,76,492.00
2010-04-16,63,535.70
2010-04-23,75,538.77
2010-04-30,69,507.16
2010-05-07,60,476.52
2010-05-14,48,501.86
2010-05-21,62,483.67
2010-05-28,57,465.73
2010-06-04,52,449.63
2010-06-11,53,451.22
2010-06-18,63,457.90
2010-06-25,65,432.55
2010-07-02,50,408.25
2010-07-09,50,429.35
2010-07-16,57,425.90
2010-07-23,54,425.41
2010-07-30,63,420.49
2010-08-06,56,377.56
2010-08-13,62,343.48
2010-08-20,60,347.68
2010-08-27,70,384.82
2010-09-03,60,388.91
2010-09-10,53,379.03
2010-09-17,61,367.25
2010-09-24,63,380.00
2010-10-01,65,403.94
2010-10-08,61,411.40
2010-10-15,65,381.72
2010-10-22,60,372.63
2010-10-29,56,402.15
2010-11-05,57,398.38
2010-11-12,68,388.00
2010-11-19,58,386.33
2010-11-26,58,380.63
2010-12-03,49,388.11
2010-12-10,59,414.55
2010-12-17,56,423.00
2010-12-24,48,
2010-12-31,48,439.50
2011-01-07,55,442.56
2011-01-14,67,423.77
2011-01-21,65,434.11
2011-01-28,61,438.52
2011-02-04,58,434.84
2011-02-11,62,429.40
2011-02-18,57,451.17
2011-02-25,74,429.31
2011-03-04,72,436.54
2011-03-11,69,424.11
2011-03-18,67,434.85
2011-03-25,63,439.50
2011-04-01,70,441.25
2011-04-08,62,442.86
2011-04-15,56,436.08
2011-04-22,66,
2011-04-29,63,435.90
2011-05-06,50,412.25
2011-05-13,59,416.52
2011-05-20,67,416.67
2011-05-27,55,414.00
2011-06-03,54,414.88
2011-06-10,58,416.14
2011-06-17,58,418.98
2011-06-24,54,405.73
2011-07-01,54,422.21
2011-07-08,53,415.38
2011-07-15,57,413.01
2011-07-22,69,423.54
2011-07-29,58,402.30
2011-08-05,64,382.85
2011-08-12,55,357.04
2011-08-19,66,338.51
2011-08-26,64,336.65
2011-09-02,60,320.88
2011-09-09,56,330.00
2011-09-16,57,343.25
2011-09-23,60,325.92
2011-09-30,63,326.97
2011-10-07,59,330.33
2011-10-14,60,348.46
2011-10-21,69,346.14
2011-10-28,56,361.10
2011-11-04,57,329.61
2011-11-11,63,342.82
2011-11-18,60,348.32
2011-11-25,55,343.76
2011-12-02,66,366.71
2011-12-09,55,345.00
2011-12-16,65,353.79
2011-12-23,52,380.96
2011-12-30,77,376.81
2012-01-06,72,376.67
2012-01-13,74,387.00
2012-01-20,78,394.38
2012-01-27,72,396.90
2012-02-03,62,384.85
2012-02-10,59,389.02
2012-02-17,61,395.39
2012-02-24,57,397.56
2012-03-02,57,393.42
2012-03-09,71,386.58
2012-03-16,68,400.00
2012-03-23,66,385.24
2012-03-30,64,373.57
2012-04-06,53,
2012-04-13,66,387.47
2012-04-20,73,382.39
2012-04-27,62,383.92
2012-05-04,53,357.62
2012-05-11,58,336.20
2012-05-18,62,333.00
2012-05-25,61,344.56
2012-06-01,58,349.50
2012-06-08,54,364.12
2012-06-15,54,374.35
2012-06-22,67,369.23
2012-06-29,55,373.82
2012-07-06,49,368.50
2012-07-13,48,355.65
2012-07-20,49,361.54
2012-07-27,55,344.46
2012-08-03,51,330.29
2012-08-10,57,348.88
2012-08-17,73,349.02
2012-08-24,65,351.77
2012-08-31,62,352.50
2012-09-07,65,348.44
2012-09-14,66,359.76
2012-09-21,62,369.25
2012-09-28,61,363.03
2012-10-05,62,366.06
2012-10-12,60,359.49
2012-10-19,60,345.75
2012-10-26,61,332.00
2012-11-02,57,356.50
2012-11-09,61,339.23
2012-11-16,60,342.75
2012-11-23,64,352.50
2012-11-30,55,367.06
2012-12-07,61,372.13
2012-12-14,58,365.03
2012-12-21,56,361.51
2012-12-28,43,361.89
2013-01-04,46,375.79
2013-01-11,59,375.85
2013-01-18,71,380.17
2013-01-25,66,387.10
2013-02-01,61,388.44
2013-02-08,61,398.68
2013-02-15,54,414.41
2013-02-22,58,407.13
2013-03-01,62,395.83
2013-03-08,65,414.69
2013-03-15,54,444.70
2013-03-22,56,442.37
2013-03-29,55,
2013-04-05,52,433.30
2013-04-12,55,444.50
2013-04-19,61,435.36
2013-04-26,61,446.37
2013-05-03,51,448.55
2013-05-10,58,452.89
2013-05-17,64,466.81
2013-05-24,54,473.76
2013-05-31,52,467.23
2013-06-07,51,462.49
2013-06-14,53,484.38
2013-06-21,56,478.82
2013-06-28,54,483.77
2013-07-05,51,498.00
2013-07-12,57,515.33
2013-07-19,59,518.16
2013-07-26,50,537.51
2013-08-02,57,559.95
2013-08-09,59,584.97
2013-08-16,60,569.77
2013-08-23,61,579.31
2013-08-30,57,564.00
2013-09-06,52,575.03
2013-09-13,54,579.40
2013-09-20,56,580.35
2013-09-27,57,610.99
2013-10-04,60,615.52
2013-10-11,54,618.61
2013-10-18,61,647.20
2013-10-25,61,662.02
2013-11-01,57,639.06
2013-11-08,57,662.78
2013-11-15,61,654.59
2013-11-22,55,658.20
2013-11-29,50,656.80
2013-12-06,58,625.95
2013-12-13,51,616.43
2013-12-20,49,643.55
2013-12-27,40,658.27
2014-01-03,47,668.75
2014-01-10,61,659.19
2014-01-17,70,645.34
2014-01-24,64,628.70
2014-01-31,56,626.06
2014-02-07,60,648.19
2014-02-14,57,658.79
2014-02-21,58,684.50
2014-02-28,54,718.70
2014-03-07,60,702.86
2014-03-14,63,717.95
2014-03-21,75,707.36
2014-03-28,69,705.59
2014-04-04,69,708.00
2014-04-11,72,681.37
2014-04-18,74,
2014-04-25,56,691.03
2014-05-02,50,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
