Date,JNPR,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,29.47
2004-02-13,0,26.65
2004-02-20,0,25.53
2004-02-27,0,25.87
2004-03-05,0,25.22
2004-03-12,0,25.81
2004-03-19,0,24.86
2004-03-26,0,25.37
2004-04-02,0,27.10
2004-04-09,0,
2004-04-16,0,25.17
2004-04-23,0,26.13
2004-04-30,0,21.88
2004-05-07,0,23.09
2004-05-14,0,20.92
2004-05-21,0,20.45
2004-05-28,0,20.95
2004-06-04,0,19.91
2004-06-11,0,
2004-06-18,0,20.74
2004-06-25,0,23.89
2004-07-02,0,23.70
2004-07-09,0,23.16
2004-07-16,0,24.08
2004-07-23,0,22.76
2004-07-30,0,22.96
2004-08-06,0,21.06
2004-08-13,0,20.29
2004-08-20,0,21.98
2004-08-27,0,22.96
2004-09-03,0,23.15
2004-09-10,0,24.92
2004-09-17,0,24.14
2004-09-24,0,24.65
2004-10-01,0,23.92
2004-10-08,0,24.35
2004-10-15,0,23.76
2004-10-22,0,24.01
2004-10-29,0,26.61
2004-11-05,0,27.84
2004-11-12,0,28.50
2004-11-19,0,27.93
2004-11-26,0,28.34
2004-12-03,0,28.54
2004-12-10,0,28.14
2004-12-17,0,26.56
2004-12-24,0,
2004-12-31,0,27.19
2005-01-07,0,25.46
2005-01-14,0,26.60
2005-01-21,0,25.00
2005-01-28,0,24.55
2005-02-04,0,22.97
2005-02-11,0,23.64
2005-02-18,0,21.95
2005-02-25,0,21.63
2005-03-04,0,21.26
2005-03-11,0,22.35
2005-03-18,0,21.38
2005-03-25,0,
2005-04-01,0,21.53
2005-04-08,0,21.71
2005-04-15,0,19.75
2005-04-22,0,22.62
2005-04-29,0,22.58
2005-05-06,0,22.95
2005-05-13,0,24.28
2005-05-20,0,25.73
2005-05-27,0,25.79
2005-06-03,0,25.22
2005-06-10,0,25.13
2005-06-17,0,26.27
2005-06-24,0,25.60
2005-07-01,53,24.89
2005-07-08,63,25.40
2005-07-15,67,26.08
2005-07-22,71,23.84
2005-07-29,52,23.99
2005-08-05,48,23.63
2005-08-12,48,23.58
2005-08-19,48,23.32
2005-08-26,48,22.97
2005-09-02,48,23.16
2005-09-09,50,24.02
2005-09-16,52,23.53
2005-09-23,54,22.33
2005-09-30,40,23.80
2005-10-07,44,22.43
2005-10-14,49,21.59
2005-10-21,54,23.27
2005-10-28,53,22.67
2005-11-04,53,23.97
2005-11-11,53,23.99
2005-11-18,0,23.36
2005-11-25,0,23.93
2005-12-02,0,22.84
2005-12-09,0,22.55
2005-12-16,0,21.84
2005-12-23,0,22.30
2005-12-30,0,22.30
2006-01-06,0,22.06
2006-01-13,63,21.92
2006-01-20,54,21.61
2006-01-27,100,17.48
2006-02-03,93,18.37
2006-02-10,88,19.21
2006-02-17,77,17.97
2006-02-24,62,17.67
2006-03-03,70,19.60
2006-03-10,31,18.90
2006-03-17,84,19.45
2006-03-24,52,19.25
2006-03-31,43,19.12
2006-04-07,71,19.05
2006-04-14,36,
2006-04-21,57,17.87
2006-04-28,92,18.48
2006-05-05,66,17.87
2006-05-12,34,16.87
2006-05-19,54,15.06
2006-05-26,85,15.69
2006-06-02,65,16.95
2006-06-09,49,16.73
2006-06-16,65,16.75
2006-06-23,52,15.82
2006-06-30,43,15.99
2006-07-07,38,15.72
2006-07-14,64,14.09
2006-07-21,91,13.63
2006-07-28,43,13.67
2006-08-04,60,13.13
2006-08-11,63,12.20
2006-08-18,64,13.99
2006-08-25,43,13.76
2006-09-01,47,14.42
2006-09-08,33,14.38
2006-09-15,41,15.32
2006-09-22,63,16.17
2006-09-29,34,17.28
2006-10-06,34,18.10
2006-10-13,31,17.45
2006-10-20,65,17.96
2006-10-27,43,16.93
2006-11-03,28,16.82
2006-11-10,49,19.48
2006-11-17,45,20.31
2006-11-24,41,21.27
2006-12-01,61,20.78
2006-12-08,47,20.02
2006-12-15,53,19.80
2006-12-22,59,18.77
2006-12-29,30,18.94
2007-01-05,34,19.93
2007-01-12,33,20.58
2007-01-19,43,19.51
2007-01-26,26,18.96
2007-02-02,58,18.20
2007-02-09,25,19.21
2007-02-16,30,19.69
2007-02-23,35,19.78
2007-03-02,30,18.40
2007-03-09,21,18.31
2007-03-16,31,18.01
2007-03-23,43,18.95
2007-03-30,27,19.68
2007-04-06,47,
2007-04-13,29,20.59
2007-04-20,30,20.52
2007-04-27,58,22.70
2007-05-04,56,22.95
2007-05-11,68,23.91
2007-05-18,45,23.29
2007-05-25,46,23.19
2007-06-01,30,24.65
2007-06-08,73,24.50
2007-06-15,40,25.49
2007-06-22,60,25.08
2007-06-29,29,25.17
2007-07-06,40,27.04
2007-07-13,56,27.85
2007-07-20,95,30.40
2007-07-27,61,29.97
2007-08-03,75,31.23
2007-08-10,84,32.09
2007-08-17,61,31.64
2007-08-24,74,32.59
2007-08-31,62,32.92
2007-09-07,56,34.58
2007-09-14,65,35.61
2007-09-21,66,35.91
2007-09-28,50,36.61
2007-10-05,52,37.04
2007-10-12,55,37.12
2007-10-19,49,35.62
2007-10-26,70,33.95
2007-11-02,62,35.38
2007-11-09,68,31.21
2007-11-16,68,30.56
2007-11-23,53,29.49
2007-11-30,48,29.72
2007-12-07,50,30.90
2007-12-14,34,33.11
2007-12-21,49,34.70
2007-12-28,32,33.92
2008-01-04,46,31.12
2008-01-11,48,26.60
2008-01-18,41,26.50
2008-01-25,73,25.95
2008-02-01,60,27.25
2008-02-08,66,25.46
2008-02-15,45,26.12
2008-02-22,32,26.19
2008-02-29,44,26.82
2008-03-07,38,24.95
2008-03-14,40,24.68
2008-03-21,46,
2008-03-28,46,24.30
2008-04-04,31,24.03
2008-04-11,32,22.83
2008-04-18,38,24.48
2008-04-25,58,26.71
2008-05-02,41,28.79
2008-05-09,38,27.32
2008-05-16,26,28.89
2008-05-23,30,27.28
2008-05-30,31,27.52
2008-06-06,30,26.65
2008-06-13,30,24.19
2008-06-20,36,22.74
2008-06-27,20,22.64
2008-07-04,24,
2008-07-11,25,21.76
2008-07-18,30,22.55
2008-07-25,75,26.57
2008-08-01,50,26.17
2008-08-08,55,26.80
2008-08-15,35,26.97
2008-08-22,28,25.88
2008-08-29,23,25.70
2008-09-05,27,24.15
2008-09-12,20,25.81
2008-09-19,41,26.90
2008-09-26,27,23.02
2008-10-03,50,18.56
2008-10-10,42,16.46
2008-10-17,40,17.99
2008-10-24,51,16.50
2008-10-31,34,18.74
2008-11-07,29,17.36
2008-11-14,23,15.03
2008-11-21,35,14.91
2008-11-28,22,17.38
2008-12-05,25,16.30
2008-12-12,27,17.46
2008-12-19,18,16.86
2008-12-26,22,16.93
2009-01-02,20,18.39
2009-01-09,22,17.64
2009-01-16,18,16.39
2009-01-23,22,17.68
2009-01-30,31,14.16
2009-02-06,38,16.35
2009-02-13,26,15.41
2009-02-20,20,14.68
2009-02-27,19,14.21
2009-03-06,14,12.67
2009-03-13,19,14.74
2009-03-20,24,15.09
2009-03-27,30,15.82
2009-04-03,29,17.03
2009-04-10,33,
2009-04-17,33,18.49
2009-04-24,40,22.33
2009-05-01,41,22.16
2009-05-08,24,21.85
2009-05-15,27,21.56
2009-05-22,23,23.19
2009-05-29,27,24.73
2009-06-05,35,24.10
2009-06-12,23,23.87
2009-06-19,18,22.42
2009-06-26,29,22.63
2009-07-03,20,
2009-07-10,19,23.20
2009-07-17,29,25.19
2009-07-24,30,26.86
2009-07-31,36,26.13
2009-08-07,33,25.40
2009-08-14,33,24.62
2009-08-21,23,24.61
2009-08-28,20,23.58
2009-09-04,13,23.77
2009-09-11,23,26.42
2009-09-18,25,27.62
2009-09-25,27,26.32
2009-10-02,22,25.85
2009-10-09,28,27.53
2009-10-16,30,26.50
2009-10-23,22,27.31
2009-10-30,41,25.51
2009-11-06,26,25.33
2009-11-13,24,26.15
2009-11-20,13,25.20
2009-11-27,16,25.67
2009-12-04,18,27.33
2009-12-11,13,26.78
2009-12-18,12,26.10
2009-12-25,12,
2010-01-01,12,
2010-01-08,13,26.25
2010-01-15,11,26.58
2010-01-22,15,24.95
2010-01-29,18,24.83
2010-02-05,19,25.00
2010-02-12,14,24.76
2010-02-19,21,27.44
2010-02-26,13,27.98
2010-03-05,14,29.10
2010-03-12,23,29.94
2010-03-19,18,29.89
2010-03-26,18,30.49
2010-04-02,21,
2010-04-09,25,31.65
2010-04-16,25,31.21
2010-04-23,27,30.07
2010-04-30,17,28.41
2010-05-07,16,26.73
2010-05-14,20,27.50
2010-05-21,15,26.39
2010-05-28,16,26.62
2010-06-04,8,24.67
2010-06-11,11,24.99
2010-06-18,10,25.50
2010-06-25,13,23.72
2010-07-02,11,24.08
2010-07-09,14,25.77
2010-07-16,16,25.90
2010-07-23,21,28.09
2010-07-30,22,27.78
2010-08-06,16,27.99
2010-08-13,15,25.63
2010-08-20,20,27.24
2010-08-27,16,27.24
2010-09-03,12,28.99
2010-09-10,10,28.28
2010-09-17,13,30.01
2010-09-24,19,29.78
2010-10-01,17,30.30
2010-10-08,21,31.47
2010-10-15,24,31.94
2010-10-22,31,31.94
2010-10-29,14,32.39
2010-11-05,18,34.39
2010-11-12,27,35.81
2010-11-19,16,34.73
2010-11-26,12,34.13
2010-12-03,11,34.32
2010-12-10,12,35.88
2010-12-17,15,36.49
2010-12-24,15,
2010-12-31,13,36.92
2011-01-07,16,37.59
2011-01-14,12,38.73
2011-01-21,17,34.87
2011-01-28,27,36.28
2011-02-04,19,40.06
2011-02-11,25,43.41
2011-02-18,34,44.00
2011-02-25,24,43.90
2011-03-04,26,44.11
2011-03-11,19,42.89
2011-03-18,16,40.26
2011-03-25,21,40.90
2011-04-01,20,41.26
2011-04-08,22,38.32
2011-04-15,18,38.38
2011-04-22,29,
2011-04-29,15,38.33
2011-05-06,16,37.14
2011-05-13,18,39.63
2011-05-20,16,38.86
2011-05-27,10,37.05
2011-06-03,26,32.33
2011-06-10,20,30.77
2011-06-17,13,29.33
2011-06-24,18,30.02
2011-07-01,19,31.97
2011-07-08,15,32.06
2011-07-15,11,30.63
2011-07-22,14,31.27
2011-07-29,62,23.39
2011-08-05,38,22.23
2011-08-12,22,22.18
2011-08-19,19,19.73
2011-08-26,20,20.90
2011-09-02,16,20.20
2011-09-09,15,21.46
2011-09-16,16,20.15
2011-09-23,26,18.95
2011-09-30,19,17.26
2011-10-07,15,19.05
2011-10-14,19,21.56
2011-10-21,32,21.12
2011-10-28,21,24.81
2011-11-04,13,23.98
2011-11-11,17,24.88
2011-11-18,15,22.56
2011-11-25,11,20.17
2011-12-02,11,22.60
2011-12-09,13,19.90
2011-12-16,9,18.35
2011-12-23,11,20.83
2011-12-30,12,20.41
2012-01-06,13,20.43
2012-01-13,22,21.05
2012-01-20,14,22.99
2012-01-27,26,21.69
2012-02-03,14,22.55
2012-02-10,18,22.72
2012-02-17,21,24.20
2012-02-24,17,23.72
2012-03-02,13,21.99
2012-03-09,12,21.42
2012-03-16,11,21.43
2012-03-23,10,21.11
2012-03-30,12,22.88
2012-04-06,10,
2012-04-13,9,21.20
2012-04-20,13,20.60
2012-04-27,29,21.26
2012-05-04,12,19.71
2012-05-11,9,17.95
2012-05-18,9,17.53
2012-05-25,12,17.15
2012-06-01,9,16.82
2012-06-08,16,16.89
2012-06-15,10,16.43
2012-06-22,11,16.04
2012-06-29,8,16.31
2012-07-06,11,15.58
2012-07-13,16,14.50
2012-07-20,15,15.65
2012-07-27,28,17.79
2012-08-03,18,18.08
2012-08-10,16,19.24
2012-08-17,15,18.45
2012-08-24,13,17.74
2012-08-31,10,17.44
2012-09-07,9,18.71
2012-09-14,11,19.33
2012-09-21,9,18.49
2012-09-28,7,17.11
2012-10-05,15,16.65
2012-10-12,7,16.35
2012-10-19,18,17.79
2012-10-26,19,16.58
2012-11-02,8,17.12
2012-11-09,12,17.65
2012-11-16,13,16.32
2012-11-23,11,16.70
2012-11-30,15,17.98
2012-12-07,15,19.29
2012-12-14,15,19.59
2012-12-21,14,20.17
2012-12-28,7,19.38
2013-01-04,10,20.38
2013-01-11,13,20.66
2013-01-18,9,21.49
2013-01-25,16,22.57
2013-02-01,16,22.32
2013-02-08,18,21.84
2013-02-15,12,21.86
2013-02-22,8,21.45
2013-03-01,8,20.49
2013-03-08,10,20.69
2013-03-15,9,20.17
2013-03-22,15,18.72
2013-03-29,15,
2013-04-05,13,17.55
2013-04-12,12,18.72
2013-04-19,6,17.10
2013-04-26,21,15.79
2013-05-03,9,16.48
2013-05-10,8,17.36
2013-05-17,12,17.61
2013-05-24,12,17.35
2013-05-31,12,17.73
2013-06-07,13,19.06
2013-06-14,10,19.05
2013-06-21,15,18.79
2013-06-28,10,19.31
2013-07-05,10,19.61
2013-07-12,13,20.35
2013-07-19,13,21.04
2013-07-26,21,21.52
2013-08-02,8,21.80
2013-08-09,16,20.92
2013-08-16,16,20.44
2013-08-23,13,19.74
2013-08-30,12,18.90
2013-09-06,13,20.83
2013-09-13,18,21.02
2013-09-20,14,20.99
2013-09-27,9,19.95
2013-10-04,10,20.85
2013-10-11,7,20.18
2013-10-18,9,20.82
2013-10-25,18,18.70
2013-11-01,8,18.48
2013-11-08,10,19.27
2013-11-15,14,19.84
2013-11-22,14,20.56
2013-11-29,10,20.27
2013-12-06,9,21.67
2013-12-13,12,20.67
2013-12-20,8,21.77
2013-12-27,8,22.22
2014-01-03,8,22.77
2014-01-10,16,23.54
2014-01-17,30,26.00
2014-01-24,31,27.72
2014-01-31,23,26.61
2014-02-07,26,27.25
2014-02-14,22,27.42
2014-02-21,26,27.95
2014-02-28,24,26.74
2014-03-07,17,26.26
2014-03-14,15,25.62
2014-03-21,18,25.96
2014-03-28,14,25.62
2014-04-04,18,25.90
2014-04-11,13,24.29
2014-04-18,14,
2014-04-25,25,24.48
2014-05-02,15,
